"symbol","date","open","high","low","close","volume"
"ACST","2012-02-07","1.21","1.21","1.21","12.1","0"
"ACST","2012-02-08","1.21","1.21","1.21","12.1","0"
"ACST","2012-02-09","1.21","1.21","1.21","12.1","0"
"ACST","2012-02-10","1.21","1.21","1.21","12.1","0"
"ACST","2012-02-13","1.21","1.21","1.21","12.1","0"
"ACST","2012-02-14","1.65","1.65","1.65","16.5","100"
"ACST","2012-02-15","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-16","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-17","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-21","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-22","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-23","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-24","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-27","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-28","1.65","1.65","1.65","16.5","0"
"ACST","2012-02-29","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-01","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-02","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-05","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-06","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-07","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-08","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-09","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-12","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-13","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-14","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-15","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-16","1.65","1.65","1.65","16.5","0"
"ACST","2012-03-19","2.18","2.18","2.18","21.8","100"
"ACST","2012-03-20","2.18","2.18","2.18","21.8","0"
"ACST","2012-03-21","2.18","2.18","2.18","21.8","0"
"ACST","2012-03-22","2.13","2.13","2.09","21.0","800"
"ACST","2012-03-23","2.1","2.1","2.1","21.0","0"
"ACST","2012-03-26","2.1","2.1","2.1","21.0","0"
"ACST","2012-03-27","2.1","2.1","2.1","21.0","0"
"ACST","2012-03-28","2.1","2.1","2.1","21.0","0"
"ACST","2012-03-29","2.1","2.1","2.1","21.0","0"
"ACST","2012-03-30","2.1","2.1","2.1","21.0","0"
"ACST","2012-04-02","2.1","2.1","2.1","21.0","0"
"ACST","2012-04-03","2.1","2.1","2.1","21.0","0"
"ACST","2012-04-04","2.1","2.1","2.1","21.0","0"
"ACST","2012-04-05","2.11","2.11","2.11","21.1","100"
"ACST","2012-04-09","2.11","2.11","2.11","21.1","0"
"ACST","2012-04-10","2.11","2.11","2.11","21.1","0"
"ACST","2012-04-11","2.11","2.11","2.11","21.1","100"
"ACST","2012-04-12","2.11","2.11","2.11","21.1","0"
"ACST","2012-04-13","2.18","2.18","2.16","21.6","0"
"ACST","2012-04-16","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-17","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-18","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-19","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-20","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-23","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-24","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-25","2.16","2.16","2.16","21.6","0"
"ACST","2012-04-26","2.25","2.25","2.25","22.5","300"
"ACST","2012-04-27","2.28","2.28","2.28","22.8","100"
"ACST","2012-04-30","2.28","2.28","2.28","22.8","0"
"ACST","2012-05-01","2.28","2.28","2.28","22.8","0"
"ACST","2012-05-02","2.41","2.41","2.4","24.0","400"
"ACST","2012-05-03","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-04","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-07","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-08","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-09","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-10","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-11","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-14","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-15","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-16","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-17","2.4","2.4","2.4","24.0","0"
"ACST","2012-05-18","2.12","2.12","2.12","21.2","0"
"ACST","2012-05-21","2.12","2.12","2.12","21.2","0"
"ACST","2012-05-22","2.12","2.12","2.12","21.2","0"
"ACST","2012-05-23","2.12","2.12","2.12","21.2","0"
"ACST","2012-05-24","2.29","2.29","2.29","22.9","300"
"ACST","2012-05-25","2.29","2.29","2.29","22.9","0"
"ACST","2012-05-29","2.35","2.35","2.35","23.5","100"
"ACST","2012-05-30","2.35","2.35","2.35","23.5","0"
"ACST","2012-05-31","2.35","2.35","2.35","23.5","0"
"ACST","2012-06-01","2.04","2.04","2.04","20.4","200"
"ACST","2012-06-04","2.04","2.04","2.04","20.4","0"
"ACST","2012-06-05","2.04","2.04","2.04","20.4","0"
"ACST","2012-06-06","2.0","2.0","1.97","20.0","1800"
"ACST","2012-06-07","2.0","2.0","2.0","20.0","0"
"ACST","2012-06-08","2.0","2.0","2.0","20.0","0"
"ACST","2012-06-11","2.0","2.05","1.99","20.5","400"
"ACST","2012-06-12","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-13","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-14","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-15","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-18","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-19","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-20","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-21","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-22","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-25","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-26","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-27","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-28","2.05","2.05","2.05","20.5","0"
"ACST","2012-06-29","2.05","2.05","2.05","20.5","0"
"ACST","2012-07-02","2.05","2.05","2.05","20.5","0"
"ACST","2012-07-03","2.05","2.05","2.05","20.5","0"
"ACST","2012-07-05","2.05","2.05","2.05","20.5","0"
"ACST","2012-07-06","2.05","2.05","2.05","20.5","0"
"ACST","2012-07-09","2.06","2.06","2.06","20.6","100"
"ACST","2012-07-10","2.08","2.09","2.08","20.9","200"
"ACST","2012-07-11","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-12","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-13","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-16","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-17","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-18","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-19","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-20","2.09","2.09","2.09","20.9","0"
"ACST","2012-07-23","2.03","2.03","2.03","20.3","100"
"ACST","2012-07-24","2.03","2.03","2.03","20.3","0"
"ACST","2012-07-25","2.07","2.07","2.07","20.7","300"
"ACST","2012-07-26","2.07","2.07","2.07","20.7","0"
"ACST","2012-07-27","2.16","2.16","2.16","21.6","0"
"ACST","2012-07-30","2.16","2.16","2.16","21.6","0"
"ACST","2012-07-31","2.23","2.3","2.23","23.0","3000"
"ACST","2012-08-01","2.26","2.27","2.26","22.7","1000"
"ACST","2012-08-02","2.2","2.2","2.2","22.0","100"
"ACST","2012-08-03","2.2","2.2","2.2","22.0","0"
"ACST","2012-08-06","2.2","2.2","2.2","22.0","0"
"ACST","2012-08-07","2.2","2.2","2.2","22.0","0"
"ACST","2012-08-08","2.2","2.2","2.2","22.0","0"
"ACST","2012-08-09","2.2","2.2","2.2","22.0","0"
"ACST","2012-08-10","2.15","2.15","2.15","21.5","1000"
"ACST","2012-08-13","2.15","2.15","2.15","21.5","0"
"ACST","2012-08-14","2.15","2.15","2.15","21.5","0"
"ACST","2012-08-15","2.15","2.15","2.15","21.5","0"
"ACST","2012-08-16","2.15","2.15","2.15","21.5","0"
"ACST","2012-08-17","2.15","2.15","2.1","21.0","400"
"ACST","2012-08-20","2.1","2.1","2.1","21.0","0"
"ACST","2012-08-21","2.16","2.16","2.15","21.6","1500"
"ACST","2012-08-22","2.16","2.16","2.16","21.6","0"
"ACST","2012-08-23","2.16","2.16","2.16","21.6","0"
"ACST","2012-08-24","2.16","2.16","2.16","21.6","0"
"ACST","2012-08-27","2.16","2.16","2.16","21.6","0"
"ACST","2012-08-28","2.23","2.25","2.23","22.4","1000"
"ACST","2012-08-29","2.24","2.24","2.24","22.4","0"
"ACST","2012-08-30","2.24","2.25","2.24","22.5","300"
