"symbol","date","open","high","low","close","volume"
"ACU","1984-09-07","11.12","11.12","11.12","8.0578","100"
"ACU","1984-09-10","11.12","11.25","11.0","8.1483","4900"
"ACU","1984-09-11","11.25","11.38","11.12","8.1483","1200"
"ACU","1984-09-12","11.25","11.25","11.0","7.9672","1000"
"ACU","1984-09-13","11.0","11.38","11.0","7.9672","5400"
"ACU","1984-09-14","11.12","11.38","11.12","8.1483","8400"
"ACU","1984-09-17","11.12","11.12","11.0","7.9672","2100"
"ACU","1984-09-18","11.0","11.12","11.0","8.0578","1800"
"ACU","1984-09-19","11.12","11.12","10.88","7.9672","2600"
"ACU","1984-09-20","11.0","11.12","11.0","7.9672","800"
"ACU","1984-09-21","11.0","11.0","10.88","7.9672","2200"
"ACU","1984-09-24","11.0","11.0","10.88","7.8767","1200"
"ACU","1984-09-25","11.0","11.12","11.0","8.0578","9500"
"ACU","1984-09-26","11.12","11.12","11.0","7.9672","3300"
"ACU","1984-09-27","11.0","11.0","11.0","7.9672","2100"
"ACU","1984-09-28","11.0","11.12","10.88","7.8767","1700"
"ACU","1984-10-01","10.88","10.88","10.62","7.6956","3000"
"ACU","1984-10-02","10.62","10.62","10.5","7.6956","2300"
"ACU","1984-10-03","10.62","10.62","10.5","7.6051","1300"
"ACU","1984-10-04","10.5","10.62","10.5","7.6051","1800"
"ACU","1984-10-05","10.5","10.75","10.5","7.6051","5500"
"ACU","1984-10-08","10.5","10.5","10.5","7.6051","100"
"ACU","1984-10-09","10.5","10.62","10.12","7.3335","1100"
"ACU","1984-10-10","10.12","10.12","10.0","7.3335","5700"
"ACU","1984-10-11","10.12","10.25","10.0","7.2429","6200"
"ACU","1984-10-12","9.75","9.75","9.75","7.0619","500"
"ACU","1984-10-15","9.62","9.62","9.0","6.9713","16600"
"ACU","1984-10-16","9.62","9.62","9.12","6.6092","4500"
"ACU","1984-10-17","9.12","9.12","8.88","6.4281","8500"
"ACU","1984-10-18","8.88","9.0","8.88","6.5187","6300"
"ACU","1984-10-19","9.0","9.0","8.88","6.4281","5700"
"ACU","1984-10-22","8.88","9.0","8.88","6.4281","1300"
"ACU","1984-10-23","8.88","8.88","8.75","6.3376","1900"
"ACU","1984-10-24","8.75","8.75","8.5","6.1565","11800"
"ACU","1984-10-25","8.5","9.0","8.5","6.4281","5600"
"ACU","1984-10-26","8.88","9.12","8.62","6.6092","15200"
"ACU","1984-10-29","9.12","9.12","9.0","6.5187","800"
"ACU","1984-10-30","9.0","9.12","9.0","6.6092","1400"
"ACU","1984-10-31","9.12","9.25","9.0","6.6997","1700"
"ACU","1984-11-01","9.25","9.25","9.12","6.6997","1200"
"ACU","1984-11-02","9.25","9.25","9.12","6.6997","1100"
"ACU","1984-11-05","9.25","9.88","9.25","7.1524","8100"
"ACU","1984-11-06","9.88","9.88","9.88","7.1524","600"
"ACU","1984-11-07","9.88","9.88","9.88","7.1524","1800"
"ACU","1984-11-08","9.88","10.12","9.75","7.3335","2700"
"ACU","1984-11-09","10.25","10.25","10.25","7.424","900"
"ACU","1984-11-12","10.25","10.5","9.88","7.6051","5200"
"ACU","1984-11-13","10.62","10.75","10.62","7.7862","900"
"ACU","1984-11-14","10.62","10.62","10.38","7.6051","1500"
"ACU","1984-11-15","10.5","10.88","10.38","7.6956","4400"
"ACU","1984-11-16","10.62","10.75","10.5","7.6051","700"
"ACU","1984-11-19","10.38","10.38","10.12","7.3335","1000"
"ACU","1984-11-20","10.12","10.12","10.12","7.3335","0"
"ACU","1984-11-21","10.12","10.25","9.75","7.0619","3600"
"ACU","1984-11-23","9.75","9.88","9.5","6.8808","3200"
"ACU","1984-11-26","9.62","9.75","9.62","6.9713","4200"
"ACU","1984-11-27","9.62","9.62","9.62","6.9713","3100"
"ACU","1984-11-28","9.62","9.62","9.62","6.9713","0"
"ACU","1984-11-29","9.62","9.75","9.5","7.0619","6700"
"ACU","1984-11-30","9.75","10.0","9.75","7.2429","1100"
"ACU","1984-12-03","10.0","10.12","9.75","7.0619","9400"
"ACU","1984-12-04","10.0","10.12","10.0","7.3335","600"
"ACU","1984-12-05","10.0","10.0","9.88","7.1524","1400"
"ACU","1984-12-06","9.88","9.88","9.75","7.1524","1700"
"ACU","1984-12-07","9.88","10.0","9.88","7.1524","7200"
"ACU","1984-12-10","9.88","10.0","9.88","7.2429","3700"
"ACU","1984-12-11","10.0","10.0","9.88","7.1524","3200"
"ACU","1984-12-12","9.88","10.0","9.75","7.0619","1900"
"ACU","1984-12-13","9.75","10.0","9.75","7.2429","6400"
"ACU","1984-12-14","9.88","9.88","9.88","7.1524","300"
"ACU","1984-12-17","9.88","9.88","9.88","7.1524","400"
"ACU","1984-12-18","9.88","10.12","9.88","7.2429","6000"
"ACU","1984-12-19","10.12","10.12","10.12","7.3335","400"
"ACU","1984-12-20","10.0","10.0","9.88","7.1524","1100"
"ACU","1984-12-21","9.88","10.0","9.88","7.1524","900"
"ACU","1984-12-24","10.0","10.12","10.0","7.2429","2000"
"ACU","1984-12-26","10.0","10.12","10.0","7.2429","1700"
"ACU","1984-12-27","10.0","10.12","9.88","7.1524","4000"
"ACU","1984-12-28","9.88","10.0","9.75","7.0619","2400"
"ACU","1984-12-31","9.75","9.75","9.75","7.0619","3100"
"ACU","1985-01-02","9.88","10.0","9.88","7.1524","5800"
"ACU","1985-01-03","10.0","10.0","10.0","7.2429","5000"
"ACU","1985-01-04","9.88","9.88","9.88","7.1524","11000"
"ACU","1985-01-07","9.88","9.88","9.75","7.0619","3100"
"ACU","1985-01-08","9.62","9.62","9.62","6.9713","1500"
"ACU","1985-01-09","9.62","9.75","9.62","7.0619","1100"
"ACU","1985-01-10","9.75","9.88","9.75","7.1524","6300"
"ACU","1985-01-11","9.88","10.0","9.88","7.1524","11600"
"ACU","1985-01-14","9.88","10.12","9.75","7.3335","7400"
"ACU","1985-01-15","10.0","10.0","9.88","7.1524","2900"
"ACU","1985-01-16","9.88","9.88","9.75","7.1524","3200"
"ACU","1985-01-17","9.88","10.0","9.75","7.2429","15100"
"ACU","1985-01-18","9.88","9.88","9.75","7.0619","3400"
"ACU","1985-01-21","9.88","10.0","9.88","7.1524","6100"
"ACU","1985-01-22","9.88","10.0","9.62","6.9713","11700"
"ACU","1985-01-23","9.62","9.62","9.62","6.9713","400"
"ACU","1985-01-24","9.62","9.88","9.62","7.1524","1100"
"ACU","1985-01-25","9.88","9.88","9.75","7.0619","2800"
"ACU","1985-01-28","9.75","10.12","9.75","7.2429","10900"
"ACU","1985-01-29","10.0","10.25","10.0","7.424","4300"
"ACU","1985-01-30","10.25","10.75","10.25","7.6051","10400"
"ACU","1985-01-31","10.5","10.62","10.38","7.5146","4900"
"ACU","1985-02-01","10.38","10.75","10.38","7.7862","1600"
"ACU","1985-02-04","10.75","10.88","10.75","7.8767","3600"
"ACU","1985-02-05","11.0","11.5","11.0","8.1483","6700"
"ACU","1985-02-06","11.38","11.5","11.38","8.2388","6200"
"ACU","1985-02-07","11.38","11.38","11.12","8.1483","1800"
"ACU","1985-02-08","11.12","11.12","10.88","8.0578","2500"
"ACU","1985-02-11","11.12","11.12","10.88","7.8767","1100"
"ACU","1985-02-12","10.88","11.0","10.88","7.8767","800"
"ACU","1985-02-13","10.88","11.12","10.88","7.8767","4000"
"ACU","1985-02-14","11.0","11.12","11.0","7.9672","1000"
"ACU","1985-02-15","10.88","10.88","10.88","7.8767","300"
"ACU","1985-02-19","10.75","10.75","10.75","7.7862","100"
"ACU","1985-02-20","10.75","10.75","10.75","7.7862","300"
"ACU","1985-02-21","10.75","10.75","10.62","7.6956","1300"
"ACU","1985-02-22","10.62","10.62","10.62","7.6956","400"
"ACU","1985-02-25","10.5","10.5","10.5","7.6051","3500"
"ACU","1985-02-26","10.38","10.38","10.0","7.2429","6800"
"ACU","1985-02-27","10.0","10.25","9.5","7.424","21400"
"ACU","1985-02-28","10.0","10.0","9.75","7.1524","17100"
"ACU","1985-03-01","9.75","9.75","9.75","7.0619","1600"
"ACU","1985-03-04","9.62","9.62","9.38","6.7903","6500"
"ACU","1985-03-05","9.38","9.75","9.38","6.8808","4100"
"ACU","1985-03-06","9.62","9.75","9.62","6.9713","1600"
"ACU","1985-03-07","9.62","9.62","9.62","6.9713","300"
"ACU","1985-03-08","9.62","9.88","9.62","7.1524","1600"
"ACU","1985-03-11","9.88","10.0","9.88","7.1524","1900"
"ACU","1985-03-12","9.88","9.88","9.75","7.1524","900"
"ACU","1985-03-13","10.0","10.0","10.0","7.2429","500"
"ACU","1985-03-14","9.88","9.88","9.5","7.0619","3700"
"ACU","1985-03-15","9.75","9.75","9.62","6.9713","500"
"ACU","1985-03-18","9.5","9.5","9.38","6.8808","7600"
"ACU","1985-03-19","9.5","9.5","9.38","6.8808","1600"
"ACU","1985-03-20","9.38","9.38","9.38","6.7903","2100"
"ACU","1985-03-21","9.38","9.5","9.38","6.7903","3200"
"ACU","1985-03-22","9.38","9.5","9.38","6.8808","6200"
"ACU","1985-03-25","9.38","9.38","9.38","6.7903","2800"
"ACU","1985-03-26","9.38","9.38","9.38","6.7903","4400"
"ACU","1985-03-27","9.38","9.5","9.38","6.7903","400"
"ACU","1985-03-28","9.38","9.5","9.38","6.8808","800"
"ACU","1985-03-29","9.5","9.62","9.5","6.8808","600"
"ACU","1985-04-01","9.5","9.62","9.5","6.8808","700"
"ACU","1985-04-02","9.38","9.38","9.38","6.7903","1200"
"ACU","1985-04-03","9.38","9.38","9.25","6.6997","8000"
"ACU","1985-04-04","9.38","9.75","9.38","6.9713","3300"
"ACU","1985-04-08","9.62","9.62","9.5","6.8808","1900"
"ACU","1985-04-09","9.75","9.88","9.75","7.1524","1900"
"ACU","1985-04-10","9.88","10.0","9.75","7.1524","1300"
"ACU","1985-04-11","9.88","9.88","9.88","7.1524","200"
"ACU","1985-04-12","9.88","9.88","9.62","7.0619","1500"
"ACU","1985-04-15","9.75","9.75","9.62","7.0619","800"
"ACU","1985-04-16","9.75","9.75","9.62","6.9713","1300"
"ACU","1985-04-17","9.62","9.75","9.62","6.9713","3900"
"ACU","1985-04-18","9.75","9.88","9.75","7.1524","10600"
"ACU","1985-04-19","9.88","9.88","9.75","7.1524","10200"
"ACU","1985-04-22","9.88","9.88","9.62","6.9713","4400"
"ACU","1985-04-23","9.62","9.75","9.5","7.0619","5900"
"ACU","1985-04-24","9.75","10.0","9.75","7.2429","2100"
"ACU","1985-04-25","10.0","10.0","9.88","7.2429","700"
"ACU","1985-04-26","10.12","10.25","10.12","7.3335","1300"
"ACU","1985-04-29","10.12","10.25","10.12","7.3335","700"
"ACU","1985-04-30","10.12","10.25","10.0","7.2429","13200"
"ACU","1985-05-01","10.12","10.12","10.12","7.3335","1200"
"ACU","1985-05-02","10.12","10.12","10.12","7.3335","0"
"ACU","1985-05-03","10.38","10.38","10.38","7.5146","200"
"ACU","1985-05-06","10.38","10.38","10.0","7.2429","3700"
"ACU","1985-05-07","10.0","10.0","10.0","7.2429","100"
"ACU","1985-05-08","10.0","10.0","10.0","7.2429","0"
"ACU","1985-05-09","10.0","10.0","10.0","7.2429","500"
"ACU","1985-05-10","10.12","10.25","10.12","7.3335","800"
"ACU","1985-05-13","10.25","10.38","10.25","7.5146","5600"
"ACU","1985-05-14","10.25","10.25","10.12","7.3335","5900"
"ACU","1985-05-15","10.12","10.12","10.12","7.3335","0"
"ACU","1985-05-16","10.25","10.38","10.25","7.424","11800"
"ACU","1985-05-17","10.12","10.12","10.12","7.3335","400"
"ACU","1985-05-20","10.12","10.25","10.12","7.3335","1300"
"ACU","1985-05-21","10.12","10.25","10.12","7.3335","1600"
"ACU","1985-05-22","10.12","10.12","10.12","7.3335","100"
"ACU","1985-05-23","10.12","10.25","10.12","7.424","1400"
"ACU","1985-05-24","10.25","10.25","10.25","7.424","0"
"ACU","1985-05-28","10.25","10.25","10.12","7.3335","4300"
"ACU","1985-05-29","10.25","10.38","10.25","7.5146","2600"
"ACU","1985-05-30","10.38","10.38","10.12","7.3335","2500"
"ACU","1985-05-31","10.12","10.25","10.12","7.424","8000"
"ACU","1985-06-03","10.25","10.25","10.12","7.3335","1500"
"ACU","1985-06-04","10.12","10.38","10.0","7.3335","4600"
"ACU","1985-06-05","10.12","10.12","10.0","7.3335","2600"
"ACU","1985-06-06","10.25","10.38","10.25","7.424","800"
"ACU","1985-06-07","10.25","10.25","10.12","7.3335","1900"
"ACU","1985-06-10","10.12","10.12","10.12","7.3335","600"
"ACU","1985-06-11","10.12","10.38","10.0","7.2429","3700"
"ACU","1985-06-12","10.0","10.12","10.0","7.2429","1500"
"ACU","1985-06-13","10.0","10.0","10.0","7.2429","4300"
"ACU","1985-06-14","10.0","10.0","10.0","7.2429","800"
"ACU","1985-06-17","10.0","10.12","9.88","7.1524","2600"
"ACU","1985-06-18","9.88","10.0","9.88","7.1524","1400"
"ACU","1985-06-19","10.0","10.12","10.0","7.3335","3000"
"ACU","1985-06-20","10.0","10.0","10.0","7.2429","2100"
"ACU","1985-06-21","10.0","10.12","10.0","7.2429","900"
"ACU","1985-06-24","10.0","10.12","10.0","7.3335","1500"
"ACU","1985-06-25","10.0","10.0","10.0","7.2429","400"
"ACU","1985-06-26","10.0","10.0","10.0","7.2429","1000"
"ACU","1985-06-27","10.0","10.0","10.0","7.2429","0"
"ACU","1985-06-28","10.0","10.25","10.0","7.2429","2600"
"ACU","1985-07-01","10.12","10.12","10.12","7.3335","100"
"ACU","1985-07-02","10.12","10.12","10.0","7.3335","6500"
"ACU","1985-07-03","10.12","10.12","10.0","7.2429","3600"
"ACU","1985-07-05","10.0","10.12","10.0","7.2429","2000"
"ACU","1985-07-08","10.0","10.0","10.0","7.2429","1000"
"ACU","1985-07-09","10.0","10.12","10.0","7.2429","1200"
"ACU","1985-07-10","10.12","10.25","10.12","7.424","500"
"ACU","1985-07-11","10.25","10.25","10.12","7.3335","1400"
"ACU","1985-07-12","10.12","10.25","10.12","7.424","900"
"ACU","1985-07-15","10.25","10.25","10.12","7.424","800"
"ACU","1985-07-16","10.25","10.25","10.0","7.2429","1600"
"ACU","1985-07-17","10.0","10.12","10.0","7.3335","300"
"ACU","1985-07-18","10.12","10.12","10.0","7.2429","500"
"ACU","1985-07-19","10.0","10.12","10.0","7.2429","700"
"ACU","1985-07-22","10.0","10.0","10.0","7.2429","1000"
"ACU","1985-07-23","10.12","10.12","10.12","7.3335","500"
"ACU","1985-07-24","10.12","10.12","10.12","7.3335","0"
"ACU","1985-07-25","10.12","10.12","10.0","7.3335","3400"
"ACU","1985-07-26","10.0","10.0","10.0","7.2429","500"
"ACU","1985-07-29","10.0","10.0","9.88","7.1524","4500"
"ACU","1985-07-30","9.88","10.0","9.88","7.2429","400"
"ACU","1985-07-31","10.0","10.12","10.0","7.2429","1900"
"ACU","1985-08-01","10.0","10.0","9.88","7.2429","2700"
"ACU","1985-08-02","10.0","10.0","9.88","7.1524","400"
"ACU","1985-08-05","9.88","9.88","9.88","7.1524","1000"
"ACU","1985-08-06","9.88","10.0","9.88","7.1524","1600"
"ACU","1985-08-07","9.88","9.88","9.88","7.1524","200"
"ACU","1985-08-08","9.88","10.0","9.88","7.2429","700"
"ACU","1985-08-09","10.0","10.0","10.0","7.2429","0"
"ACU","1985-08-12","10.0","10.0","9.88","7.2429","600"
"ACU","1985-08-13","10.0","10.0","10.0","7.2429","700"
"ACU","1985-08-14","10.25","10.38","10.25","7.5146","3600"
"ACU","1985-08-15","10.25","10.25","10.0","7.424","8000"
"ACU","1985-08-16","10.25","10.25","10.0","7.2429","1400"
"ACU","1985-08-19","10.0","10.0","9.88","7.2429","2200"
"ACU","1985-08-20","10.0","10.0","10.0","7.2429","0"
"ACU","1985-08-21","10.0","10.0","9.88","7.1524","1100"
"ACU","1985-08-22","9.88","10.12","9.88","7.3335","3000"
"ACU","1985-08-23","10.12","10.12","10.0","7.2429","800"
"ACU","1985-08-26","10.0","10.0","9.88","7.1524","1000"
"ACU","1985-08-27","9.88","9.88","9.88","7.1524","0"
"ACU","1985-08-28","9.88","9.88","9.88","7.1524","0"
"ACU","1985-08-29","9.88","9.88","9.88","7.1524","400"
"ACU","1985-08-30","10.0","10.0","10.0","7.2429","1000"
"ACU","1985-09-03","9.75","9.75","9.75","7.0619","1000"
"ACU","1985-09-04","9.75","9.75","9.75","7.0619","300"
"ACU","1985-09-05","9.75","9.75","9.75","7.0619","1200"
"ACU","1985-09-06","9.75","9.75","9.62","6.9713","3700"
"ACU","1985-09-09","9.62","9.62","9.62","6.9713","600"
"ACU","1985-09-10","9.75","9.88","9.75","7.1524","3600"
"ACU","1985-09-11","9.75","9.75","9.75","7.0619","500"
"ACU","1985-09-12","9.75","9.75","9.75","7.0619","500"
"ACU","1985-09-13","9.88","9.88","9.88","7.1524","3000"
"ACU","1985-09-16","9.75","9.75","9.75","7.0619","500"
"ACU","1985-09-17","9.88","9.88","9.88","7.1524","100"
"ACU","1985-09-18","9.75","9.75","9.75","7.0619","200"
"ACU","1985-09-19","9.75","9.75","9.62","7.0619","6000"
"ACU","1985-09-20","9.75","9.75","9.75","7.0619","0"
"ACU","1985-09-23","9.75","9.75","9.62","6.9713","2000"
"ACU","1985-09-24","9.62","9.62","9.5","6.9713","4500"
"ACU","1985-09-25","9.62","9.62","9.62","6.9713","0"
"ACU","1985-09-26","9.62","9.62","9.5","6.9713","3000"
"ACU","1985-09-27","9.63","9.63","9.63","6.975","0"
"ACU","1985-09-30","9.75","9.75","9.75","7.0619","600"
"ACU","1985-10-01","9.75","9.75","9.62","6.9713","4100"
"ACU","1985-10-02","9.62","9.75","9.62","7.0619","3500"
"ACU","1985-10-03","9.62","9.62","9.62","6.9713","1100"
"ACU","1985-10-04","9.62","9.62","9.62","6.9713","600"
