"symbol","date","open","high","low","close","volume"
"ADMP","1995-08-14","5.87","6.0","5.25","89.2446","15500"
"ADMP","1995-08-15","5.37","5.37","4.87","82.87","4400"
"ADMP","1995-08-16","5.31","5.5","5.19","93.4944","2600"
"ADMP","1995-08-17","5.62","6.12","5.25","95.6193","9800"
"ADMP","1995-08-18","5.81","6.25","5.75","101.9939","9900"
"ADMP","1995-08-21","6.25","6.75","6.0","110.4934","10900"
"ADMP","1995-08-22","6.75","6.75","5.75","108.3685","5300"
"ADMP","1995-08-23","6.5","6.5","6.0","106.2436","5200"
"ADMP","1995-08-24","6.37","7.25","6.25","114.7431","11500"
"ADMP","1995-08-25","6.87","7.0","6.31","112.6182","8400"
"ADMP","1995-08-28","6.62","6.62","6.37","110.4934","1400"
"ADMP","1995-08-29","6.5","6.5","5.75","97.7441","1900"
"ADMP","1995-08-30","6.12","6.12","5.75","101.9939","700"
"ADMP","1995-08-31","6.25","6.25","6.0","104.1188","2800"
"ADMP","1995-09-01","6.25","6.25","6.0","106.2436","300"
"ADMP","1995-09-05","6.0","6.25","6.0","106.2436","1000"
"ADMP","1995-09-06","6.25","6.25","5.87","99.869","1500"
"ADMP","1995-09-07","5.75","5.87","5.37","91.3695","2200"
"ADMP","1995-09-08","5.37","5.75","5.37","95.6193","1100"
"ADMP","1995-09-11","5.62","5.75","5.5","93.4944","500"
"ADMP","1995-09-12","5.75","5.75","5.5","95.6193","500"
"ADMP","1995-09-13","5.75","5.75","5.5","97.7441","1700"
"ADMP","1995-09-14","5.5","5.75","5.5","93.4944","1400"
"ADMP","1995-09-15","5.5","5.75","5.37","97.7441","700"
"ADMP","1995-09-18","5.75","5.75","5.37","91.3695","500"
"ADMP","1995-09-19","5.37","5.37","5.37","91.3695","800"
"ADMP","1995-09-20","5.5","5.62","5.37","95.6193","600"
"ADMP","1995-09-21","5.62","5.62","5.31","93.2288","800"
"ADMP","1995-09-22","5.25","5.5","5.25","89.2446","1300"
"ADMP","1995-09-25","5.25","5.5","5.25","89.2446","1500"
"ADMP","1995-09-26","5.5","5.5","5.12","89.2446","900"
"ADMP","1995-09-27","5.12","5.37","4.87","82.87","800"
"ADMP","1995-09-28","5.0","5.12","5.0","84.9949","1000"
"ADMP","1995-09-29","5.25","5.25","5.0","84.9949","300"
"ADMP","1995-10-02","5.0","5.0","5.0","84.9949","0"
"ADMP","1995-10-03","5.0","5.0","4.87","82.87","300"
"ADMP","1995-10-04","4.87","4.87","4.87","82.87","0"
"ADMP","1995-10-05","4.87","4.87","4.87","82.87","200"
"ADMP","1995-10-06","5.12","5.12","4.87","82.87","0"
"ADMP","1995-10-09","5.0","5.0","4.87","82.87","100"
"ADMP","1995-10-10","4.87","5.12","4.87","87.1198","400"
"ADMP","1995-10-11","4.87","5.12","4.87","87.1198","200"
"ADMP","1995-10-12","4.87","5.0","4.87","84.9949","100"
"ADMP","1995-10-13","5.12","5.25","4.87","89.2446","400"
"ADMP","1995-10-16","5.25","5.75","5.12","97.7441","800"
"ADMP","1995-10-17","5.5","5.62","5.5","95.6193","300"
