"symbol","date","open","high","low","close","volume"
"ADRA","2002-11-13","15.79","15.79","15.79","15.79","300"
"ADRA","2002-11-14","47.75","47.75","47.6","11.8074","27900"
"ADRA","2002-11-15","47.75","48.5","47.75","11.9929","2700"
"ADRA","2002-11-18","48.0","48.0","48.0","11.8693","300"
"ADRA","2002-11-19","48.0","48.0","48.0","11.8693","600"
"ADRA","2002-11-20","48.0","48.25","48.0","11.9311","600"
"ADRA","2002-11-21","49.0","49.0","49.0","12.1165","300"
"ADRA","2002-11-22","49.0","49.0","49.0","12.1165","0"
"ADRA","2002-11-25","49.45","49.7","49.45","12.2896","600"
"ADRA","2002-11-26","49.7","49.7","49.7","12.2896","0"
"ADRA","2002-11-27","49.7","49.7","49.7","12.2896","0"
"ADRA","2002-11-29","49.7","49.7","49.7","12.2896","0"
"ADRA","2002-12-02","50.5","50.5","50.5","12.4875","300"
"ADRA","2002-12-03","50.5","50.5","50.5","12.4875","0"
"ADRA","2002-12-04","49.5","49.5","49.25","12.1784","2400"
"ADRA","2002-12-05","49.0","49.0","48.5","11.9929","1200"
"ADRA","2002-12-06","48.01","48.75","48.0","11.8693","1500"
"ADRA","2002-12-09","51.0","51.0","48.0","11.8693","1200"
"ADRA","2002-12-10","48.05","48.05","48.05","11.8816","600"
"ADRA","2002-12-11","48.01","48.01","48.0","11.8693","2400"
"ADRA","2002-12-12","48.1","48.1","47.6","11.7704","900"
"ADRA","2002-12-13","47.55","47.55","47.35","11.7085","4800"
"ADRA","2002-12-16","47.9","48.1","47.37","11.894","5700"
"ADRA","2002-12-17","48.1","48.1","48.1","11.894","0"
"ADRA","2002-12-18","47.75","47.75","46.67","11.5404","4200"
"ADRA","2002-12-19","47.0","47.17","46.25","11.622","1800"
"ADRA","2002-12-20","46.92","46.92","46.92","11.6232","0"
"ADRA","2002-12-23","46.95","46.95","46.94","11.6282","600"
"ADRA","2002-12-24","46.94","46.94","46.94","11.6282","0"
"ADRA","2002-12-26","46.94","46.94","46.94","11.6282","0"
"ADRA","2002-12-27","46.94","46.94","46.94","11.6282","0"
"ADRA","2002-12-30","46.94","46.94","46.94","11.6282","0"
"ADRA","2002-12-31","46.85","47.0","46.85","11.6488","6000"
"ADRA","2003-01-02","47.0","48.25","47.0","11.9586","87000"
"ADRA","2003-01-03","47.9","48.1","47.9","11.9214","3600"
"ADRA","2003-01-06","48.5","49.3","48.5","12.194","10200"
"ADRA","2003-01-07","47.6","49.49","47.6","12.0453","5400"
"ADRA","2003-01-08","48.3","48.3","48.3","11.971","600"
"ADRA","2003-01-09","48.4","48.65","48.35","12.0552","55500"
"ADRA","2003-01-10","47.7","47.7","47.7","11.8222","300"
"ADRA","2003-01-13","47.7","47.7","47.7","11.8222","0"
"ADRA","2003-01-14","48.8","49.33","48.8","12.2262","1800"
"ADRA","2003-01-15","49.35","49.35","49.35","12.2312","300"
"ADRA","2003-01-16","49.85","49.85","49.85","12.3551","1200"
"ADRA","2003-01-17","49.85","49.85","49.85","12.3551","3300"
"ADRA","2003-01-21","50.4","50.4","48.99","12.142","1500"
"ADRA","2003-01-22","48.46","48.7","48.46","12.0403","3000"
