"symbol","date","open","high","low","close","volume"
"AHC","2008-01-23","20.0","20.3","19.7","20.0","6000"
"AHC","2008-01-24","0.0","0.0","0.0","20.0","0"
"AHC","2008-01-25","19.0","19.0","17.33","17.33","4500"
"AHC","2008-01-28","0.0","0.0","0.0","17.33","0"
"AHC","2008-01-29","0.0","0.0","0.0","17.33","0"
"AHC","2008-01-30","17.83","17.83","17.75","17.75","800"
"AHC","2008-01-31","17.25","17.25","17.25","17.25","200"
"AHC","2008-02-01","0.0","0.0","0.0","17.25","0"
"AHC","2008-02-04","0.0","0.0","0.0","17.25","0"
"AHC","2008-02-05","0.0","0.0","0.0","17.25","0"
"AHC","2008-02-06","0.0","0.0","0.0","17.25","0"
"AHC","2008-02-07","16.75","16.75","16.75","16.75","100"
"AHC","2008-02-08","16.0","16.53","15.75","16.4","586700"
"AHC","2008-02-11","16.35","16.35","14.4","7.0443","884900"
"AHC","2008-02-12","14.6","14.8","12.96","6.653","1269700"
"AHC","2008-02-13","13.9","14.13","13.0","6.7459","217200"
"AHC","2008-02-14","13.9","14.2","13.39","6.5551","532800"
"AHC","2008-02-15","13.3","13.45","12.8","6.4475","390500"
"AHC","2008-02-19","13.02","13.4","12.95","6.4818","78100"
"AHC","2008-02-20","12.95","13.2","12.9","6.3595","781800"
"AHC","2008-02-21","12.68","12.98","12.26","6.0904","257200"
"AHC","2008-02-22","12.44","13.14","12.4","6.379","542700"
"AHC","2008-02-25","12.85","13.94","12.85","6.6872","305200"
"AHC","2008-02-26","13.75","13.86","13.13","6.5258","425600"
"AHC","2008-02-27","13.19","13.19","12.51","6.2127","187300"
"AHC","2008-02-28","12.81","12.81","12.39","6.0708","84500"
"AHC","2008-02-29","12.81","12.81","12.15","5.9534","94400"
"AHC","2008-03-03","12.15","12.21","12.05","5.9583","141200"
"AHC","2008-03-04","12.25","12.26","11.55","5.748","95400"
"AHC","2008-03-05","11.65","11.77","11.6","5.7382","89100"
"AHC","2008-03-06","11.6","11.78","11.6","5.748","205800"
"AHC","2008-03-07","11.65","11.8","11.55","5.6991","187600"
"AHC","2008-03-10","11.77","11.78","11.26","5.6501","245100"
"AHC","2008-03-11","11.84","12.2","11.4","5.5817","159500"
"AHC","2008-03-12","11.49","11.67","11.32","5.5376","173300"
"AHC","2008-03-13","11.25","11.65","11.1","5.6306","168800"
"AHC","2008-03-14","11.5","11.55","11.02","5.5963","152700"
"AHC","2008-03-17","11.0","11.15","10.77","5.3322","84500"
"AHC","2008-03-18","11.8","11.8","10.52","5.342","152900"
"AHC","2008-03-19","11.13","11.29","10.66","5.2148","74500"
"AHC","2008-03-20","10.67","11.82","10.45","5.6306","281600"
"AHC","2008-03-24","11.1","11.87","10.99","5.4936","72000"
"AHC","2008-03-25","10.8","12.2","10.75","5.8409","70100"
"AHC","2008-03-26","11.9","11.9","11.27","5.6844","43200"
"AHC","2008-03-27","11.72","11.75","11.17","5.567","44000"
"AHC","2008-03-28","11.38","11.54","11.27","5.5523","28000"
"AHC","2008-03-31","11.5","11.71","11.3","5.5914","125900"
"AHC","2008-04-01","11.38","11.85","11.33","5.7431","39500"
"AHC","2008-04-02","11.74","11.75","11.02","5.4202","111600"
"AHC","2008-04-03","11.13","11.58","10.95","5.43","204500"
"AHC","2008-04-04","11.15","11.56","10.85","5.3909","182900"
"AHC","2008-04-07","10.96","11.5","10.81","5.3958","105700"
"AHC","2008-04-08","11.1","11.12","10.73","5.2784","63800"
"AHC","2008-04-09","10.71","10.88","10.41","5.1267","106100"
"AHC","2008-04-10","10.5","10.72","10.15","5.0925","132400"
"AHC","2008-04-11","10.35","10.45","10.24","5.0925","102500"
"AHC","2008-04-14","10.41","10.77","10.36","5.2197","57900"
"AHC","2008-04-15","10.67","11.18","10.64","5.4349","44400"
"AHC","2008-04-16","11.38","11.43","11.2","5.523","89600"
"AHC","2008-04-17","11.07","11.8","11.07","5.7137","237400"
"AHC","2008-04-18","11.97","12.03","11.4","5.8556","109800"
"AHC","2008-04-21","11.82","11.82","10.51","5.3664","218500"
"AHC","2008-04-22","11.04","11.04","10.42","5.161","167800"
"AHC","2008-04-23","10.57","10.7","9.5","4.7402","74600"
"AHC","2008-04-24","9.81","10.0","9.6","4.7647","54100"
"AHC","2008-04-25","9.8","10.18","9.73","4.9653","124100"
"AHC","2008-04-28","10.17","10.97","9.62","4.9946","93700"
"AHC","2008-04-29","10.22","10.22","9.87","4.843","56500"
"AHC","2008-04-30","9.91","9.99","9.7","4.7696","33500"
"AHC","2008-05-01","9.85","10.18","9.56","4.6962","80000"
"AHC","2008-05-02","9.6","9.6","9.09","4.4761","108700"
"AHC","2008-05-05","9.15","9.24","9.1","4.5005","46600"
"AHC","2008-05-06","9.14","9.25","9.14","4.481","84400"
