"symbol","date","open","high","low","close","volume"
"AIC","2015-03-23","24.85","24.85","24.75","23.6964","18100"
"AIC","2015-03-24","24.84","24.85","24.68","23.7921","9800"
"AIC","2015-03-25","24.85","24.85","24.7","23.6868","9000"
"AIC","2015-03-26","24.7","24.85","24.7","23.7921","21900"
"AIC","2015-03-27","24.85","25.5","24.81","23.9453","16400"
"AIC","2015-03-30","25.01","25.01","24.95","23.8879","700"
"AIC","2015-03-31","24.95","25.0","24.95","23.9358","2100"
"AIC","2015-04-01","24.98","24.98","24.79","23.773","3600"
"AIC","2015-04-02","24.96","24.98","24.96","23.9166","200"
"AIC","2015-04-06","24.94","24.94","24.92","23.8592","700"
"AIC","2015-04-07","24.85","24.89","24.0","23.7826","33000"
"AIC","2015-04-08","24.85","24.85","24.6","23.6868","17900"
"AIC","2015-04-09","24.75","24.96","24.75","23.8936","4300"
"AIC","2015-04-10","24.87","24.87","24.75","23.6964","4100"
"AIC","2015-04-13","24.75","24.76","24.69","23.6964","6000"
"AIC","2015-04-14","24.82","24.97","24.71","23.907","6700"
"AIC","2015-04-15","24.9","25.0","24.9","23.9358","5400"
"AIC","2015-04-16","25.0","25.39","25.0","24.3092","2300"
"AIC","2015-04-17","25.2","25.27","25.2","24.1943","500"
"AIC","2015-04-20","25.27","25.27","25.0","23.9358","6800"
"AIC","2015-04-21","25.14","25.14","25.05","23.9836","1000"
"AIC","2015-04-22","25.15","25.15","25.0","24.0315","4300"
"AIC","2015-04-23","25.0","25.15","24.98","24.0794","3100"
"AIC","2015-04-24","25.15","25.16","25.15","24.0794","7500"
"AIC","2015-04-27","25.19","25.19","25.05","24.0765","3400"
"AIC","2015-04-28","25.1","25.19","25.02","24.0315","4000"
"AIC","2015-04-29","25.09","25.1","25.01","24.0219","2700"
"AIC","2015-04-30","25.1","25.1","25.03","23.9645","3400"
"AIC","2015-05-01","25.1","25.1","25.03","23.9645","4000"
"AIC","2015-05-04","25.06","25.06","25.06","23.9932","1400"
"AIC","2015-05-05","25.07","25.07","25.03","24.0028","1900"
"AIC","2015-05-06","25.15","25.15","24.86","23.8017","3000"
"AIC","2015-05-07","24.86","25.0","24.86","23.9358","3800"
"AIC","2015-05-08","25.1","25.1","24.89","23.8304","2600"
"AIC","2015-05-11","24.89","24.89","24.89","23.8304","0"
"AIC","2015-05-12","24.89","24.93","24.52","23.8687","4800"
"AIC","2015-05-13","24.9","24.9","24.72","23.706","3700"
"AIC","2015-05-14","24.77","24.94","24.15","23.8783","15000"
"AIC","2015-05-15","25.0","25.08","24.81","24.0123","1000"
"AIC","2015-05-18","25.0","25.0","25.0","23.9358","600"
"AIC","2015-05-19","24.79","25.0","24.79","23.9358","2400"
"AIC","2015-05-20","25.03","25.03","25.03","23.9645","100"
"AIC","2015-05-21","25.05","25.05","24.79","23.7347","2300"
"AIC","2015-05-22","25.0","25.0","24.94","23.9358","300"
"AIC","2015-05-26","25.0","25.0","25.0","23.9358","0"
"AIC","2015-05-27","25.0","25.09","25.0","24.0219","6100"
"AIC","2015-05-28","25.0","25.13","25.0","23.9358","14800"
"AIC","2015-05-29","25.0","25.02","25.0","23.9549","800"
"AIC","2015-06-01","25.0","25.0","25.0","23.9358","400"
"AIC","2015-06-02","25.0","25.0","25.0","23.9358","900"
"AIC","2015-06-03","24.95","24.99","24.95","23.9262","900"
"AIC","2015-06-04","24.95","25.0","24.95","23.9358","1000"
"AIC","2015-06-05","24.8","24.8","24.02","23.4475","2800"
"AIC","2015-06-08","24.41","24.45","24.41","23.4092","900"
"AIC","2015-06-09","24.75","24.75","24.41","23.3709","1800"
"AIC","2015-06-10","24.41","24.41","24.41","23.3709","700"
"AIC","2015-06-11","24.41","24.41","24.41","23.3709","0"
"AIC","2015-06-12","24.41","24.41","24.41","23.3709","0"
"AIC","2015-06-15","25.01","25.01","24.93","23.8687","300"
