"symbol","date","open","high","low","close","volume"
"AIT","1984-09-07","33.25","34.0","33.25","1.486","118800"
"AIT","1984-09-10","34.0","34.0","33.62","1.4805","34600"
"AIT","1984-09-11","33.87","33.87","33.87","1.4805","0"
"AIT","1984-09-12","33.87","34.12","33.87","1.4805","40600"
"AIT","1984-09-13","33.87","33.87","33.62","1.475","22500"
"AIT","1984-09-14","33.75","34.0","33.5","1.486","89200"
"AIT","1984-09-17","34.0","34.0","33.5","1.4641","125700"
"AIT","1984-09-18","33.5","33.87","33.37","1.4805","947800"
"AIT","1984-09-19","33.75","33.75","33.5","1.4641","9000"
"AIT","1984-09-20","33.5","33.87","33.5","1.4641","20200"
"AIT","1984-09-21","33.75","33.75","33.75","1.475","4200"
"AIT","1984-09-24","33.75","33.75","33.37","1.4587","22500"
"AIT","1984-09-25","33.37","33.5","33.37","1.4587","18100"
"AIT","1984-09-26","33.62","33.75","33.62","1.475","10900"
"AIT","1984-09-27","34.0","34.37","34.0","1.5024","24400"
"AIT","1984-09-28","34.37","34.37","34.37","1.5024","4200"
"AIT","1984-10-01","34.0","34.0","34.0","1.486","10900"
"AIT","1984-10-02","33.75","33.75","33.5","1.4641","225000"
"AIT","1984-10-03","33.5","33.62","33.5","1.4641","109300"
"AIT","1984-10-04","33.5","33.75","33.37","1.475","111300"
"AIT","1984-10-05","34.0","34.0","34.0","1.486","100"
"AIT","1984-10-08","34.0","34.0","34.0","1.486","100"
"AIT","1984-10-09","34.0","34.0","34.0","1.486","0"
"AIT","1984-10-10","34.0","34.37","34.0","1.486","9000"
"AIT","1984-10-11","33.75","33.75","33.5","1.4641","9000"
"AIT","1984-10-12","33.5","33.5","33.5","1.4641","100"
"AIT","1984-10-15","33.5","33.5","33.5","1.4641","1900"
"AIT","1984-10-16","33.5","33.75","33.5","1.475","1900"
"AIT","1984-10-17","33.87","34.0","33.87","1.486","16300"
"AIT","1984-10-18","34.0","34.0","34.0","1.486","4200"
"AIT","1984-10-19","34.0","34.0","34.0","1.486","54600"
"AIT","1984-10-22","34.0","34.37","34.0","1.5024","12100"
"AIT","1984-10-23","34.0","34.0","34.0","1.486","58900"
"AIT","1984-10-24","34.0","34.37","34.0","1.5024","7300"
"AIT","1984-10-25","34.37","34.37","34.0","1.5024","34600"
"AIT","1984-10-26","34.0","34.0","34.0","1.486","4200"
"AIT","1984-10-29","34.0","34.5","34.0","1.5078","38400"
"AIT","1984-10-30","34.5","34.5","34.12","1.5078","72900"
"AIT","1984-10-31","34.5","34.75","34.5","1.5078","12100"
"AIT","1984-11-01","34.62","35.0","34.62","1.5297","102100"
