"symbol","date","open","high","low","close","volume"
"ALKS","1991-07-16","10.25","11.25","10.25","5.5","1869200"
"ALKS","1991-07-17","11.25","11.25","10.75","5.375","104800"
"ALKS","1991-07-18","10.75","11.25","10.75","5.5","266200"
"ALKS","1991-07-19","11.25","11.25","10.5","5.375","224800"
"ALKS","1991-07-22","11.0","11.0","10.38","5.375","395200"
"ALKS","1991-07-23","10.5","10.5","9.75","5.0","87800"
"ALKS","1991-07-24","9.75","10.0","9.75","5.0","117000"
"ALKS","1991-07-25","10.0","10.25","10.0","5.125","11000"
"ALKS","1991-07-26","10.25","10.5","10.25","5.1875","7000"
"ALKS","1991-07-29","10.5","10.5","9.88","4.9375","43400"
"ALKS","1991-07-30","10.25","10.25","9.75","4.875","13000"
"ALKS","1991-07-31","9.75","10.0","9.12","4.625","493000"
"ALKS","1991-08-01","9.25","9.75","9.12","4.875","219000"
"ALKS","1991-08-02","9.25","9.25","9.25","4.625","30200"
"ALKS","1991-08-05","9.75","9.75","9.5","4.75","24000"
"ALKS","1991-08-06","9.5","9.75","9.25","4.625","402800"
"ALKS","1991-08-07","9.75","9.75","9.75","4.875","1000"
"ALKS","1991-08-08","9.75","9.75","9.75","4.875","800"
"ALKS","1991-08-09","9.5","9.5","9.25","4.625","29200"
"ALKS","1991-08-12","9.25","9.25","9.25","4.625","16000"
"ALKS","1991-08-13","9.5","9.75","9.5","4.875","4400"
"ALKS","1991-08-14","9.38","9.38","9.38","4.6875","2000"
"ALKS","1991-08-15","9.75","9.75","9.25","4.8125","286000"
"ALKS","1991-08-16","9.62","9.62","9.62","4.8125","2000"
"ALKS","1991-08-19","9.0","9.25","8.75","4.625","41800"
"ALKS","1991-08-20","9.0","9.0","8.5","4.25","58200"
"ALKS","1991-08-21","9.0","10.0","8.75","5.0","285400"
"ALKS","1991-08-22","10.0","11.5","10.0","5.5","323600"
"ALKS","1991-08-23","11.5","13.25","11.25","6.625","369800"
"ALKS","1991-08-26","13.25","15.0","12.5","7.25","303400"
"ALKS","1991-08-27","14.75","16.0","14.5","7.5","318000"
"ALKS","1991-08-28","14.75","15.75","14.5","7.5","188800"
"ALKS","1991-08-29","15.75","15.75","15.0","7.625","150000"
"ALKS","1991-08-30","15.25","15.25","14.75","7.625","90200"
"ALKS","1991-09-03","15.5","15.5","14.0","7.25","94200"
"ALKS","1991-09-04","15.25","15.75","14.38","7.375","202800"
"ALKS","1991-09-05","15.25","15.25","14.5","7.625","139600"
"ALKS","1991-09-06","15.25","15.5","14.75","7.5625","60200"
"ALKS","1991-09-09","15.5","15.5","15.25","7.625","56600"
"ALKS","1991-09-10","15.5","15.5","14.88","7.5","94600"
"ALKS","1991-09-11","15.25","15.25","14.75","7.5","72400"
"ALKS","1991-09-12","15.25","18.5","14.75","9.25","370400"
"ALKS","1991-09-13","19.5","20.0","17.75","9.25","258600"
"ALKS","1991-09-16","18.5","18.5","17.5","9.125","119200"
"ALKS","1991-09-17","18.25","18.25","17.5","9.0","61800"
"ALKS","1991-09-18","17.5","18.0","16.75","8.75","207600"
"ALKS","1991-09-19","17.75","17.75","17.0","8.5","84200"
"ALKS","1991-09-20","18.0","18.0","17.25","9.0","90400"
"ALKS","1991-09-23","17.25","18.0","16.25","8.5","83800"
"ALKS","1991-09-24","17.0","17.0","16.25","8.5","35000"
"ALKS","1991-09-25","17.25","17.5","16.5","8.75","52400"
"ALKS","1991-09-26","17.25","17.5","16.75","8.5","36600"
"ALKS","1991-09-27","16.5","17.25","16.5","8.625","7800"
"ALKS","1991-09-30","16.5","17.12","16.5","8.5","15000"
"ALKS","1991-10-01","17.25","17.25","16.75","8.375","7400"
"ALKS","1991-10-02","16.75","17.25","16.75","8.5","7200"
"ALKS","1991-10-03","17.25","17.25","16.75","8.625","78000"
"ALKS","1991-10-04","16.88","17.25","16.88","8.5","8400"
"ALKS","1991-10-07","16.75","17.5","16.75","8.5","765600"
"ALKS","1991-10-08","17.5","17.5","16.75","8.375","30600"
"ALKS","1991-10-09","16.75","17.5","16.75","8.375","13400"
"ALKS","1991-10-10","17.5","17.5","14.75","8.125","139200"
"ALKS","1991-10-11","16.75","16.75","16.0","8.125","7200"
"ALKS","1991-10-14","16.0","16.25","15.5","7.9375","94400"
"ALKS","1991-10-15","15.5","16.25","15.5","8.125","38800"
"ALKS","1991-10-16","16.25","16.5","15.75","8.25","25600"
"ALKS","1991-10-17","16.5","18.5","15.75","9.25","148000"
"ALKS","1991-10-18","18.5","19.5","17.75","9.625","209200"
"ALKS","1991-10-21","18.5","19.25","18.0","9.25","90800"
"ALKS","1991-10-22","18.0","18.75","18.0","9.375","72600"
"ALKS","1991-10-23","18.75","20.0","18.0","9.75","164000"
"ALKS","1991-10-24","19.5","19.75","17.5","8.8125","399600"
