"symbol","date","open","high","low","close","volume"
"ALL","1993-06-03","29.75","30.0","29.0","8.5169","56603000"
"ALL","1993-06-04","29.12","29.38","28.62","8.2995","12644400"
"ALL","1993-06-07","28.25","28.5","28.0","8.1545","10043800"
"ALL","1993-06-08","28.12","28.25","27.62","8.0458","6974600"
"ALL","1993-06-09","27.88","28.5","27.88","8.1908","4043200"
"ALL","1993-06-10","28.12","28.25","27.88","8.1183","2605400"
"ALL","1993-06-11","28.0","28.38","28.0","8.1183","2641600"
"ALL","1993-06-14","28.12","28.25","27.75","8.0458","1806200"
"ALL","1993-06-15","28.0","28.0","27.75","8.082","2257600"
"ALL","1993-06-16","27.88","28.0","27.75","8.1183","2391600"
"ALL","1993-06-17","28.0","28.25","27.88","8.1183","2126800"
"ALL","1993-06-18","28.0","28.0","27.62","8.0096","2128600"
"ALL","1993-06-21","27.62","27.62","27.12","7.9371","2101000"
"ALL","1993-06-22","27.38","27.75","27.38","8.0458","1593600"
"ALL","1993-06-23","27.75","28.0","27.62","8.0096","1948000"
"ALL","1993-06-24","27.62","28.12","27.25","8.1545","3305200"
"ALL","1993-06-25","28.5","28.62","28.12","8.2633","2468000"
"ALL","1993-06-28","28.38","29.0","28.38","8.4082","2522600"
"ALL","1993-06-29","28.88","29.0","28.25","8.3357","1190800"
"ALL","1993-06-30","29.0","29.25","28.88","8.4082","2553800"
"ALL","1993-07-01","29.38","29.5","28.62","8.5532","2857800"
"ALL","1993-07-02","28.88","28.88","28.62","8.3357","1077200"
"ALL","1993-07-06","28.88","29.12","28.62","8.2995","1237600"
"ALL","1993-07-07","28.5","28.75","28.38","8.2633","1667200"
"ALL","1993-07-08","28.62","29.0","28.5","8.372","1588600"
"ALL","1993-07-09","29.12","29.25","28.5","8.2633","1731200"
"ALL","1993-07-12","28.75","28.75","27.88","8.1908","1738600"
"ALL","1993-07-13","28.38","28.88","28.38","8.2995","1305000"
"ALL","1993-07-14","28.62","29.25","28.62","8.4807","1805600"
"ALL","1993-07-15","29.25","29.38","29.12","8.5169","1235400"
"ALL","1993-07-16","29.75","30.12","29.5","8.6619","2590200"
"ALL","1993-07-19","30.0","30.38","29.88","8.8069","2590000"
"ALL","1993-07-20","31.5","31.5","30.62","8.8794","3977600"
"ALL","1993-07-21","30.88","30.88","29.88","8.6619","1779000"
"ALL","1993-07-22","30.0","30.0","29.5","8.5894","1095200"
"ALL","1993-07-23","29.62","30.12","29.62","8.6619","1060400"
"ALL","1993-07-26","30.0","30.5","29.88","8.8431","990000"
"ALL","1993-07-27","30.5","31.12","30.5","8.8431","942200"
"ALL","1993-07-28","30.5","30.62","30.25","8.8069","346200"
"ALL","1993-07-29","30.12","30.75","30.0","8.8431","1070400"
"ALL","1993-07-30","30.5","31.12","30.5","9.0243","1271200"
"ALL","1993-08-02","31.12","31.38","30.88","8.9881","1062200"
"ALL","1993-08-03","31.12","31.62","31.12","9.0968","1316000"
"ALL","1993-08-04","31.5","31.75","31.0","9.0606","752200"
"ALL","1993-08-05","31.38","31.38","30.5","8.8431","910600"
"ALL","1993-08-06","30.88","31.25","30.88","8.9881","718200"
"ALL","1993-08-09","31.0","31.12","30.75","8.9881","492000"
"ALL","1993-08-10","31.0","31.25","30.62","8.8794","1608600"
"ALL","1993-08-11","30.88","30.88","30.38","8.8431","337400"
"ALL","1993-08-12","30.5","30.5","30.0","8.7706","496200"
"ALL","1993-08-13","30.38","30.38","30.0","8.6982","375200"
"ALL","1993-08-16","29.88","30.12","29.62","8.6257","1067800"
"ALL","1993-08-17","29.75","30.25","29.75","8.6982","1069400"
"ALL","1993-08-18","30.12","30.38","30.12","8.8069","809800"
"ALL","1993-08-19","30.38","31.25","30.38","9.0606","861200"
"ALL","1993-08-20","31.12","32.0","31.12","9.278","2957000"
"ALL","1993-08-23","32.12","32.12","31.75","9.278","853000"
"ALL","1993-08-24","31.75","32.12","31.75","9.2418","759800"
"ALL","1993-08-25","31.75","32.0","31.75","9.2056","951200"
"ALL","1993-08-26","31.88","32.0","31.5","9.278","721200"
"ALL","1993-08-27","32.0","32.12","31.88","9.278","316600"
"ALL","1993-08-30","31.75","31.88","31.12","9.0606","945800"
"ALL","1993-08-31","31.0","31.25","30.88","8.9881","590000"
"ALL","1993-09-01","31.38","31.88","31.38","9.2418","355400"
"ALL","1993-09-02","31.75","32.0","31.5","9.1693","682200"
"ALL","1993-09-03","31.62","32.12","31.62","9.2418","550400"
"ALL","1993-09-07","32.12","32.75","32.0","9.3505","873000"
"ALL","1993-09-08","32.0","32.0","31.62","9.2056","1367800"
"ALL","1993-09-09","31.5","32.12","31.5","9.2945","625400"
"ALL","1993-09-10","32.0","32.25","32.0","9.3674","664600"
"ALL","1993-09-13","32.12","32.25","31.88","9.3309","344600"
"ALL","1993-09-14","32.12","32.75","32.0","9.5496","453200"
"ALL","1993-09-15","32.25","32.25","31.88","9.3674","599200"
"ALL","1993-09-16","32.0","32.25","31.75","9.4038","403400"
"ALL","1993-09-17","32.0","32.25","31.75","9.4038","501600"
