"symbol","date","open","high","low","close","volume"
"ALV","1997-04-28","36.5","36.5","35.12","23.4747","200500"
"ALV","1997-04-29","35.5","35.62","35.12","23.3917","150700"
"ALV","1997-04-30","35.12","35.5","33.88","23.5576","1056500"
"ALV","1997-05-01","35.5","35.88","35.25","23.5576","379000"
"ALV","1997-05-02","35.62","35.62","33.38","22.8111","513500"
"ALV","1997-05-05","35.38","36.0","34.75","23.3088","1545300"
"ALV","1997-05-06","35.62","35.88","35.38","23.7235","1160200"
"ALV","1997-05-07","36.75","36.75","35.5","23.5576","1550900"
"ALV","1997-05-08","35.5","36.5","35.38","24.1383","976300"
"ALV","1997-05-09","36.62","36.81","35.88","24.3871","980700"
"ALV","1997-05-12","37.12","38.5","37.12","25.4655","1288300"
"ALV","1997-05-13","39.0","39.17","38.25","25.4655","1688100"
"ALV","1997-05-14","38.75","39.0","38.25","25.8802","1241800"
"ALV","1997-05-15","39.12","40.12","39.12","26.4609","1410500"
"ALV","1997-05-16","39.38","39.38","38.5","25.7973","301200"
"ALV","1997-05-19","38.25","38.5","37.5","25.3825","422500"
"ALV","1997-05-20","38.38","39.25","38.25","26.0461","532100"
"ALV","1997-05-21","39.75","39.88","39.5","26.295","248300"
"ALV","1997-05-22","39.88","39.88","38.62","25.7143","467800"
"ALV","1997-05-23","39.5","39.75","39.0","26.212","1008800"
"ALV","1997-05-27","39.5","39.62","38.88","25.9632","813200"
"ALV","1997-05-28","39.12","39.12","38.5","25.7143","946500"
"ALV","1997-05-29","38.62","38.62","37.75","25.2996","775400"
"ALV","1997-05-30","37.5","37.75","37.0","24.7189","582300"
"ALV","1997-06-02","37.75","37.75","37.0","24.553","322400"
"ALV","1997-06-03","38.25","39.25","37.88","25.9632","630300"
"ALV","1997-06-04","39.62","40.25","39.62","26.5438","846800"
"ALV","1997-06-05","40.0","40.0","39.12","26.0461","584900"
"ALV","1997-06-06","38.88","40.12","38.75","26.4609","629700"
"ALV","1997-06-09","39.75","39.88","39.25","26.1291","269100"
"ALV","1997-06-10","39.62","39.75","39.12","26.212","635700"
"ALV","1997-06-11","39.88","39.88","38.88","26.0461","508200"
"ALV","1997-06-12","39.38","39.38","38.62","25.9632","465100"
"ALV","1997-06-13","39.5","39.88","39.25","26.1291","438800"
"ALV","1997-06-16","38.88","38.88","37.88","25.2996","217400"
"ALV","1997-06-17","37.88","38.12","37.75","25.2166","373600"
"ALV","1997-06-18","37.75","38.12","37.38","24.8019","240900"
"ALV","1997-06-19","38.0","38.25","37.62","25.1337","388500"
"ALV","1997-06-20","37.75","37.75","37.25","24.9678","298000"
"ALV","1997-06-23","38.0","38.0","37.5","24.9678","330000"
"ALV","1997-06-24","37.88","37.94","37.38","25.0922","638900"
"ALV","1997-06-25","38.62","38.75","37.56","25.0507","1003600"
"ALV","1997-06-26","38.44","38.62","37.94","25.424","916600"
"ALV","1997-06-27","38.44","38.56","37.75","25.2996","890000"
"ALV","1997-06-30","38.5","39.38","38.25","25.9632","1082300"
"ALV","1997-07-01","39.12","39.5","39.12","26.212","268600"
"ALV","1997-07-02","39.31","39.5","39.12","26.212","226400"
"ALV","1997-07-03","39.44","39.5","39.12","26.0461","71800"
"ALV","1997-07-07","39.62","39.75","38.62","26.212","251700"
"ALV","1997-07-08","39.25","39.25","38.5","25.9217","151700"
"ALV","1997-07-09","39.38","39.38","38.5","25.6728","220800"
"ALV","1997-07-10","38.75","38.88","38.25","25.5899","167300"
"ALV","1997-07-11","38.5","38.56","37.75","25.424","232000"
"ALV","1997-07-14","38.19","38.25","37.38","25.0092","157100"
"ALV","1997-07-15","37.69","37.69","36.88","24.6775","261000"
"ALV","1997-07-16","37.19","37.69","37.12","25.0092","171300"
"ALV","1997-07-17","37.5","37.62","37.19","24.7604","138300"
"ALV","1997-07-18","37.31","37.44","36.5","24.553","86600"
"ALV","1997-07-21","37.31","37.5","37.19","24.8848","137800"
"ALV","1997-07-22","37.38","37.56","37.06","24.9263","312000"
"ALV","1997-07-23","37.44","37.55","36.94","24.8019","261800"
"ALV","1997-07-24","37.19","37.2","36.75","24.4701","216500"
"ALV","1997-07-25","36.94","37.0","36.69","24.5116","207300"
"ALV","1997-07-28","37.44","37.62","35.25","24.2212","438500"
"ALV","1997-07-29","36.0","36.0","35.31","23.6406","695300"
"ALV","1997-07-30","35.69","35.77","35.44","23.6406","456500"
"ALV","1997-07-31","35.25","35.31","34.75","23.1014","162200"
"ALV","1997-08-01","35.0","35.38","34.75","23.4747","247100"
"ALV","1997-08-04","35.19","35.56","35.12","23.5576","102400"
"ALV","1997-08-05","35.56","36.06","35.38","23.8805","271400"
"ALV","1997-08-06","36.25","36.44","36.19","24.2133","517700"
"ALV","1997-08-07","36.56","36.56","36.38","24.2965","101300"
"ALV","1997-08-08","36.31","36.56","36.0","23.9637","127500"
"ALV","1997-08-11","36.12","36.12","35.19","23.8805","153700"
"ALV","1997-08-12","35.88","35.94","35.5","23.6309","145900"
"ALV","1997-08-13","36.12","36.25","35.44","23.7141","323400"
"ALV","1997-08-14","35.56","35.75","35.5","23.7557","106900"
"ALV","1997-08-15","35.88","36.06","35.75","23.8389","66200"
"ALV","1997-08-18","35.88","36.5","35.38","24.2965","146100"
"ALV","1997-08-19","37.88","38.5","37.88","25.6278","130600"
"ALV","1997-08-20","38.56","38.94","38.19","25.8775","172800"
"ALV","1997-08-21","38.25","38.31","37.75","25.1702","88900"
"ALV","1997-08-22","37.69","38.25","37.69","25.3782","103700"
"ALV","1997-08-25","37.94","38.12","37.75","25.295","56800"
"ALV","1997-08-26","38.0","38.25","37.88","25.3366","57700"
"ALV","1997-08-27","38.62","39.12","38.44","25.9607","143300"
"ALV","1997-08-28","39.12","39.12","38.56","25.9191","362500"
"ALV","1997-08-29","39.06","39.25","38.94","26.0023","71300"
"ALV","1997-09-02","39.0","39.75","38.94","26.4599","265900"
"ALV","1997-09-03","39.69","39.75","39.44","26.2935","112800"
"ALV","1997-09-04","39.38","39.38","39.25","26.1687","109800"
"ALV","1997-09-05","39.44","39.5","39.38","26.2103","79500"
"ALV","1997-09-08","39.94","40.19","39.69","26.7511","200600"
"ALV","1997-09-09","40.0","40.81","39.94","27.1672","219400"
"ALV","1997-09-10","40.75","40.75","40.12","26.7927","100200"
"ALV","1997-09-11","40.19","40.88","40.19","26.9591","163000"
"ALV","1997-09-12","40.81","41.75","40.69","27.7912","231500"
"ALV","1997-09-15","41.75","42.19","41.5","27.916","120600"
"ALV","1997-09-16","41.94","42.56","41.94","28.3321","215800"
"ALV","1997-09-17","42.94","43.56","42.94","28.9561","363500"
"ALV","1997-09-18","43.62","44.75","43.62","29.4554","248900"
"ALV","1997-09-19","44.75","45.5","44.75","30.0378","125100"
"ALV","1997-09-22","45.19","45.25","44.06","29.5802","131800"
"ALV","1997-09-23","43.88","44.19","43.88","29.3306","66400"
"ALV","1997-09-24","44.25","44.56","44.25","29.497","131300"
"ALV","1997-09-25","44.56","44.75","44.31","29.6218","77900"
"ALV","1997-09-26","43.69","43.69","42.56","28.5817","146000"
"ALV","1997-09-29","42.12","42.94","42.12","28.5817","28300"
"ALV","1997-09-30","42.31","42.56","42.25","28.2905","177900"
"ALV","1997-10-01","42.94","43.25","42.75","28.7481","211900"
"ALV","1997-10-02","43.06","43.06","42.0","28.124","146000"
"ALV","1997-10-03","42.75","43.12","42.75","28.6233","104500"
"ALV","1997-10-06","42.62","43.12","42.62","28.3737","43600"
"ALV","1997-10-07","42.62","42.75","42.25","28.3737","80400"
"ALV","1997-10-08","42.69","42.69","42.06","28.3321","54200"
"ALV","1997-10-09","42.44","42.44","42.12","28.0824","111800"
"ALV","1997-10-10","42.12","42.19","41.62","27.7912","123900"
"ALV","1997-10-13","41.88","42.44","41.88","28.0408","29200"
"ALV","1997-10-14","42.12","42.44","41.62","28.0824","100400"
"ALV","1997-10-15","42.19","42.5","42.12","28.2489","47400"
"ALV","1997-10-16","42.75","43.38","42.5","28.3737","158900"
"ALV","1997-10-17","42.25","42.25","41.56","27.7912","51800"
"ALV","1997-10-20","41.75","42.0","41.69","27.916","30200"
"ALV","1997-10-21","41.69","42.0","41.5","27.9576","40300"
"ALV","1997-10-22","40.62","40.62","40.19","27.0424","84900"
"ALV","1997-10-23","39.56","39.88","39.5","26.3767","50900"
"ALV","1997-10-24","39.5","39.56","38.75","25.8775","99800"
"ALV","1997-10-27","38.88","39.0","37.38","24.879","96200"
"ALV","1997-10-28","36.44","38.19","36.38","25.4198","90600"
"ALV","1997-10-29","39.12","40.0","39.06","26.2935","123900"
"ALV","1997-10-30","39.62","39.75","39.38","26.4183","53700"
"ALV","1997-10-31","39.94","39.94","39.38","26.2519","60900"
"ALV","1997-11-03","40.88","40.88","40.25","27.2088","85500"
"ALV","1997-11-04","40.5","40.56","40.25","26.9902","38100"
"ALV","1997-11-05","40.25","40.31","40.06","26.9067","107200"
"ALV","1997-11-06","40.12","40.44","40.06","26.9067","53500"
"ALV","1997-11-07","39.75","40.0","39.62","26.4896","81700"
"ALV","1997-11-10","39.81","40.19","39.81","26.6564","44600"
"ALV","1997-11-11","40.0","40.31","40.0","26.8233","29400"
"ALV","1997-11-12","40.06","40.38","39.75","26.573","192500"
"ALV","1997-11-13","39.81","40.12","39.81","26.6147","163200"
"ALV","1997-11-14","39.81","40.38","39.62","26.6147","94200"
"ALV","1997-11-17","39.94","40.12","39.81","26.6982","34200"
"ALV","1997-11-18","39.75","39.88","39.5","26.4062","66700"
"ALV","1997-11-19","39.62","39.81","39.44","26.5313","42800"
"ALV","1997-11-20","39.75","40.5","39.75","27.0319","186200"
"ALV","1997-11-21","40.25","40.75","40.06","27.1988","62900"
"ALV","1997-11-24","39.94","40.0","39.06","26.1141","91800"
"ALV","1997-11-25","39.06","39.06","38.69","25.9473","45500"
"ALV","1997-11-26","38.0","38.25","37.25","24.8627","62600"
"ALV","1997-11-28","38.0","38.44","37.88","25.2798","51500"
"ALV","1997-12-01","38.0","38.44","37.94","25.5718","101200"
"ALV","1997-12-02","38.31","38.31","37.75","25.1964","43700"
"ALV","1997-12-03","37.62","37.75","36.25","24.8209","137900"
"ALV","1997-12-04","37.62","38.5","37.56","25.3633","43600"
"ALV","1997-12-05","37.5","37.62","37.06","25.0295","48600"
"ALV","1997-12-08","37.44","37.5","37.0","24.6958","43400"
"ALV","1997-12-09","37.25","37.38","36.5","24.6958","119800"
"ALV","1997-12-10","36.69","36.94","36.38","24.3621","95100"
"ALV","1997-12-11","36.38","36.5","36.12","24.2786","173600"
"ALV","1997-12-12","36.19","36.31","35.62","23.7781","96400"
"ALV","1997-12-15","35.62","35.75","35.19","23.486","83100"
"ALV","1997-12-16","35.38","36.0","35.38","23.7781","48900"
"ALV","1997-12-17","36.44","37.0","36.31","24.6958","85600"
"ALV","1997-12-18","36.25","36.25","34.44","23.4026","114800"
"ALV","1997-12-19","33.25","33.25","32.0","21.8174","117400"
"ALV","1997-12-22","32.75","32.81","31.25","20.8579","111700"
"ALV","1997-12-23","32.06","32.25","30.88","20.6076","99700"
"ALV","1997-12-24","31.62","31.62","30.5","20.4408","17600"
"ALV","1997-12-26","31.62","31.62","30.62","20.6911","90800"
"ALV","1997-12-29","31.31","32.0","31.19","21.3585","93600"
"ALV","1997-12-30","32.56","32.69","32.0","21.734","56200"
"ALV","1997-12-31","32.5","33.0","32.44","21.8591","97600"
"ALV","1998-01-02","32.75","32.88","32.12","21.8591","65800"
"ALV","1998-01-05","33.0","33.38","32.12","21.6923","105000"
"ALV","1998-01-06","33.0","33.0","32.12","21.5254","61700"
"ALV","1998-01-07","33.19","33.38","33.12","22.1511","64200"
"ALV","1998-01-08","32.69","32.94","32.62","21.8591","79600"
"ALV","1998-01-09","33.0","33.38","32.88","21.9843","97300"
"ALV","1998-01-12","32.38","32.75","32.31","21.734","56200"
"ALV","1998-01-13","32.62","32.75","31.69","21.442","39600"
"ALV","1998-01-14","32.12","32.12","31.69","21.4002","24400"
"ALV","1998-01-15","31.88","32.19","31.81","21.2334","26500"
"ALV","1998-01-16","32.06","32.44","32.0","21.3585","23000"
"ALV","1998-01-20","32.44","32.56","31.88","21.734","85900"
"ALV","1998-01-21","32.06","32.19","31.56","21.2334","26500"
"ALV","1998-01-22","31.81","31.88","30.88","21.1082","123800"
"ALV","1998-01-23","31.69","31.75","31.44","21.15","57200"
"ALV","1998-01-26","31.69","31.75","31.19","20.9831","69300"
"ALV","1998-01-27","31.56","32.5","31.56","21.6923","69400"
"ALV","1998-01-28","33.56","33.81","33.25","22.4849","57200"
"ALV","1998-01-29","33.56","34.25","33.44","22.3597","37900"
"ALV","1998-01-30","34.38","34.5","33.69","22.4849","56500"
"ALV","1998-02-02","33.94","34.25","33.56","22.4014","121000"
"ALV","1998-02-03","31.56","31.62","30.81","20.8428","204000"
"ALV","1998-02-04","30.69","31.5","30.5","21.0939","137900"
"ALV","1998-02-05","31.0","31.12","30.62","20.508","61600"
"ALV","1998-02-06","30.12","30.38","29.88","20.1313","170000"
"ALV","1998-02-09","29.94","30.44","29.81","20.0058","64000"
"ALV","1998-02-10","29.75","30.12","29.56","20.1313","76100"
"ALV","1998-02-11","29.56","29.62","29.31","19.7546","30700"
"ALV","1998-02-12","28.69","28.75","28.12","19.085","149400"
"ALV","1998-02-13","28.25","28.44","27.75","18.8339","345500"
"ALV","1998-02-17","29.81","29.94","29.56","19.8383","66100"
"ALV","1998-02-18","29.5","29.5","29.25","19.6709","52200"
"ALV","1998-02-19","29.38","29.38","28.88","19.4198","58400"
"ALV","1998-02-20","29.19","29.81","29.0","19.8802","59100"
"ALV","1998-02-23","30.0","30.38","29.75","20.2987","126200"
"ALV","1998-02-24","29.88","30.25","29.81","20.0058","110400"
"ALV","1998-02-25","29.88","30.06","29.88","20.0476","68200"
"ALV","1998-02-26","29.81","30.12","29.75","20.1313","126200"
"ALV","1998-02-27","30.25","30.88","30.12","20.6754","72200"
"ALV","1998-03-02","31.19","31.5","30.62","20.8428","50000"
"ALV","1998-03-03","31.12","31.19","30.75","20.8847","143600"
"ALV","1998-03-04","31.0","31.06","30.81","20.6336","95700"
"ALV","1998-03-05","30.56","30.81","30.38","20.3406","38700"
"ALV","1998-03-06","30.38","30.75","30.31","20.5498","80900"
"ALV","1998-03-09","30.62","31.0","30.56","20.5498","15000"
"ALV","1998-03-10","31.19","31.56","31.12","21.1358","69400"
"ALV","1998-03-11","31.19","31.31","30.25","20.7591","84300"
"ALV","1998-03-12","31.25","31.25","30.62","20.801","38900"
"ALV","1998-03-13","31.0","31.12","30.81","20.7591","66200"
"ALV","1998-03-16","30.88","31.12","30.88","20.8428","62800"
"ALV","1998-03-17","30.88","30.88","30.31","20.3824","80000"
"ALV","1998-03-18","30.06","30.19","29.88","20.0476","37400"
"ALV","1998-03-19","29.94","30.19","29.94","20.1313","70800"
"ALV","1998-03-20","30.0","30.5","30.0","20.4243","43300"
"ALV","1998-03-23","30.38","30.44","30.06","20.3824","38700"
"ALV","1998-03-24","31.0","31.25","30.94","20.8847","53400"
"ALV","1998-03-25","32.0","32.19","31.62","21.1776","96300"
"ALV","1998-03-26","31.94","32.06","31.88","21.4288","31300"
"ALV","1998-03-27","32.62","32.62","31.88","21.5125","48400"
"ALV","1998-03-30","31.81","31.81","31.38","21.0521","20600"
"ALV","1998-03-31","31.31","31.62","31.0","20.801","47400"
"ALV","1998-04-01","31.19","31.44","31.06","20.9684","29200"
"ALV","1998-04-02","30.94","31.25","30.62","20.801","15300"
"ALV","1998-04-03","31.0","31.0","30.69","20.5917","12900"
"ALV","1998-04-06","31.25","31.38","31.12","20.9265","33500"
"ALV","1998-04-07","30.75","30.75","30.12","20.4661","27200"
"ALV","1998-04-08","30.19","30.69","29.94","20.3406","87800"
"ALV","1998-04-09","31.5","32.38","31.38","21.6799","56200"
"ALV","1998-04-13","31.88","32.38","31.88","21.6799","48100"
"ALV","1998-04-14","33.31","34.75","33.25","23.2703","105000"
"ALV","1998-04-15","34.12","34.88","33.94","23.354","49000"
"ALV","1998-04-16","34.19","34.19","33.25","22.7262","49100"
