"symbol","date","open","high","low","close","volume"
"AMAT","1984-09-07","34.75","35.0","34.5","0.218","3481600"
"AMAT","1984-09-10","34.63","35.0","34.5","0.2172","7257600"
"AMAT","1984-09-11","35.12","35.5","35.12","0.2211","12249600"
"AMAT","1984-09-12","35.5","35.5","35.5","0.2235","21196800"
"AMAT","1984-09-13","35.75","36.0","35.75","0.2251","3443200"
"AMAT","1984-09-14","35.75","36.0","35.12","0.2211","870400"
"AMAT","1984-09-17","35.12","35.12","35.0","0.2203","883200"
"AMAT","1984-09-18","35.0","35.5","34.75","0.2188","11673600"
"AMAT","1984-09-19","34.63","34.63","32.0","0.2015","2969600"
"AMAT","1984-09-20","32.0","32.25","31.75","0.1999","12864000"
"AMAT","1984-09-21","31.5","31.5","31.0","0.1952","3174400"
"AMAT","1984-09-24","31.0","31.0","30.0","0.1889","1894400"
"AMAT","1984-09-25","30.0","30.0","29.13","0.1834","2342400"
"AMAT","1984-09-26","29.13","29.13","29.13","0.1834","6886400"
"AMAT","1984-09-27","29.13","29.5","29.13","0.1834","1715200"
"AMAT","1984-09-28","29.13","29.13","29.0","0.1834","1036800"
"AMAT","1984-10-01","29.13","29.13","27.75","0.1747","2547200"
"AMAT","1984-10-02","27.75","28.0","27.0","0.17","2572800"
"AMAT","1984-10-03","27.12","27.5","27.12","0.1708","7756800"
"AMAT","1984-10-04","27.5","28.0","27.5","0.1731","3904000"
"AMAT","1984-10-05","27.5","27.75","27.12","0.1731","230400"
"AMAT","1984-10-08","27.5","27.75","27.0","0.17","524800"
"AMAT","1984-10-09","27.0","27.62","27.0","0.17","2316800"
"AMAT","1984-10-10","27.0","27.12","26.75","0.1684","20736000"
"AMAT","1984-10-11","26.75","26.75","26.75","0.1684","4032000"
"AMAT","1984-10-12","27.0","27.75","27.0","0.1747","5811200"
"AMAT","1984-10-15","27.75","27.75","27.75","0.1747","2201600"
"AMAT","1984-10-16","27.75","27.75","27.5","0.1731","627200"
"AMAT","1984-10-17","27.5","27.5","27.5","0.1731","768000"
"AMAT","1984-10-18","27.75","28.0","27.75","0.1747","6348800"
"AMAT","1984-10-19","28.0","29.0","28.0","0.1794","14297600"
"AMAT","1984-10-22","29.5","29.5","29.5","0.1857","19264000"
"AMAT","1984-10-23","29.0","29.0","29.0","0.1826","2227200"
"AMAT","1984-10-24","28.88","28.88","27.75","0.1747","2291200"
"AMAT","1984-10-25","27.5","27.5","24.75","0.1558","9241600"
"AMAT","1984-10-26","24.75","25.0","22.87","0.1448","16806400"
"AMAT","1984-10-29","23.12","23.12","23.12","0.1456","6284800"
"AMAT","1984-10-30","24.25","24.25","24.25","0.1527","8960000"
"AMAT","1984-10-31","24.25","24.5","24.0","0.1511","12620800"
"AMAT","1984-11-01","24.0","24.0","23.75","0.1495","8281600"
"AMAT","1984-11-02","23.75","23.75","22.25","0.1432","14259200"
"AMAT","1984-11-05","22.75","22.75","22.75","0.1432","6822400"
"AMAT","1984-11-06","23.12","23.12","23.12","0.1456","21811200"
"AMAT","1984-11-07","23.5","23.75","23.5","0.1479","19046400"
"AMAT","1984-11-08","24.5","24.75","24.5","0.1542","12480000"
"AMAT","1984-11-09","24.5","25.5","24.25","0.1582","6374400"
"AMAT","1984-11-12","25.13","25.5","25.13","0.1582","2073600"
"AMAT","1984-11-13","25.13","25.13","23.75","0.1495","2201600"
"AMAT","1984-11-14","24.0","24.0","24.0","0.1511","1484800"
"AMAT","1984-11-15","24.0","24.25","23.5","0.1479","2854400"
"AMAT","1984-11-16","23.5","24.0","22.75","0.1432","3033600"
"AMAT","1984-11-19","22.87","23.12","22.87","0.144","6912000"
"AMAT","1984-11-20","22.87","23.12","22.75","0.1432","8179200"
"AMAT","1984-11-21","23.12","23.12","23.12","0.1456","332800"
"AMAT","1984-11-23","23.12","24.0","22.75","0.1479","13900800"
"AMAT","1984-11-26","23.5","24.0","23.5","0.1479","9446400"
"AMAT","1984-11-27","23.5","24.0","23.5","0.1479","6412800"
"AMAT","1984-11-28","23.75","24.0","23.75","0.1495","4288000"
"AMAT","1984-11-29","24.0","24.0","24.0","0.1511","2611200"
"AMAT","1984-11-30","24.0","24.0","23.75","0.1511","3059200"
"AMAT","1984-12-03","24.25","24.75","24.25","0.1527","23065600"
"AMAT","1984-12-04","24.25","24.75","24.25","0.1527","6284800"
"AMAT","1984-12-05","24.25","24.5","24.25","0.1527","5529600"
"AMAT","1984-12-06","24.25","24.25","24.0","0.1511","13632000"
"AMAT","1984-12-07","24.0","24.25","23.75","0.1511","6067200"
"AMAT","1984-12-10","24.0","24.0","23.75","0.1495","3225600"
"AMAT","1984-12-11","24.0","24.5","24.0","0.1511","9318400"
"AMAT","1984-12-12","24.25","24.25","24.25","0.1527","4672000"
"AMAT","1984-12-13","24.25","24.25","24.0","0.1511","1638400"
"AMAT","1984-12-14","24.0","24.0","23.75","0.1495","857600"
"AMAT","1984-12-17","23.75","23.75","23.0","0.1448","2227200"
"AMAT","1984-12-18","24.0","24.25","24.0","0.1511","15475200"
"AMAT","1984-12-19","25.0","25.88","25.0","0.1574","16524800"
"AMAT","1984-12-20","25.0","25.13","25.0","0.1574","2982400"
"AMAT","1984-12-21","25.0","25.13","24.75","0.1582","5043200"
"AMAT","1984-12-24","25.13","25.5","25.0","0.1574","2304000"
"AMAT","1984-12-26","25.25","25.63","25.25","0.159","3366400"
"AMAT","1984-12-27","25.5","25.75","25.5","0.1605","486400"
"AMAT","1984-12-28","25.5","25.75","25.13","0.1621","2124800"
"AMAT","1984-12-31","27.0","27.0","27.0","0.17","2291200"
"AMAT","1985-01-02","27.0","27.0","26.25","0.1653","7052800"
"AMAT","1985-01-03","26.25","26.5","26.25","0.1653","512000"
"AMAT","1985-01-04","26.25","26.5","25.75","0.1637","422400"
"AMAT","1985-01-07","25.5","25.5","25.5","0.1605","4403200"
"AMAT","1985-01-08","25.5","25.75","25.5","0.1605","1612800"
"AMAT","1985-01-09","26.0","26.5","26.0","0.1637","6438400"
"AMAT","1985-01-10","26.75","26.75","26.75","0.1684","780800"
"AMAT","1985-01-11","26.75","27.75","26.5","0.1708","3392000"
"AMAT","1985-01-14","27.75","28.0","27.75","0.1747","11072000"
"AMAT","1985-01-15","28.5","29.0","28.5","0.1794","5504000"
"AMAT","1985-01-16","29.5","30.0","29.5","0.1857","11212800"
"AMAT","1985-01-17","29.75","30.0","29.75","0.1873","1881600"
"AMAT","1985-01-18","29.75","30.75","29.75","0.1904","3328000"
"AMAT","1985-01-21","30.5","30.75","30.5","0.192","2393600"
"AMAT","1985-01-22","30.5","30.63","30.5","0.192","5222400"
"AMAT","1985-01-23","31.0","31.5","31.0","0.1952","10752000"
"AMAT","1985-01-24","32.0","32.0","32.0","0.2015","6604800"
"AMAT","1985-01-25","32.0","32.25","31.75","0.203","2649600"
"AMAT","1985-01-28","32.25","32.5","32.25","0.203","7974400"
"AMAT","1985-01-29","32.5","32.75","32.5","0.2046","8588800"
"AMAT","1985-01-30","34.0","34.0","34.0","0.214","8448000"
"AMAT","1985-01-31","35.0","35.12","35.0","0.2203","25126400"
"AMAT","1985-02-01","35.0","35.0","34.5","0.2188","8012800"
"AMAT","1985-02-04","34.75","34.75","34.0","0.214","1971200"
"AMAT","1985-02-05","35.0","35.12","35.0","0.2203","13094400"
"AMAT","1985-02-06","35.5","35.5","35.5","0.2235","14220800"
"AMAT","1985-02-07","35.5","35.75","35.12","0.2211","45184000"
"AMAT","1985-02-08","35.12","36.0","35.0","0.2251","17024000"
"AMAT","1985-02-11","35.75","35.75","35.0","0.2203","6694400"
"AMAT","1985-02-12","35.0","35.0","34.0","0.214","13171200"
"AMAT","1985-02-13","34.0","34.0","33.13","0.2085","5939200"
"AMAT","1985-02-14","33.75","34.0","33.75","0.2125","11968000"
"AMAT","1985-02-15","33.75","33.75","31.75","0.1999","6028800"
"AMAT","1985-02-19","31.75","32.0","31.75","0.1999","3481600"
"AMAT","1985-02-20","31.75","32.25","31.75","0.1999","6924800"
"AMAT","1985-02-21","31.75","32.25","30.5","0.192","13721600"
"AMAT","1985-02-22","30.5","31.12","30.25","0.1936","16678400"
"AMAT","1985-02-25","30.75","30.75","30.0","0.1889","4198400"
"AMAT","1985-02-26","30.0","30.0","29.75","0.1873","8627200"
"AMAT","1985-02-27","29.75","30.0","29.63","0.1865","3532800"
"AMAT","1985-02-28","29.63","30.0","29.5","0.1857","2918400"
"AMAT","1985-03-01","29.5","29.5","28.5","0.1826","6617600"
"AMAT","1985-03-04","29.0","29.13","28.75","0.181","5222400"
"AMAT","1985-03-05","28.75","29.13","28.25","0.1778","5312000"
"AMAT","1985-03-06","28.25","28.5","27.0","0.17","8537600"
"AMAT","1985-03-07","27.0","27.12","26.75","0.1684","11788800"
