"symbol","date","open","high","low","close","volume"
"AMBCW","2013-05-03","10.41","10.41","10.41","10.41","24"
"AMBCW","2013-05-06","13.2","13.2","12.6","12.6","500"
"AMBCW","2013-05-07","12.82","12.82","12.51","12.6","5895"
"AMBCW","2013-05-08","13.15","14.0","13.15","13.8","2919"
"AMBCW","2013-05-09","14.87","15.8","14.8","14.8","7260"
"AMBCW","2013-05-10","13.6","13.6","13.6","13.6","200"
"AMBCW","2013-05-13","13.2","13.22","12.7","13.22","4400"
"AMBCW","2013-05-14","13.1","13.1","13.0","13.0","7638"
"AMBCW","2013-05-16","14.4","14.4","14.0","14.0","400"
"AMBCW","2013-05-17","14.6","14.64","14.6","14.64","106300"
"AMBCW","2013-05-20","14.5","15.05","14.5","14.77","9428"
"AMBCW","2013-05-21","14.75","14.75","14.58","14.58","4179"
"AMBCW","2013-05-22","14.5","14.5","13.74","13.74","1181"
"AMBCW","2013-05-23","13.0","13.34","12.98","13.34","1554"
"AMBCW","2013-05-24","13.06","13.39","13.06","13.39","800"
"AMBCW","2013-05-28","13.0","13.0","12.9","12.9","200"
"AMBCW","2013-05-30","12.85","13.18","12.85","13.18","200"
"AMBCW","2013-05-31","13.26","13.76","13.26","13.63","2752"
"AMBCW","2013-06-03","13.7","13.7","13.5","13.5","602"
"AMBCW","2013-06-06","13.23","13.7","13.23","13.7","600"
"AMBCW","2013-06-10","13.7","13.7","13.7","13.7","100"
"AMBCW","2013-06-12","13.75","13.75","13.75","13.75","100"
"AMBCW","2013-06-13","13.22","13.53","13.2","13.2","500"
"AMBCW","2013-06-14","13.13","13.27","13.05","13.22","830"
"AMBCW","2013-06-17","13.26","13.26","13.05","13.05","3200"
"AMBCW","2013-06-19","12.95","12.99","12.95","12.99","600"
"AMBCW","2013-06-20","12.62","12.79","12.27","12.27","2197"
"AMBCW","2013-06-21","12.24","12.77","12.2","12.56","3535"
"AMBCW","2013-06-24","11.77","11.77","10.72","10.96","7600"
"AMBCW","2013-06-25","11.16","11.49","11.16","11.4","467"
"AMBCW","2013-06-26","11.59","11.59","11.18","11.18","2029"
"AMBCW","2013-06-27","11.69","12.34","11.42","11.48","1948"
"AMBCW","2013-06-28","12.2","12.2","12.2","12.2","100"
"AMBCW","2013-07-03","12.01","12.01","12.0","12.0","1000"
"AMBCW","2013-07-05","12.04","12.04","12.0","12.0","932"
"AMBCW","2013-07-08","12.03","12.1","12.0","12.1","3200"
"AMBCW","2013-07-09","12.25","12.72","12.02","12.02","10753"
"AMBCW","2013-07-10","12.18","12.45","12.0","12.22","1426"
"AMBCW","2013-07-11","12.1","12.1","12.1","12.1","100"
"AMBCW","2013-07-12","12.2","12.5","12.2","12.5","411"
"AMBCW","2013-07-16","13.0","13.32","13.0","13.32","1537"
"AMBCW","2013-07-17","13.53","13.59","13.4","13.4","1500"
"AMBCW","2013-07-18","13.6","13.8","13.55","13.55","905"
"AMBCW","2013-07-19","13.55","13.6","13.5","13.6","390"
"AMBCW","2013-07-22","13.62","13.65","13.5","13.5","1400"
"AMBCW","2013-07-23","13.36","13.63","13.36","13.63","325"
"AMBCW","2013-07-25","13.42","13.5","13.35","13.35","700"
"AMBCW","2013-07-26","13.31","13.31","13.31","13.31","100"
"AMBCW","2013-07-29","13.97","13.97","13.5","13.5","350"
"AMBCW","2013-07-30","13.45","13.45","13.45","13.45","100"
"AMBCW","2013-07-31","13.65","13.99","13.59","13.96","2054"
"AMBCW","2013-08-01","14.0","14.19","14.0","14.19","319"
"AMBCW","2013-08-02","14.05","14.1","14.05","14.1","300"
"AMBCW","2013-08-05","13.96","13.96","13.96","13.96","100"
"AMBCW","2013-08-06","14.17","14.17","13.85","13.85","350"
"AMBCW","2013-08-07","14.05","14.05","14.05","14.05","100"
"AMBCW","2013-08-08","13.82","14.12","13.77","14.11","800"
"AMBCW","2013-08-09","14.0","14.0","14.0","14.0","1500"
"AMBCW","2013-08-12","13.9","13.9","13.64","13.64","875"
"AMBCW","2013-08-13","13.7","13.84","13.59","13.82","1150"
"AMBCW","2013-08-14","14.24","14.24","14.01","14.01","208"
"AMBCW","2013-08-15","13.86","13.86","13.6","13.6","300"
"AMBCW","2013-08-16","13.79","13.79","13.2","13.2","200"
"AMBCW","2013-08-19","12.29","13.6","12.29","13.47","679"
"AMBCW","2013-08-20","13.46","13.46","13.46","13.46","179"
"AMBCW","2013-08-21","13.38","13.38","13.05","13.24","562"
"AMBCW","2013-08-22","13.3","13.55","12.63","13.45","5800"
"AMBCW","2013-08-23","13.1","13.59","13.0","13.24","6000"
"AMBCW","2013-08-26","13.0","13.49","13.0","13.32","5400"
"AMBCW","2013-08-27","13.22","13.42","13.1","13.22","16400"
"AMBCW","2013-08-28","13.04","13.17","13.02","13.13","14700"
"AMBCW","2013-08-29","13.11","13.35","12.93","13.06","11700"
"AMBCW","2013-08-30","13.05","13.1","12.33","13.1","4500"
"AMBCW","2013-09-03","13.1","13.1","12.85","13.05","5500"
"AMBCW","2013-09-04","12.8","13.07","12.25","12.77","10500"
"AMBCW","2013-09-05","12.85","12.98","12.4","12.84","23600"
"AMBCW","2013-09-06","12.62","13.0","12.5","12.9","7400"
"AMBCW","2013-09-09","12.62","13.0","12.36","12.78","24600"
"AMBCW","2013-09-10","12.57","12.57","11.5","12.05","44800"
"AMBCW","2013-09-11","11.73","12.1","10.81","11.6","180600"
"AMBCW","2013-09-12","11.26","11.71","11.06","11.6","268700"
"AMBCW","2013-09-13","11.6","12.04","11.42","12.02","278800"
"AMBCW","2013-09-16","12.0","12.02","11.53","11.99","4700"
"AMBCW","2013-09-17","11.33","13.0","11.58","12.15","8800"
"AMBCW","2013-09-18","12.0","12.96","11.6","12.25","29400"
"AMBCW","2013-09-19","12.26","13.0","12.0","12.59","17400"
"AMBCW","2013-09-20","12.45","12.74","12.45","12.68","2800"
"AMBCW","2013-09-23","12.45","12.88","12.45","12.5","6000"
"AMBCW","2013-09-24","12.5","12.5","11.37","12.5","2300"
"AMBCW","2013-09-25","12.28","12.5","11.51","12.48","6300"
"AMBCW","2013-09-26","12.01","12.5","12.01","12.48","3200"
"AMBCW","2013-09-27","12.23","12.25","11.89","12.25","3300"
"AMBCW","2013-09-30","11.4","12.07","11.08","12.07","13600"
"AMBCW","2013-10-01","11.3","11.93","11.23","11.23","14400"
"AMBCW","2013-10-02","10.82","11.55","10.82","11.5","6000"
"AMBCW","2013-10-03","12.0","12.0","10.55","11.0","28600"
"AMBCW","2013-10-04","11.17","11.45","10.4","11.36","23100"
"AMBCW","2013-10-07","11.15","11.38","11.0","11.36","70500"
"AMBCW","2013-10-08","11.21","11.25","10.02","10.4","31000"
"AMBCW","2013-10-09","9.85","10.99","8.85","8.85","191600"
"AMBCW","2013-10-10","9.44","9.8","9.0","9.68","133300"
"AMBCW","2013-10-11","9.98","11.3","9.75","10.9","22100"
"AMBCW","2013-10-14","11.11","11.39","10.23","11.12","6600"
"AMBCW","2013-10-15","11.18","11.28","10.25","11.12","11300"
"AMBCW","2013-10-16","11.17","11.74","11.14","11.67","56400"
