"symbol","date","open","high","low","close","volume"
"AMD","1983-03-21","35.88","36.12","35.25","9.0","510800"
"AMD","1983-03-22","34.88","35.88","34.0","8.5","328000"
"AMD","1983-03-23","34.0","35.25","33.88","8.7188","427200"
"AMD","1983-03-24","34.88","35.12","34.62","8.7812","393200"
"AMD","1983-03-25","35.62","36.25","35.0","8.875","210400"
"AMD","1983-03-28","35.38","36.12","34.62","8.6875","494800"
"AMD","1983-03-29","34.38","35.38","33.38","8.4375","778000"
"AMD","1983-03-30","34.62","35.25","33.88","8.75","417200"
"AMD","1983-03-31","36.0","38.25","33.25","8.375","642400"
"AMD","1983-04-04","33.0","33.38","32.0","8.2812","772000"
"AMD","1983-04-05","33.0","33.88","32.62","8.1562","603600"
"AMD","1983-04-06","31.88","32.25","31.25","7.875","1021200"
"AMD","1983-04-07","31.38","31.75","31.0","7.9375","885600"
"AMD","1983-04-08","32.12","32.62","31.5","8.1562","499200"
"AMD","1983-04-11","33.12","33.88","32.88","8.4062","713600"
"AMD","1983-04-12","33.62","34.12","33.5","8.4375","716000"
"AMD","1983-04-13","35.38","36.75","34.25","8.9688","1886000"
"AMD","1983-04-14","36.12","37.75","36.12","9.4375","1116800"
"AMD","1983-04-15","37.75","38.12","37.38","9.4062","783600"
"AMD","1983-04-18","37.47","37.88","36.75","9.25","762800"
"AMD","1983-04-19","36.75","37.0","36.0","9.0938","350400"
"AMD","1983-04-20","37.5","38.5","36.5","9.625","992000"
"AMD","1983-04-21","38.0","38.88","37.88","9.4688","512000"
"AMD","1983-04-22","37.62","37.62","36.88","9.25","367600"
"AMD","1983-04-25","36.25","37.25","35.25","8.875","664400"
"AMD","1983-04-26","36.62","37.75","35.5","9.4375","3200"
"AMD","1983-04-27","37.62","38.12","37.0","9.375","364000"
"AMD","1983-04-28","37.38","37.75","37.0","9.3125","266800"
"AMD","1983-04-29","37.62","38.0","37.25","9.5","217200"
"AMD","1983-05-02","37.62","38.0","37.12","9.375","541200"
"AMD","1983-05-03","37.5","39.62","37.5","9.8438","496000"
"AMD","1983-05-04","40.88","42.0","39.75","10.4688","980400"
"AMD","1983-05-05","43.38","44.25","42.5","10.9688","1366400"
"AMD","1983-05-06","44.0","46.38","43.75","11.4688","775600"
"AMD","1983-05-09","45.0","45.5","44.62","11.3125","804800"
"AMD","1983-05-10","45.25","45.75","45.25","11.4375","870800"
"AMD","1983-05-11","45.5","45.75","45.0","11.2812","370800"
"AMD","1983-05-12","45.0","45.12","43.5","10.9688","385200"
"AMD","1983-05-13","43.88","46.38","43.88","11.5312","390400"
"AMD","1983-05-16","45.62","45.88","45.0","11.3125","588000"
"AMD","1983-05-17","45.5","45.88","45.0","11.3125","324400"
"AMD","1983-05-18","45.0","45.88","45.0","11.3438","433200"
"AMD","1983-05-19","45.12","45.5","44.5","11.1875","392800"
"AMD","1983-05-20","45.5","47.0","45.5","11.75","617200"
"AMD","1983-05-23","47.88","48.0","46.88","11.9688","452000"
"AMD","1983-05-24","48.5","50.62","48.25","12.5938","967200"
"AMD","1983-05-25","51.88","53.0","51.5","13.0938","1001200"
"AMD","1983-05-26","52.38","52.38","49.75","12.5","944400"
"AMD","1983-05-27","50.12","50.38","49.25","12.4062","317200"
"AMD","1983-05-31","48.5","48.88","48.38","12.125","523600"
"AMD","1983-06-01","48.62","50.5","48.62","12.625","830800"
"AMD","1983-06-02","50.88","52.5","50.12","13.0938","608000"
"AMD","1983-06-03","52.5","54.0","52.38","13.4062","537200"
"AMD","1983-06-06","53.5","54.62","53.12","13.625","552000"
"AMD","1983-06-07","54.25","54.5","52.88","13.2188","438800"
"AMD","1983-06-08","52.25","53.12","52.12","13.1875","452800"
"AMD","1983-06-09","52.75","53.0","51.88","13.0938","252800"
"AMD","1983-06-10","52.5","53.0","52.25","13.0625","76800"
"AMD","1983-06-13","52.5","52.62","51.0","12.9062","209200"
"AMD","1983-06-14","51.38","51.75","50.62","12.6562","204000"
"AMD","1983-06-15","50.62","52.25","50.38","13.0625","304800"
"AMD","1983-06-16","53.0","55.25","53.0","13.6562","292400"
"AMD","1983-06-17","54.75","55.12","54.12","13.6562","109200"
"AMD","1983-06-20","54.5","54.62","53.62","13.4688","178800"
"AMD","1983-06-21","54.0","54.25","52.38","13.5","333600"
"AMD","1983-06-22","58.88","59.25","58.38","14.6562","1033600"
"AMD","1983-06-23","59.0","66.62","58.75","15.8125","1108400"
"AMD","1983-06-24","63.5","64.25","62.0","16.0625","683200"
"AMD","1983-06-27","64.25","64.88","61.5","16.125","584800"
"AMD","1983-06-28","64.5","66.5","61.0","15.25","1028400"
"AMD","1983-06-29","62.25","63.5","61.0","15.8438","1016800"
"AMD","1983-06-30","63.75","64.88","63.62","16.125","618400"
"AMD","1983-07-01","64.75","64.75","63.62","16.1562","177600"
"AMD","1983-07-05","63.75","63.75","61.88","15.7812","486000"
"AMD","1983-07-06","62.88","63.75","62.62","15.9062","338000"
"AMD","1983-07-07","63.62","64.75","63.12","16.0625","284800"
"AMD","1983-07-08","64.25","64.5","63.5","15.875","504000"
"AMD","1983-07-11","63.25","64.88","63.25","16.2188","459600"
"AMD","1983-07-12","65.12","65.62","63.25","15.9062","347200"
"AMD","1983-07-13","62.75","63.0","59.12","15.4375","536400"
"AMD","1983-07-14","61.75","61.94","58.88","14.75","760800"
"AMD","1983-07-15","59.0","59.25","57.0","14.4375","417200"
"AMD","1983-07-18","57.25","57.25","55.75","14.0312","562800"
"AMD","1983-07-19","56.75","59.25","56.75","14.7188","430400"
"AMD","1983-07-20","60.25","63.0","60.0","15.75","392400"
"AMD","1983-07-21","66.0","69.75","65.62","16.9688","1458800"
"AMD","1983-07-22","66.06","67.62","64.5","16.2812","471200"
"AMD","1983-07-25","64.62","65.88","64.5","16.4688","290400"
"AMD","1983-07-26","65.88","67.38","65.62","16.5625","506000"
"AMD","1983-07-27","66.62","66.75","63.38","15.9688","432000"
"AMD","1983-07-28","63.62","63.75","59.12","14.8438","357200"
"AMD","1983-07-29","58.38","59.5","58.12","14.875","572400"
"AMD","1983-08-01","59.0","60.88","59.0","15.0","740000"
"AMD","1983-08-02","60.0","60.5","58.62","14.6562","240000"
"AMD","1983-08-03","58.75","59.12","57.5","14.5","613200"
"AMD","1983-08-04","58.25","58.25","55.75","14.1875","332400"
"AMD","1983-08-05","57.0","57.62","56.0","14.1875","398000"
"AMD","1983-08-08","56.38","56.38","55.5","14.0","229600"
"AMD","1983-08-09","55.5","55.75","52.12","13.375","1116400"
"AMD","1983-08-10","53.5","54.5","52.62","13.4062","683200"
"AMD","1983-08-11","54.12","56.25","54.12","14.0","605600"
"AMD","1983-08-12","56.38","57.38","56.38","14.1875","264800"
"AMD","1983-08-15","57.0","58.12","57.0","14.2812","402000"
"AMD","1983-08-16","57.38","57.38","53.25","13.4688","1088400"
"AMD","1983-08-17","54.0","54.38","53.12","13.5312","333200"
"AMD","1983-08-18","54.25","54.5","53.25","13.3125","190800"
"AMD","1983-08-19","53.25","54.75","52.0","13.6875","409600"
"AMD","1983-08-22","55.75","56.38","51.38","12.9688","598000"
"AMD","1983-08-23","26.25","27.88","26.25","13.75","342200"
"AMD","1983-08-24","27.75","28.88","26.62","13.5","580400"
"AMD","1983-08-25","27.25","28.0","26.62","13.6875","332200"
"AMD","1983-08-26","27.75","29.62","27.5","14.625","475400"
"AMD","1983-08-29","28.75","30.75","28.25","15.375","617800"
"AMD","1983-08-30","30.75","31.25","30.12","15.3125","558600"
"AMD","1983-08-31","30.5","31.75","30.25","15.875","608800"
"AMD","1983-09-01","32.0","32.0","30.5","15.4375","453600"
"AMD","1983-09-02","30.88","32.0","30.88","16.0","442200"
"AMD","1983-09-06","33.0","33.88","32.5","16.4375","876400"
"AMD","1983-09-07","32.88","33.0","31.62","16.0","587600"
"AMD","1983-09-08","32.0","32.75","31.25","16.0","555200"
"AMD","1983-09-09","32.12","32.12","30.0","15.1875","607800"
"AMD","1983-09-12","31.75","31.75","29.12","14.625","669600"
"AMD","1983-09-13","29.0","29.5","28.0","14.6875","940600"
"AMD","1983-09-14","28.88","29.38","28.5","14.375","495400"
"AMD","1983-09-15","28.75","30.25","28.0","14.875","684800"
"AMD","1983-09-16","29.62","31.12","29.62","15.25","389800"
"AMD","1983-09-19","30.88","32.38","30.62","16.0","412200"
"AMD","1983-09-20","32.0","32.75","31.38","15.75","465200"
"AMD","1983-09-21","31.5","31.75","31.25","15.75","466000"
"AMD","1983-09-22","31.62","32.5","31.5","16.125","1002600"
"AMD","1983-09-23","32.12","32.12","29.62","15.375","743600"
"AMD","1983-09-26","31.12","31.12","29.25","15.0","939600"
"AMD","1983-09-27","29.88","30.62","29.75","15.0625","846800"
"AMD","1983-09-28","30.12","31.88","30.12","15.875","651600"
"AMD","1983-09-29","32.25","32.75","30.62","15.3125","638200"
"AMD","1983-09-30","31.0","31.12","29.0","14.5","540600"
"AMD","1983-10-03","29.25","30.0","29.12","15.0","454000"
"AMD","1983-10-04","30.38","31.0","29.5","15.4375","801000"
"AMD","1983-10-05","30.75","31.12","30.75","15.5625","873000"
"AMD","1983-10-06","31.38","32.25","31.25","16.0625","620400"
"AMD","1983-10-07","32.62","32.62","32.62","16.3125","1584000"
"AMD","1983-10-10","32.25","33.62","32.12","16.8125","819400"
"AMD","1983-10-11","32.62","33.25","31.62","15.8125","748000"
"AMD","1983-10-12","31.62","32.38","31.0","15.625","394000"
"AMD","1983-10-13","31.38","31.75","31.0","15.8125","397400"
"AMD","1983-10-14","31.75","32.0","31.38","16.0","208800"
"AMD","1983-10-17","32.5","33.12","32.0","16.4375","548800"
"AMD","1983-10-18","32.62","33.0","30.0","15.0625","523000"
"AMD","1983-10-19","28.0","30.25","28.0","15.0625","2044000"
"AMD","1983-10-20","30.5","30.88","30.25","15.1875","568800"
"AMD","1983-10-21","30.62","30.62","29.0","14.75","401600"
