"symbol","date","open","high","low","close","volume"
"AME","1984-07-19","24.25","24.38","24.0","0.9913","70200"
"AME","1984-07-20","24.13","24.38","24.0","0.981","52600"
"AME","1984-07-23","23.88","24.0","23.37","0.9555","113400"
"AME","1984-07-24","23.5","23.62","23.25","0.9555","55300"
"AME","1984-07-25","23.0","23.37","22.87","0.9555","116100"
"AME","1984-07-26","23.62","23.62","23.5","0.9657","66100"
"AME","1984-07-27","23.62","23.75","23.37","0.9657","144400"
"AME","1984-07-30","23.88","23.88","23.5","0.9606","135000"
"AME","1984-07-31","23.5","24.0","23.37","0.981","82300"
"AME","1984-08-01","24.0","25.88","24.0","1.0424","697900"
"AME","1984-08-02","25.63","25.63","25.12","1.0321","2164000"
"AME","1984-08-03","25.38","26.5","25.38","1.0781","783000"
"AME","1984-08-06","27.0","27.38","25.63","1.0781","909900"
"AME","1984-08-07","26.37","27.87","26.13","1.1292","523800"
"AME","1984-08-08","28.0","28.75","27.75","1.1343","1217700"
"AME","1984-08-09","27.75","28.37","27.5","1.1599","402300"
"AME","1984-08-10","28.5","28.5","27.75","1.1343","662800"
"AME","1984-08-13","27.87","27.87","27.13","1.1139","184900"
"AME","1984-08-14","27.5","27.5","26.25","1.073","224100"
"AME","1984-08-15","26.5","27.13","26.0","1.073","218700"
"AME","1984-08-16","26.0","26.37","26.0","1.0781","66100"
"AME","1984-08-17","26.13","26.25","25.88","1.073","86400"
"AME","1984-08-20","26.0","26.25","26.0","1.073","67500"
"AME","1984-08-21","26.37","26.37","25.5","1.0424","398200"
"AME","1984-08-22","25.75","26.25","25.75","1.0526","535900"
"AME","1984-08-23","26.0","26.25","25.75","1.0679","70200"
"AME","1984-08-24","26.37","27.0","26.25","1.0935","203800"
"AME","1984-08-27","26.75","26.75","26.13","1.0781","386100"
"AME","1984-08-28","26.62","26.75","26.5","1.0832","110700"
"AME","1984-08-29","26.75","27.63","26.75","1.0986","499500"
"AME","1984-08-30","27.0","27.0","26.5","1.0832","129600"
"AME","1984-08-31","26.62","26.62","26.25","1.0832","49900"
"AME","1984-09-04","26.25","26.37","26.0","1.0679","64800"
"AME","1984-09-05","26.13","26.13","25.63","1.0628","537300"
"AME","1984-09-06","26.13","26.37","26.0","1.0679","164700"
"AME","1984-09-07","26.13","26.5","26.13","1.0832","143100"
"AME","1984-09-10","26.13","26.25","25.88","1.076","199800"
"AME","1984-09-11","26.0","26.75","26.0","1.0966","83700"
"AME","1984-09-12","26.62","26.62","25.88","1.0657","263200"
"AME","1984-09-13","26.13","26.37","26.13","1.0863","89100"
"AME","1984-09-14","26.37","27.0","26.37","1.0915","329400"
"AME","1984-09-17","26.37","26.62","26.37","1.0915","54000"
"AME","1984-09-18","26.5","26.87","26.5","1.0966","330700"
"AME","1984-09-19","26.87","27.0","26.5","1.0966","228100"
"AME","1984-09-20","26.62","26.87","26.62","1.1018","125500"
"AME","1984-09-21","26.62","27.5","26.62","1.1121","305100"
"AME","1984-09-24","27.0","27.25","26.87","1.1069","122800"
"AME","1984-09-25","27.13","27.25","26.87","1.1224","39100"
"AME","1984-09-26","27.25","27.38","26.87","1.1069","102600"
"AME","1984-09-27","27.25","27.25","27.0","1.1121","90400"
"AME","1984-09-28","26.87","27.0","26.75","1.1018","102600"
"AME","1984-10-01","27.0","27.0","26.5","1.0966","238900"
"AME","1984-10-02","26.62","26.87","26.62","1.0966","214600"
"AME","1984-10-03","26.5","26.62","26.0","1.0709","176800"
"AME","1984-10-04","25.75","25.75","25.25","1.0554","191700"
