"symbol","date","open","high","low","close","volume"
"AMRI","1999-02-04","23.31","24.0","22.56","11.75","5519800"
"AMRI","1999-02-05","23.38","23.62","22.38","11.375","714000"
"AMRI","1999-02-08","22.88","23.38","22.5","11.5625","100000"
"AMRI","1999-02-09","22.5","23.12","22.0","11.125","418200"
"AMRI","1999-02-10","22.12","22.12","21.12","10.75","405600"
"AMRI","1999-02-11","21.75","21.75","20.62","10.3125","473400"
"AMRI","1999-02-12","20.62","20.62","19.88","10.0312","759200"
"AMRI","1999-02-16","20.25","20.62","20.12","10.125","92000"
"AMRI","1999-02-17","20.25","20.5","19.88","10.0","436000"
"AMRI","1999-02-18","20.25","20.25","19.88","10.0","150400"
"AMRI","1999-02-19","20.0","20.12","19.5","9.75","267000"
"AMRI","1999-02-22","19.5","19.88","19.5","9.9375","18800"
"AMRI","1999-02-23","20.0","20.12","19.5","9.875","148400"
"AMRI","1999-02-24","20.12","21.0","20.0","10.375","395200"
"AMRI","1999-02-25","21.0","21.0","20.5","10.375","24200"
"AMRI","1999-02-26","20.5","20.5","20.0","10.0","39000"
"AMRI","1999-03-01","20.06","20.25","20.06","10.0938","37600"
"AMRI","1999-03-02","20.25","20.25","20.0","10.0625","39200"
"AMRI","1999-03-03","20.38","20.38","20.0","10.125","113600"
"AMRI","1999-03-04","20.38","20.38","20.19","10.1875","7000"
"AMRI","1999-03-05","20.88","20.88","20.25","10.4375","15000"
"AMRI","1999-03-08","20.5","20.62","20.38","10.25","26800"
"AMRI","1999-03-09","20.62","20.62","20.25","10.25","40000"
"AMRI","1999-03-10","20.5","20.62","20.25","10.3125","12000"
"AMRI","1999-03-11","20.5","20.62","20.25","10.3125","65800"
"AMRI","1999-03-12","20.62","21.25","20.5","10.625","53200"
"AMRI","1999-03-15","21.12","21.25","21.0","10.5625","8800"
"AMRI","1999-03-16","21.25","23.0","21.12","11.5","102000"
"AMRI","1999-03-17","22.88","23.5","22.5","11.625","48800"
"AMRI","1999-03-18","23.25","25.25","23.0","12.5","98200"
"AMRI","1999-03-19","25.25","25.25","24.25","12.25","65000"
"AMRI","1999-03-22","24.5","24.5","23.12","11.75","49200"
"AMRI","1999-03-23","23.0","23.38","20.88","10.625","238800"
"AMRI","1999-03-24","21.62","21.62","20.5","10.25","73000"
"AMRI","1999-03-25","20.66","20.75","20.66","10.375","9200"
