"symbol","date","open","high","low","close","volume"
"AMSF","2005-11-18","9.02","9.17","8.12","7.8993","3272500"
"AMSF","2005-11-21","9.08","9.4","8.83","8.1626","695900"
"AMSF","2005-11-22","8.92","9.2","8.92","8.066","329400"
"AMSF","2005-11-23","9.21","9.28","9.01","8.0923","111800"
"AMSF","2005-11-25","9.22","9.5","9.02","8.3381","39000"
"AMSF","2005-11-28","10.05","10.05","9.21","8.5839","189800"
"AMSF","2005-11-29","9.9","9.93","9.58","8.6453","109000"
"AMSF","2005-11-30","9.95","9.95","9.8","8.6277","39300"
"AMSF","2005-12-01","9.7","10.0","9.6","8.6892","150000"
"AMSF","2005-12-02","10.14","10.14","9.65","8.7243","103800"
"AMSF","2005-12-05","10.38","10.38","9.65","8.8208","107400"
"AMSF","2005-12-06","10.19","10.24","9.83","8.7418","30400"
"AMSF","2005-12-07","10.0","10.15","9.8","8.7243","26900"
"AMSF","2005-12-08","9.66","10.05","9.66","8.7682","30300"
"AMSF","2005-12-09","10.04","10.98","10.0","9.1105","45100"
"AMSF","2005-12-12","10.5","10.5","10.1","9.128","14500"
"AMSF","2005-12-13","10.3","10.44","10.0","8.9525","10300"
"AMSF","2005-12-14","10.34","10.34","10.04","9.0403","7600"
"AMSF","2005-12-15","10.4","10.4","9.29","8.6892","244800"
"AMSF","2005-12-16","9.51","10.45","9.51","9.1719","48100"
"AMSF","2005-12-19","10.01","10.95","10.0","9.1631","50800"
"AMSF","2005-12-20","10.6","10.6","9.67","8.7769","267900"
"AMSF","2005-12-21","10.0","10.24","9.82","8.9876","10500"
"AMSF","2005-12-22","10.2","10.2","9.7","8.6014","14500"
"AMSF","2005-12-23","9.7","10.0","9.5","8.4083","21500"
"AMSF","2005-12-27","9.65","9.7","9.41","8.382","24800"
"AMSF","2005-12-28","9.41","10.15","9.35","8.8647","42600"
"AMSF","2005-12-29","10.27","10.27","10.0","8.891","29900"
"AMSF","2005-12-30","10.13","10.28","10.0","8.8384","19700"
"AMSF","2006-01-03","10.08","10.14","9.7","8.6014","32000"
"AMSF","2006-01-04","10.0","10.06","9.5","8.5575","57900"
"AMSF","2006-01-05","9.87","10.12","9.65","8.698","23500"
"AMSF","2006-01-06","9.95","10.1","9.91","8.8647","13000"
"AMSF","2006-01-09","10.12","10.39","10.01","8.9174","2500"
"AMSF","2006-01-10","10.12","10.17","10.02","8.9262","24700"
"AMSF","2006-01-11","10.1","10.15","10.0","8.7945","7000"
"AMSF","2006-01-12","9.9","10.15","9.87","8.8208","12700"
"AMSF","2006-01-13","10.2","10.2","10.0","8.8998","7000"
"AMSF","2006-01-17","9.9","10.16","9.9","8.7506","13300"
"AMSF","2006-01-18","9.89","10.13","9.89","8.7769","17200"
"AMSF","2006-01-19","10.0","10.12","10.0","8.8647","13800"
"AMSF","2006-01-20","10.1","10.1","9.9","8.7769","45200"
"AMSF","2006-01-23","10.0","10.06","9.95","8.7418","55500"
"AMSF","2006-01-24","10.0","10.09","9.91","8.8559","64600"
"AMSF","2006-01-25","10.0","10.09","9.98","8.7769","25100"
"AMSF","2006-01-26","10.0","11.64","9.82","10.2164","33700"
