"symbol","date","open","high","low","close","volume"
"APAM","2013-03-07","35.2","39.5","35.14","31.3386","8054700"
"APAM","2013-03-08","38.49","41.89","36.81","31.1933","1143400"
"APAM","2013-03-11","38.83","38.83","36.43","29.6518","580100"
"APAM","2013-03-12","37.0","37.98","36.05","30.1764","305300"
"APAM","2013-03-13","37.12","37.45","37.0","30.2248","54400"
"APAM","2013-03-14","37.28","38.04","37.28","30.3862","81800"
"APAM","2013-03-15","39.52","39.52","37.05","29.902","264700"
"APAM","2013-03-18","36.66","37.29","36.66","29.7729","146200"
"APAM","2013-03-19","36.88","37.28","36.5","29.7648","104600"
"APAM","2013-03-20","37.01","37.08","36.55","29.7244","297100"
"APAM","2013-03-21","36.9","37.84","36.53","30.4669","224100"
"APAM","2013-03-22","38.0","38.27","37.62","30.5638","167100"
"APAM","2013-03-25","38.11","38.14","37.6","30.701","121400"
"APAM","2013-03-26","38.01","38.15","37.73","30.6445","231800"
"APAM","2013-03-27","37.97","38.34","37.88","30.7494","122600"
"APAM","2013-03-28","38.31","39.85","37.96","31.839","148500"
"APAM","2013-04-01","39.45","40.19","39.02","31.7905","147000"
"APAM","2013-04-02","39.64","39.85","38.81","32.0165","90200"
"APAM","2013-04-03","40.0","40.0","39.73","32.1618","150200"
"APAM","2013-04-04","39.99","39.99","39.1","31.5968","28400"
"APAM","2013-04-05","38.8","38.95","37.37","30.6606","112700"
"APAM","2013-04-08","37.75","37.78","37.26","30.4912","68200"
"APAM","2013-04-09","37.58","37.8","37.34","30.4105","142100"
"APAM","2013-04-10","37.51","38.99","37.5","31.4112","384100"
"APAM","2013-04-11","38.53","39.14","38.53","31.4596","51000"
"APAM","2013-04-12","38.75","38.91","38.15","31.1207","19000"
"APAM","2013-04-15","38.26","38.55","37.88","30.8543","78200"
"APAM","2013-04-16","38.2","39.02","37.49","31.4112","180700"
"APAM","2013-04-17","38.53","38.78","37.79","30.7494","166700"
"APAM","2013-04-18","38.1","38.12","37.73","30.6526","151500"
"APAM","2013-04-19","37.98","38.0","37.79","30.5719","5800"
"APAM","2013-04-22","37.94","37.99","37.77","30.5961","33600"
"APAM","2013-04-23","38.07","38.18","37.85","30.6364","83200"
"APAM","2013-04-24","37.97","37.97","37.37","30.354","62000"
"APAM","2013-04-25","37.6","38.05","37.15","30.5557","138200"
"APAM","2013-04-26","37.5","37.68","37.41","30.3378","113000"
"APAM","2013-04-29","37.57","37.92","37.27","30.2248","78700"
"APAM","2013-04-30","37.46","37.6","36.87","30.1038","265000"
"APAM","2013-05-01","38.02","39.72","38.02","31.8632","116000"
"APAM","2013-05-02","39.47","40.0","39.46","32.2829","100300"
"APAM","2013-05-03","40.8","41.19","40.14","32.872","119700"
"APAM","2013-05-06","40.75","41.0","40.38","32.8801","102700"
"APAM","2013-05-07","40.75","40.89","40.39","32.7671","124700"
"APAM","2013-05-08","40.2","40.55","39.89","32.4604","162500"
"APAM","2013-05-09","40.48","41.63","40.1","33.0819","90100"
"APAM","2013-05-10","41.0","43.65","40.71","34.9865","69900"
"APAM","2013-05-13","43.06","44.59","43.06","35.6726","97200"
"APAM","2013-05-14","43.94","46.64","43.94","37.2867","155200"
"APAM","2013-05-15","46.0","48.11","46.0","38.6184","121700"
"APAM","2013-05-16","47.92","48.43","47.77","38.8282","156000"
"APAM","2013-05-17","47.6","48.72","47.6","39.1833","146200"
"APAM","2013-05-20","48.02","49.59","47.6","39.7805","93200"
"APAM","2013-05-21","49.1","50.23","48.99","40.3859","87000"
"APAM","2013-05-22","50.03","50.36","49.96","40.3616","132900"
"APAM","2013-05-23","49.11","49.64","49.09","39.6918","216000"
"APAM","2013-05-24","49.1","49.58","48.7","39.9662","94000"
"APAM","2013-05-28","49.97","49.97","48.79","40.0065","84900"
"APAM","2013-05-29","49.12","49.35","47.9","38.7394","196900"
"APAM","2013-05-30","47.85","47.85","47.18","38.2229","90600"
"APAM","2013-05-31","46.97","47.42","46.37","37.7144","124200"
"APAM","2013-06-03","46.74","46.92","46.35","37.6095","118800"
"APAM","2013-06-04","46.75","47.06","46.42","37.7144","89600"
