"symbol","date","open","high","low","close","volume"
"ARIS","1991-11-15","9.0","9.25","8.75","35.5","540600"
"ARIS","1991-11-18","8.75","9.0","8.25","33.0","95400"
"ARIS","1991-11-19","8.25","8.75","8.25","33.5","24800"
"ARIS","1991-11-20","8.25","8.25","8.25","33.0","2100"
"ARIS","1991-11-21","8.25","8.75","8.25","33.0","23800"
"ARIS","1991-11-22","8.25","8.75","8.25","33.0","83100"
"ARIS","1991-11-25","9.0","9.0","8.25","33.0","10000"
"ARIS","1991-11-26","8.25","8.5","8.25","34.0","32200"
"ARIS","1991-11-27","8.5","9.25","8.5","35.0","14400"
"ARIS","1991-11-29","8.5","8.62","8.5","34.0","200"
"ARIS","1991-12-02","8.5","9.25","8.5","34.0","12600"
"ARIS","1991-12-03","8.75","9.25","8.5","37.0","600"
"ARIS","1991-12-04","8.5","8.75","8.5","35.0","6500"
"ARIS","1991-12-05","8.5","8.5","8.5","34.0","600"
"ARIS","1991-12-06","8.5","9.25","8.25","34.0","8800"
"ARIS","1991-12-09","8.5","9.25","8.5","37.0","1800"
"ARIS","1991-12-10","8.5","9.25","8.5","35.0","5700"
"ARIS","1991-12-11","8.5","9.25","8.5","34.0","7500"
"ARIS","1991-12-12","8.5","9.0","8.5","34.0","3000"
"ARIS","1991-12-13","8.5","8.5","8.38","34.0","28800"
"ARIS","1991-12-16","8.5","8.5","8.5","34.0","700"
"ARIS","1991-12-17","8.5","8.5","8.5","34.0","700"
"ARIS","1991-12-18","8.5","9.0","8.5","34.0","6500"
"ARIS","1991-12-19","9.0","9.0","8.38","34.0","15300"
"ARIS","1991-12-20","8.5","9.0","8.5","34.0","1200"
"ARIS","1991-12-23","8.5","8.88","8.38","35.5","8100"
"ARIS","1991-12-24","8.88","8.88","8.88","35.5","0"
"ARIS","1991-12-26","8.5","8.5","8.5","34.0","600"
"ARIS","1991-12-27","8.5","9.0","8.5","36.0","400"
"ARIS","1991-12-30","8.5","8.5","8.5","34.0","1300"
"ARIS","1991-12-31","9.0","9.0","8.5","34.0","26700"
"ARIS","1992-01-02","8.62","9.0","8.5","36.0","16200"
"ARIS","1992-01-03","9.0","9.0","8.62","34.5","3900"
"ARIS","1992-01-06","8.62","8.62","8.62","34.5","1300"
