"symbol","date","open","high","low","close","volume"
"ARNA","2000-07-28","24.0","26.0","21.0","25.0","6654200"
"ARNA","2000-07-31","23.25","24.75","23.0","23.75","619500"
"ARNA","2000-08-01","24.0","24.0","23.5","23.875","423900"
"ARNA","2000-08-02","24.0","24.0","23.62","24.0","202600"
"ARNA","2000-08-03","23.62","24.06","23.5","23.625","322000"
"ARNA","2000-08-04","23.69","24.25","23.5","24.0","134200"
"ARNA","2000-08-07","24.0","27.5","23.75","26.875","194400"
"ARNA","2000-08-08","27.88","31.88","27.88","30.0","244600"
"ARNA","2000-08-09","32.0","32.5","27.38","27.375","174400"
"ARNA","2000-08-10","27.5","27.75","24.0","26.0","511000"
"ARNA","2000-08-11","26.0","26.06","24.75","25.625","138600"
"ARNA","2000-08-14","25.5","25.5","25.0","25.0","75500"
"ARNA","2000-08-15","25.62","25.81","24.5","24.625","71100"
"ARNA","2000-08-16","24.88","25.06","24.5","25.0","316000"
"ARNA","2000-08-17","24.94","27.25","24.75","27.25","162300"
"ARNA","2000-08-18","27.38","27.5","26.69","27.5","69100"
"ARNA","2000-08-21","26.69","29.5","26.62","29.0","153300"
"ARNA","2000-08-22","28.88","28.88","28.12","28.5","311400"
"ARNA","2000-08-23","28.5","30.0","28.5","30.0","196400"
"ARNA","2000-08-24","30.0","30.12","29.5","29.5","150400"
"ARNA","2000-08-25","29.69","29.69","28.5","29.5","32000"
"ARNA","2000-08-28","30.5","34.25","29.88","33.5","582500"
"ARNA","2000-08-29","34.5","38.0","33.0","34.0625","223600"
"ARNA","2000-08-30","34.12","35.75","33.56","35.5","89400"
"ARNA","2000-08-31","35.97","47.0","35.5","46.25","248200"
"ARNA","2000-09-01","46.5","46.56","37.5","41.875","323300"
"ARNA","2000-09-05","42.03","45.06","42.0","42.5","299100"
"ARNA","2000-09-06","43.12","43.12","37.38","38.75","319800"
"ARNA","2000-09-07","39.12","42.0","38.5","40.0","211200"
"ARNA","2000-09-08","39.75","40.75","39.0","40.0","131900"
"ARNA","2000-09-11","39.69","39.69","37.5","39.0","91100"
"ARNA","2000-09-12","38.62","38.62","36.25","36.9375","69000"
"ARNA","2000-09-13","37.12","37.88","37.12","37.625","182800"
"ARNA","2000-09-14","37.88","40.75","37.25","39.625","115900"
"ARNA","2000-09-15","39.94","40.94","39.12","39.6875","185600"
"ARNA","2000-09-18","39.81","39.94","39.0","39.5","244000"
"ARNA","2000-09-19","39.5","39.5","37.31","37.375","257000"
"ARNA","2000-09-20","38.12","38.12","36.12","36.625","40700"
"ARNA","2000-09-21","36.69","36.75","34.5","34.75","16900"
"ARNA","2000-09-22","34.81","34.88","33.94","34.1875","78400"
"ARNA","2000-09-25","34.19","42.88","34.0","37.4375","268700"
"ARNA","2000-09-26","39.0","40.75","38.0","39.0","483700"
"ARNA","2000-09-27","39.25","39.25","38.75","39.0","38600"
"ARNA","2000-09-28","38.75","42.0","38.75","40.125","103900"
"ARNA","2000-09-29","40.62","43.25","39.12","43.0","245100"
"ARNA","2000-10-02","42.12","42.38","40.5","42.25","124200"
"ARNA","2000-10-03","41.75","41.94","41.25","41.5","86300"
"ARNA","2000-10-04","40.69","41.88","40.5","41.75","51700"
"ARNA","2000-10-05","41.75","44.0","41.75","42.5625","65200"
"ARNA","2000-10-06","39.58","40.5","38.75","39.0","122900"
"ARNA","2000-10-09","39.88","39.88","38.25","38.4375","64400"
"ARNA","2000-10-10","38.88","38.88","32.0","33.375","158400"
"ARNA","2000-10-11","32.62","34.38","32.25","33.75","515200"
"ARNA","2000-10-12","34.56","34.69","32.5","33.6875","113300"
"ARNA","2000-10-13","33.69","34.12","33.38","33.375","55400"
"ARNA","2000-10-16","33.75","33.75","30.0","33.0","118200"
"ARNA","2000-10-17","31.62","33.06","30.0","30.125","34000"
"ARNA","2000-10-18","30.12","30.53","29.31","29.75","137500"
"ARNA","2000-10-19","29.88","30.5","29.5","30.0","152900"
