"symbol","date","open","high","low","close","volume"
"ARR","2007-12-03","9.15","9.15","9.03","24.1718","52000"
"ARR","2007-12-04","9.1","9.15","9.01","24.3046","6600"
"ARR","2007-12-05","8.98","9.1","8.98","24.1718","9600"
"ARR","2007-12-06","9.02","9.1","8.99","23.9062","11100"
"ARR","2007-12-07","9.09","9.09","9.09","24.1453","0"
"ARR","2007-12-10","9.01","9.06","9.0","24.0656","11300"
"ARR","2007-12-11","9.05","9.08","9.05","24.1187","25500"
"ARR","2007-12-12","9.15","9.15","9.05","24.039","3900"
"ARR","2007-12-13","9.0","9.05","9.0","23.9328","23200"
"ARR","2007-12-14","9.01","9.01","9.01","23.9328","0"
"ARR","2007-12-17","9.01","9.02","9.01","23.9328","49600"
"ARR","2007-12-18","9.02","9.05","9.0","23.9859","217900"
"ARR","2007-12-19","9.03","9.03","9.03","23.9859","0"
"ARR","2007-12-20","9.02","9.02","9.02","23.9593","500"
"ARR","2007-12-21","9.05","9.1","9.01","23.9328","500"
"ARR","2007-12-24","9.01","9.01","9.01","23.9328","2700"
"ARR","2007-12-26","9.01","9.02","9.01","23.9593","100"
"ARR","2007-12-27","9.07","9.1","9.02","23.9859","2700"
"ARR","2007-12-28","9.1","9.1","9.05","24.039","100"
"ARR","2007-12-31","9.05","9.05","9.05","24.039","0"
"ARR","2008-01-02","9.1","9.1","9.06","24.0656","1700"
"ARR","2008-01-03","9.11","9.11","9.11","24.1984","600"
"ARR","2008-01-04","9.06","9.09","9.06","24.1453","900"
"ARR","2008-01-07","9.09","9.09","9.09","24.1453","3600"
"ARR","2008-01-08","9.12","9.19","9.1","24.3843","54400"
"ARR","2008-01-09","9.18","9.18","9.17","24.3578","1000"
"ARR","2008-01-10","9.17","9.18","9.17","24.3843","2200"
"ARR","2008-01-11","9.18","9.19","9.15","24.4109","600"
"ARR","2008-01-14","9.2","9.2","9.16","24.3843","10300"
"ARR","2008-01-15","9.2","9.2","9.18","24.4109","4500"
"ARR","2008-01-16","9.2","9.3","9.18","24.4109","500"
"ARR","2008-01-17","9.17","9.18","9.15","24.3843","1100"
"ARR","2008-01-18","9.19","9.19","9.18","24.3843","400"
"ARR","2008-01-22","9.18","9.25","9.15","24.4109","1000"
"ARR","2008-01-23","9.2","9.2","9.19","24.4109","500"
"ARR","2008-01-24","9.19","9.19","9.19","24.4109","0"
"ARR","2008-01-25","9.2","9.32","9.19","24.4375","400"
"ARR","2008-01-28","9.27","9.27","9.19","24.4109","700"
"ARR","2008-01-29","9.25","9.25","9.2","24.4375","400"
"ARR","2008-01-30","9.2","9.21","9.19","24.464","100"
"ARR","2008-01-31","9.21","9.21","9.21","24.464","2500"
"ARR","2008-02-01","9.2","9.2","9.19","24.4109","2600"
"ARR","2008-02-04","9.21","9.21","9.19","24.4109","1300"
"ARR","2008-02-05","9.21","9.21","9.21","24.464","63500"
"ARR","2008-02-06","9.21","9.21","9.21","24.464","0"
"ARR","2008-02-07","9.19","9.22","9.19","24.4375","14700"
"ARR","2008-02-08","9.21","9.21","9.21","24.464","3500"
"ARR","2008-02-11","9.21","9.21","9.21","24.464","0"
"ARR","2008-02-12","9.21","9.21","9.21","24.464","0"
"ARR","2008-02-13","9.21","9.21","9.19","24.4109","11900"
"ARR","2008-02-14","9.22","9.22","9.19","24.4906","16800"
"ARR","2008-02-15","9.22","9.24","9.18","24.4375","1200"
"ARR","2008-02-19","9.19","9.23","9.19","24.4109","1400"
"ARR","2008-02-20","9.2","9.23","9.18","24.464","31800"
"ARR","2008-02-21","9.21","9.21","9.21","24.464","0"
"ARR","2008-02-22","9.18","9.18","9.18","24.3843","0"
"ARR","2008-02-25","9.18","9.18","9.18","24.3843","300"
"ARR","2008-02-26","9.18","9.19","9.18","24.3843","21300"
"ARR","2008-02-27","9.22","9.22","9.19","24.4109","8900"
"ARR","2008-02-28","9.22","9.23","9.19","24.4109","300"
"ARR","2008-02-29","9.19","9.19","9.19","24.4109","0"
"ARR","2008-03-03","9.19","9.19","9.19","24.4109","0"
"ARR","2008-03-04","9.25","9.25","9.18","24.3843","300"
