"symbol","date","open","high","low","close","volume"
"ARWA","2000-02-28","1.5","1.5","1.5","1.5","13500"
"ARWA","2000-02-29","1.5","1.5","1.5","1.5","12000"
"ARWA","2000-03-01","1.5","1.5","1.5","1.5","8000"
"ARWA","2000-03-02","2.0","2.0","2.0","2.0","200"
"ARWA","2000-03-03","2.0","2.0","2.0","2.0","6000"
"ARWA","2000-03-06","2.25","2.75","2.25","2.25","20600"
"ARWA","2000-03-07","3.0","3.0","3.0","3.0","3000"
"ARWA","2000-03-08","3.38","4.0","3.38","4.0","5900"
"ARWA","2000-03-09","5.0","5.0","5.0","5.0","1500"
"ARWA","2000-03-10","5.5","5.75","5.5","5.75","4200"
"ARWA","2000-03-13","5.75","5.75","5.0","5.5","19000"
"ARWA","2000-03-14","5.0","5.0","5.0","5.0","2100"
"ARWA","2000-03-15","4.5","5.0","4.5","5.0","900"
"ARWA","2000-03-17","3.5","5.25","3.5","5.25","27000"
"ARWA","2000-03-20","4.5","4.5","4.0","4.375","9000"
"ARWA","2000-03-21","4.25","4.25","4.25","4.25","1500"
"ARWA","2000-03-23","3.75","4.0","3.75","4.0","1800"
"ARWA","2000-03-24","3.25","3.25","3.25","3.25","500"
"ARWA","2000-03-27","3.13","3.13","2.75","3.0","14900"
"ARWA","2000-03-28","2.38","2.38","2.38","2.375","5000"
"ARWA","2000-03-29","2.25","2.25","1.75","2.25","12100"
"ARWA","2000-03-30","1.75","1.75","1.75","1.75","400"
"ARWA","2000-03-31","2.12","2.75","2.12","2.75","28800"
"ARWA","2000-04-03","3.5","3.75","3.38","3.5625","23100"
"ARWA","2000-04-04","3.75","3.75","3.25","3.5","10000"
"ARWA","2000-04-05","3.62","3.62","3.5","3.5","8800"
"ARWA","2000-04-06","3.75","3.75","3.19","3.1875","23800"
"ARWA","2000-04-07","3.38","3.38","3.13","3.125","10500"
"ARWA","2015-05-27","9.75","9.8","9.73","9.73","10300"
"ARWA","2015-05-28","9.72","9.74","9.72","9.74","5600"
"ARWA","2015-05-29","9.74","9.74","9.74","9.74","6000"
"ARWA","2015-06-01","9.74","9.74","9.74","9.74","0"
"ARWA","2015-06-02","9.75","9.78","9.75","9.78","146500"
"ARWA","2015-06-03","9.78","9.78","9.78","9.78","0"
"ARWA","2015-06-04","9.79","9.79","9.77","9.77","5400"
"ARWA","2015-06-05","9.77","9.77","9.77","9.77","0"
"ARWA","2015-06-08","9.77","9.77","9.77","9.77","0"
"ARWA","2015-06-09","9.77","9.77","9.77","9.77","0"
"ARWA","2015-06-10","9.77","9.77","9.77","9.77","0"
"ARWA","2015-06-11","9.8","9.8","9.75","9.75","400"
"ARWA","2015-06-12","9.75","9.75","9.75","9.75","0"
"ARWA","2015-06-15","9.8","10.0","9.75","9.76","128100"
"ARWA","2015-06-16","9.76","9.77","9.76","9.77","62500"
"ARWA","2015-06-17","9.79","9.79","9.79","9.79","15800"
"ARWA","2015-06-18","9.79","9.79","9.79","9.79","0"
"ARWA","2015-06-19","9.79","9.79","9.79","9.79","0"
"ARWA","2015-06-22","9.77","9.77","9.77","9.77","2800"
"ARWA","2015-06-23","9.77","9.77","9.77","9.77","1000"
"ARWA","2015-06-24","9.77","9.77","9.77","9.77","0"
"ARWA","2015-06-25","9.8","10.02","9.8","10.02","200"
"ARWA","2015-06-26","10.02","10.02","10.02","10.02","0"
"ARWA","2015-06-29","9.82","9.82","9.82","9.82","500"
"ARWA","2015-06-30","9.83","9.83","9.83","9.83","200"
"ARWA","2015-07-01","9.77","9.77","9.77","9.77","300"
"ARWA","2015-07-02","9.77","9.77","9.77","9.77","0"
"ARWA","2015-07-06","9.85","9.85","9.85","9.85","300"
"ARWA","2015-07-07","9.85","9.85","9.85","9.85","0"
"ARWA","2015-07-08","9.85","9.85","9.85","9.85","0"
"ARWA","2015-07-09","9.85","9.85","9.85","9.85","0"
"ARWA","2015-07-10","9.79","9.79","9.79","9.79","600"
"ARWA","2015-07-13","9.79","9.79","9.79","9.79","0"
"ARWA","2015-07-14","9.8","9.8","9.8","9.8","700"
"ARWA","2015-07-15","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-16","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-17","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-20","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-21","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-22","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-23","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-24","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-27","9.8","9.8","9.8","9.8","0"
"ARWA","2015-07-28","9.8","9.8","9.8","9.8","1100"
"ARWA","2015-07-29","9.8","9.85","9.8","9.85","39000"
"ARWA","2015-07-30","9.82","10.3","9.82","9.83","11000"
"ARWA","2015-07-31","9.82","9.95","9.8","9.8","18200"
"ARWA","2015-08-03","9.85","9.87","9.8","9.8","24100"
"ARWA","2015-08-04","9.82","9.83","9.8","9.83","1400"
"ARWA","2015-08-05","9.82","9.88","9.82","9.84","8600"
"ARWA","2015-08-06","9.84","9.84","9.84","9.84","0"
"ARWA","2015-08-07","9.84","9.84","9.84","9.84","0"
"ARWA","2015-08-10","9.88","9.9","9.8","9.85","12000"
"ARWA","2015-08-11","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-12","9.85","9.85","9.85","9.85","1900"
"ARWA","2015-08-13","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-14","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-17","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-18","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-19","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-20","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-21","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-24","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-25","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-26","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-27","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-28","9.85","9.85","9.85","9.85","0"
"ARWA","2015-08-31","9.85","9.85","9.85","9.85","0"
"ARWA","2015-09-01","9.85","9.85","9.85","9.85","0"
"ARWA","2015-09-02","9.85","9.85","9.85","9.85","0"
"ARWA","2015-09-03","9.85","9.85","9.85","9.85","0"
