"symbol","date","open","high","low","close","volume"
"ASFI","1995-11-14","5.25","6.0","4.75","2.4679","530200"
"ASFI","1995-11-15","5.25","5.75","5.25","2.58","686800"
"ASFI","1995-11-16","5.5","5.62","5.38","2.4679","332400"
"ASFI","1995-11-17","5.62","5.75","5.38","2.4398","98400"
"ASFI","1995-11-20","5.5","5.62","5.38","2.4118","258000"
"ASFI","1995-11-21","5.38","5.5","5.38","2.4398","104200"
"ASFI","1995-11-22","5.62","5.62","5.38","2.4679","47000"
"ASFI","1995-11-24","5.5","5.5","5.5","2.4679","9000"
"ASFI","1995-11-27","5.25","5.62","5.25","2.4679","76000"
"ASFI","1995-11-28","5.5","5.88","5.5","2.524","113600"
"ASFI","1995-11-29","5.62","6.0","5.62","2.58","81200"
"ASFI","1995-11-30","5.88","6.12","5.75","2.6361","155600"
"ASFI","1995-12-01","6.12","6.12","5.88","2.6361","67200"
"ASFI","1995-12-04","5.88","6.19","5.88","2.6361","132800"
"ASFI","1995-12-05","6.12","6.12","5.88","2.6361","97800"
"ASFI","1995-12-06","5.88","6.06","5.38","2.524","222000"
"ASFI","1995-12-07","5.62","6.0","5.62","2.58","112000"
"ASFI","1995-12-08","5.75","6.0","5.75","2.58","36000"
"ASFI","1995-12-11","5.75","6.0","5.75","2.58","22000"
"ASFI","1995-12-12","6.05","6.05","5.62","2.524","92000"
"ASFI","1995-12-13","5.88","5.88","5.5","2.4679","4200"
"ASFI","1995-12-14","5.75","5.75","5.25","2.4679","28800"
"ASFI","1995-12-15","5.12","5.12","4.75","2.1874","83000"
"ASFI","1995-12-18","4.75","4.88","4.62","2.0753","34000"
"ASFI","1995-12-19","4.62","4.62","4.25","1.9631","47400"
"ASFI","1995-12-20","4.38","4.88","4.38","2.0753","65000"
"ASFI","1995-12-21","4.38","4.5","4.38","2.0192","18400"
"ASFI","1995-12-22","4.56","4.56","4.56","2.0472","2000"
"ASFI","1995-12-26","4.38","4.62","4.38","1.9631","20000"
"ASFI","1995-12-27","4.38","4.5","3.5","1.7387","77200"
"ASFI","1995-12-28","4.0","4.19","3.75","1.8789","41000"
"ASFI","1995-12-29","4.12","4.25","3.75","1.907","58000"
"ASFI","1996-01-02","4.0","4.0","4.0","1.7948","3000"
"ASFI","1996-01-03","4.25","5.0","4.25","2.1734","132200"
"ASFI","1996-01-04","4.62","4.84","4.62","2.0753","8000"
"ASFI","1996-01-05","4.62","4.88","4.62","2.1033","80800"
"ASFI","1996-01-08","4.69","4.69","4.69","2.1033","0"
"ASFI","1996-01-09","4.62","4.84","4.62","2.0753","11600"
"ASFI","1996-01-10","4.5","4.88","4.38","2.1874","9000"
"ASFI","1996-01-11","4.38","4.5","4.38","1.9631","37200"
"ASFI","1996-01-12","4.56","4.56","4.56","2.0472","2000"
"ASFI","1996-01-15","4.5","4.72","4.5","2.1173","100000"
"ASFI","1996-01-16","4.75","4.75","4.62","2.0753","4000"
"ASFI","1996-01-17","4.75","5.0","4.62","2.2435","476000"
"ASFI","1996-01-18","4.88","5.12","4.75","2.2996","84000"
"ASFI","1996-01-19","5.12","5.25","4.88","2.3557","71200"
"ASFI","1996-01-22","5.25","5.25","5.0","2.3557","27600"
"ASFI","1996-01-23","5.25","5.5","5.0","2.2996","219200"
"ASFI","1996-01-24","5.5","5.62","5.25","2.524","88200"
"ASFI","1996-01-25","5.25","5.5","5.25","2.3557","10200"
"ASFI","1996-01-26","5.25","5.5","5.25","2.4679","63600"
"ASFI","1996-01-29","5.25","6.5","5.25","2.9166","201800"
"ASFI","1996-01-30","6.25","7.25","6.12","3.0848","207200"
"ASFI","1996-01-31","6.5","6.5","6.0","2.7483","215200"
"ASFI","1996-02-01","6.0","6.25","5.75","2.8044","202800"
"ASFI","1996-02-02","6.12","6.25","6.0","2.6922","89800"
"ASFI","1996-02-05","6.0","6.25","5.88","2.6922","105000"
"ASFI","1996-02-06","6.12","6.12","5.88","2.6361","36800"
"ASFI","1996-02-07","6.0","6.12","5.88","2.7483","48600"
"ASFI","1996-02-08","5.88","5.88","5.88","2.6361","25000"
"ASFI","1996-02-09","6.0","6.0","5.62","2.524","60400"
"ASFI","1996-02-12","5.5","5.75","5.5","2.4679","10000"
"ASFI","1996-02-13","5.5","5.75","5.38","2.58","46000"
"ASFI","1996-02-14","5.5","5.5","5.5","2.4679","2000"
"ASFI","1996-02-15","5.5","5.5","5.5","2.4679","12200"
"ASFI","1996-02-16","5.88","5.88","5.38","2.4118","15600"
"ASFI","1996-02-20","5.38","5.75","5.0","2.4118","90200"
"ASFI","1996-02-21","5.38","5.5","5.0","2.3557","10000"
"ASFI","1996-02-22","5.25","5.25","4.88","2.3557","78400"
"ASFI","1996-02-23","5.0","5.12","4.88","2.2716","46000"
"ASFI","1996-02-26","5.0","5.25","5.0","2.2435","108000"
"ASFI","1996-02-27","5.25","5.25","5.0","2.2435","43200"
"ASFI","1996-02-28","5.25","5.25","5.0","2.2435","22200"
"ASFI","1996-02-29","5.0","5.0","4.75","2.1313","35000"
"ASFI","1996-03-01","4.75","5.25","4.5","2.0472","124800"
"ASFI","1996-03-04","4.62","4.62","4.62","2.0753","4000"
"ASFI","1996-03-05","4.62","4.75","4.5","2.0192","6000"
"ASFI","1996-03-06","4.62","5.25","4.38","2.2155","60000"
"ASFI","1996-03-07","5.25","5.62","5.0","2.4959","153400"
"ASFI","1996-03-08","5.25","5.38","5.12","2.2996","17600"
"ASFI","1996-03-11","5.12","5.62","5.12","2.3557","28000"
"ASFI","1996-03-12","5.25","5.25","5.12","2.2996","16600"
"ASFI","1996-03-13","5.12","5.38","5.12","2.4118","14000"
"ASFI","1996-03-14","5.38","5.38","5.38","2.4118","0"
"ASFI","1996-03-15","5.25","5.5","5.25","2.4118","13000"
"ASFI","1996-03-18","5.31","5.5","5.25","2.3557","28000"
"ASFI","1996-03-19","5.12","5.5","5.12","2.4679","80000"
"ASFI","1996-03-20","5.25","5.5","5.25","2.3557","18200"
"ASFI","1996-03-21","5.25","5.25","5.25","2.3557","12800"
"ASFI","1996-03-22","5.25","5.38","5.25","2.3557","35000"
