"symbol","date","open","high","low","close","volume"
"AT","2009-12-03","10.36","11.1","10.36","7.2566","18200"
"AT","2009-12-04","11.17","11.24","10.94","7.3031","30800"
"AT","2009-12-07","11.27","11.27","10.6","7.1104","67100"
"AT","2009-12-08","10.23","10.23","9.84","6.5721","140300"
"AT","2009-12-09","9.9","9.99","9.84","6.5854","62800"
"AT","2009-12-10","10.02","10.02","9.84","6.5655","44400"
"AT","2009-12-11","9.84","9.89","9.74","6.5323","67000"
"AT","2009-12-14","9.82","9.85","9.68","6.4791","51900"
"AT","2009-12-15","9.71","9.78","9.63","6.4791","73500"
"AT","2009-12-16","9.75","9.94","9.72","6.6054","97200"
"AT","2009-12-17","9.85","9.93","9.79","6.5854","94100"
"AT","2009-12-18","10.02","10.25","9.98","6.8047","663400"
"AT","2009-12-21","10.46","10.55","10.25","6.9243","292800"
"AT","2009-12-22","10.42","10.77","10.38","7.0705","215900"
"AT","2009-12-23","10.82","11.01","10.59","7.2101","272300"
"AT","2009-12-24","10.92","10.94","10.8","7.2632","82600"
"AT","2009-12-28","10.93","10.93","10.93","7.2632","0"
"AT","2009-12-29","11.07","11.1","10.89","7.2765","295700"
"AT","2009-12-30","10.93","10.93","10.75","7.2167","151200"
"AT","2009-12-31","10.89","11.04","10.86","7.2765","134800"
"AT","2010-01-04","11.07","11.25","11.06","7.4559","245800"
"AT","2010-01-05","11.27","11.31","11.12","7.4427","183100"
"AT","2010-01-06","11.28","11.36","11.22","7.5357","168900"
"AT","2010-01-07","11.36","11.51","11.32","7.6287","181100"
"AT","2010-01-08","11.5","11.78","11.46","7.755","214300"
"AT","2010-01-11","11.82","11.83","11.49","7.7483","197700"
"AT","2010-01-12","11.62","11.63","11.41","7.6752","185400"
"AT","2010-01-13","11.5","11.64","11.45","7.7018","132300"
"AT","2010-01-14","11.68","11.8","11.55","7.7616","123100"
"AT","2010-01-15","11.72","11.75","11.54","7.7483","158700"
"AT","2010-01-19","11.68","11.97","11.56","7.941","166700"
"AT","2010-01-20","11.74","11.77","11.53","7.7949","139600"
"AT","2010-01-21","11.75","11.76","11.44","7.6686","188600"
"AT","2010-01-22","11.58","11.62","11.37","7.7018","145800"
