"symbol","date","open","high","low","close","volume"
"ATRA","2014-10-16","9.89","11.25","9.66","10.65","1416100"
"ATRA","2014-10-17","10.26","12.5","10.1","12.0","133100"
"ATRA","2014-10-20","12.04","15.17","12.04","14.35","93300"
"ATRA","2014-10-21","14.37","15.23","13.0","13.85","52000"
"ATRA","2014-10-22","13.32","14.53","13.3","13.67","51700"
"ATRA","2014-10-23","13.56","14.0","12.61","13.28","29300"
"ATRA","2014-10-24","13.64","14.99","13.54","14.89","45600"
"ATRA","2014-10-27","15.25","17.85","14.66","17.34","52400"
"ATRA","2014-10-28","17.26","20.24","17.26","20.24","70100"
"ATRA","2014-10-29","20.07","20.87","17.4","18.8","63500"
"ATRA","2014-10-30","19.38","19.89","18.37","19.72","52800"
"ATRA","2014-10-31","20.14","20.14","19.0","19.18","17600"
"ATRA","2014-11-03","19.0","24.21","19.0","23.93","56400"
"ATRA","2014-11-04","24.22","27.39","23.25","23.95","106100"
"ATRA","2014-11-05","24.28","27.5","24.01","24.91","58800"
"ATRA","2014-11-06","25.0","26.78","24.8","24.8","31400"
"ATRA","2014-11-07","24.75","29.36","24.75","28.75","66500"
"ATRA","2014-11-10","26.42","26.42","25.1","26.42","77800"
"ATRA","2014-11-11","28.89","29.48","26.75","27.21","97700"
"ATRA","2014-11-12","29.89","29.89","19.86","22.55","140400"
"ATRA","2014-11-13","22.89","24.54","22.51","22.99","50200"
"ATRA","2014-11-14","23.11","23.96","22.54","23.17","40000"
"ATRA","2014-11-17","22.48","27.48","19.81","26.67","111800"
"ATRA","2014-11-18","26.16","27.43","25.01","26.35","34500"
"ATRA","2014-11-19","26.84","27.45","25.01","27.0","44000"
"ATRA","2014-11-20","27.49","27.49","25.55","26.08","38400"
"ATRA","2014-11-21","26.4","27.0","25.55","26.87","27700"
"ATRA","2014-11-24","26.58","27.99","26.58","27.06","78700"
"ATRA","2014-11-25","27.0","27.54","23.67","25.89","99600"
"ATRA","2014-11-26","25.11","27.74","25.06","26.99","51400"
"ATRA","2014-11-28","27.31","27.31","26.56","27.0","17400"
"ATRA","2014-12-01","26.93","27.3","24.65","26.66","72700"
"ATRA","2014-12-02","26.52","33.96","26.52","31.8","111700"
"ATRA","2014-12-03","32.25","35.45","29.45","30.48","84600"
