"symbol","date","open","high","low","close","volume"
"AU","1998-08-05","21.25","21.69","21.0","14.9051","107900"
"AU","1998-08-06","21.31","21.81","21.25","15.1666","90700"
"AU","1998-08-07","21.75","22.12","21.75","15.3409","89800"
"AU","1998-08-10","22.12","22.25","22.06","15.5152","73300"
"AU","1998-08-11","21.25","21.5","21.12","14.9923","101500"
"AU","1998-08-12","20.94","21.0","20.62","14.4693","69200"
"AU","1998-08-13","19.44","20.19","19.44","13.9463","61500"
"AU","1998-08-14","20.12","20.38","20.0","14.1642","28700"
"AU","1998-08-17","20.44","20.44","20.12","14.2078","40000"
"AU","1998-08-18","20.25","20.38","20.12","14.1642","20100"
"AU","1998-08-19","20.25","20.25","19.75","13.772","58000"
"AU","1998-08-20","19.94","20.0","19.25","13.772","76700"
"AU","1998-08-21","19.62","20.0","19.5","13.9027","102700"
"AU","1998-08-24","19.88","19.88","19.06","13.772","73500"
"AU","1998-08-25","19.0","19.5","18.81","13.1618","53200"
"AU","1998-08-26","18.38","18.38","17.5","12.2466","112300"
"AU","1998-08-27","17.0","17.12","16.5","11.7236","98400"
"AU","1998-08-28","16.56","17.12","16.0","11.3749","109400"
"AU","1998-08-31","17.17","17.17","16.06","11.3314","117300"
"AU","1998-09-01","17.5","18.69","17.38","13.0311","109600"
"AU","1998-09-02","18.06","18.69","17.81","12.9003","45700"
"AU","1998-09-03","18.12","20.69","18.06","14.3821","246900"
"AU","1998-09-04","20.31","22.5","20.31","15.1666","214700"
"AU","1998-09-08","22.0","22.5","20.0","14.6436","150700"
"AU","1998-09-09","20.81","21.0","20.44","14.6","52400"
"AU","1998-09-10","22.38","24.06","22.25","16.2997","308300"
"AU","1998-09-11","24.06","24.38","22.62","15.7767","217700"
"AU","1998-09-14","22.5","22.5","21.31","15.3409","97000"
"AU","1998-09-15","22.25","22.44","22.12","15.5152","29300"
"AU","1998-09-16","22.0","22.25","21.0","14.6872","148500"
"AU","1998-09-17","22.25","22.69","22.0","15.6896","74000"
"AU","1998-09-18","22.5","22.5","21.75","15.4281","35400"
"AU","1998-09-21","22.62","22.62","22.12","15.4717","99000"
"AU","1998-09-22","21.75","22.0","21.56","15.0358","46800"
"AU","1998-09-23","21.56","21.56","20.75","14.8179","136400"
"AU","1998-09-24","21.5","23.75","21.5","16.5176","276000"
"AU","1998-09-25","25.0","25.38","24.44","17.52","348100"
"AU","1998-09-28","24.5","26.31","24.38","18.3045","299000"
"AU","1998-09-29","26.38","26.88","26.38","18.566","133200"
"AU","1998-09-30","26.5","27.12","26.12","18.7403","173900"
"AU","1998-10-01","28.0","29.25","27.25","20.3093","489000"
"AU","1998-10-02","29.25","29.62","28.81","20.3964","491300"
"AU","1998-10-05","28.5","28.5","26.88","18.8275","166500"
"AU","1998-10-06","26.75","27.88","26.56","19.3505","140400"
"AU","1998-10-07","28.5","30.25","28.5","20.963","299000"
"AU","1998-10-08","31.0","31.0","29.81","21.0066","417100"
"AU","1998-10-09","29.5","29.5","27.75","19.5684","169400"
"AU","1998-10-12","27.69","27.69","25.06","17.7815","235600"
"AU","1998-10-13","25.75","26.0","25.06","17.52","277300"
"AU","1998-10-14","25.06","25.38","24.88","17.3893","168100"
"AU","1998-10-15","25.56","26.0","24.62","17.5636","270800"
"AU","1998-10-16","26.75","26.75","25.38","18.1738","198400"
"AU","1998-10-19","25.81","25.88","25.12","17.6072","67600"
"AU","1998-10-20","25.5","25.75","25.38","17.7815","96600"
"AU","1998-10-21","25.5","25.69","25.44","17.7815","20300"
"AU","1998-10-22","24.62","24.81","24.5","17.1714","58900"
"AU","1998-10-23","24.88","24.88","24.62","17.1714","22700"
"AU","1998-10-26","24.5","24.62","24.44","17.0842","84900"
"AU","1998-10-27","25.12","25.88","25.12","18.043","189100"
"AU","1998-10-28","25.62","25.69","25.31","17.8251","41700"
"AU","1998-10-29","25.69","25.94","25.38","17.8251","93200"
