"symbol","date","open","high","low","close","volume"
"AVV","2011-11-25","24.75","24.75","23.56","16.9817","177700"
"AVV","2011-11-28","24.25","24.35","23.85","17.0954","227700"
"AVV","2011-11-29","24.14","24.15","23.95","17.1167","247600"
"AVV","2011-11-30","24.3","24.3","24.1","17.1949","539800"
"AVV","2011-12-01","24.15","24.19","24.13","17.1735","228000"
"AVV","2011-12-02","24.19","24.19","24.05","17.138","361100"
"AVV","2011-12-05","24.15","24.18","24.12","17.1735","310900"
"AVV","2011-12-06","24.19","24.5","24.19","17.408","316300"
"AVV","2011-12-07","24.5","24.65","24.37","17.4222","202200"
"AVV","2011-12-08","24.6","24.6","24.46","17.4649","222300"
"AVV","2011-12-09","24.59","24.74","24.57","17.5714","149800"
"AVV","2011-12-12","24.76","24.76","24.58","17.543","147700"
"AVV","2011-12-13","24.73","24.85","24.62","17.607","172200"
"AVV","2011-12-14","24.66","24.8","24.64","17.6212","145700"
"AVV","2011-12-15","24.85","24.9","24.76","17.6922","177500"
"AVV","2011-12-16","24.88","24.9","24.83","17.6496","124400"
"AVV","2011-12-19","24.89","24.89","24.8","17.6567","129800"
"AVV","2011-12-20","24.89","24.9","24.71","17.6922","168300"
"AVV","2011-12-21","24.93","24.99","24.83","17.7136","160600"
"AVV","2011-12-22","24.98","25.14","24.95","17.7846","254400"
"AVV","2011-12-23","25.09","25.09","24.91","17.813","96000"
"AVV","2011-12-27","25.1","25.1","24.93","17.8272","74200"
"AVV","2011-12-28","25.23","25.23","25.03","17.8486","84600"
"AVV","2011-12-29","25.1","25.16","25.07","17.8272","82900"
"AVV","2011-12-30","25.24","25.24","25.05","17.8486","56100"
"AVV","2012-01-03","25.2","25.2","25.07","17.9054","131700"
"AVV","2012-01-04","25.18","25.25","25.09","17.8912","186000"
"AVV","2012-01-05","25.24","25.25","25.15","17.9409","120300"
"AVV","2012-01-06","25.24","25.3","25.18","17.948","87400"
"AVV","2012-01-09","25.38","25.74","25.3","18.1541","362900"
"AVV","2012-01-10","25.5","25.7","25.5","18.2393","294400"
"AVV","2012-01-11","25.69","26.2","25.59","18.2251","134000"
"AVV","2012-01-12","25.66","25.71","25.62","18.218","207800"
"AVV","2012-01-13","25.65","25.65","25.56","18.1896","74100"
"AVV","2012-01-17","25.74","25.74","25.6","18.2393","178300"
"AVV","2012-01-18","25.65","25.85","25.62","18.3033","749900"
"AVV","2012-01-19","25.84","26.25","25.82","18.5591","456600"
"AVV","2012-01-20","26.13","26.37","26.06","18.6586","501900"
"AVV","2012-01-23","26.25","26.25","25.7","18.3672","144600"
"AVV","2012-01-24","25.82","25.87","25.65","18.3033","82800"
"AVV","2012-01-25","25.79","25.79","25.65","18.3246","56100"
"AVV","2012-01-26","25.79","26.0","25.74","18.417","115200"
"AVV","2012-01-27","26.0","26.14","25.9","18.4312","319100"
"AVV","2012-01-30","25.95","25.96","25.76","18.3317","93900"
"AVV","2012-01-31","25.93","26.0","25.83","18.4454","100900"
"AVV","2012-02-01","26.13","26.13","25.96","18.4667","97600"
"AVV","2012-02-02","26.14","26.14","26.05","18.5307","53000"
"AVV","2012-02-03","26.2","26.32","26.12","18.6372","71000"
"AVV","2012-02-06","26.2","26.27","26.05","18.5093","79100"
"AVV","2012-02-07","26.12","26.2","26.07","18.5804","53100"
"AVV","2012-02-08","26.2","26.21","26.12","18.6088","68400"
"AVV","2012-02-09","26.28","26.28","26.14","18.6728","54300"
"AVV","2012-02-10","26.24","26.25","26.17","18.6017","56900"
"AVV","2012-02-13","25.85","25.93","25.72","18.7876","16600"
"AVV","2012-02-14","25.9","26.2","25.87","18.9329","93500"
"AVV","2012-02-15","26.19","26.29","26.09","18.9474","87500"
"AVV","2012-02-16","26.21","26.28","26.15","19.0636","50800"
"AVV","2012-02-17","26.35","26.35","26.12","19.0926","83700"
"AVV","2012-02-21","26.41","26.5","26.33","19.2452","103400"
"AVV","2012-02-22","26.5","26.5","26.15","19.1072","55800"
"AVV","2012-02-23","26.36","26.5","26.36","19.2452","50300"
"AVV","2012-02-24","26.55","26.57","26.29","19.129","91200"
"AVV","2012-02-27","26.32","26.43","26.26","19.0781","117900"
"AVV","2012-02-28","26.36","26.75","26.35","19.2524","91300"
"AVV","2012-02-29","26.72","26.72","26.35","19.1871","112900"
"AVV","2012-03-01","26.5","26.51","26.37","19.1871","60000"
"AVV","2012-03-02","26.55","26.55","26.38","19.2016","66500"
"AVV","2012-03-05","26.44","26.48","26.3","19.1943","69400"
"AVV","2012-03-06","26.42","26.42","25.95","19.0999","90000"
"AVV","2012-03-07","26.48","26.59","26.44","19.2234","46000"
"AVV","2012-03-08","26.55","26.65","26.48","19.2597","49200"
"AVV","2012-03-09","26.62","26.8","26.52","19.3759","84600"
"AVV","2012-03-12","26.6","26.77","26.41","19.3178","96600"
"AVV","2012-03-13","26.77","26.89","26.6","19.4776","86400"
"AVV","2012-03-14","26.82","26.88","26.72","19.4921","41700"
"AVV","2012-03-15","26.84","26.87","26.65","19.4776","85500"
"AVV","2012-03-16","26.82","26.84","26.71","19.4558","46900"
"AVV","2012-03-19","26.79","26.85","26.68","19.3977","58200"
"AVV","2012-03-20","26.71","26.84","26.64","19.4848","43100"
"AVV","2012-03-21","26.81","26.81","26.41","19.2234","71100"
"AVV","2012-03-22","26.61","26.68","26.11","19.0781","83600"
"AVV","2012-03-23","26.35","26.71","26.24","19.1072","85400"
"AVV","2012-03-26","26.41","26.61","26.41","19.3033","51400"
"AVV","2012-03-27","26.62","26.77","26.6","19.4049","89300"
"AVV","2012-03-28","26.62","26.71","26.52","19.3759","67400"
"AVV","2012-03-29","26.64","26.64","26.38","19.2669","70500"
"AVV","2012-03-30","26.61","26.7","26.38","19.2088","68800"
"AVV","2012-04-02","26.58","26.65","26.45","19.2669","37200"
"AVV","2012-04-03","26.6","26.68","26.53","19.3033","37300"
"AVV","2012-04-04","26.58","26.81","26.56","19.3977","55600"
"AVV","2012-04-05","26.7","26.85","26.68","19.4703","32500"
"AVV","2012-04-09","26.81","26.84","26.61","19.3686","48500"
"AVV","2012-04-10","26.67","26.7","26.58","19.325","33500"
"AVV","2012-04-11","26.76","26.78","26.63","19.3541","37700"
"AVV","2012-04-12","26.74","26.83","26.66","19.4776","60400"
"AVV","2012-04-13","26.8","26.81","26.6","19.3541","34000"
"AVV","2012-04-16","26.65","26.77","26.55","19.325","58800"
"AVV","2012-04-17","26.59","26.73","26.52","19.2815","62400"
"AVV","2012-04-18","26.6","26.68","26.47","19.2379","87100"
"AVV","2012-04-19","26.5","26.66","26.5","19.2815","94500"
"AVV","2012-04-20","26.66","26.67","26.52","19.3178","67500"
"AVV","2012-04-23","26.5","26.65","26.45","19.296","78600"
"AVV","2012-04-24","26.68","26.73","26.5","19.2597","96500"
"AVV","2012-04-25","26.56","26.57","26.17","19.129","140500"
"AVV","2012-04-26","26.36","26.45","26.29","19.2088","73000"
"AVV","2012-04-27","26.35","26.38","26.25","19.1217","51300"
"AVV","2012-04-30","26.36","26.4","26.33","19.1507","59000"
"AVV","2012-05-01","26.4","26.64","26.39","19.325","63200"
"AVV","2012-05-02","26.54","26.57","26.45","19.2742","45000"
"AVV","2012-05-03","26.52","26.58","26.5","19.3033","35000"
"AVV","2012-05-04","26.52","26.58","26.5","19.3033","39900"
