"symbol","date","open","high","low","close","volume"
"AWF","1993-07-29","15.0","15.12","15.0","1.3909","134200"
"AWF","1993-07-30","15.12","15.12","15.0","1.3794","92200"
"AWF","1993-08-02","15.0","15.12","15.0","1.3794","128600"
"AWF","1993-08-03","15.0","15.12","15.0","1.3794","160200"
"AWF","1993-08-04","15.12","15.12","15.0","1.3794","216200"
"AWF","1993-08-05","15.0","15.12","15.0","1.3794","165400"
"AWF","1993-08-06","15.12","15.12","15.0","1.3909","212100"
"AWF","1993-08-09","15.12","15.12","15.0","1.3909","142800"
"AWF","1993-08-10","15.12","15.12","15.0","1.3909","204000"
"AWF","1993-08-11","15.12","15.12","15.0","1.3794","111800"
"AWF","1993-08-12","15.12","15.12","15.0","1.3794","132700"
"AWF","1993-08-13","15.12","15.12","15.0","1.3794","112100"
"AWF","1993-08-16","15.12","15.12","15.0","1.3909","164800"
"AWF","1993-08-17","15.0","15.12","15.0","1.3794","215600"
"AWF","1993-08-18","15.0","15.12","15.0","1.3909","127700"
"AWF","1993-08-19","15.0","15.12","15.0","1.3909","191200"
"AWF","1993-08-20","15.12","15.12","15.0","1.3794","128300"
"AWF","1993-08-23","15.0","15.12","15.0","1.3794","104000"
"AWF","1993-08-24","15.12","15.12","15.0","1.3909","120000"
"AWF","1993-08-25","15.12","15.12","15.0","1.3909","148300"
"AWF","1993-08-26","15.12","15.12","15.0","1.3794","152100"
"AWF","1993-08-27","15.12","15.12","15.0","1.3794","144400"
"AWF","1993-08-30","15.0","15.12","15.0","1.3794","113500"
"AWF","1993-08-31","15.0","15.12","15.0","1.3794","171700"
"AWF","1993-09-01","15.0","15.12","15.0","1.3794","310800"
"AWF","1993-09-02","15.12","15.12","15.0","1.3794","344500"
"AWF","1993-09-03","15.12","15.12","15.0","1.3909","153100"
"AWF","1993-09-07","15.0","15.12","15.0","1.3794","144300"
"AWF","1993-09-08","15.12","15.12","15.0","1.3794","117900"
"AWF","1993-09-09","15.12","15.12","15.0","1.3909","215900"
"AWF","1993-09-10","15.0","15.12","15.0","1.3909","147600"
"AWF","1993-09-13","15.0","15.25","15.0","1.3909","353100"
"AWF","1993-09-14","15.12","15.25","15.0","1.3909","197100"
"AWF","1993-09-15","15.0","15.12","15.0","1.3909","147600"
"AWF","1993-09-16","15.0","15.12","15.0","1.3909","124500"
"AWF","1993-09-17","15.12","15.25","15.0","1.3794","314400"
"AWF","1993-09-20","15.12","15.25","15.0","1.3909","199700"
"AWF","1993-09-21","15.12","15.12","15.0","1.3909","329000"
"AWF","1993-09-22","15.12","15.12","15.0","1.3909","156400"
"AWF","1993-09-23","15.12","15.12","15.0","1.3909","160200"
"AWF","1993-09-24","15.12","15.25","15.0","1.4024","256700"
"AWF","1993-09-27","15.25","15.25","15.12","1.4024","157600"
"AWF","1993-09-28","15.25","15.25","15.12","1.4024","179500"
"AWF","1993-09-29","15.25","15.38","15.12","1.4024","216400"
"AWF","1993-09-30","15.25","15.38","15.12","1.4024","314200"
"AWF","1993-10-01","15.38","15.5","15.25","1.4138","322200"
"AWF","1993-10-04","15.25","15.38","15.25","1.4138","269000"
"AWF","1993-10-05","15.38","15.38","15.12","1.4024","226300"
"AWF","1993-10-06","15.25","15.25","15.12","1.4024","166100"
"AWF","1993-10-07","15.12","15.25","15.12","1.3909","126600"
"AWF","1993-10-08","15.25","15.25","15.12","1.4024","149000"
"AWF","1993-10-11","15.25","15.25","15.12","1.4024","149500"
"AWF","1993-10-12","15.25","15.25","15.0","1.3909","213900"
"AWF","1993-10-13","15.12","15.12","14.75","1.3679","435700"
"AWF","1993-10-14","15.0","15.0","14.62","1.3794","206100"
"AWF","1993-10-15","15.0","15.0","14.75","1.3794","130300"
"AWF","1993-10-18","15.0","15.12","14.88","1.3909","360200"
"AWF","1993-10-19","15.12","15.12","15.0","1.3794","184200"
"AWF","1993-10-20","15.0","15.12","15.0","1.3794","151000"
"AWF","1993-10-21","15.12","15.12","15.0","1.3794","311800"
"AWF","1993-10-22","15.12","15.12","14.88","1.3794","236600"
"AWF","1993-10-25","15.0","15.12","14.88","1.3794","208800"
"AWF","1993-10-26","15.0","15.12","14.88","1.3794","145200"
"AWF","1993-10-27","15.0","15.25","14.88","1.4024","501100"
"AWF","1993-10-28","15.12","15.25","15.12","1.3909","154400"
"AWF","1993-10-29","15.25","15.25","15.12","1.3909","150600"
"AWF","1993-11-01","15.25","15.38","15.12","1.4138","297300"
"AWF","1993-11-02","15.25","15.38","15.25","1.4024","232900"
"AWF","1993-11-03","15.38","15.5","15.25","1.4138","384600"
"AWF","1993-11-04","15.38","15.38","15.12","1.4024","224500"
"AWF","1993-11-05","15.12","15.38","15.12","1.4138","168400"
"AWF","1993-11-08","15.25","15.25","15.0","1.3909","234200"
"AWF","1993-11-09","15.12","15.12","15.0","1.3794","179900"
"AWF","1993-11-10","15.12","15.25","15.0","1.4024","220900"
"AWF","1993-11-11","15.12","15.25","15.0","1.3794","156600"
"AWF","1993-11-12","15.12","15.25","15.0","1.3794","139400"
"AWF","1993-11-15","15.12","15.12","14.88","1.3794","252400"
"AWF","1993-11-16","15.0","15.12","14.88","1.3794","218300"
"AWF","1993-11-17","15.0","15.12","14.88","1.3794","327700"
"AWF","1993-11-18","15.0","15.12","14.88","1.3794","255800"
"AWF","1993-11-19","15.12","15.12","14.88","1.3909","137000"
"AWF","1993-11-22","15.12","15.12","14.88","1.3679","169500"
"AWF","1993-11-23","15.0","15.0","14.88","1.3794","147500"
"AWF","1993-11-24","14.88","15.12","14.88","1.3794","126800"
"AWF","1993-11-26","15.0","15.12","14.88","1.3794","52100"
"AWF","1993-11-29","15.12","15.12","15.0","1.3794","144600"
"AWF","1993-11-30","15.0","15.12","14.88","1.3909","180900"
"AWF","1993-12-01","15.12","15.5","15.0","1.4138","738800"
"AWF","1993-12-02","15.38","15.5","15.25","1.4138","378500"
"AWF","1993-12-03","15.5","15.5","15.25","1.4253","384300"
"AWF","1993-12-06","15.25","15.38","15.25","1.4024","310300"
"AWF","1993-12-07","15.25","15.38","15.25","1.4138","363700"
"AWF","1993-12-08","15.38","15.38","15.25","1.4024","307900"
"AWF","1993-12-09","15.25","15.38","15.12","1.4024","271900"
"AWF","1993-12-10","15.38","15.38","15.12","1.4024","244600"
"AWF","1993-12-13","15.38","15.38","15.12","1.4024","220300"
"AWF","1993-12-14","15.25","15.38","15.12","1.4024","232000"
"AWF","1993-12-15","15.38","15.38","15.12","1.3909","183100"
"AWF","1993-12-16","15.12","15.38","15.12","1.4138","243700"
"AWF","1993-12-17","15.12","15.38","15.12","1.4138","204900"
"AWF","1993-12-20","15.25","15.38","15.25","1.4024","187000"
"AWF","1993-12-21","15.25","15.38","15.12","1.4024","193600"
"AWF","1993-12-22","15.25","15.38","15.12","1.4024","221300"
"AWF","1993-12-23","15.25","15.38","15.25","1.4024","179600"
"AWF","1993-12-27","15.25","15.5","15.12","1.4138","220400"
"AWF","1993-12-28","15.38","15.38","15.25","1.4138","206300"
"AWF","1993-12-29","15.5","15.62","15.38","1.4368","411000"
"AWF","1993-12-30","15.5","15.88","15.5","1.4483","291200"
"AWF","1993-12-31","15.88","16.25","15.88","1.4598","398300"
"AWF","1994-01-03","15.88","16.0","15.62","1.4483","388400"
"AWF","1994-01-04","15.62","16.0","15.62","1.4483","457000"
"AWF","1994-01-05","16.0","16.0","15.75","1.4598","370500"
"AWF","1994-01-06","15.88","16.12","15.75","1.4828","293100"
"AWF","1994-01-07","16.0","16.25","16.0","1.4713","371200"
"AWF","1994-01-10","15.88","16.12","15.75","1.4598","421200"
"AWF","1994-01-11","15.88","16.12","15.88","1.4713","345100"
"AWF","1994-01-12","16.12","16.25","15.88","1.4828","555600"
"AWF","1994-01-13","16.12","16.12","15.88","1.4598","199700"
"AWF","1994-01-14","16.0","16.0","15.75","1.4598","327000"
"AWF","1994-01-17","16.0","16.0","15.75","1.4483","266300"
"AWF","1994-01-18","15.88","15.88","15.75","1.4598","229500"
"AWF","1994-01-19","15.88","16.0","15.75","1.4713","235000"
"AWF","1994-01-20","16.0","16.0","15.88","1.4598","220900"
"AWF","1994-01-21","16.0","16.12","15.88","1.4713","299400"
"AWF","1994-01-24","15.88","16.0","15.75","1.4713","294000"
"AWF","1994-01-25","15.88","16.0","15.75","1.4598","302400"
"AWF","1994-01-26","15.88","16.0","15.88","1.4713","225400"
"AWF","1994-01-27","16.0","16.12","15.88","1.4713","355300"
"AWF","1994-01-28","16.0","16.12","15.88","1.4828","256700"
"AWF","1994-01-31","15.88","16.0","15.88","1.4713","211700"
"AWF","1994-02-01","16.0","16.0","15.88","1.4713","176100"
"AWF","1994-02-02","15.88","16.0","15.88","1.4598","305100"
"AWF","1994-02-03","16.0","16.0","15.75","1.4598","203000"
"AWF","1994-02-04","15.88","16.0","15.62","1.4483","316400"
"AWF","1994-02-07","15.62","15.75","15.5","1.4253","294800"
"AWF","1994-02-08","15.5","15.62","15.5","1.4368","173000"
"AWF","1994-02-09","15.62","15.62","15.5","1.4253","234700"
"AWF","1994-02-10","15.5","15.75","15.5","1.4368","265800"
"AWF","1994-02-11","15.5","15.62","15.25","1.4253","323700"
"AWF","1994-02-14","15.5","15.5","15.25","1.4253","325100"
"AWF","1994-02-15","15.38","15.38","15.25","1.4138","330100"
"AWF","1994-02-16","15.38","15.38","15.12","1.4024","320400"
"AWF","1994-02-17","15.25","15.38","15.12","1.4024","402000"
"AWF","1994-02-18","15.12","15.25","15.0","1.3909","317200"
"AWF","1994-02-22","15.12","15.25","15.0","1.3794","277400"
"AWF","1994-02-23","15.0","15.25","15.0","1.3909","376500"
"AWF","1994-02-24","15.12","15.25","15.0","1.3794","400200"
"AWF","1994-02-25","15.12","15.12","14.88","1.3909","198200"
"AWF","1994-02-28","14.88","15.0","14.25","1.3334","386000"
"AWF","1994-03-01","14.5","14.5","14.25","1.3219","242100"
"AWF","1994-03-02","13.88","14.5","13.75","1.3334","390500"
"AWF","1994-03-03","14.5","14.75","14.38","1.3449","298000"
"AWF","1994-03-04","14.62","14.75","14.5","1.3564","217500"
"AWF","1994-03-07","14.5","14.75","14.5","1.3449","123000"
"AWF","1994-03-08","14.75","14.75","14.5","1.3449","153900"
"AWF","1994-03-09","14.62","14.62","14.5","1.3334","113500"
"AWF","1994-03-10","14.5","14.62","14.38","1.3334","106300"
"AWF","1994-03-11","14.38","14.5","14.12","1.3104","134700"
"AWF","1994-03-14","14.25","14.5","14.25","1.3334","183600"
"AWF","1994-03-15","14.25","14.5","14.12","1.3104","186800"
"AWF","1994-03-16","14.12","14.38","14.12","1.3104","116800"
"AWF","1994-03-17","14.12","14.62","14.12","1.3449","260600"
"AWF","1994-03-18","14.5","14.62","14.5","1.3334","188200"
"AWF","1994-03-21","14.5","14.5","14.25","1.3219","111100"
"AWF","1994-03-22","14.25","14.38","14.25","1.3219","109900"
"AWF","1994-03-23","14.38","14.62","14.25","1.3449","199800"
"AWF","1994-03-24","14.38","14.38","13.88","1.3219","380900"
"AWF","1994-03-25","14.25","14.25","14.0","1.2874","97700"
"AWF","1994-03-28","14.0","14.12","13.0","1.2414","262300"
"AWF","1994-03-29","13.38","13.38","12.75","1.1954","250300"
"AWF","1994-03-30","12.75","13.25","12.12","1.1954","348100"
"AWF","1994-03-31","13.12","13.38","12.75","1.2299","280300"
"AWF","1994-04-04","13.0","13.12","12.75","1.184","195600"
"AWF","1994-04-05","13.12","13.62","13.0","1.2184","223300"
"AWF","1994-04-06","13.25","13.5","13.12","1.2299","93500"
"AWF","1994-04-07","13.38","13.5","13.12","1.2184","130000"
"AWF","1994-04-08","13.25","13.5","13.12","1.2299","100100"
"AWF","1994-04-11","13.38","13.38","13.25","1.2184","89400"
"AWF","1994-04-12","13.25","13.5","13.25","1.2299","164400"
"AWF","1994-04-13","13.25","13.5","13.25","1.2184","112800"
"AWF","1994-04-14","13.25","13.38","13.0","1.1954","94200"
"AWF","1994-04-15","13.0","13.12","12.75","1.1954","108500"
"AWF","1994-04-18","12.88","13.0","12.38","1.138","166600"
"AWF","1994-04-19","12.5","12.5","12.0","1.138","235400"
"AWF","1994-04-20","12.38","12.75","12.25","1.1725","206000"
"AWF","1994-04-21","12.62","13.5","12.62","1.2184","303700"
"AWF","1994-04-22","13.25","13.38","13.0","1.2299","136100"
"AWF","1994-04-25","13.12","13.38","12.88","1.1954","145400"
"AWF","1994-04-26","13.12","13.25","13.0","1.2184","136700"
"AWF","1994-04-28","13.25","13.25","12.62","1.1725","119800"
"AWF","1994-04-29","12.75","13.0","12.62","1.1725","126400"
"AWF","1994-05-02","12.88","13.0","12.75","1.1954","78400"
"AWF","1994-05-03","12.88","13.12","12.88","1.1954","76800"
"AWF","1994-05-04","13.0","13.0","12.88","1.184","101000"
