"symbol","date","open","high","low","close","volume"
"AZO","1991-04-02","27.5","29.5","26.25","7.3438","9147200"
"AZO","1991-04-03","29.12","29.38","27.5","7.3125","3403200"
"AZO","1991-04-04","29.12","29.12","28.38","7.2188","831200"
"AZO","1991-04-05","28.5","28.75","28.38","7.125","457200"
"AZO","1991-04-08","28.25","28.75","27.5","7.125","608800"
"AZO","1991-04-09","28.5","29.0","28.5","7.1875","472400"
"AZO","1991-04-10","28.5","30.0","28.5","7.5","781600"
"AZO","1991-04-11","31.0","33.12","31.0","8.0625","1339200"
"AZO","1991-04-12","32.5","33.0","32.25","8.1562","468800"
"AZO","1991-04-15","32.88","32.88","31.75","8.0","352800"
"AZO","1991-04-16","31.88","32.62","31.12","8.0938","266400"
"AZO","1991-04-17","32.5","32.5","31.62","7.9375","246400"
"AZO","1991-04-18","31.88","32.25","31.5","8.0","298800"
"AZO","1991-04-19","31.75","32.25","31.75","8.0312","204800"
"AZO","1991-04-22","32.0","32.25","30.38","7.5938","388000"
"AZO","1991-04-23","30.88","31.38","30.62","7.8125","256400"
"AZO","1991-04-24","31.38","32.25","31.38","8.0312","254000"
"AZO","1991-04-25","32.38","32.5","32.25","8.0625","82400"
"AZO","1991-04-26","32.12","32.25","31.5","8.0","106800"
"AZO","1991-04-29","32.75","33.0","32.5","8.1875","306400"
"AZO","1991-04-30","32.5","32.5","31.0","8.0625","187600"
"AZO","1991-05-01","32.5","32.75","32.25","8.1875","196400"
"AZO","1991-05-02","32.5","33.12","32.5","8.25","155200"
"AZO","1991-05-03","33.0","33.12","32.5","8.25","85600"
"AZO","1991-05-06","32.75","32.88","32.12","8.1562","55200"
"AZO","1991-05-07","32.88","32.88","32.12","8.0312","138400"
"AZO","1991-05-08","32.0","32.0","31.88","8.0","102400"
"AZO","1991-05-09","32.0","32.38","31.88","8.0625","124400"
"AZO","1991-05-10","32.12","32.12","31.75","7.9375","61600"
"AZO","1991-05-13","31.62","31.75","31.12","7.7812","85600"
"AZO","1991-05-14","31.25","31.25","29.75","7.5","296000"
"AZO","1991-05-15","30.0","31.25","29.88","7.6562","165600"
"AZO","1991-05-16","30.75","31.0","30.5","7.75","116000"
"AZO","1991-05-17","30.75","30.75","29.25","7.4688","864000"
"AZO","1991-05-20","30.0","31.0","29.88","7.6875","174800"
"AZO","1991-05-21","31.62","31.88","30.88","7.75","235200"
"AZO","1991-05-22","31.12","31.5","31.0","7.875","53600"
"AZO","1991-05-23","31.5","31.5","30.75","7.7188","24000"
"AZO","1991-05-24","31.0","31.38","30.88","7.8125","62400"
"AZO","1991-05-28","31.0","31.12","30.5","7.75","46400"
"AZO","1991-05-29","31.12","31.12","30.5","7.625","183600"
"AZO","1991-05-30","30.5","30.5","29.75","7.5625","306400"
"AZO","1991-05-31","30.25","30.25","29.88","7.5312","36800"
"AZO","1991-06-03","30.0","30.75","30.0","7.6875","257200"
"AZO","1991-06-04","30.88","31.38","30.62","7.8438","110800"
"AZO","1991-06-05","31.38","32.62","31.38","8.1562","266800"
"AZO","1991-06-06","32.5","33.0","32.5","8.1562","105200"
"AZO","1991-06-07","32.62","33.0","32.5","8.1875","309200"
"AZO","1991-06-10","32.75","33.38","32.75","8.3438","103200"
"AZO","1991-06-11","33.62","33.75","33.25","8.4062","197600"
"AZO","1991-06-12","33.62","33.75","32.12","8.0312","236400"
"AZO","1991-06-13","32.12","32.12","31.62","7.9375","84800"
"AZO","1991-06-14","32.0","33.88","32.0","8.375","298800"
"AZO","1991-06-17","33.5","34.75","33.5","8.6562","348800"
"AZO","1991-06-18","34.5","34.75","34.38","8.6562","74800"
"AZO","1991-06-19","34.62","34.62","33.5","8.375","102400"
"AZO","1991-06-20","33.25","33.25","32.88","8.25","51200"
"AZO","1991-06-21","33.25","33.5","33.12","8.3125","192800"
"AZO","1991-06-24","33.0","33.25","32.38","8.1562","128800"
"AZO","1991-06-25","32.25","32.25","31.62","7.9688","137600"
"AZO","1991-06-26","31.62","31.88","31.25","7.9688","235600"
"AZO","1991-06-27","32.12","33.5","32.12","8.375","186800"
"AZO","1991-06-28","33.5","34.0","33.5","8.4688","222000"
"AZO","1991-07-01","34.62","36.25","34.5","9.0625","421600"
"AZO","1991-07-02","36.12","37.62","35.88","9.2812","459200"
"AZO","1991-07-03","36.88","37.25","36.5","9.2812","243600"
"AZO","1991-07-05","37.25","38.62","37.25","9.625","248800"
"AZO","1991-07-08","38.5","39.75","38.25","9.9062","470800"
"AZO","1991-07-09","39.88","41.0","39.75","10.1875","320000"
"AZO","1991-07-10","40.75","41.0","40.0","10.0625","481600"
"AZO","1991-07-11","40.25","40.25","37.88","9.625","404000"
"AZO","1991-07-12","38.5","38.75","38.12","9.625","398000"
"AZO","1991-07-15","38.5","40.0","38.5","10.0","216800"
"AZO","1991-07-16","40.0","40.0","39.75","9.9375","145600"
"AZO","1991-07-17","39.62","40.0","39.62","9.9688","200400"
"AZO","1991-07-18","40.0","40.5","39.88","10.0938","104800"
"AZO","1991-07-19","40.25","40.25","39.75","10.0","172000"
"AZO","1991-07-22","40.0","40.0","39.0","9.75","195600"
"AZO","1991-07-23","39.0","39.0","38.88","9.75","117600"
"AZO","1991-07-24","38.75","38.88","38.5","9.6562","88400"
"AZO","1991-07-25","38.25","39.25","38.25","9.75","111600"
"AZO","1991-07-26","39.25","39.25","38.75","9.7188","182400"
"AZO","1991-07-29","38.88","38.88","38.75","9.7188","193600"
"AZO","1991-07-30","38.88","39.0","38.62","9.75","238400"
"AZO","1991-07-31","38.75","38.75","37.38","9.4375","361600"
"AZO","1991-08-01","37.75","37.88","37.38","9.4375","310000"
"AZO","1991-08-02","37.75","38.38","37.5","9.5625","150800"
"AZO","1991-08-05","38.25","38.25","38.0","9.5625","196400"
"AZO","1991-08-06","38.0","38.38","37.75","9.5625","62800"
"AZO","1991-08-07","38.25","38.88","38.25","9.7188","129200"
"AZO","1991-08-08","39.0","39.38","38.75","9.8125","222000"
"AZO","1991-08-09","39.25","39.25","38.75","9.8125","157200"
"AZO","1991-08-12","39.25","39.25","39.0","9.7812","32800"
"AZO","1991-08-13","39.25","39.5","39.12","9.8438","138000"
