"symbol","date","open","high","low","close","volume"
"BANC","2002-10-01","14.06","14.14","14.05","9.2013","39700"
"BANC","2002-10-02","14.09","14.25","14.02","9.12","24500"
"BANC","2002-10-03","14.02","14.2","14.02","9.1912","26200"
"BANC","2002-10-04","14.09","14.09","14.09","9.1708","5800"
"BANC","2002-10-07","14.09","14.09","14.09","9.1708","0"
"BANC","2002-10-08","14.08","14.08","14.0","9.1607","1700"
"BANC","2002-10-09","14.0","14.06","13.77","8.9573","48900"
"BANC","2002-10-10","13.77","13.98","13.66","8.9777","11000"
"BANC","2002-10-11","13.7","13.92","13.7","9.059","3800"
"BANC","2002-10-14","13.86","13.97","13.7","8.9573","10300"
"BANC","2002-10-15","13.84","14.16","13.8","9.2115","49300"
"BANC","2002-10-16","14.03","14.19","14.0","9.2318","11000"
"BANC","2002-10-17","14.06","14.19","14.06","9.2115","24100"
"BANC","2002-10-18","14.19","14.19","14.08","9.1607","1600"
"BANC","2002-10-21","14.09","14.45","14.09","9.3335","32200"
"BANC","2002-10-22","14.31","14.41","14.31","9.3742","4600"
"BANC","2002-10-23","14.34","14.56","14.31","9.4759","15900"
"BANC","2002-10-24","14.56","14.7","14.56","9.486","31200"
"BANC","2002-10-25","14.66","14.66","14.58","9.4962","8600"
"BANC","2002-10-28","14.66","14.91","14.58","9.6284","70400"
"BANC","2002-10-29","14.91","15.08","14.91","9.7605","45300"
"BANC","2002-10-30","15.09","15.59","15.09","10.1164","78100"
"BANC","2002-10-31","15.47","15.73","15.45","10.096","131100"
"BANC","2002-11-01","15.45","15.45","15.25","10.0452","6700"
"BANC","2002-11-04","15.34","15.5","15.25","9.974","65800"
"BANC","2002-11-05","15.34","15.45","15.34","10.0554","5100"
"BANC","2002-11-06","15.38","15.45","15.3","10.0249","18200"
"BANC","2002-11-07","15.42","15.42","15.16","9.8622","8100"
"BANC","2002-11-08","15.16","15.16","15.16","9.8622","2000"
"BANC","2002-11-11","15.16","15.16","15.16","9.8622","6500"
"BANC","2002-11-12","15.31","15.34","14.94","9.7199","11300"
"BANC","2002-11-13","14.94","15.19","14.94","9.8825","51800"
"BANC","2002-11-14","15.23","15.25","15.17","9.9232","2000"
"BANC","2002-11-15","15.25","15.3","15.19","9.9537","7900"
"BANC","2002-11-18","15.31","15.45","15.31","9.9639","4200"
"BANC","2002-11-19","15.41","15.41","15.22","9.9029","13400"
"BANC","2002-11-20","15.3","15.48","15.3","10.0757","22900"
"BANC","2002-11-21","15.48","15.48","15.3","10.0757","7500"
"BANC","2002-11-22","15.5","15.55","15.41","10.0249","9700"
"BANC","2002-11-25","15.41","15.47","15.41","10.0656","15000"
"BANC","2002-11-26","15.41","15.41","15.41","10.0249","6000"
"BANC","2002-11-27","15.41","15.47","15.41","10.0656","6100"
"BANC","2002-11-29","15.5","15.5","15.48","10.0757","7000"
"BANC","2002-12-02","15.44","15.55","15.44","10.0656","44000"
"BANC","2002-12-03","15.5","15.55","15.5","10.1164","1500"
"BANC","2002-12-04","15.56","15.56","15.41","10.0249","4800"
"BANC","2002-12-05","15.5","15.5","15.41","10.0656","13600"
"BANC","2002-12-06","15.44","15.56","15.42","10.1266","13600"
"BANC","2002-12-09","15.5","15.5","15.5","10.0859","2500"
"BANC","2002-12-10","15.42","15.5","15.42","10.0351","7800"
"BANC","2002-12-11","15.38","15.52","15.38","10.0351","8500"
"BANC","2002-12-12","15.42","15.42","15.42","10.0351","0"
"BANC","2002-12-13","15.45","15.5","15.42","10.0859","23000"
"BANC","2002-12-16","15.52","15.52","15.41","10.0554","7700"
"BANC","2002-12-17","15.52","15.59","15.41","10.096","12700"
"BANC","2002-12-18","15.52","15.52","15.52","10.096","0"
"BANC","2002-12-19","15.55","15.73","15.45","10.1266","49300"
"BANC","2002-12-20","15.59","16.14","15.55","10.4722","17500"
"BANC","2002-12-23","15.92","16.45","15.75","10.6858","13400"
"BANC","2002-12-24","16.47","17.0","16.47","11.0009","7200"
"BANC","2002-12-26","16.84","17.02","16.73","11.0721","17400"
"BANC","2002-12-27","16.81","16.84","16.81","10.9603","1300"
"BANC","2002-12-30","16.81","16.91","16.73","10.9501","1100"
"BANC","2002-12-31","16.81","16.81","16.72","10.9399","8400"
"BANC","2003-01-02","16.81","16.81","16.81","10.9399","4800"
"BANC","2003-01-03","16.81","16.81","16.42","10.6858","2500"
"BANC","2003-01-06","16.41","16.45","16.3","10.7061","1700"
"BANC","2003-01-07","16.31","16.41","16.27","10.6654","2400"
"BANC","2003-01-08","16.38","16.38","16.38","10.6552","700"
"BANC","2003-01-09","16.38","16.38","16.3","10.6552","4100"
"BANC","2003-01-10","16.38","16.45","16.22","10.6451","2200"
"BANC","2003-01-13","16.27","16.27","16.27","10.5841","200"
"BANC","2003-01-14","16.27","16.27","16.27","10.5841","0"
"BANC","2003-01-15","16.23","16.38","16.22","10.6552","1100"
"BANC","2003-01-16","16.38","16.38","16.38","10.6552","200"
"BANC","2003-01-17","16.23","16.28","16.2","10.5942","24100"
"BANC","2003-01-21","16.12","16.12","15.94","10.3706","4600"
"BANC","2003-01-22","15.91","15.91","15.66","10.1876","11500"
"BANC","2003-01-23","15.8","15.8","15.7","10.2181","1500"
"BANC","2003-01-24","15.66","15.75","15.66","10.2384","500"
"BANC","2003-01-27","15.66","15.66","15.66","10.1876","200"
"BANC","2003-01-28","15.66","15.66","15.66","10.1876","0"
"BANC","2003-01-29","15.58","15.59","15.58","10.1469","600"
"BANC","2003-01-30","15.61","15.88","15.61","10.3299","6800"
"BANC","2003-01-31","15.81","15.83","15.8","10.2892","800"
"BANC","2003-02-03","15.88","15.88","15.84","10.3096","1300"
"BANC","2003-02-04","15.81","15.91","15.8","10.3502","3400"
"BANC","2003-02-05","15.84","15.94","15.84","10.3502","34200"
"BANC","2003-02-06","15.8","15.83","15.8","10.2994","800"
"BANC","2003-02-07","15.89","15.89","15.89","10.3401","100"
"BANC","2003-02-10","15.94","15.94","15.94","10.3706","500"
"BANC","2003-02-11","15.91","15.91","15.91","10.3502","300"
"BANC","2003-02-12","15.89","15.89","15.81","10.2892","500"
"BANC","2003-02-13","15.7","15.7","15.59","10.1774","4000"
"BANC","2003-02-14","15.64","15.66","15.53","10.1571","22800"
"BANC","2003-02-18","15.66","15.66","15.66","10.1876","600"
"BANC","2003-02-19","15.56","15.66","15.56","10.1876","1500"
"BANC","2003-02-20","15.66","15.66","15.66","10.1876","1400"
"BANC","2003-02-21","15.66","15.66","15.47","10.096","30100"
"BANC","2003-02-24","15.58","15.59","15.52","10.096","13600"
"BANC","2003-02-25","15.52","15.62","15.52","10.096","1900"
"BANC","2003-02-26","15.59","15.66","15.59","10.1774","5000"
"BANC","2003-02-27","15.75","15.94","15.75","10.3096","7100"
"BANC","2003-02-28","15.84","15.84","15.73","10.2791","3400"
"BANC","2003-03-03","15.8","15.81","15.78","10.2892","1900"
"BANC","2003-03-04","15.77","15.77","15.77","10.2587","200"
"BANC","2003-03-05","15.78","15.78","15.52","10.1469","5500"
"BANC","2003-03-06","15.66","15.73","15.55","10.2384","5500"
"BANC","2003-03-07","15.73","16.02","15.73","10.4214","1100"
"BANC","2003-03-10","16.03","16.09","15.91","10.4214","205500"
"BANC","2003-03-11","16.0","16.05","15.95","10.4112","6100"
"BANC","2003-03-12","16.0","16.05","15.7","10.3317","53900"
"BANC","2003-03-13","15.91","16.08","15.84","10.4949","39900"
"BANC","2003-03-14","16.09","16.3","16.09","10.5969","4600"
"BANC","2003-03-17","16.22","16.23","16.2","10.5765","1400"
"BANC","2003-03-18","16.16","16.16","16.02","10.4541","700"
"BANC","2003-03-19","16.02","16.09","16.02","10.5051","3300"
"BANC","2003-03-20","16.14","16.27","16.14","10.5459","1700"
"BANC","2003-03-21","16.12","16.31","16.12","10.6071","16700"
"BANC","2003-03-24","16.25","16.25","16.09","10.5459","9400"
"BANC","2003-03-25","16.25","16.3","16.2","10.6377","3500"
"BANC","2003-03-26","16.2","16.3","16.16","10.6071","9200"
"BANC","2003-03-27","16.22","16.22","16.16","10.5459","1000"
"BANC","2003-03-28","16.3","16.41","16.3","10.6988","1600"
"BANC","2003-03-31","16.06","16.33","16.06","10.5765","4400"
"BANC","2003-04-01","16.2","16.44","16.2","10.6377","2600"
"BANC","2003-04-02","16.48","16.48","16.33","10.658","9700"
"BANC","2003-04-03","16.41","16.55","16.41","10.7702","2400"
"BANC","2003-04-04","16.5","16.98","16.5","10.9334","136600"
"BANC","2003-04-07","16.81","16.91","16.64","10.9028","3600"
"BANC","2003-04-08","16.7","16.7","16.7","10.9028","500"
"BANC","2003-04-09","16.7","16.7","16.56","10.8722","1800"
