"symbol","date","open","high","low","close","volume"
"BBRG","2010-10-21","14.5","16.35","14.26","15.95","5887900"
"BBRG","2010-10-22","15.99","17.5","15.95","16.94","528900"
"BBRG","2010-10-25","17.05","17.3","16.5","17.3","286600"
"BBRG","2010-10-26","17.3","17.47","16.8","17.29","157200"
"BBRG","2010-10-27","17.0","17.11","16.71","17.04","217900"
"BBRG","2010-10-28","16.91","17.61","16.9","17.47","144600"
"BBRG","2010-10-29","17.85","18.3","17.82","18.0","126200"
"BBRG","2010-11-01","18.39","18.39","17.5","17.8","86800"
"BBRG","2010-11-02","18.03","18.03","17.4","17.63","72000"
"BBRG","2010-11-03","17.74","17.74","17.0","17.05","22700"
"BBRG","2010-11-04","17.05","17.17","16.8","17.09","59800"
"BBRG","2010-11-05","17.25","17.5","16.92","17.33","63500"
"BBRG","2010-11-08","17.3","17.75","17.1","17.68","36200"
"BBRG","2010-11-09","17.24","17.84","17.24","17.75","90400"
"BBRG","2010-11-10","17.37","19.08","17.28","18.78","377600"
"BBRG","2010-11-11","18.99","19.31","18.31","18.99","237600"
"BBRG","2010-11-12","19.08","19.3","18.63","18.85","47600"
"BBRG","2010-11-15","19.0","19.5","18.36","18.92","350500"
"BBRG","2010-11-16","18.54","19.0","18.0","18.4","88600"
"BBRG","2010-11-17","18.8","18.83","17.8","18.31","299600"
"BBRG","2010-11-18","18.57","18.7","17.47","17.47","101400"
"BBRG","2010-11-19","17.54","18.0","17.25","17.47","149600"
"BBRG","2010-11-22","17.5","17.65","17.24","17.49","23100"
"BBRG","2010-11-23","17.39","17.79","16.86","16.87","75800"
"BBRG","2010-11-24","17.04","17.16","16.84","17.15","31500"
"BBRG","2010-11-26","17.0","17.12","17.0","17.03","7600"
"BBRG","2010-11-29","17.25","17.61","16.85","17.54","108900"
"BBRG","2010-11-30","17.71","17.81","17.3","17.56","259800"
"BBRG","2010-12-01","17.72","17.99","17.22","17.9","414200"
"BBRG","2010-12-02","18.04","18.9","17.73","18.72","158100"
"BBRG","2010-12-03","18.76","18.98","18.63","18.66","81500"
"BBRG","2010-12-06","18.74","19.0","18.58","18.66","94400"
"BBRG","2010-12-07","18.89","18.94","18.25","18.32","56300"
"BBRG","2010-12-08","18.29","18.36","17.8","18.33","64200"
"BBRG","2010-12-09","18.91","18.91","17.98","18.51","53100"
"BBRG","2010-12-10","18.01","18.71","18.01","18.58","35500"
"BBRG","2010-12-13","18.56","19.97","18.17","19.43","131700"
"BBRG","2010-12-14","19.45","20.29","19.3","19.52","91900"
"BBRG","2010-12-15","19.45","19.45","18.25","18.98","64400"
"BBRG","2010-12-16","19.0","19.37","18.11","18.44","102400"
"BBRG","2010-12-17","18.39","19.0","17.58","18.33","1413300"
"BBRG","2010-12-20","18.35","19.5","18.3","18.43","152900"
"BBRG","2010-12-21","18.5","18.5","17.67","18.31","80500"
"BBRG","2010-12-22","18.41","19.0","18.01","18.8","74200"
"BBRG","2010-12-23","18.95","18.95","18.45","18.71","29000"
"BBRG","2010-12-27","18.64","18.97","18.5","18.88","19300"
"BBRG","2010-12-28","18.94","19.04","18.67","18.97","44100"
"BBRG","2010-12-29","19.0","19.05","18.66","19.01","35400"
"BBRG","2010-12-30","19.04","19.24","18.96","19.2","79200"
"BBRG","2010-12-31","19.22","19.46","18.82","19.17","51900"
"BBRG","2011-01-03","19.28","19.86","19.12","19.44","27900"
"BBRG","2011-01-04","19.52","19.52","18.31","19.12","59900"
"BBRG","2011-01-05","19.0","19.13","18.72","18.77","43100"
"BBRG","2011-01-06","18.74","18.94","18.22","18.46","176200"
"BBRG","2011-01-07","18.52","18.61","17.93","18.2","32500"
"BBRG","2011-01-10","18.49","18.98","17.92","18.56","209500"
"BBRG","2011-01-11","18.59","19.0","18.4","18.71","57100"
"BBRG","2011-01-12","18.8","18.8","18.0","18.11","100800"
"BBRG","2011-01-13","18.15","18.43","17.98","18.05","62100"
"BBRG","2011-01-14","18.43","18.44","17.92","18.22","65600"
"BBRG","2011-01-18","18.12","18.14","17.75","18.04","51100"
"BBRG","2011-01-19","18.04","18.15","17.26","17.34","65500"
"BBRG","2011-01-20","17.25","17.33","16.64","17.06","198100"
"BBRG","2011-01-21","17.12","17.12","16.77","16.9","57000"
"BBRG","2011-01-24","16.83","17.31","16.75","16.95","180900"
"BBRG","2011-01-25","16.83","17.66","16.6","16.73","86600"
"BBRG","2011-01-26","16.83","17.45","16.5","17.2","38300"
"BBRG","2011-01-27","17.28","17.46","17.12","17.28","49700"
"BBRG","2011-01-28","17.2","17.2","16.16","16.31","101700"
