"symbol","date","open","high","low","close","volume"
"BCRH","2013-11-06","19.45","19.45","18.5","15.1618","5130100"
"BCRH","2013-11-07","18.9","18.99","18.61","15.0415","278300"
"BCRH","2013-11-08","18.75","19.21","18.7","15.3383","151100"
"BCRH","2013-11-11","19.25","19.25","19.0","15.2822","77300"
"BCRH","2013-11-12","19.05","19.15","18.8","15.3624","72100"
"BCRH","2013-11-13","19.23","19.23","18.82","15.3223","64300"
"BCRH","2013-11-14","19.0","19.1","18.85","15.21","69900"
"BCRH","2013-11-15","18.86","19.02","18.81","15.226","62500"
"BCRH","2013-11-18","18.8","19.0","18.77","15.1137","23800"
"BCRH","2013-11-19","18.88","18.88","18.35","14.849","93100"
"BCRH","2013-11-20","18.37","18.7","17.74","14.5201","209200"
"BCRH","2013-11-21","17.65","18.11","17.61","14.4799","102000"
"BCRH","2013-11-22","17.99","18.09","17.9","14.4719","62100"
"BCRH","2013-11-25","17.9","18.02","17.89","14.4158","12200"
"BCRH","2013-11-26","18.02","18.4","17.86","14.6484","31600"
"BCRH","2013-11-27","18.26","19.1","18.26","15.21","53900"
"BCRH","2013-11-29","18.9","19.09","18.49","15.2822","7500"
"BCRH","2013-12-02","18.75","18.75","18.1","14.5923","56400"
"BCRH","2013-12-03","18.03","18.28","17.84","14.4639","71800"
"BCRH","2013-12-04","17.95","18.7","17.85","14.9853","80700"
"BCRH","2013-12-05","18.75","18.96","18.22","14.9532","43700"
"BCRH","2013-12-06","18.5","18.67","18.02","14.7607","62900"
"BCRH","2013-12-09","18.2","18.69","18.06","14.9532","198600"
"BCRH","2013-12-10","18.47","18.93","17.84","14.488","78100"
"BCRH","2013-12-11","18.0","18.18","17.91","14.5201","70700"
"BCRH","2013-12-12","17.95","18.66","17.92","14.5923","58600"
"BCRH","2013-12-13","18.5","18.59","18.01","14.7848","48200"
"BCRH","2013-12-16","18.75","18.75","17.85","14.504","82900"
"BCRH","2013-12-17","18.0","18.38","17.91","14.6645","87100"
"BCRH","2013-12-18","18.09","18.31","18.01","14.6484","90700"
"BCRH","2013-12-19","18.11","18.14","17.7","14.488","118200"
"BCRH","2013-12-20","18.0","18.08","17.68","14.504","667700"
"BCRH","2013-12-23","18.08","18.59","18.01","14.849","91800"
"BCRH","2013-12-24","18.59","18.6","18.03","14.7206","69400"
"BCRH","2013-12-26","18.38","18.47","18.19","14.6484","57800"
"BCRH","2013-12-27","18.35","18.4","17.78","14.6805","60100"
"BCRH","2013-12-30","18.5","18.5","18.1","14.7046","66200"
"BCRH","2013-12-31","18.43","18.44","18.1","14.7366","93000"
"BCRH","2014-01-02","18.4","18.4","18.0","14.5441","46000"
"BCRH","2014-01-03","18.12","18.5","18.09","14.8409","55100"
"BCRH","2014-01-06","18.43","18.6","18.34","14.8891","94900"
"BCRH","2014-01-07","18.4","18.57","18.17","14.6564","123300"
"BCRH","2014-01-08","18.12","18.25","17.72","14.2954","135600"
"BCRH","2014-01-09","17.95","21.02","17.56","14.3035","69700"
"BCRH","2014-01-10","17.77","17.85","17.59","14.1992","71200"
"BCRH","2014-01-13","17.5","17.99","17.41","14.1911","67600"
"BCRH","2014-01-14","17.7","17.84","17.59","14.2954","32800"
"BCRH","2014-01-15","17.75","17.84","17.55","14.1591","51000"
"BCRH","2014-01-16","17.59","17.69","17.55","14.1029","36100"
"BCRH","2014-01-17","17.55","17.65","16.78","13.6858","117800"
"BCRH","2014-01-21","17.09","17.57","17.0","14.0548","61400"
"BCRH","2014-01-22","17.49","17.59","17.05","13.9665","98100"
"BCRH","2014-01-23","17.27","17.6","17.07","14.1109","66200"
"BCRH","2014-01-24","17.47","17.49","17.02","13.9745","68000"
"BCRH","2014-01-27","17.39","17.39","16.91","13.7178","45300"
"BCRH","2014-01-28","17.07","17.17","17.02","13.7098","20700"
"BCRH","2014-01-29","17.1","17.1","16.9","13.5654","35900"
"BCRH","2014-01-30","16.86","17.23","16.85","13.7981","33700"
"BCRH","2014-01-31","16.92","17.29","16.9","13.5975","56500"
"BCRH","2014-02-03","16.85","16.93","16.48","13.2766","70600"
"BCRH","2014-02-04","16.54","16.76","16.49","13.2445","45600"
"BCRH","2014-02-05","16.51","16.66","16.46","13.2526","28700"
"BCRH","2014-02-06","16.48","16.87","16.48","13.421","55100"
"BCRH","2014-02-07","16.8","17.3","16.76","13.8462","33100"
"BCRH","2014-02-10","17.1","17.39","16.92","13.9264","29100"
"BCRH","2014-02-11","17.36","17.51","17.21","13.9585","37300"
"BCRH","2014-02-12","17.46","17.53","17.22","13.8703","5300"
"BCRH","2014-02-13","17.11","17.36","17.04","13.9264","15600"
"BCRH","2014-02-14","17.39","17.53","16.86","13.6055","37300"
"BCRH","2014-02-18","16.88","17.0","16.71","13.4371","53800"
"BCRH","2014-02-19","16.69","16.91","16.69","13.413","21400"
"BCRH","2014-02-20","16.7","16.89","16.68","13.5173","30400"
"BCRH","2014-02-21","16.94","17.0","16.81","13.5333","33400"
"BCRH","2014-02-24","16.87","16.97","16.8","13.4932","26100"
"BCRH","2014-02-25","16.91","16.98","16.75","13.4932","28500"
"BCRH","2014-02-26","16.89","17.1","16.75","13.4692","32300"
"BCRH","2014-02-27","16.79","16.96","16.7","13.5093","46200"
"BCRH","2014-02-28","16.77","17.11","16.73","13.6777","23100"
"BCRH","2014-03-03","17.1","17.21","16.75","13.6858","17100"
"BCRH","2014-03-04","17.2","17.2","16.91","13.7018","41700"
"BCRH","2014-03-05","17.02","17.18","17.01","13.6777","26400"
"BCRH","2014-03-06","17.02","17.15","16.83","13.6938","32600"
"BCRH","2014-03-07","16.99","17.15","16.91","13.7579","17200"
"BCRH","2014-03-10","17.06","17.18","16.87","13.6617","10300"
"BCRH","2014-03-11","16.92","17.08","16.85","13.6858","14700"
"BCRH","2014-03-12","17.06","17.46","16.85","13.9184","56400"
"BCRH","2014-03-13","17.36","17.48","17.19","13.9184","15400"
"BCRH","2014-03-14","17.34","17.69","17.33","14.1591","32600"
"BCRH","2014-03-17","17.6","18.11","17.6","14.3917","83500"
"BCRH","2014-03-18","18.04","18.35","17.41","14.7046","59100"
"BCRH","2014-03-19","18.37","18.5","18.18","14.6725","48500"
"BCRH","2014-03-20","18.37","18.5","18.15","14.6725","27400"
"BCRH","2014-03-21","18.29","18.29","17.17","13.774","141300"
"BCRH","2014-03-24","17.32","17.46","16.92","13.782","29200"
"BCRH","2014-03-25","17.3","17.76","17.1","14.0708","34200"
"BCRH","2014-03-26","17.67","17.67","17.1","13.7259","34800"
"BCRH","2014-03-27","17.05","17.17","16.75","13.5414","49300"
"BCRH","2014-03-28","16.9","17.21","16.9","13.766","21100"
"BCRH","2014-03-31","17.19","17.49","17.17","13.9505","33000"
"BCRH","2014-04-01","17.48","17.84","17.25","14.0066","28600"
"BCRH","2014-04-02","17.55","17.91","17.32","14.3436","30400"
"BCRH","2014-04-03","18.01","18.21","17.84","14.4799","51700"
"BCRH","2014-04-04","18.25","18.79","18.03","14.9212","93400"
"BCRH","2014-04-07","18.4","18.75","18.15","14.6805","37200"
"BCRH","2014-04-08","18.25","18.75","18.25","14.8409","25600"
"BCRH","2014-04-09","18.48","19.1","18.25","15.0976","108100"
"BCRH","2014-04-10","18.82","18.82","18.25","14.7126","31600"
"BCRH","2014-04-11","18.13","18.19","17.68","14.4434","53600"
"BCRH","2014-04-14","17.93","18.44","17.9","14.7697","29400"
"BCRH","2014-04-15","18.24","18.4","17.56","14.7044","17800"
"BCRH","2014-04-16","18.25","18.3","17.53","14.4271","27100"
"BCRH","2014-04-17","17.67","17.74","17.5","14.2803","24500"
"BCRH","2014-04-21","17.52","17.92","17.52","14.419","21200"
"BCRH","2014-04-22","17.76","17.94","17.74","14.5739","20100"
"BCRH","2014-04-23","17.93","18.11","17.74","14.6555","20900"
"BCRH","2014-04-24","17.77","18.11","17.7","14.5984","103000"
"BCRH","2014-04-25","17.82","17.85","17.6","14.4679","23200"
"BCRH","2014-04-28","17.6","18.0","17.5","14.2803","42500"
"BCRH","2014-04-29","17.64","17.79","17.5","14.2966","38900"
"BCRH","2014-04-30","17.5","18.9","17.5","15.1367","96000"
"BCRH","2014-05-01","18.47","18.95","18.4","15.4547","53700"
"BCRH","2014-05-02","18.89","18.89","18.25","14.9817","16500"
"BCRH","2014-05-05","18.11","18.35","18.1","14.9491","16400"
"BCRH","2014-05-06","18.37","18.95","18.35","15.0062","34800"
