"symbol","date","open","high","low","close","volume"
"BFY","2002-07-30","15.25","15.25","15.0","6.4216","88400"
"BFY","2002-07-31","15.15","15.2","15.0","6.4216","19500"
"BFY","2002-08-01","15.1","15.1","15.0","6.443","4700"
"BFY","2002-08-02","15.05","15.15","15.05","6.4644","1300"
"BFY","2002-08-05","15.05","15.05","15.0","6.4216","13200"
"BFY","2002-08-06","15.0","15.01","15.0","6.4216","3300"
"BFY","2002-08-07","15.0","15.0","15.0","6.4216","1700"
"BFY","2002-08-08","15.0","15.0","15.0","6.4216","0"
"BFY","2002-08-09","15.0","15.0","15.0","6.4216","700"
"BFY","2002-08-12","15.0","15.0","15.0","6.4216","4400"
"BFY","2002-08-13","15.0","15.0","15.0","6.4216","1000"
"BFY","2002-08-14","15.0","15.0","15.0","6.4216","600"
"BFY","2002-08-15","15.0","15.0","15.0","6.4216","1600"
"BFY","2002-08-16","15.0","15.0","15.0","6.4216","0"
"BFY","2002-08-19","15.0","15.0","15.0","6.4216","5100"
"BFY","2002-08-20","15.0","15.0","15.0","6.4216","1500"
"BFY","2002-08-21","15.0","15.25","15.0","6.5286","7500"
"BFY","2002-08-22","15.35","15.5","15.3","6.6142","7700"
"BFY","2002-08-23","15.45","15.5","15.3","6.5714","6800"
"BFY","2002-08-26","15.0","15.25","15.0","6.443","108500"
"BFY","2002-08-27","15.0","15.0","15.0","6.4216","80800"
"BFY","2002-08-28","15.1","15.1","15.0","6.4216","1200"
"BFY","2002-08-29","15.01","15.1","15.01","6.4644","1600"
"BFY","2002-08-30","15.1","15.1","15.1","6.4644","0"
"BFY","2002-09-03","15.0","15.0","15.0","6.4216","6600"
"BFY","2002-09-04","15.0","15.1","15.0","6.4644","1300"
"BFY","2002-09-05","15.01","15.01","15.01","6.4259","1600"
"BFY","2002-09-06","15.01","15.01","15.01","6.4259","0"
"BFY","2002-09-09","14.96","14.96","14.9","6.3788","5200"
"BFY","2002-09-10","14.85","14.85","14.85","6.3574","200"
"BFY","2002-09-11","14.99","14.99","14.85","6.3574","5400"
"BFY","2002-09-12","14.85","14.85","14.85","6.3574","0"
"BFY","2002-09-13","14.85","14.85","14.85","6.3574","2200"
"BFY","2002-09-16","14.85","14.85","14.85","6.3574","0"
"BFY","2002-09-17","14.95","14.95","14.95","6.4002","300"
"BFY","2002-09-18","15.05","15.1","14.95","6.4002","1300"
"BFY","2002-09-19","14.85","14.85","14.6","6.3574","12200"
"BFY","2002-09-20","14.75","14.75","14.75","6.3146","1800"
"BFY","2002-09-23","14.85","14.85","14.6","6.2503","9600"
"BFY","2002-09-24","14.7","14.8","14.7","6.336","1000"
"BFY","2002-09-25","15.0","15.0","14.65","6.3054","7100"
"BFY","2002-09-26","14.75","14.75","14.65","6.3054","1000"
"BFY","2002-09-27","14.55","14.55","14.25","6.1978","6100"
"BFY","2002-09-30","14.5","14.5","14.3","6.2193","7500"
"BFY","2002-10-01","14.55","14.65","14.5","6.3054","8900"
"BFY","2002-10-02","14.8","14.8","14.65","6.3054","1600"
"BFY","2002-10-03","14.65","14.65","14.65","6.3054","400"
"BFY","2002-10-04","14.65","14.8","14.65","6.37","8600"
"BFY","2002-10-07","14.65","14.65","14.55","6.3054","4500"
"BFY","2002-10-08","14.5","14.65","14.49","6.2624","12500"
"BFY","2002-10-09","14.55","14.65","14.55","6.3054","300"
"BFY","2002-10-10","14.55","14.55","14.55","6.2963","1900"
"BFY","2002-10-11","14.42","14.42","14.41","6.2357","7900"
"BFY","2002-10-14","14.5","14.5","14.5","6.2747","1300"
"BFY","2002-10-15","14.45","14.45","14.15","6.2098","3300"
"BFY","2002-10-16","14.25","14.4","14.25","6.2314","1200"
"BFY","2002-10-17","14.3","14.3","13.61","6.0583","14500"
"BFY","2002-10-18","13.85","13.85","13.65","5.9285","5900"
"BFY","2002-10-21","13.7","13.7","13.25","5.7424","25200"
"BFY","2002-10-22","13.37","13.45","13.27","5.7554","12500"
"BFY","2002-10-23","13.22","13.4","13.22","5.7987","1800"
"BFY","2002-10-24","13.28","13.4","13.15","5.7987","5400"
"BFY","2002-10-25","13.35","13.55","13.2","5.7121","8600"
"BFY","2002-10-28","13.3","13.3","12.88","5.6386","30100"
"BFY","2002-10-29","13.15","13.49","13.15","5.8376","7100"
"BFY","2002-10-30","13.5","13.5","13.4","5.7987","1500"
"BFY","2002-10-31","13.45","13.5","13.0","5.7554","15000"
"BFY","2002-11-01","13.4","13.6","13.4","5.8636","6700"
"BFY","2002-11-04","13.59","13.65","13.4","5.7987","9600"
"BFY","2002-11-05","13.35","13.35","13.2","5.777","9200"
"BFY","2002-11-06","13.3","13.5","13.25","5.8419","10900"
"BFY","2002-11-07","13.25","13.65","13.13","5.8679","23500"
"BFY","2002-11-08","13.56","13.56","13.54","5.8592","1800"
"BFY","2002-11-11","13.4","13.5","13.4","5.8419","9100"
"BFY","2002-11-12","13.6","13.8","13.6","5.8852","6600"
"BFY","2002-11-13","13.6","13.65","13.55","5.8978","4600"
"BFY","2002-11-14","13.5","13.51","13.5","5.8804","2400"
"BFY","2002-11-15","13.45","13.45","13.1","5.8108","11500"
"BFY","2002-11-18","13.3","13.5","13.0","5.8761","18200"
"BFY","2002-11-19","13.51","13.59","13.25","5.789","11400"
"BFY","2002-11-20","13.31","13.35","13.3","5.789","8400"
"BFY","2002-11-21","13.2","13.3","12.95","5.6454","69800"
"BFY","2002-11-22","12.99","13.1","12.92","5.6584","22300"
"BFY","2002-11-25","13.0","13.0","12.9","5.6584","17100"
"BFY","2002-11-26","12.95","13.22","12.95","5.7455","11700"
