"symbol","date","open","high","low","close","volume"
"BHACU","2015-02-06","10.0","10.02","9.99","9.99","502330"
"BHACU","2015-02-10","9.98","10.0","9.97","9.97","0"
"BHACU","2015-02-11","10.0","10.0","10.0","10.0","200"
"BHACU","2015-03-30","10.0","10.0","10.0","10.0","4000"
"BHACU","2015-04-21","10.09","10.09","10.09","10.09","150"
"BHACU","2015-04-22","10.0","10.0","9.99","9.99","20100"
"BHACU","2015-04-23","9.98","10.0","9.98","10.0","6641"
"BHACU","2015-04-24","10.0","10.05","10.0","10.0","6600"
"BHACU","2015-05-01","10.0","10.02","10.0","10.0","13600"
"BHACU","2015-05-04","10.0","10.0","10.0","10.0","5000"
"BHACU","2015-05-05","10.0","10.0","10.0","10.0","9000"
"BHACU","2015-05-06","10.0","10.0","10.0","10.0","11413"
"BHACU","2015-05-12","10.04","10.1","10.04","10.09","6010"
"BHACU","2015-05-22","10.16","10.16","10.16","10.16","310"
"BHACU","2015-06-09","10.1","10.15","10.1","10.15","6700"
"BHACU","2015-06-10","10.15","10.15","10.15","10.15","600"
"BHACU","2015-06-11","10.15","10.15","10.15","10.15","630"
"BHACU","2015-06-12","10.15","10.15","10.15","10.15","600"
"BHACU","2015-06-15","10.12","10.15","10.06","10.15","5100"
"BHACU","2015-06-16","10.15","10.15","10.06","10.06","870"
"BHACU","2015-07-06","10.05","10.05","10.05","10.05","600"
"BHACU","2015-07-15","10.15","10.15","10.05","10.05","900"
"BHACU","2015-07-20","10.19","10.19","10.15","10.19","1100"
"BHACU","2015-07-22","10.15","10.15","10.15","10.15","1000"
"BHACU","2015-07-27","10.15","10.15","10.15","10.15","100"
"BHACU","2015-08-18","10.15","10.15","10.15","10.15","10921"
"BHACU","2015-08-20","10.19","10.19","10.19","10.19","6000"
"BHACU","2015-09-18","10.2","10.2","10.2","10.2","100"
"BHACU","2015-09-22","10.2","10.2","10.2","10.2","12000"
"BHACU","2015-09-24","10.2","10.2","10.2","10.2","5900"
"BHACU","2015-10-02","10.15","10.15","10.15","10.15","115900"
"BHACU","2015-10-05","10.17","10.17","10.17","10.17","6000"
"BHACU","2015-10-12","10.15","10.15","10.15","10.15","21500"
"BHACU","2015-10-13","10.2","10.2","10.2","10.2","15000"
"BHACU","2015-10-14","10.13","10.13","10.13","10.2","50"
"BHACU","2015-11-09","10.11","10.11","10.11","10.2","73"
"BHACU","2015-11-18","10.07","10.1","10.05","10.08","501500"
"BHACU","2015-11-23","10.02","10.02","10.02","10.02","100"
"BHACU","2015-11-24","10.09","10.15","10.09","10.15","800"
"BHACU","2015-12-02","10.05","10.05","10.05","10.05","2500"
"BHACU","2015-12-03","10.13","10.13","10.13","10.13","100"
"BHACU","2015-12-04","10.13","10.13","10.13","10.13","1000"
"BHACU","2015-12-17","10.2","10.2","10.04","10.14","700"
"BHACU","2015-12-24","10.1","10.1","10.08","10.08","11321"
"BHACU","2016-01-04","10.15","10.15","10.15","10.15","209"
"BHACU","2016-01-13","10.06","10.07","10.01","10.01","2400"
"BHACU","2016-01-15","10.0","10.0","10.0","10.0","1000"
"BHACU","2016-02-02","10.12","10.12","10.12","10.12","100"
"BHACU","2016-02-09","10.12","10.13","10.12","10.13","5200"
"BHACU","2016-02-23","10.15","10.15","10.13","10.13","5000"
"BHACU","2016-03-01","10.19","10.19","10.16","10.19","2400"
"BHACU","2016-03-24","10.16","10.16","10.16","10.16","2900"
"BHACU","2016-04-01","10.18","10.2","10.17","10.2","1760"
"BHACU","2016-04-04","10.17","10.17","10.13","10.13","2000"
"BHACU","2016-04-05","10.16","10.16","10.16","10.16","2000"
"BHACU","2016-04-06","10.15","10.15","10.15","10.15","18200"
"BHACU","2016-04-07","10.15","10.15","10.13","10.15","16200"
"BHACU","2016-04-11","10.16","10.2","10.15","10.15","8300"
"BHACU","2016-04-12","10.15","10.15","10.15","10.15","2700"
"BHACU","2016-04-13","10.15","10.15","10.15","10.15","2000"
"BHACU","2016-04-14","10.17","10.17","10.15","10.15","3035"
"BHACU","2016-04-15","10.17","10.17","10.15","10.15","500"
"BHACU","2016-04-19","10.15","10.16","10.15","10.15","5500"
"BHACU","2016-04-26","10.14","10.14","10.13","10.13","2904"
"BHACU","2016-04-28","10.16","10.16","10.15","10.15","2500"
"BHACU","2016-05-02","10.15","10.15","10.14","10.15","16900"
"BHACU","2016-05-05","10.14","10.14","10.14","10.14","200"
"BHACU","2016-05-12","10.14","10.14","10.14","10.14","2000"
"BHACU","2016-05-17","10.14","10.14","10.14","10.14","1000"
"BHACU","2016-05-18","10.16","10.16","10.15","10.15","7400"
"BHACU","2016-05-19","10.15","10.15","10.14","10.15","13100"
"BHACU","2016-05-20","10.14","10.15","10.14","10.15","300"
"BHACU","2016-05-23","10.15","10.15","10.14","10.14","4400"
