"symbol","date","open","high","low","close","volume"
"BHE","1990-06-28","8.5","8.63","8.5","1.9167","139500"
"BHE","1990-06-29","8.63","8.63","8.13","1.8333","361300"
"BHE","1990-07-02","8.25","8.37","8.0","1.8333","226300"
"BHE","1990-07-03","8.25","8.25","8.0","1.8333","87300"
"BHE","1990-07-05","8.13","8.13","8.0","1.8056","50400"
"BHE","1990-07-06","8.13","8.25","8.13","1.8333","22900"
"BHE","1990-07-09","8.25","8.25","8.0","1.7778","18400"
"BHE","1990-07-10","8.0","8.13","8.0","1.8056","32800"
"BHE","1990-07-11","8.13","8.25","8.13","1.8056","54000"
"BHE","1990-07-12","8.25","8.5","8.25","1.8611","110700"
"BHE","1990-07-13","8.37","8.37","8.25","1.8333","38700"
"BHE","1990-07-16","8.25","8.5","8.25","1.8889","35100"
"BHE","1990-07-17","8.5","8.5","8.25","1.8611","80500"
"BHE","1990-07-18","8.37","8.37","8.25","1.8333","29700"
"BHE","1990-07-19","8.25","8.25","8.13","1.8333","28300"
"BHE","1990-07-20","8.25","8.37","8.25","1.8611","28300"
"BHE","1990-07-23","8.25","8.25","8.0","1.8056","53100"
"BHE","1990-07-24","8.13","8.25","7.88","1.8056","35100"
"BHE","1990-07-25","8.0","8.0","8.0","1.7778","57600"
"BHE","1990-07-26","8.0","8.13","7.88","1.8056","99000"
"BHE","1990-07-27","8.13","8.13","7.5","1.6944","96700"
"BHE","1990-07-30","7.62","7.75","7.62","1.6944","7200"
"BHE","1990-07-31","7.62","7.75","7.38","1.6944","249700"
"BHE","1990-08-01","7.62","7.75","7.5","1.6667","15300"
"BHE","1990-08-02","7.5","7.62","7.0","1.6111","64800"
"BHE","1990-08-03","7.12","7.12","6.88","1.5833","36400"
"BHE","1990-08-06","7.12","7.25","6.62","1.6111","43200"
"BHE","1990-08-07","7.25","7.38","7.0","1.6389","40500"
"BHE","1990-08-08","7.38","7.38","7.0","1.6389","13000"
"BHE","1990-08-09","7.38","7.38","7.38","1.6389","0"
"BHE","1990-08-10","7.25","7.25","7.0","1.6111","9000"
"BHE","1990-08-13","7.25","7.25","7.25","1.6111","400"
"BHE","1990-08-14","7.25","7.25","7.25","1.6111","37300"
"BHE","1990-08-15","7.25","7.25","7.25","1.6111","0"
"BHE","1990-08-16","7.12","7.12","6.88","1.5278","15300"
"BHE","1990-08-17","6.62","6.62","6.5","1.4444","19300"
"BHE","1990-08-20","6.25","6.25","6.0","1.3889","49900"
"BHE","1990-08-21","6.0","6.0","5.62","1.25","22900"
"BHE","1990-08-22","5.5","5.5","5.25","1.2222","18400"
"BHE","1990-08-23","5.5","5.5","5.5","1.2222","22500"
"BHE","1990-08-24","5.37","5.37","5.25","1.1667","25600"
"BHE","1990-08-27","5.5","6.0","5.5","1.3333","34200"
"BHE","1990-08-28","6.0","6.25","6.0","1.3889","3100"
"BHE","1990-08-29","6.5","6.88","6.5","1.4444","26500"
"BHE","1990-08-30","6.38","6.38","6.38","1.4167","2200"
"BHE","1990-08-31","6.38","6.38","6.38","1.4167","0"
"BHE","1990-09-04","6.38","6.38","6.25","1.4167","6700"
"BHE","1990-09-05","6.38","6.38","6.38","1.4167","0"
"BHE","1990-09-06","6.38","6.38","6.38","1.4167","0"
"BHE","1990-09-07","6.38","6.38","6.38","1.4167","5800"
"BHE","1990-09-10","6.38","6.38","6.38","1.4167","2200"
"BHE","1990-09-11","6.25","6.25","6.12","1.3611","1300"
"BHE","1990-09-12","6.12","6.12","6.12","1.3611","0"
"BHE","1990-09-13","6.0","6.0","6.0","1.3333","4500"
"BHE","1990-09-14","6.0","6.0","6.0","1.3333","0"
"BHE","1990-09-17","6.0","6.0","6.0","1.3333","0"
"BHE","1990-09-18","5.75","5.75","5.5","1.25","7600"
"BHE","1990-09-19","5.62","5.62","5.5","1.25","43200"
"BHE","1990-09-20","5.5","5.5","5.25","1.2222","5400"
