"symbol","date","open","high","low","close","volume"
"BHV","2002-04-26","15.0","15.0","15.0","7.0785","4500"
"BHV","2002-04-29","15.0","15.37","15.0","7.1257","3600"
"BHV","2002-04-30","15.1","15.1","15.05","7.1257","6600"
"BHV","2002-05-01","15.08","15.08","15.08","7.1162","300"
"BHV","2002-05-02","15.08","15.08","15.08","7.1162","0"
"BHV","2002-05-03","15.08","15.08","15.08","7.1162","0"
"BHV","2002-05-06","15.08","15.08","15.08","7.1162","100"
"BHV","2002-05-07","15.1","15.1","15.1","7.1257","1000"
"BHV","2002-05-08","15.1","15.1","15.1","7.1257","0"
"BHV","2002-05-09","15.1","15.1","15.1","7.1257","500"
"BHV","2002-05-10","15.1","15.1","15.0","7.0785","2500"
"BHV","2002-05-13","15.0","15.1","15.0","7.0785","6500"
"BHV","2002-05-14","15.0","15.0","15.0","7.0785","0"
"BHV","2002-05-15","15.1","15.15","15.1","7.1493","2000"
"BHV","2002-05-16","15.04","15.04","15.0","7.0785","4100"
"BHV","2002-05-17","15.1","15.1","15.1","7.1257","500"
"BHV","2002-05-20","15.1","15.1","15.1","7.1257","400"
"BHV","2002-05-21","15.0","15.0","15.0","7.0785","1000"
"BHV","2002-05-22","15.0","15.0","15.0","7.0785","0"
"BHV","2002-05-23","15.0","15.0","15.0","7.0785","10000"
"BHV","2002-05-24","15.0","15.0","15.0","7.0785","3400"
"BHV","2002-05-28","15.0","15.0","15.0","7.0785","3800"
"BHV","2002-05-29","15.1","15.1","15.1","7.1257","1200"
"BHV","2002-05-30","15.1","15.1","15.0","7.0785","1200"
"BHV","2002-05-31","15.0","15.0","15.0","7.0785","3100"
"BHV","2002-06-03","15.0","15.0","15.0","7.0785","0"
"BHV","2002-06-04","15.0","15.0","15.0","7.0785","1300"
"BHV","2002-06-05","15.0","15.0","15.0","7.0785","1000"
"BHV","2002-06-06","15.0","15.0","15.0","7.0785","0"
"BHV","2002-06-07","15.0","15.01","15.0","7.0832","6300"
"BHV","2002-06-10","15.01","15.01","15.01","7.0832","400"
"BHV","2002-06-11","15.01","15.01","15.0","7.0785","2500"
"BHV","2002-06-12","15.01","15.01","15.01","7.0832","300"
"BHV","2002-06-13","15.01","15.01","15.01","7.0832","600"
"BHV","2002-06-14","15.01","15.01","15.01","7.0832","0"
"BHV","2002-06-17","14.99","14.99","14.77","7.069","6000"
"BHV","2002-06-18","14.93","14.93","14.93","7.0454","500"
"BHV","2002-06-19","14.93","15.01","14.93","7.0832","3000"
"BHV","2002-06-20","15.01","15.01","15.01","7.0832","0"
"BHV","2002-06-21","15.01","15.04","15.01","7.0974","700"
"BHV","2002-06-24","15.21","15.5","15.21","7.3491","2300"
"BHV","2002-06-25","15.25","15.25","14.85","7.1358","3400"
"BHV","2002-06-26","15.25","15.37","15.25","7.2875","600"
"BHV","2002-06-27","15.5","15.5","14.69","7.1121","10500"
"BHV","2002-06-28","15.0","15.0","15.0","7.1121","800"
"BHV","2002-07-01","15.0","15.0","15.0","7.1121","0"
"BHV","2002-07-02","15.0","15.0","15.0","7.1121","0"
"BHV","2002-07-03","15.0","15.0","15.0","7.1121","0"
"BHV","2002-07-05","15.0","15.0","15.0","7.1121","0"
"BHV","2002-07-08","15.0","15.0","15.0","7.1121","0"
"BHV","2002-07-09","15.11","15.11","15.11","7.1642","1000"
"BHV","2002-07-10","15.11","15.11","15.11","7.1642","1000"
"BHV","2002-07-11","15.03","15.03","15.03","7.1599","300"
"BHV","2002-07-12","15.03","15.03","15.03","7.1599","3400"
"BHV","2002-07-15","15.03","15.28","15.03","7.2171","7600"
"BHV","2002-07-16","14.93","15.05","14.93","7.1694","2700"
"BHV","2002-07-17","15.05","15.3","15.05","7.1694","1800"
"BHV","2002-07-18","15.05","15.05","15.05","7.1694","1400"
"BHV","2002-07-19","15.05","15.05","14.93","7.1123","2800"
"BHV","2002-07-22","14.92","14.92","14.92","7.1075","800"
"BHV","2002-07-23","14.92","15.0","14.92","7.1456","2100"
"BHV","2002-07-24","15.0","15.0","14.81","7.0551","7700"
"BHV","2002-07-25","14.81","14.81","14.81","7.0551","0"
"BHV","2002-07-26","14.95","14.95","14.95","7.1218","700"
