"symbol","date","open","high","low","close","volume"
"BIF","1988-01-05","8.88","9.12","8.88","1.26","5700"
"BIF","1988-01-06","9.12","9.12","8.88","1.26","2600"
"BIF","1988-01-07","8.88","8.88","8.88","1.2255","300"
"BIF","1988-01-08","8.88","8.88","8.88","1.2255","2400"
"BIF","1988-01-11","8.88","9.0","8.88","1.2255","3900"
"BIF","1988-01-12","9.0","9.0","9.0","1.2427","5600"
"BIF","1988-01-13","9.0","9.0","9.0","1.2427","5200"
"BIF","1988-01-14","9.0","9.0","9.0","1.2427","0"
"BIF","1988-01-15","9.0","9.0","8.88","1.2255","2800"
"BIF","1988-01-18","9.0","9.0","8.88","1.2255","2000"
"BIF","1988-01-19","8.88","9.0","8.88","1.2255","3200"
"BIF","1988-01-20","9.0","9.0","8.88","1.2427","8300"
"BIF","1988-01-21","9.0","9.0","8.88","1.2255","7700"
"BIF","1988-01-22","9.0","9.12","9.0","1.26","4100"
"BIF","1988-01-25","9.12","9.12","9.12","1.26","1600"
"BIF","1988-01-26","9.12","9.12","9.0","1.26","2700"
"BIF","1988-01-27","9.0","9.12","9.0","1.26","4100"
"BIF","1988-01-28","9.12","9.12","9.12","1.26","3900"
"BIF","1988-01-29","9.12","9.12","9.0","1.26","5800"
"BIF","1988-02-01","9.12","9.12","9.12","1.26","2700"
"BIF","1988-02-02","9.12","9.25","9.0","1.2773","4100"
"BIF","1988-02-03","9.25","9.25","9.0","1.26","6300"
"BIF","1988-02-04","9.12","9.12","9.0","1.2427","5500"
"BIF","1988-02-05","9.25","9.25","9.12","1.2773","13700"
"BIF","1988-02-08","9.25","9.25","9.12","1.2773","5400"
"BIF","1988-02-09","9.0","9.0","8.88","1.2567","1200"
"BIF","1988-02-10","9.0","9.0","8.88","1.2744","5000"
"BIF","1988-02-11","8.88","9.0","8.88","1.2567","1700"
"BIF","1988-02-12","8.88","9.12","8.88","1.2744","12200"
"BIF","1988-02-16","8.88","9.0","8.88","1.2567","5000"
"BIF","1988-02-17","9.0","9.0","9.0","1.2744","2900"
"BIF","1988-02-18","8.88","9.0","8.88","1.2744","2900"
"BIF","1988-02-19","9.0","9.0","8.88","1.2744","1900"
"BIF","1988-02-22","9.0","9.0","9.0","1.2744","500"
"BIF","1988-02-23","9.12","9.12","8.88","1.2567","2300"
"BIF","1988-02-24","9.0","9.0","8.88","1.2567","5200"
"BIF","1988-02-25","8.88","9.12","8.88","1.2921","1400"
"BIF","1988-02-26","9.0","9.0","8.88","1.2744","2400"
"BIF","1988-02-29","9.0","9.0","8.88","1.2744","1300"
"BIF","1988-03-01","9.0","9.12","8.88","1.2744","4900"
"BIF","1988-03-02","9.0","9.0","8.88","1.2567","300"
