"symbol","date","open","high","low","close","volume"
"BKCC","2007-06-27","14.9","15.0","14.05","5.2738","0"
"BKCC","2007-06-28","14.6","14.87","14.5","5.3463","531900"
"BKCC","2007-06-29","14.75","14.95","14.55","5.3463","396100"
"BKCC","2007-07-02","14.7","14.86","14.7","5.3645","142200"
"BKCC","2007-07-03","14.7","14.95","14.7","5.4007","91300"
"BKCC","2007-07-05","15.99","15.99","14.75","5.4877","165800"
"BKCC","2007-07-06","15.25","15.25","14.75","5.4333","71100"
"BKCC","2007-07-09","14.95","15.0","14.8","5.4333","62400"
"BKCC","2007-07-10","14.95","15.09","14.84","5.437","136800"
"BKCC","2007-07-11","14.99","15.0","14.86","5.437","251900"
"BKCC","2007-07-12","15.0","15.1","14.9","5.4406","127000"
"BKCC","2007-07-13","14.9","15.1","14.9","5.4225","80700"
"BKCC","2007-07-16","14.95","15.15","14.9","5.4333","112200"
"BKCC","2007-07-17","14.91","15.0","14.9","5.437","80400"
"BKCC","2007-07-18","14.99","15.05","14.53","5.379","205100"
"BKCC","2007-07-19","14.8","14.87","14.6","5.3463","142300"
"BKCC","2007-07-20","14.76","14.8","14.61","5.3101","143900"
"BKCC","2007-07-23","14.69","14.72","14.6","5.3282","49600"
"BKCC","2007-07-24","14.51","14.72","14.4","5.3282","121000"
"BKCC","2007-07-25","14.45","14.71","14.31","5.3282","75200"
"BKCC","2007-07-26","14.35","14.35","12.45","4.8824","355300"
"BKCC","2007-07-27","13.17","13.5","12.5","4.7519","188300"
"BKCC","2007-07-30","13.17","13.98","13.06","4.8063","145100"
"BKCC","2007-07-31","12.87","13.38","12.63","4.77","198000"
"BKCC","2007-08-01","12.9","13.12","12.68","4.7084","240800"
"BKCC","2007-08-02","12.9","13.18","12.73","4.6939","161600"
"BKCC","2007-08-03","12.81","12.9","12.65","4.6359","126300"
"BKCC","2007-08-06","12.73","13.12","12.37","4.7157","495200"
"BKCC","2007-08-07","12.68","12.71","12.4","4.5707","83300"
"BKCC","2007-08-08","12.6","12.99","12.6","4.6395","89700"
"BKCC","2007-08-09","12.5","13.1","12.5","4.6685","165500"
"BKCC","2007-08-10","12.27","12.89","12.27","4.6033","107400"
"BKCC","2007-08-13","12.75","13.0","12.75","4.683","79000"
"BKCC","2007-08-14","12.92","13.0","12.88","4.712","84100"
