"symbol","date","open","high","low","close","volume"
"BKD","2005-11-22","23.1","25.49","23.0","22.3213","6194000"
"BKD","2005-11-23","25.63","25.71","24.8","22.2072","899600"
"BKD","2005-11-25","25.2","26.15","25.1","22.5144","162200"
"BKD","2005-11-28","25.65","27.15","25.65","23.2166","459900"
"BKD","2005-11-29","26.6","27.0","26.4","23.199","302400"
"BKD","2005-11-30","26.3","26.85","26.1","23.3483","163500"
"BKD","2005-12-01","26.6","26.6","25.9","23.1288","389100"
"BKD","2005-12-02","26.45","26.77","26.3","23.4799","51100"
"BKD","2005-12-05","26.8","27.5","26.75","24.1031","142900"
"BKD","2005-12-06","27.5","29.07","27.5","24.8404","308000"
"BKD","2005-12-07","28.15","28.2","27.65","24.5771","105100"
"BKD","2005-12-08","28.1","28.2","27.7","24.3138","41200"
"BKD","2005-12-09","27.6","28.55","27.5","25.016","106400"
"BKD","2005-12-12","28.6","29.55","28.53","25.6567","86600"
"BKD","2005-12-13","29.23","29.5","28.2","25.1038","90400"
"BKD","2005-12-14","28.5","29.14","28.1","25.2354","103800"
"BKD","2005-12-15","28.7","29.1","28.5","25.0335","79100"
"BKD","2005-12-16","28.6","29.4","27.81","25.4636","607200"
"BKD","2005-12-19","28.91","29.5","28.91","25.8937","124200"
"BKD","2005-12-20","29.5","31.73","29.29","26.7452","494100"
"BKD","2005-12-21","30.72","31.2","30.7","27.2104","227500"
"BKD","2005-12-22","31.01","31.26","30.7","27.342","87200"
"BKD","2005-12-23","31.15","31.3","30.5","27.1226","56600"
"BKD","2005-12-27","30.9","30.95","29.6","26.2536","96900"
"BKD","2005-12-28","29.41","30.3","29.41","26.5546","51400"
"BKD","2005-12-29","30.25","30.5","29.85","26.5811","158000"
"BKD","2005-12-30","30.03","30.03","29.5","26.3864","112000"
"BKD","2006-01-03","29.95","30.85","29.95","27.2361","353900"
"BKD","2006-01-04","29.9","29.98","29.52","26.3864","344000"
"BKD","2006-01-05","29.9","29.9","29.3","25.9881","52900"
"BKD","2006-01-06","29.46","29.7","29.3","26.0323","29400"
"BKD","2006-01-09","29.5","30.33","29.5","26.8467","67600"
"BKD","2006-01-10","30.09","30.75","30.0","27.2184","91400"
"BKD","2006-01-11","30.75","31.62","30.55","27.9885","75200"
"BKD","2006-01-12","31.87","32.1","31.6","28.0151","49800"
"BKD","2006-01-13","31.65","32.45","31.65","28.3603","98100"
"BKD","2006-01-17","32.04","32.25","31.8","28.3249","150200"
"BKD","2006-01-18","32.0","32.8","32.0","29.033","56800"
"BKD","2006-01-19","33.05","34.85","32.9","30.5378","150700"
"BKD","2006-01-20","34.5","34.54","34.0","30.1129","50200"
"BKD","2006-01-23","34.02","34.05","33.9","30.0952","52600"
"BKD","2006-01-24","34.0","34.0","33.8","30.0952","69000"
"BKD","2006-01-25","33.6","34.0","33.6","29.9004","42200"
"BKD","2006-01-26","33.85","34.0","33.78","30.0952","153700"
