"symbol","date","open","high","low","close","volume"
"BKEPP","2012-03-05","9.0","9.0","8.65","6.2913","7300"
"BKEPP","2012-03-06","8.69","8.69","8.17","5.7454","49200"
"BKEPP","2012-03-07","8.21","8.61","8.21","6.0254","2100"
"BKEPP","2012-03-08","8.58","8.61","8.58","6.0184","5500"
"BKEPP","2012-03-09","8.41","8.6","8.4","6.0184","1600"
"BKEPP","2012-03-12","8.6","9.0","8.6","6.2983","4300"
"BKEPP","2012-03-13","9.0","9.25","9.0","6.4732","5000"
"BKEPP","2012-03-14","8.83","8.85","8.83","6.1933","1500"
"BKEPP","2012-03-15","9.48","9.49","8.65","6.4382","6800"
"BKEPP","2012-03-16","9.02","9.02","9.0","6.2983","10300"
"BKEPP","2012-03-19","9.0","9.0","9.0","6.2983","0"
"BKEPP","2012-03-20","9.0","9.0","9.0","6.2983","0"
"BKEPP","2012-03-21","9.0","9.0","9.0","6.2983","2500"
"BKEPP","2012-03-22","8.6","8.75","8.6","6.0534","17100"
"BKEPP","2012-03-23","8.6","8.6","8.58","6.0184","5500"
"BKEPP","2012-03-26","8.75","8.76","8.43","5.8994","10300"
"BKEPP","2012-03-27","8.5","8.5","8.5","5.9484","700"
"BKEPP","2012-03-28","8.54","8.54","8.45","5.9134","6500"
"BKEPP","2012-03-29","8.4","8.51","8.3","5.8434","17300"
"BKEPP","2012-03-30","8.37","8.37","8.37","5.8574","200"
"BKEPP","2012-04-02","8.4","8.4","8.4","5.8784","700"
"BKEPP","2012-04-03","8.45","8.45","8.4","5.8784","1200"
"BKEPP","2012-04-04","8.4","8.4","8.4","5.8784","0"
"BKEPP","2012-04-05","8.7","8.7","8.7","6.0883","100"
"BKEPP","2012-04-09","8.6","8.95","8.6","6.2633","1700"
"BKEPP","2012-04-10","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-11","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-12","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-13","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-16","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-17","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-18","8.8","8.95","8.8","6.2353","1600"
"BKEPP","2012-04-19","8.91","8.91","8.91","6.2353","0"
"BKEPP","2012-04-20","8.9","8.9","8.9","6.2283","900"
"BKEPP","2012-04-23","8.9","8.9","8.9","6.2283","0"
"BKEPP","2012-04-24","8.64","8.65","8.64","6.0534","300"
"BKEPP","2012-04-25","8.99","8.99","8.95","6.2633","500"
"BKEPP","2012-04-26","8.95","8.95","8.95","6.2633","0"
"BKEPP","2012-04-27","8.7","8.7","8.7","6.0883","600"
"BKEPP","2012-04-30","8.7","8.7","8.7","6.0883","0"
"BKEPP","2012-05-01","8.98","10.45","8.7","6.2983","5400"
"BKEPP","2012-05-02","8.61","9.2","8.42","6.5689","1100"
"BKEPP","2012-05-03","9.2","9.2","9.2","6.5689","0"
"BKEPP","2012-05-04","9.23","9.23","8.87","6.3547","1600"
"BKEPP","2012-05-07","8.63","8.65","8.63","6.1762","500"
"BKEPP","2012-05-08","8.65","8.65","8.65","6.1762","0"
"BKEPP","2012-05-09","8.93","8.95","8.93","6.3904","1000"
"BKEPP","2012-05-10","8.95","9.21","8.8","6.3904","12000"
"BKEPP","2012-05-11","8.8","8.8","8.75","6.2619","2700"
"BKEPP","2012-05-14","8.77","8.77","8.77","6.2619","0"
"BKEPP","2012-05-15","8.95","9.05","8.95","6.4618","5800"
"BKEPP","2012-05-16","8.9","8.9","8.9","6.3547","23000"
"BKEPP","2012-05-17","8.77","8.77","8.75","6.2476","1300"
"BKEPP","2012-05-18","8.75","8.75","8.75","6.2476","0"
"BKEPP","2012-05-21","8.66","8.7","8.66","6.2119","7600"
"BKEPP","2012-05-22","8.7","8.7","8.7","6.2119","0"
"BKEPP","2012-05-23","8.7","8.7","8.7","6.2119","0"
"BKEPP","2012-05-24","8.69","8.7","8.65","6.1762","2800"
"BKEPP","2012-05-25","8.65","8.65","8.65","6.1762","0"
"BKEPP","2012-05-29","8.64","8.75","8.64","6.2048","13900"
"BKEPP","2012-05-30","8.7","8.74","8.69","6.2119","6200"
"BKEPP","2012-05-31","8.5","8.5","8.5","6.0691","1600"
"BKEPP","2012-06-01","8.31","8.5","8.31","6.0691","2100"
"BKEPP","2012-06-04","8.4","8.4","8.4","5.9977","800"
"BKEPP","2012-06-05","8.4","8.5","8.4","6.0691","3000"
"BKEPP","2012-06-06","8.34","8.34","8.32","5.9406","500"
"BKEPP","2012-06-07","8.43","8.5","8.33","5.9477","1400"
"BKEPP","2012-06-08","8.33","8.33","8.33","5.9477","0"
"BKEPP","2012-06-11","8.34","8.75","8.33","6.2476","3800"
"BKEPP","2012-06-12","8.54","8.54","8.54","6.0977","200"
"BKEPP","2012-06-13","8.49","8.5","8.35","5.962","6400"
"BKEPP","2012-06-14","8.35","8.37","8.32","5.9406","4700"
"BKEPP","2012-06-15","8.45","8.45","8.32","5.9548","800"
"BKEPP","2012-06-18","8.33","8.33","8.33","5.9477","500"
"BKEPP","2012-06-19","8.33","8.33","8.33","5.9477","0"
"BKEPP","2012-06-20","8.5","8.6","8.5","6.1405","3400"
"BKEPP","2012-06-21","8.5","8.5","8.5","6.0691","5000"
"BKEPP","2012-06-22","8.97","9.24","8.32","5.9406","800"
"BKEPP","2012-06-25","8.48","8.5","8.48","6.0691","1100"
"BKEPP","2012-06-26","8.5","8.5","8.5","6.0691","0"
"BKEPP","2012-06-27","8.5","8.5","8.5","6.0691","500"
"BKEPP","2012-06-28","8.5","8.85","8.5","6.319","1000"
"BKEPP","2012-06-29","8.85","8.85","8.85","6.319","0"
"BKEPP","2012-07-02","8.83","8.85","8.83","6.319","2500"
"BKEPP","2012-07-03","8.32","8.5","8.32","6.0691","2300"
"BKEPP","2012-07-05","8.34","8.4","8.32","5.9977","10700"
"BKEPP","2012-07-06","8.36","8.5","8.36","6.0691","4200"
"BKEPP","2012-07-09","8.5","8.5","8.5","6.0691","0"
"BKEPP","2012-07-10","8.5","8.5","8.5","6.0691","0"
"BKEPP","2012-07-11","8.48","8.48","8.48","6.0548","400"
"BKEPP","2012-07-12","8.48","8.48","8.48","6.0548","0"
"BKEPP","2012-07-13","8.8","8.84","8.8","6.2833","1400"
"BKEPP","2012-07-16","8.8","8.8","8.8","6.2833","0"
"BKEPP","2012-07-17","8.6","8.6","8.6","6.1405","300"
"BKEPP","2012-07-18","8.78","8.8","8.78","6.2833","6500"
"BKEPP","2012-07-19","8.82","8.82","8.82","6.2976","100"
"BKEPP","2012-07-20","8.84","8.84","8.6","6.1405","600"
"BKEPP","2012-07-23","8.84","8.84","8.84","6.3119","100"
"BKEPP","2012-07-24","8.82","8.82","8.82","6.2976","200"
"BKEPP","2012-07-25","8.65","8.72","8.61","6.2262","1200"
"BKEPP","2012-07-26","8.78","8.8","8.78","6.2833","2700"
"BKEPP","2012-07-27","8.75","8.8","8.67","6.2833","3700"
"BKEPP","2012-07-30","8.8","9.0","8.75","6.2476","2500"
"BKEPP","2012-07-31","8.71","8.91","8.71","6.3547","1600"
"BKEPP","2012-08-01","8.9","8.9","8.9","6.4851","0"
