"symbol","date","open","high","low","close","volume"
"BLMN","2012-08-08","11.6","13.08","11.57","12.1719","10939900"
"BLMN","2012-08-09","12.53","13.67","12.51","13.2312","1560700"
"BLMN","2012-08-10","14.0","14.0","12.8","12.6133","1070500"
"BLMN","2012-08-13","12.91","13.1","12.5","12.6623","395100"
"BLMN","2012-08-14","13.05","13.06","12.86","12.6819","490400"
"BLMN","2012-08-15","13.0","13.0","12.5","12.7211","540600"
"BLMN","2012-08-16","12.76","12.95","12.6","12.525","301400"
"BLMN","2012-08-17","12.75","13.24","12.75","12.8094","559400"
"BLMN","2012-08-20","13.1","13.1","12.9","12.7506","137200"
"BLMN","2012-08-21","13.03","13.34","12.75","13.084","188500"
"BLMN","2012-08-22","13.22","13.45","13.0","13.0742","299700"
"BLMN","2012-08-23","13.38","13.44","12.98","12.7506","503600"
"BLMN","2012-08-24","13.0","13.0","12.65","12.6427","408700"
"BLMN","2012-08-27","12.8","12.87","12.68","12.5446","180400"
"BLMN","2012-08-28","12.75","12.84","12.5","12.5936","137500"
"BLMN","2012-08-29","12.79","13.09","12.64","12.7702","148800"
"BLMN","2012-08-30","12.92","13.11","12.6","12.7996","290100"
"BLMN","2012-08-31","13.07","13.15","12.75","12.731","83500"
"BLMN","2012-09-04","13.05","13.49","12.9","13.1919","574100"
"BLMN","2012-09-05","13.15","14.43","13.1","13.5941","961600"
"BLMN","2012-09-06","14.16","14.58","13.94","14.1335","292500"
"BLMN","2012-09-07","14.5","14.5","14.03","14.1728","213400"
"BLMN","2012-09-10","14.49","14.5","14.27","14.1433","158200"
"BLMN","2012-09-11","14.4","14.48","14.0","14.1629","395600"
"BLMN","2012-09-12","14.47","14.5","14.1","14.1728","192600"
"BLMN","2012-09-13","14.17","14.39","14.12","13.9766","206700"
"BLMN","2012-09-14","14.35","14.59","14.02","14.1237","485600"
"BLMN","2012-09-17","15.65","15.84","14.7","14.7612","1183300"
"BLMN","2012-09-18","15.35","15.35","14.85","14.8103","933900"
"BLMN","2012-09-19","15.3","15.3","14.97","14.8103","390900"
"BLMN","2012-09-20","15.04","15.43","15.0","14.9966","617400"
"BLMN","2012-09-21","15.4","16.18","15.15","15.6636","729900"
"BLMN","2012-09-24","16.0","16.24","15.5","15.4478","535900"
"BLMN","2012-09-25","15.83","16.04","15.1","14.928","429000"
"BLMN","2012-09-26","15.2","15.3","14.5","14.7024","734200"
"BLMN","2012-09-27","15.28","15.86","15.06","15.5165","351500"
"BLMN","2012-09-28","15.83","16.53","15.5","16.1344","2946000"
"BLMN","2012-10-01","16.6","16.65","16.06","16.0559","442000"
"BLMN","2012-10-02","16.47","16.98","16.18","15.9088","414000"
"BLMN","2012-10-03","16.22","16.24","15.39","15.3791","467600"
"BLMN","2012-10-04","15.7","15.89","15.4","15.3301","373000"
"BLMN","2012-10-05","15.64","15.88","15.25","15.0849","268700"
"BLMN","2012-10-08","15.28","15.58","15.12","14.9182","288800"
"BLMN","2012-10-09","15.17","15.35","14.67","14.516","434500"
"BLMN","2012-10-10","14.87","15.02","14.17","14.0354","569600"
"BLMN","2012-10-11","14.67","15.15","14.66","14.8201","458900"
"BLMN","2012-10-12","15.15","15.3","14.8","14.6043","141200"
"BLMN","2012-10-15","14.91","14.91","14.25","14.516","207000"
"BLMN","2012-10-16","14.77","15.06","14.77","14.5749","85100"
"BLMN","2012-10-17","14.92","14.96","14.6","14.4866","259500"
"BLMN","2012-10-18","14.75","15.15","14.62","14.8299","152500"
"BLMN","2012-10-19","14.97","14.97","14.48","14.3787","142500"
"BLMN","2012-10-22","14.65","14.65","13.63","13.6137","511800"
"BLMN","2012-10-23","13.77","14.03","13.39","13.6137","624900"
"BLMN","2012-10-24","13.99","14.23","13.45","13.241","344100"
"BLMN","2012-10-25","13.58","13.73","13.01","12.8879","410000"
"BLMN","2012-10-26","13.16","13.33","13.01","12.8781","183900"
"BLMN","2012-10-31","13.18","13.86","13.01","13.4077","351200"
"BLMN","2012-11-01","13.72","13.9","13.07","13.2214","327000"
"BLMN","2012-11-02","13.49","13.79","13.4","13.2998","402300"
"BLMN","2012-11-05","13.53","13.76","13.3","13.4666","177300"
"BLMN","2012-11-06","13.75","14.09","13.69","13.7902","437500"
"BLMN","2012-11-07","13.9","13.97","13.44","13.4666","587900"
"BLMN","2012-11-08","14.7","15.9","14.7","15.1634","1677100"
"BLMN","2012-11-09","15.28","15.69","15.22","15.1143","203400"
"BLMN","2012-11-12","15.41","15.52","15.25","15.0849","201300"
"BLMN","2012-11-13","15.29","15.42","14.71","14.9084","246300"
"BLMN","2012-11-14","15.18","15.24","15.0","14.7122","208700"
"BLMN","2012-11-15","14.98","15.43","14.56","14.4866","173300"
"BLMN","2012-11-16","14.65","14.81","14.11","14.418","505200"
"BLMN","2012-11-19","14.81","15.4","14.81","14.9966","113300"
"BLMN","2012-11-20","15.26","15.47","14.99","15.0261","79600"
"BLMN","2012-11-21","15.33","15.37","15.1","15.0162","74900"
"BLMN","2012-11-23","15.3","15.7","15.3","15.2516","35600"
"BLMN","2012-11-26","15.54","16.08","15.52","15.6244","156800"
"BLMN","2012-11-27","15.96","15.96","15.5","15.2615","128100"
"BLMN","2012-11-28","15.48","15.8","15.11","15.1928","150000"
"BLMN","2012-11-29","15.63","15.88","15.61","15.4772","82100"
"BLMN","2012-11-30","15.84","15.9","15.24","15.5263","183900"
"BLMN","2012-12-03","15.81","16.5","15.8","15.7421","310900"
"BLMN","2012-12-04","15.92","15.92","15.12","15.1536","1060700"
"BLMN","2012-12-05","15.55","15.73","15.36","15.1045","250600"
"BLMN","2012-12-06","15.36","15.54","15.2","15.0457","254900"
"BLMN","2012-12-07","15.44","15.51","15.28","15.1339","158700"
"BLMN","2012-12-10","15.46","15.62","14.87","14.8005","603800"
"BLMN","2012-12-11","15.25","15.41","14.81","14.6926","277800"
"BLMN","2012-12-12","15.05","15.54","15.0","15.1241","179500"
"BLMN","2012-12-13","15.46","16.17","15.46","15.7421","272500"
"BLMN","2012-12-14","15.97","16.64","15.71","15.9676","293600"
"BLMN","2012-12-17","16.3","16.79","15.99","16.1736","263000"
"BLMN","2012-12-18","16.54","16.79","16.51","16.2521","207600"
"BLMN","2012-12-19","16.61","16.75","16.42","16.2717","272500"
"BLMN","2012-12-20","16.64","16.64","16.04","15.7715","195800"
"BLMN","2012-12-21","15.9","15.99","14.89","15.3595","639300"
"BLMN","2012-12-24","15.72","15.88","15.4","15.4772","22000"
"BLMN","2012-12-26","15.86","16.1","15.63","15.4968","151100"
"BLMN","2012-12-27","15.81","16.03","15.59","15.4282","77400"
"BLMN","2012-12-28","15.66","15.88","15.51","15.389","210500"
"BLMN","2012-12-31","15.71","15.74","15.26","15.3399","318200"
"BLMN","2013-01-02","16.0","16.78","15.86","16.0755","454500"
"BLMN","2013-01-03","16.44","16.47","15.99","15.9088","318400"
"BLMN","2013-01-04","16.35","16.54","16.12","15.9971","165700"
"BLMN","2013-01-07","16.2","16.44","16.01","15.9382","496200"
"BLMN","2013-01-08","16.29","16.55","16.18","15.9971","329400"
"BLMN","2013-01-09","16.53","16.6","16.29","16.1638","511700"
"BLMN","2013-01-10","16.4","17.73","16.24","16.87","1217400"
"BLMN","2013-01-11","17.25","17.34","16.78","16.6738","383600"
"BLMN","2013-01-14","17.56","17.58","16.6","16.6738","511000"
