"symbol","date","open","high","low","close","volume"
"BNK","2014-08-14","17.6","18.0","16.66","17.0","1485400"
"BNK","2014-08-15","17.0","17.04","16.9","16.9","61400"
"BNK","2014-08-18","16.91","16.91","16.7","16.7","50800"
"BNK","2014-08-19","16.7","16.86","16.7","16.85","34400"
"BNK","2014-08-20","16.9","16.9","16.81","16.84","23100"
"BNK","2014-08-21","16.88","16.95","16.75","16.8","29900"
"BNK","2014-08-22","16.73","17.0","16.73","17.0","13500"
"BNK","2014-08-25","17.18","17.18","16.96","17.08","17000"
"BNK","2014-08-26","16.77","17.05","16.77","17.0","67900"
"BNK","2014-08-27","17.02","17.1","17.0","17.1","8900"
"BNK","2014-08-28","17.03","17.14","16.91","17.14","13800"
"BNK","2014-08-29","17.18","17.18","16.88","17.16","3900"
"BNK","2014-09-02","17.25","17.25","17.1","17.19","8600"
"BNK","2014-09-03","17.07","17.93","17.07","17.29","46300"
"BNK","2014-09-04","17.2","17.85","17.08","17.48","62000"
"BNK","2014-09-05","17.58","18.36","17.37","18.01","67800"
"BNK","2014-09-08","18.4","18.4","17.69","18.08","114900"
"BNK","2014-09-09","18.24","18.25","18.01","18.15","56900"
"BNK","2014-09-10","18.25","18.52","18.09","18.23","31600"
"BNK","2014-09-11","18.35","18.39","18.07","18.1","28800"
"BNK","2014-09-12","17.97","18.05","17.68","17.98","42600"
"BNK","2014-09-15","18.0","18.0","17.45","17.99","25300"
"BNK","2014-09-16","18.0","18.0","17.55","17.55","49000"
"BNK","2014-09-17","17.54","17.55","17.02","17.41","20600"
"BNK","2014-09-18","17.4","17.71","17.26","17.66","7900"
"BNK","2014-09-19","17.74","17.9","17.0","17.0","39500"
"BNK","2014-09-22","17.1","17.4","17.1","17.39","21100"
"BNK","2014-09-23","17.1","18.77","17.1","18.49","68400"
"BNK","2014-09-24","18.44","18.74","18.0","18.29","43100"
"BNK","2014-09-25","18.41","18.5","18.3","18.42","55900"
"BNK","2014-09-26","18.3","18.55","17.95","18.44","76900"
"BNK","2014-09-29","18.4","18.4","18.14","18.24","95000"
"BNK","2014-09-30","18.25","18.43","17.78","18.13","255400"
"BNK","2014-10-01","18.08","18.13","17.38","17.53","26500"
"BNK","2014-10-02","17.49","18.15","17.47","17.95","34900"
"BNK","2014-10-03","18.1","18.36","17.99","18.05","7800"
"BNK","2014-10-06","18.08","18.1","17.89","18.04","5100"
"BNK","2014-10-07","18.02","18.15","17.36","17.43","9700"
"BNK","2014-10-08","17.3","18.03","17.28","18.03","9800"
"BNK","2014-10-09","18.1","18.1","17.66","17.82","5600"
"BNK","2014-10-10","17.72","17.79","17.56","17.6","5400"
"BNK","2014-10-13","17.7","17.7","17.26","17.36","11700"
"BNK","2014-10-14","17.31","17.86","17.2","17.48","22500"
"BNK","2014-10-15","17.2","17.53","16.64","17.03","31700"
"BNK","2014-10-16","16.79","17.11","16.63","16.98","15000"
"BNK","2014-10-17","17.21","17.64","16.74","16.77","22600"
"BNK","2014-10-20","16.92","16.92","16.68","16.79","17700"
"BNK","2014-10-21","16.35","16.83","15.98","16.71","32600"
"BNK","2014-10-22","16.81","16.9","16.71","16.74","3900"
"BNK","2014-10-23","16.69","16.79","16.52","16.72","45700"
"BNK","2014-10-24","16.79","16.8","16.69","16.78","6900"
"BNK","2014-10-27","16.7","16.8","16.62","16.64","28600"
"BNK","2014-10-28","16.75","16.81","16.68","16.7","32100"
"BNK","2014-10-29","16.7","16.7","16.32","16.57","37300"
"BNK","2014-10-30","16.45","16.84","16.45","16.81","8600"
"BNK","2014-10-31","17.0","17.36","17.0","17.27","8800"
"BNK","2014-11-03","17.35","17.35","17.03","17.25","5700"
"BNK","2014-11-04","17.31","17.31","17.08","17.24","7300"
"BNK","2014-11-05","17.33","17.35","17.07","17.19","8100"
"BNK","2014-11-06","17.09","17.33","17.02","17.23","9600"
"BNK","2014-11-07","17.19","18.21","17.16","18.11","43000"
"BNK","2014-11-10","18.4","18.67","17.59","18.45","46700"
"BNK","2014-11-11","18.32","18.46","18.21","18.36","14600"
"BNK","2014-11-12","18.22","18.24","18.05","18.24","11200"
"BNK","2014-11-13","18.12","18.15","17.25","17.25","56700"
"BNK","2014-11-14","17.34","18.24","17.34","18.2","25800"
"BNK","2014-11-17","17.83","18.19","17.77","18.11","5900"
"BNK","2014-11-18","18.18","18.27","17.94","18.2","34300"
"BNK","2014-11-19","18.05","18.15","17.97","18.0","10400"
"BNK","2014-11-20","17.87","18.25","17.87","18.24","36300"
"BNK","2014-11-21","18.25","18.44","18.14","18.16","32200"
"BNK","2014-11-24","18.26","18.3","18.14","18.2","7200"
"BNK","2014-11-25","18.29","18.59","18.02","18.5","22200"
"BNK","2014-11-26","18.49","18.49","17.96","18.49","32700"
"BNK","2014-11-28","18.33","18.7","18.23","18.23","5600"
"BNK","2014-12-01","18.27","18.27","17.78","17.78","8500"
"BNK","2014-12-02","17.72","18.05","17.72","17.91","34900"
"BNK","2014-12-03","17.82","18.03","17.8","17.99","37300"
"BNK","2014-12-04","18.05","18.05","17.93","17.93","9100"
"BNK","2014-12-05","17.95","18.75","17.95","18.28","41700"
"BNK","2014-12-08","18.19","18.72","18.18","18.49","20900"
"BNK","2014-12-09","18.4","18.75","18.31","18.72","19000"
"BNK","2014-12-10","18.64","18.81","18.55","18.67","19700"
"BNK","2014-12-11","18.56","18.77","18.54","18.71","104100"
"BNK","2014-12-12","18.52","18.66","18.18","18.21","14800"
"BNK","2014-12-15","18.2","18.34","18.18","18.18","10700"
"BNK","2014-12-16","18.17","18.43","18.04","18.25","11900"
"BNK","2014-12-17","18.26","19.05","18.26","19.02","12800"
"BNK","2014-12-18","19.04","19.4","18.91","19.38","17200"
"BNK","2014-12-19","19.32","19.7","18.66","18.67","59900"
"BNK","2014-12-22","18.81","19.0","18.66","18.99","7800"
"BNK","2014-12-23","18.96","19.03","18.9","19.0","13500"
"BNK","2014-12-24","19.06","19.06","18.91","19.0","5300"
"BNK","2014-12-26","19.0","19.0","18.75","18.79","3900"
"BNK","2014-12-29","18.74","18.93","18.64","18.67","10900"
"BNK","2014-12-30","18.71","18.71","18.53","18.55","5100"
"BNK","2014-12-31","18.55","18.55","18.18","18.29","13900"
"BNK","2015-01-02","18.19","18.2","17.9","18.07","26100"
"BNK","2015-01-05","18.08","18.08","17.85","17.87","7000"
"BNK","2015-01-06","17.99","18.01","17.4","17.96","26300"
"BNK","2015-01-07","17.78","18.04","17.56","17.71","12600"
"BNK","2015-01-08","17.93","17.99","17.75","17.94","5100"
"BNK","2015-01-09","17.79","17.79","17.64","17.66","6300"
"BNK","2015-01-12","17.75","17.81","17.72","17.77","10600"
"BNK","2015-01-13","17.74","17.78","17.48","17.75","11500"
"BNK","2015-01-14","17.66","17.66","17.31","17.51","26900"
"BNK","2015-01-15","17.37","17.37","17.13","17.13","4100"
"BNK","2015-01-16","17.07","17.22","17.07","17.19","6800"
"BNK","2015-01-20","17.25","17.62","17.02","17.62","7500"
"BNK","2015-01-21","17.5","17.69","17.19","17.35","6500"
"BNK","2015-01-22","17.37","17.68","17.18","17.66","9300"
"BNK","2015-01-23","17.66","17.8","17.51","17.78","3800"
"BNK","2015-01-26","17.65","17.93","17.35","17.93","5700"
"BNK","2015-01-27","17.78","18.01","17.78","17.91","6300"
"BNK","2015-01-28","17.78","17.92","17.75","17.84","12100"
"BNK","2015-01-29","17.7","17.7","17.05","17.24","53800"
"BNK","2015-01-30","17.01","17.15","16.66","16.78","42000"
"BNK","2015-02-02","16.91","16.99","16.71","16.95","12000"
"BNK","2015-02-03","17.1","17.16","17.09","17.16","7000"
"BNK","2015-02-04","17.1","17.27","16.97","17.14","20700"
"BNK","2015-02-05","17.21","17.29","17.14","17.21","9500"
"BNK","2015-02-06","17.25","17.58","17.18","17.48","8300"
"BNK","2015-02-09","17.47","17.47","17.19","17.29","3400"
"BNK","2015-02-10","17.3","17.31","17.13","17.17","3900"
"BNK","2015-02-11","17.11","17.2","17.07","17.15","3900"
"BNK","2015-02-12","17.2","17.21","17.07","17.09","2500"
"BNK","2015-02-13","17.05","17.13","16.94","17.03","4000"
"BNK","2015-02-17","16.93","17.04","16.93","16.98","7600"
"BNK","2015-02-18","16.9","16.95","16.72","16.81","8700"
"BNK","2015-02-19","16.78","16.78","16.61","16.61","6900"
"BNK","2015-02-20","16.66","16.66","16.49","16.51","8900"
"BNK","2015-02-23","16.36","16.7","16.25","16.55","12400"
"BNK","2015-02-24","16.62","16.88","16.59","16.75","14900"
"BNK","2015-02-25","16.71","16.73","16.6","16.63","8800"
"BNK","2015-02-26","16.66","16.86","16.56","16.7","20000"
"BNK","2015-02-27","16.74","16.77","16.63","16.64","5600"
"BNK","2015-03-02","16.81","17.02","16.7","16.97","11100"
"BNK","2015-03-03","16.99","17.05","16.95","16.96","8700"
"BNK","2015-03-04","16.85","17.03","16.73","16.96","11600"
"BNK","2015-03-05","17.04","17.14","16.9","17.06","26200"
"BNK","2015-03-06","16.98","17.1","16.96","17.01","9300"
"BNK","2015-03-09","17.05","17.35","17.03","17.25","21500"
"BNK","2015-03-10","17.2","17.3","17.04","17.11","6400"
"BNK","2015-03-11","17.13","17.49","17.13","17.45","7300"
"BNK","2015-03-12","17.61","17.99","17.56","17.86","13600"
"BNK","2015-03-13","17.7","18.05","17.6","17.83","19700"
"BNK","2015-03-16","17.94","18.0","17.6","17.96","15100"
"BNK","2015-03-17","18.14","18.18","17.75","18.05","14400"
