"symbol","date","open","high","low","close","volume"
"BOSC","1996-04-02","9.5","10.12","7.5","660.0","16400"
"BOSC","1996-04-03","8.62","8.75","7.5","670.0","4800"
"BOSC","1996-04-04","7.5","8.38","7.5","600.0","1200"
"BOSC","1996-04-08","8.38","8.38","7.5","610.0","900"
"BOSC","1996-04-09","7.5","8.25","7.5","600.0","1500"
"BOSC","1996-04-10","7.5","8.25","7.5","615.0","1400"
"BOSC","1996-04-11","7.75","7.88","7.5","600.0","700"
"BOSC","1996-04-12","7.5","7.88","7.5","620.0","600"
"BOSC","1996-04-15","7.5","7.88","7.5","605.0","500"
"BOSC","1996-04-16","7.88","7.88","7.5","600.0","400"
"BOSC","1996-04-17","7.5","8.0","7.5","600.0","700"
"BOSC","1996-04-18","7.5","8.0","7.5","620.0","200"
"BOSC","1996-04-19","7.5","8.0","7.5","605.0","500"
"BOSC","1996-04-22","7.5","8.0","7.5","600.0","700"
"BOSC","1996-04-23","7.5","8.0","7.5","605.0","600"
"BOSC","1996-04-24","7.5","8.0","7.5","600.0","700"
"BOSC","1996-04-25","8.0","8.0","7.5","600.0","800"
"BOSC","1996-04-26","7.5","8.0","7.5","600.0","400"
"BOSC","1996-04-29","7.5","8.0","7.5","640.0","200"
"BOSC","1996-04-30","7.5","8.0","7.5","620.0","500"
"BOSC","1996-05-01","7.5","7.75","7.5","620.0","500"
"BOSC","1996-05-02","7.5","8.0","7.5","600.0","800"
"BOSC","1996-05-03","7.5","8.0","7.5","600.0","1800"
"BOSC","1996-05-06","8.0","8.0","7.5","600.0","100"
"BOSC","1996-05-07","7.56","8.0","7.5","640.0","400"
"BOSC","1996-05-08","7.5","8.0","7.5","600.0","500"
"BOSC","1996-05-09","8.0","8.0","7.5","640.0","800"
"BOSC","1996-05-10","7.5","8.0","7.5","600.0","600"
"BOSC","1996-05-13","7.5","8.0","7.5","600.0","900"
"BOSC","1996-05-14","7.5","8.0","7.5","600.0","900"
"BOSC","1996-05-15","6.75","8.12","6.75","620.0","500"
"BOSC","1996-05-16","7.25","7.88","7.0","610.0","800"
"BOSC","1996-05-17","7.25","8.0","7.25","580.0","900"
"BOSC","1996-05-20","8.0","8.0","7.25","640.0","200"
"BOSC","1996-05-21","8.0","8.0","7.25","590.0","600"
"BOSC","1996-05-22","7.25","7.88","7.25","580.0","700"
"BOSC","1996-05-23","7.75","7.75","7.25","620.0","2400"
"BOSC","1996-05-24","7.25","8.0","7.25","640.0","900"
"BOSC","1996-05-28","7.25","7.75","7.0","560.0","1000"
"BOSC","1996-05-29","7.75","7.75","6.88","610.0","800"
"BOSC","1996-05-30","6.88","7.62","6.88","560.0","200"
"BOSC","1996-05-31","6.88","7.0","6.75","550.0","200"
"BOSC","1996-06-03","7.0","7.0","6.75","540.0","300"
"BOSC","1996-06-04","6.75","7.0","6.75","545.0","300"
"BOSC","1996-06-05","6.75","7.0","6.5","520.0","300"
"BOSC","1996-06-06","6.5","7.0","6.5","522.5","300"
"BOSC","1996-06-07","6.62","7.0","6.0","480.0","2700"
"BOSC","1996-06-10","6.5","6.5","6.5","520.0","100"
"BOSC","1996-06-11","7.0","7.0","6.5","540.0","400"
"BOSC","1996-06-12","6.5","7.0","6.5","520.0","300"
"BOSC","1996-06-13","6.5","6.5","6.5","520.0","700"
"BOSC","1996-06-14","6.94","7.0","6.38","520.0","300"
"BOSC","1996-06-17","6.5","7.0","6.5","520.0","200"
"BOSC","1996-06-18","6.5","6.88","6.0","500.0","600"
"BOSC","1996-06-19","6.38","7.25","6.38","575.0","1100"
"BOSC","1996-06-20","7.0","7.5","7.0","580.0","1000"
"BOSC","1996-06-21","7.5","9.12","7.25","660.0","2100"
"BOSC","1996-06-24","8.0","9.5","8.0","705.0","1700"
"BOSC","1996-06-25","8.75","9.5","8.5","710.0","5300"
"BOSC","1996-06-26","8.5","8.88","8.25","660.0","600"
"BOSC","1996-06-27","8.25","8.75","8.0","640.0","500"
"BOSC","1996-06-28","8.5","8.5","8.0","660.0","500"
"BOSC","1996-07-01","8.0","8.5","8.0","640.0","400"
"BOSC","1996-07-02","8.0","8.5","7.5","610.0","800"
"BOSC","1996-07-03","7.5","8.0","7.5","630.0","100"
"BOSC","1996-07-05","7.5","7.5","7.38","590.0","100"
"BOSC","1996-07-08","7.75","7.75","7.0","560.0","500"
"BOSC","1996-07-09","7.0","7.88","7.0","630.0","100"
"BOSC","1996-07-10","7.0","7.88","7.0","630.0","200"
"BOSC","1996-07-11","7.88","7.88","7.0","560.0","200"
"BOSC","1996-07-12","7.0","7.88","7.0","630.0","100"
"BOSC","1996-07-15","7.0","7.75","6.88","570.0","100"
"BOSC","1996-07-16","7.75","7.75","6.62","530.0","300"
"BOSC","1996-07-17","6.62","7.75","6.62","620.0","100"
"BOSC","1996-07-18","6.62","7.75","6.62","610.0","200"
"BOSC","1996-07-19","7.75","7.75","6.62","620.0","300"
"BOSC","1996-07-22","6.62","7.75","6.62","570.0","700"
"BOSC","1996-07-23","7.75","7.75","6.88","600.0","1100"
"BOSC","1996-07-24","6.62","7.5","6.62","560.0","400"
"BOSC","1996-07-25","6.75","7.25","6.62","560.0","600"
"BOSC","1996-07-26","6.62","7.0","6.62","560.0","400"
"BOSC","1996-07-29","6.62","6.62","6.62","530.0","0"
"BOSC","1996-07-30","6.62","7.0","6.62","530.0","100"
"BOSC","1996-07-31","6.62","6.75","6.5","540.0","100"
"BOSC","1996-08-01","6.5","6.75","6.5","520.0","300"
"BOSC","1996-08-02","6.5","6.75","6.5","520.0","100"
"BOSC","1996-08-05","6.5","6.75","6.5","520.0","400"
"BOSC","1996-08-06","6.5","6.75","6.5","540.0","100"
"BOSC","1996-08-07","6.5","6.75","6.5","540.0","200"
"BOSC","1996-08-08","6.5","6.75","6.5","540.0","700"
"BOSC","1996-08-09","6.38","6.75","6.25","500.0","400"
"BOSC","1996-08-12","6.25","6.75","6.25","540.0","100"
"BOSC","1996-08-13","6.5","7.38","6.5","540.0","0"
"BOSC","1996-08-14","6.88","7.38","6.88","550.0","400"
"BOSC","1996-08-15","7.38","7.38","6.88","590.0","100"
"BOSC","1996-08-16","6.88","8.88","6.88","710.0","1400"
"BOSC","1996-08-19","8.0","8.88","8.0","690.0","1000"
"BOSC","1996-08-20","8.75","8.88","7.62","700.0","2400"
"BOSC","1996-08-21","8.75","8.75","7.62","640.0","700"
"BOSC","1996-08-22","7.62","8.25","7.62","610.0","600"
"BOSC","1996-08-23","8.0","8.0","7.5","640.0","800"
"BOSC","1996-08-26","8.0","8.0","7.5","600.0","500"
"BOSC","1996-08-27","7.75","7.75","7.5","620.0","900"
"BOSC","1996-08-28","7.5","7.75","7.38","600.0","200"
"BOSC","1996-08-29","7.38","7.75","7.38","590.0","400"
"BOSC","1996-08-30","7.75","7.75","7.38","620.0","600"
"BOSC","1996-09-03","7.75","7.75","7.38","590.0","100"
"BOSC","1996-09-04","7.75","8.0","7.5","600.0","900"
"BOSC","1996-09-05","8.0","8.0","7.5","640.0","2300"
"BOSC","1996-09-06","8.0","8.0","7.5","640.0","300"
"BOSC","1996-09-09","8.0","8.0","8.0","640.0","0"
"BOSC","1996-09-10","8.0","8.0","7.5","640.0","1300"
"BOSC","1996-09-11","8.0","8.0","7.5","640.0","100"
"BOSC","1996-09-12","7.5","8.0","7.5","640.0","200"
"BOSC","1996-09-13","8.0","8.0","7.5","620.0","500"
"BOSC","1996-09-16","8.25","8.25","7.5","600.0","300"
"BOSC","1996-09-17","7.5","8.25","7.5","660.0","600"
"BOSC","1996-09-18","8.25","8.25","7.5","600.0","400"
"BOSC","1996-09-19","7.5","8.12","7.5","600.0","100"
"BOSC","1996-09-20","8.12","8.12","7.5","600.0","1800"
