"symbol","date","open","high","low","close","volume"
"BPL","1986-12-17","19.75","19.88","19.75","1.1498","346400"
"BPL","1986-12-18","19.88","19.88","19.75","1.1498","191600"
"BPL","1986-12-19","19.88","19.88","19.75","1.1498","243600"
"BPL","1986-12-22","19.88","20.12","19.75","1.1571","242600"
"BPL","1986-12-23","20.0","20.25","20.0","1.1715","203400"
"BPL","1986-12-24","20.25","20.25","20.12","1.1643","111000"
"BPL","1986-12-26","20.12","20.88","20.12","1.186","80800"
"BPL","1986-12-29","20.5","20.62","20.38","1.186","212000"
"BPL","1986-12-30","20.5","20.62","20.5","1.1932","137800"
"BPL","1986-12-31","20.62","20.75","20.38","1.1932","145800"
"BPL","1987-01-02","20.75","21.0","20.75","1.2149","64200"
"BPL","1987-01-05","21.0","21.12","20.5","1.1932","278600"
"BPL","1987-01-06","20.88","21.12","20.88","1.2149","376800"
"BPL","1987-01-07","21.0","21.5","21.0","1.2366","235000"
"BPL","1987-01-08","21.38","21.62","21.25","1.2366","376200"
"BPL","1987-01-09","21.38","21.88","21.38","1.2583","245600"
"BPL","1987-01-12","21.88","22.62","21.88","1.2945","579800"
"BPL","1987-01-13","22.38","22.5","22.12","1.2872","298400"
"BPL","1987-01-14","22.25","22.75","22.25","1.2945","222000"
"BPL","1987-01-15","22.38","22.62","22.25","1.2872","180600"
"BPL","1987-01-16","22.25","22.62","21.88","1.28","218400"
"BPL","1987-01-19","22.12","22.25","21.75","1.2728","83400"
"BPL","1987-01-20","22.0","22.38","21.88","1.2728","125800"
"BPL","1987-01-21","22.0","22.0","21.75","1.2583","78600"
"BPL","1987-01-22","21.88","22.0","21.88","1.2728","61000"
"BPL","1987-01-23","22.0","22.12","21.75","1.2655","155000"
"BPL","1987-01-26","21.75","21.75","21.25","1.2439","98800"
"BPL","1987-01-27","21.5","21.5","21.25","1.2439","167600"
"BPL","1987-01-28","21.5","21.75","21.25","1.2583","145400"
"BPL","1987-01-29","21.75","22.0","21.62","1.2728","97600"
"BPL","1987-01-30","22.0","22.0","21.38","1.2511","102000"
"BPL","1987-02-02","21.62","22.0","21.5","1.2728","219200"
"BPL","1987-02-03","22.0","22.25","21.88","1.2728","79000"
"BPL","1987-02-04","22.0","23.0","21.88","1.3306","224200"
"BPL","1987-02-05","23.0","23.12","22.62","1.3162","197800"
"BPL","1987-02-06","22.75","22.75","22.5","1.3089","93400"
"BPL","1987-02-09","22.62","22.75","22.62","1.3162","118000"
