"symbol","date","open","high","low","close","volume"
"BSE","2002-10-29","15.0","15.05","15.0","6.8589","66300"
"BSE","2002-10-30","15.0","15.02","15.0","6.8589","21300"
"BSE","2002-10-31","15.0","15.01","15.0","6.8589","13500"
"BSE","2002-11-01","15.02","15.02","15.0","6.8589","8200"
"BSE","2002-11-04","15.0","15.15","15.0","6.8589","36800"
"BSE","2002-11-05","15.0","15.01","15.0","6.8589","10700"
"BSE","2002-11-06","15.01","15.04","15.0","6.8635","10500"
"BSE","2002-11-07","15.03","15.03","15.0","6.8589","13500"
"BSE","2002-11-08","15.0","15.01","15.0","6.8589","2300"
"BSE","2002-11-11","15.04","15.04","15.0","6.8589","400"
"BSE","2002-11-12","15.03","15.03","15.0","6.8589","5100"
"BSE","2002-11-13","15.02","15.02","15.0","6.8589","7700"
"BSE","2002-11-14","15.0","15.01","15.0","6.8589","5200"
"BSE","2002-11-15","15.0","15.0","15.0","6.8589","7800"
"BSE","2002-11-18","15.04","15.04","15.04","6.8772","7000"
"BSE","2002-11-19","15.0","15.0","15.0","6.8589","2300"
"BSE","2002-11-20","15.0","15.0","15.0","6.8589","1000"
"BSE","2002-11-21","15.0","15.0","15.0","6.8589","2200"
"BSE","2002-11-22","15.0","15.0","15.0","6.8589","3100"
"BSE","2002-11-25","15.0","15.01","15.0","6.8635","5700"
"BSE","2002-11-26","15.0","15.01","15.0","6.8589","8800"
"BSE","2002-11-27","15.01","15.01","15.0","6.8589","12800"
"BSE","2002-11-29","15.01","15.01","15.01","6.8635","1200"
"BSE","2002-12-02","15.0","15.01","15.0","6.8589","211800"
"BSE","2002-12-03","15.0","15.0","15.0","6.8589","10800"
"BSE","2002-12-04","15.0","15.0","15.0","6.8589","9600"
"BSE","2002-12-05","15.0","15.0","15.0","6.8589","0"
"BSE","2002-12-06","15.0","15.01","15.0","6.8635","8700"
"BSE","2002-12-09","15.0","15.0","15.0","6.8589","7500"
"BSE","2002-12-10","15.0","15.01","15.0","6.8589","12100"
"BSE","2002-12-11","15.0","15.0","15.0","6.8589","0"
"BSE","2002-12-12","15.0","15.0","15.0","6.8589","9200"
"BSE","2002-12-13","14.9","14.9","14.65","6.7218","69300"
"BSE","2002-12-16","14.7","14.7","14.65","6.7218","5700"
"BSE","2002-12-17","14.7","14.7","14.66","6.7035","1000"
"BSE","2002-12-18","14.7","14.7","14.55","6.6532","20300"
"BSE","2002-12-19","14.55","14.56","14.55","6.6876","17100"
"BSE","2002-12-20","14.55","14.55","14.15","6.5268","70600"
"BSE","2002-12-23","14.25","14.25","13.87","6.4027","51200"
"BSE","2002-12-24","13.95","14.05","13.95","6.4256","2900"
