"symbol","date","open","high","low","close","volume"
"BSTG","2013-10-21","2.0","7.8","2.0","6.0","17800"
"BSTG","2013-10-22","6.47","6.78","5.81","6.12","3700"
"BSTG","2013-10-23","5.9","6.25","5.84","6.25","2200"
"BSTG","2013-10-24","6.5","6.5","5.86","5.86","6400"
"BSTG","2013-10-25","5.85","5.87","5.7","5.8","3700"
"BSTG","2013-10-28","6.0","6.0","6.0","6.0","100"
"BSTG","2013-10-29","6.43","6.52","6.0","6.0","2500"
"BSTG","2013-10-30","6.75","7.01","6.0","6.0","3800"
"BSTG","2013-10-31","6.0","6.0","6.0","6.0","0"
"BSTG","2013-11-01","5.64","5.64","5.1","5.38","400"
"BSTG","2013-11-04","5.4","5.41","5.04","5.2","118100"
"BSTG","2013-11-05","5.13","5.13","4.83","4.89","108400"
"BSTG","2013-11-06","4.93","5.1","4.21","4.43","123900"
"BSTG","2013-11-07","4.36","4.36","4.02","4.05","134700"
"BSTG","2013-11-08","4.1","4.35","4.0","4.2","108400"
"BSTG","2013-11-11","4.16","4.42","4.05","4.06","80600"
"BSTG","2013-11-12","4.05","4.05","3.77","3.95","66700"
"BSTG","2013-11-13","3.91","3.98","3.37","3.54","135700"
"BSTG","2013-11-14","3.41","3.66","3.41","3.55","58200"
"BSTG","2013-11-15","3.53","4.28","3.51","4.15","64200"
"BSTG","2013-11-18","4.69","5.14","4.1","4.95","177900"
"BSTG","2013-11-19","5.4","5.4","4.89","4.98","134100"
"BSTG","2013-11-20","5.07","5.1","4.7","4.8","177800"
"BSTG","2013-11-21","5.04","5.05","4.7","5.04","23400"
"BSTG","2013-11-22","5.46","5.47","4.76","4.93","113400"
"BSTG","2013-11-25","4.93","5.25","4.7","4.75","67400"
"BSTG","2013-11-26","4.74","5.09","4.68","4.91","71700"
"BSTG","2013-11-27","4.94","5.0","4.71","5.0","70200"
"BSTG","2013-11-29","5.02","5.17","4.94","5.07","12700"
"BSTG","2013-12-02","5.16","5.17","4.68","4.79","46800"
"BSTG","2013-12-03","4.77","5.01","4.65","4.92","40900"
"BSTG","2013-12-04","5.04","5.05","4.75","4.82","31800"
"BSTG","2013-12-05","4.83","4.96","4.71","4.77","27600"
"BSTG","2013-12-06","4.85","5.0","4.73","4.9","23100"
"BSTG","2013-12-09","4.88","4.99","4.88","4.95","28100"
"BSTG","2013-12-10","4.91","4.99","4.76","4.82","36400"
"BSTG","2013-12-11","4.81","4.99","4.76","4.82","45300"
"BSTG","2013-12-12","4.86","5.0","4.8","4.83","28200"
"BSTG","2013-12-13","4.92","4.99","4.81","4.9","20000"
"BSTG","2013-12-16","4.98","4.99","4.8","4.95","46600"
"BSTG","2013-12-17","4.96","4.96","4.75","4.79","51600"
"BSTG","2013-12-18","4.78","4.96","4.75","4.8","28200"
"BSTG","2013-12-19","4.8","4.81","4.31","4.38","50600"
"BSTG","2013-12-20","4.4","4.86","4.14","4.86","99100"
"BSTG","2013-12-23","4.59","4.77","4.42","4.75","31100"
"BSTG","2013-12-24","4.6","4.7","4.5","4.68","24300"
"BSTG","2013-12-26","4.72","4.88","4.72","4.75","20800"
"BSTG","2013-12-27","4.79","4.8","4.54","4.74","16200"
"BSTG","2013-12-30","4.71","4.78","4.56","4.66","22700"
"BSTG","2013-12-31","4.65","4.88","4.61","4.75","44100"
"BSTG","2014-01-02","4.71","4.75","4.54","4.61","34100"
"BSTG","2014-01-03","4.6","4.82","4.52","4.78","12200"
"BSTG","2014-01-06","4.58","4.87","4.5","4.79","13000"
"BSTG","2014-01-07","4.77","4.99","4.66","4.91","40600"
"BSTG","2014-01-08","4.92","4.92","4.76","4.87","60400"
