"symbol","date","open","high","low","close","volume"
"BSX","1992-05-19","17.0","17.38","17.0","4.2812","7799600"
"BSX","1992-05-20","17.38","17.5","17.25","4.375","2560400"
"BSX","1992-05-21","17.5","17.5","17.25","4.375","1854000"
"BSX","1992-05-22","17.62","18.38","17.5","4.5312","3206400"
"BSX","1992-05-26","18.0","18.12","17.5","4.375","1727600"
"BSX","1992-05-27","17.62","17.88","17.62","4.4375","794000"
"BSX","1992-05-28","17.88","18.0","17.75","4.4688","250800"
"BSX","1992-05-29","18.0","18.38","17.88","4.5625","1041600"
"BSX","1992-06-01","18.25","18.62","18.25","4.625","859600"
"BSX","1992-06-02","18.75","18.75","18.25","4.6562","1385600"
"BSX","1992-06-03","18.5","18.5","17.88","4.5","1222000"
"BSX","1992-06-04","18.0","18.0","17.5","4.375","464000"
"BSX","1992-06-05","17.38","17.38","17.0","4.3125","940800"
"BSX","1992-06-08","17.38","17.38","17.25","4.3125","844000"
"BSX","1992-06-09","17.25","17.38","16.5","4.125","1579200"
"BSX","1992-06-10","16.5","16.62","16.5","4.125","676800"
"BSX","1992-06-11","16.62","16.62","16.12","4.0938","1413600"
"BSX","1992-06-12","16.62","16.88","16.62","4.1875","208400"
"BSX","1992-06-15","16.62","16.62","16.5","4.1562","1178000"
"BSX","1992-06-16","16.62","16.62","16.38","4.125","256000"
"BSX","1992-06-17","16.38","16.38","15.5","3.9375","1033200"
"BSX","1992-06-18","15.75","15.75","15.62","3.9375","277200"
"BSX","1992-06-19","15.62","15.75","15.5","3.9375","394800"
"BSX","1992-06-22","15.5","15.5","14.0","3.5938","752400"
"BSX","1992-06-23","14.62","16.0","14.62","3.9688","1240000"
"BSX","1992-06-24","16.0","16.0","15.38","3.9375","368000"
"BSX","1992-06-25","15.88","15.88","15.25","3.875","344400"
"BSX","1992-06-26","15.38","15.5","15.25","3.875","290000"
"BSX","1992-06-29","15.5","17.0","15.5","4.2188","474400"
"BSX","1992-06-30","17.0","17.12","16.75","4.2812","532400"
"BSX","1992-07-01","17.0","17.0","16.88","4.2188","191200"
"BSX","1992-07-02","17.0","17.88","17.0","4.4375","1210400"
"BSX","1992-07-06","17.75","18.38","17.62","4.5938","1128400"
"BSX","1992-07-07","18.5","18.88","18.38","4.5938","784000"
"BSX","1992-07-08","18.5","18.5","17.62","4.4688","355200"
"BSX","1992-07-09","17.88","18.25","16.88","4.5312","102400"
"BSX","1992-07-10","18.12","18.12","17.75","4.4688","129600"
"BSX","1992-07-13","17.88","18.38","17.88","4.5312","219200"
"BSX","1992-07-14","18.25","18.62","18.12","4.6562","225600"
"BSX","1992-07-15","18.62","18.62","18.25","4.5625","335600"
"BSX","1992-07-16","18.25","19.0","18.25","4.75","765600"
"BSX","1992-07-17","19.12","19.12","18.5","4.6562","440000"
"BSX","1992-07-20","18.38","18.62","17.75","4.5","201600"
"BSX","1992-07-21","18.12","19.62","18.12","4.75","700400"
"BSX","1992-07-22","19.0","19.62","18.88","4.8438","218800"
"BSX","1992-07-23","19.25","19.62","19.12","4.8125","330800"
"BSX","1992-07-24","19.0","19.12","18.75","4.7188","308800"
"BSX","1992-07-27","18.88","18.88","18.5","4.625","71200"
"BSX","1992-07-28","18.75","19.5","18.75","4.8438","453200"
"BSX","1992-07-29","19.5","20.38","19.5","5.0","1081600"
"BSX","1992-07-30","19.88","20.0","19.62","5.0","422800"
"BSX","1992-07-31","19.75","20.0","19.75","5.0","154400"
"BSX","1992-08-03","20.0","20.0","19.88","4.9688","63600"
"BSX","1992-08-04","20.0","20.0","19.75","4.9688","201200"
"BSX","1992-08-05","19.75","19.88","19.62","4.9375","750400"
"BSX","1992-08-06","19.75","20.0","19.62","5.0","208000"
"BSX","1992-08-07","19.88","20.25","19.62","4.9062","643200"
"BSX","1992-08-10","19.75","20.12","19.25","4.8438","277200"
"BSX","1992-08-11","19.25","19.25","18.25","4.625","764400"
"BSX","1992-08-12","18.38","18.38","18.0","4.5625","319200"
"BSX","1992-08-13","18.38","18.38","18.0","4.5","251600"
"BSX","1992-08-14","18.0","18.0","17.25","4.3438","984400"
"BSX","1992-08-17","17.38","17.75","17.25","4.4375","472800"
"BSX","1992-08-18","17.62","17.75","17.62","4.4062","565600"
"BSX","1992-08-19","17.75","18.25","17.75","4.5312","782800"
"BSX","1992-08-20","18.38","18.38","18.0","4.5625","254800"
"BSX","1992-08-21","18.38","18.62","18.25","4.5625","297600"
"BSX","1992-08-24","18.38","18.38","17.88","4.5","164400"
"BSX","1992-08-25","18.25","18.5","18.0","4.625","221600"
"BSX","1992-08-26","18.5","19.25","18.5","4.75","418000"
"BSX","1992-08-27","19.0","19.38","19.0","4.8125","94000"
"BSX","1992-08-28","19.0","19.38","19.0","4.8438","263200"
"BSX","1992-08-31","19.38","19.38","19.12","4.8438","204000"
"BSX","1992-09-01","18.88","19.12","18.62","4.7812","586800"
"BSX","1992-09-02","19.12","19.12","18.62","4.7812","454400"
"BSX","1992-09-03","19.12","19.12","18.0","4.5","788400"
"BSX","1992-09-04","18.12","18.38","18.0","4.5938","38000"
"BSX","1992-09-08","18.38","18.62","18.38","4.625","210400"
"BSX","1992-09-09","18.5","19.12","18.5","4.7812","521200"
"BSX","1992-09-10","19.5","19.62","19.25","4.9062","1064800"
"BSX","1992-09-11","19.62","19.88","19.62","4.9688","210800"
"BSX","1992-09-14","19.88","20.0","19.62","4.9375","340000"
"BSX","1992-09-15","19.88","20.0","19.62","4.9688","446000"
"BSX","1992-09-16","19.88","19.88","19.75","4.9375","122400"
"BSX","1992-09-17","19.88","20.5","19.75","5.0938","611600"
"BSX","1992-09-18","20.38","20.38","19.5","4.9062","263200"
"BSX","1992-09-21","19.5","19.62","19.5","4.9062","59200"
"BSX","1992-09-22","19.5","19.62","19.12","4.7812","220000"
"BSX","1992-09-23","19.25","19.25","18.75","4.7188","176800"
