"symbol","date","open","high","low","close","volume"
"BTA","2006-02-24","15.0","15.05","15.0","15.0","161400"
"BTA","2006-02-27","15.0","15.01","15.0","7.8038","52700"
"BTA","2006-02-28","15.01","15.01","15.0","7.8038","17900"
"BTA","2006-03-01","15.0","15.01","15.0","7.7986","57900"
"BTA","2006-03-02","15.0","15.01","15.0","7.7986","23400"
"BTA","2006-03-03","15.01","15.01","15.0","7.7986","15900"
"BTA","2006-03-06","15.01","15.01","15.0","7.7986","7300"
"BTA","2006-03-07","15.0","15.01","15.0","7.7986","29800"
"BTA","2006-03-08","15.0","15.0","15.0","7.7986","6600"
"BTA","2006-03-09","15.0","15.0","15.0","7.7986","4200"
"BTA","2006-03-10","15.0","15.0","15.0","7.7986","19300"
"BTA","2006-03-13","15.0","15.01","15.0","7.7986","19800"
"BTA","2006-03-14","15.0","15.01","15.0","7.7986","23500"
"BTA","2006-03-15","15.01","15.01","15.0","7.8038","23200"
"BTA","2006-03-16","15.0","15.0","15.0","7.7986","26300"
"BTA","2006-03-17","15.01","15.01","15.0","7.7986","48700"
"BTA","2006-03-20","15.0","15.01","15.0","7.7986","541500"
"BTA","2006-03-21","15.0","15.01","15.0","7.8038","527100"
"BTA","2006-03-22","15.0","15.01","15.0","7.8038","93500"
"BTA","2006-03-23","15.01","15.01","15.0","7.7986","36600"
"BTA","2006-03-24","15.0","15.01","15.0","7.7986","51900"
"BTA","2006-03-27","15.0","15.01","15.0","7.7986","185700"
"BTA","2006-03-28","15.0","15.01","15.0","7.7986","139900"
"BTA","2006-03-29","15.0","15.01","15.0","7.8038","86100"
"BTA","2006-03-30","15.0","15.01","15.0","7.7986","53000"
"BTA","2006-03-31","15.0","15.01","15.0","7.8038","31900"
"BTA","2006-04-03","15.0","15.01","15.0","7.8038","51500"
"BTA","2006-04-04","15.0","15.01","15.0","7.7986","38200"
"BTA","2006-04-05","15.0","15.02","15.0","7.8038","92600"
"BTA","2006-04-06","15.0","15.2","15.0","7.809","47500"
"BTA","2006-04-07","15.01","15.03","15.0","7.809","37400"
"BTA","2006-04-10","15.02","15.04","15.0","7.7986","77400"
"BTA","2006-04-11","15.01","15.01","14.6","7.6426","93400"
"BTA","2006-04-12","14.6","14.8","14.56","7.6062","37900"
"BTA","2006-04-13","14.55","14.6","14.53","7.5906","60900"
"BTA","2006-04-17","14.61","14.7","14.53","7.6426","25100"
"BTA","2006-04-18","14.65","14.8","14.65","7.6686","19100"
"BTA","2006-04-19","14.7","14.85","14.67","7.6322","4900"
"BTA","2006-04-20","14.68","14.85","14.68","7.6842","15200"
"BTA","2006-04-21","14.71","14.86","14.71","7.7258","4300"
"BTA","2006-04-24","14.89","14.89","14.84","7.767","7700"
"BTA","2006-04-25","14.77","15.0","14.77","7.7827","48400"
"BTA","2006-04-26","14.85","14.85","14.8","7.7305","18600"
"BTA","2006-04-27","14.81","14.81","14.51","7.626","32300"
"BTA","2006-04-28","14.61","14.7","14.6","7.626","5000"
"BTA","2006-05-01","14.6","14.65","14.6","7.6521","6100"
"BTA","2006-05-02","14.77","14.99","14.65","7.8297","32500"
"BTA","2006-05-03","14.89","14.89","14.8","7.7566","4500"
"BTA","2006-05-04","14.8","14.85","14.8","7.7566","1400"
"BTA","2006-05-05","14.81","14.84","14.71","7.7044","12700"
"BTA","2006-05-08","14.79","14.79","14.71","7.6835","17900"
"BTA","2006-05-09","14.71","14.75","14.27","7.5999","50700"
"BTA","2006-05-10","14.52","14.65","14.36","7.532","24500"
"BTA","2006-05-11","14.41","14.47","14.36","7.5367","25100"
"BTA","2006-05-12","14.36","14.36","14.21","7.4842","33000"
"BTA","2006-05-15","14.22","14.35","14.21","7.458","18100"
"BTA","2006-05-16","14.25","14.25","14.12","7.4108","17900"
"BTA","2006-05-17","14.12","14.19","14.12","7.4108","20500"
"BTA","2006-05-18","14.12","14.12","14.11","7.4055","7300"
"BTA","2006-05-19","14.15","14.19","14.11","7.4055","6900"
"BTA","2006-05-22","14.11","14.2","14.04","7.3793","20000"
"BTA","2006-05-23","14.06","14.11","14.06","7.395","10200"
"BTA","2006-05-24","14.09","14.09","13.9","7.3005","20900"
"BTA","2006-05-25","13.86","13.86","13.44","7.2691","44100"
"BTA","2006-05-26","13.95","14.05","13.95","7.3688","2700"
"BTA","2006-05-30","13.96","13.98","13.82","7.2691","11800"
"BTA","2006-05-31","13.85","13.93","13.6","7.2113","24600"
"BTA","2006-06-01","13.74","13.74","13.62","7.2113","14900"
"BTA","2006-06-02","13.7","13.82","13.7","7.2533","24400"
"BTA","2006-06-05","13.82","14.05","13.62","7.29","30100"
"BTA","2006-06-06","13.85","14.05","13.65","7.2008","86600"
"BTA","2006-06-07","13.92","14.02","13.8","7.3268","40900"
"BTA","2006-06-08","13.84","13.97","13.79","7.3215","45700"
"BTA","2006-06-09","13.95","13.97","13.9","7.332","6400"
"BTA","2006-06-12","13.97","13.97","13.75","7.2166","36500"
"BTA","2006-06-13","13.75","13.75","13.71","7.2371","12000"
"BTA","2006-06-14","13.8","13.8","13.68","7.2319","19600"
"BTA","2006-06-15","13.71","13.77","13.53","7.1422","42100"
"BTA","2006-06-16","13.39","13.45","13.29","7.0578","45700"
"BTA","2006-06-19","13.4","13.45","13.31","7.0578","22600"
"BTA","2006-06-20","13.45","13.55","13.41","7.1158","38900"
"BTA","2006-06-21","13.59","13.59","13.31","7.0578","49400"
"BTA","2006-06-22","13.3","13.37","13.2","6.9892","38000"
"BTA","2006-06-23","13.34","13.34","12.97","6.8468","58400"
"BTA","2006-06-26","13.0","13.08","12.92","6.8152","61200"
"BTA","2006-06-27","12.92","13.1","12.91","6.8679","51400"
"BTA","2006-06-28","13.07","13.07","12.93","6.8679","45300"
"BTA","2006-06-29","13.02","13.07","12.92","6.8521","61100"
"BTA","2006-06-30","12.95","13.0","12.92","6.8362","69100"
"BTA","2006-07-03","12.94","12.96","12.9","6.8046","32000"
"BTA","2006-07-05","12.9","12.99","12.87","6.8521","102200"
"BTA","2006-07-06","13.0","13.16","13.0","6.9365","19900"
"BTA","2006-07-07","13.15","13.3","13.15","6.9892","28600"
"BTA","2006-07-10","13.3","13.49","13.3","7.1","34800"
"BTA","2006-07-11","13.55","13.55","13.38","7.0683","48200"
"BTA","2006-07-12","13.4","13.42","13.26","7.0572","22000"
"BTA","2006-07-13","13.3","13.47","13.28","7.1049","38800"
"BTA","2006-07-14","13.41","13.41","13.14","7.0413","29200"
"BTA","2006-07-17","13.33","13.38","13.24","7.0784","26500"
"BTA","2006-07-18","13.39","13.5","13.3","7.0784","25400"
"BTA","2006-07-19","13.5","13.71","13.4","7.1208","42200"
"BTA","2006-07-20","13.45","13.6","13.26","7.1367","58500"
"BTA","2006-07-21","13.44","13.54","13.4","7.158","29700"
"BTA","2006-07-24","13.5","13.55","13.43","7.1792","20200"
"BTA","2006-07-25","13.41","13.54","13.4","7.1208","51100"
"BTA","2006-07-26","13.45","13.62","13.45","7.1845","39400"
"BTA","2006-07-27","13.6","13.65","13.57","7.2216","23300"
"BTA","2006-07-28","13.6","13.8","13.6","7.2905","37300"
"BTA","2006-07-31","13.74","13.98","13.74","7.3859","58500"
"BTA","2006-08-01","13.85","14.05","13.85","7.4231","35700"
"BTA","2006-08-02","14.1","14.1","13.98","7.4708","29000"
"BTA","2006-08-03","14.06","14.13","14.05","7.4867","32700"
"BTA","2006-08-04","14.22","14.33","14.16","7.5874","35500"
"BTA","2006-08-07","14.21","14.31","14.04","7.5556","42900"
"BTA","2006-08-08","14.3","14.34","14.2","7.6033","23400"
"BTA","2006-08-09","14.49","14.49","14.3","7.6086","14700"
"BTA","2006-08-10","14.35","14.42","14.31","7.5874","43000"
"BTA","2006-08-11","14.3","14.35","14.21","7.6189","23300"
