"symbol","date","open","high","low","close","volume"
"BURL","2013-10-02","23.05","25.65","22.61","25.01","15051500"
"BURL","2013-10-03","25.1","26.44","24.56","24.86","1125900"
"BURL","2013-10-04","24.9","26.46","24.51","25.89","808600"
"BURL","2013-10-07","26.16","27.9","25.91","26.77","575900"
"BURL","2013-10-08","26.9","27.0","25.38","25.9","363500"
"BURL","2013-10-09","25.64","26.1","25.14","25.52","410100"
"BURL","2013-10-10","26.04","26.63","24.52","25.98","394300"
"BURL","2013-10-11","25.98","26.77","25.51","26.68","159700"
"BURL","2013-10-14","26.4","27.72","26.0","27.53","241100"
"BURL","2013-10-15","27.4","27.82","26.78","27.71","158900"
"BURL","2013-10-16","28.0","28.0","27.08","27.26","169700"
"BURL","2013-10-17","27.37","27.67","26.69","26.82","143000"
"BURL","2013-10-18","26.85","27.0","26.24","26.43","362900"
"BURL","2013-10-21","26.0","27.25","26.0","26.41","85200"
"BURL","2013-10-22","26.0","26.85","25.68","26.25","215800"
"BURL","2013-10-23","25.98","26.84","25.55","25.75","182400"
"BURL","2013-10-24","25.75","26.01","25.52","26.01","86200"
"BURL","2013-10-25","25.86","26.52","25.86","26.43","116700"
"BURL","2013-10-28","26.27","26.84","25.87","26.75","121100"
"BURL","2013-10-29","26.65","27.18","26.1","26.86","94500"
"BURL","2013-10-30","26.5","27.1","26.16","26.87","63000"
"BURL","2013-10-31","27.06","27.06","26.47","26.79","79900"
"BURL","2013-11-01","26.93","27.26","26.54","27.16","82600"
"BURL","2013-11-04","27.18","27.99","27.0","27.16","135700"
"BURL","2013-11-05","27.53","27.53","26.87","27.07","175300"
"BURL","2013-11-06","27.18","27.72","26.91","26.95","262400"
"BURL","2013-11-07","27.03","27.6","26.78","26.92","241600"
"BURL","2013-11-08","27.04","27.42","26.15","27.17","84700"
"BURL","2013-11-11","27.41","27.95","26.61","27.05","434900"
"BURL","2013-11-12","26.96","29.19","26.96","27.75","294000"
"BURL","2013-11-13","27.78","29.39","27.07","28.94","576800"
"BURL","2013-11-14","29.52","30.22","29.0","29.84","429600"
"BURL","2013-11-15","30.32","30.36","29.5","30.18","147600"
"BURL","2013-11-18","30.37","30.53","29.24","29.45","247000"
"BURL","2013-11-19","29.27","29.99","29.04","29.79","46000"
"BURL","2013-11-20","29.77","30.59","29.25","29.9","420900"
"BURL","2013-11-21","30.14","30.77","29.37","29.37","148500"
"BURL","2013-11-22","29.05","29.09","27.6","28.82","1450300"
"BURL","2013-11-25","28.8","28.8","28.05","28.48","396700"
"BURL","2013-11-26","28.45","28.79","28.24","28.44","81800"
"BURL","2013-11-27","28.05","28.62","28.05","28.42","170600"
"BURL","2013-11-29","28.3","28.65","28.3","28.44","34600"
"BURL","2013-12-02","28.25","29.41","28.25","29.06","420300"
"BURL","2013-12-03","29.04","29.51","28.41","28.78","403800"
"BURL","2013-12-04","29.15","29.15","27.81","28.19","447400"
"BURL","2013-12-05","28.1","28.74","27.99","28.06","226000"
"BURL","2013-12-06","28.32","28.95","27.85","28.02","344500"
"BURL","2013-12-09","28.2","28.38","27.93","28.1","518900"
"BURL","2013-12-10","24.22","26.19","21.54","25.92","3095800"
"BURL","2013-12-11","26.18","28.2","25.97","28.07","904100"
"BURL","2013-12-12","28.16","28.62","27.18","27.29","416400"
"BURL","2013-12-13","27.35","27.69","26.47","27.34","424800"
"BURL","2013-12-16","27.2","29.0","26.8","28.93","359900"
"BURL","2013-12-17","28.76","28.97","27.88","28.09","629900"
"BURL","2013-12-18","27.82","29.12","27.76","28.56","449200"
"BURL","2013-12-19","28.32","29.78","28.32","29.72","360000"
"BURL","2013-12-20","29.46","30.48","29.22","30.37","1990700"
"BURL","2013-12-23","30.3","31.27","30.0","30.93","390800"
"BURL","2013-12-24","30.8","31.39","30.07","31.32","171000"
"BURL","2013-12-26","31.3","32.03","30.82","30.97","168900"
"BURL","2013-12-27","30.89","31.63","30.0","31.4","277100"
"BURL","2013-12-30","31.29","31.89","31.04","31.34","350600"
"BURL","2013-12-31","31.51","32.44","31.33","32.0","147500"
"BURL","2014-01-02","32.0","32.75","31.5","32.5","220000"
"BURL","2014-01-03","32.61","32.98","31.66","32.06","251600"
"BURL","2014-01-06","32.13","32.25","31.44","31.56","418300"
"BURL","2014-01-07","31.58","32.05","30.55","30.63","396000"
"BURL","2014-01-08","30.66","30.85","30.02","30.38","248800"
"BURL","2014-01-09","30.51","30.68","29.87","29.9","348000"
"BURL","2014-01-10","29.98","30.24","29.25","29.35","215100"
"BURL","2014-01-13","29.24","30.45","29.2","29.55","413600"
"BURL","2014-01-14","29.74","30.0","29.62","29.79","328800"
"BURL","2014-01-15","29.94","30.15","29.51","29.81","576000"
"BURL","2014-01-16","29.81","29.93","29.41","29.45","185000"
"BURL","2014-01-17","29.36","29.41","28.7","28.78","254700"
"BURL","2014-01-21","28.77","29.95","28.17","28.44","352800"
"BURL","2014-01-22","28.45","28.68","27.25","27.89","508300"
"BURL","2014-01-23","27.55","27.95","27.26","27.62","425200"
"BURL","2014-01-24","27.36","27.63","26.46","26.96","773800"
"BURL","2014-01-27","26.91","27.5","26.54","27.3","360200"
"BURL","2014-01-28","27.43","27.59","26.2","26.36","410400"
"BURL","2014-01-29","26.25","26.79","25.93","26.18","217700"
"BURL","2014-01-30","26.25","26.25","25.67","25.69","170400"
"BURL","2014-01-31","25.43","25.89","25.02","25.58","217600"
"BURL","2014-02-03","25.58","25.74","24.09","24.44","581100"
"BURL","2014-02-04","24.49","25.21","24.49","24.63","234400"
"BURL","2014-02-05","24.57","24.69","23.88","24.26","239500"
"BURL","2014-02-06","24.3","25.18","24.28","24.52","227400"
"BURL","2014-02-07","24.6","25.03","24.13","24.47","177900"
"BURL","2014-02-10","24.37","25.27","24.37","25.13","308600"
"BURL","2014-02-11","26.96","27.15","26.09","26.68","729200"
"BURL","2014-02-12","26.71","27.12","26.45","26.95","386700"
"BURL","2014-02-13","26.86","27.61","26.77","27.06","270900"
"BURL","2014-02-14","26.88","27.34","26.13","26.36","419000"
"BURL","2014-02-18","26.25","26.25","25.73","25.77","274400"
