"symbol","date","open","high","low","close","volume"
"BWXT","2010-08-02","23.0","24.12","22.5","15.8822","3474400"
"BWXT","2010-08-03","23.08","23.69","22.01","15.3471","4033400"
"BWXT","2010-08-04","22.52","23.98","21.5","16.1292","6798800"
"BWXT","2010-08-05","23.48","25.16","22.9","16.9319","2564500"
"BWXT","2010-08-06","24.58","24.58","23.55","16.5408","1581600"
"BWXT","2010-08-09","23.54","24.05","23.06","16.3007","2258600"
"BWXT","2010-08-10","23.04","23.65","22.25","16.0949","2231200"
"BWXT","2010-08-11","22.92","23.96","22.42","15.745","2492600"
"BWXT","2010-08-12","22.54","22.85","21.7","15.3608","2594400"
"BWXT","2010-08-13","22.39","22.43","21.85","15.1138","1715300"
"BWXT","2010-08-16","22.02","22.21","21.88","15.1893","567200"
"BWXT","2010-08-17","22.25","22.96","22.0","15.5117","197400"
"BWXT","2010-08-18","22.45","23.24","22.21","15.8067","1415900"
"BWXT","2010-08-19","22.69","23.81","22.63","16.1292","1237000"
"BWXT","2010-08-20","23.59","23.75","23.05","16.0949","555300"
"BWXT","2010-08-23","23.45","23.53","23.25","16.1086","827800"
"BWXT","2010-08-24","22.96","24.65","22.82","15.8822","2776700"
"BWXT","2010-08-25","22.9","23.08","22.74","15.7861","1694000"
"BWXT","2010-08-26","23.02","23.22","22.47","15.5186","924100"
"BWXT","2010-08-27","22.53","23.64","22.1","16.0606","914700"
"BWXT","2010-08-30","23.16","23.47","22.93","15.9508","484800"
"BWXT","2010-08-31","23.17","23.54","22.21","15.3676","3653700"
"BWXT","2010-09-01","22.73","22.9","22.6","15.6558","904200"
"BWXT","2010-09-02","22.74","23.0","22.45","15.5735","332200"
"BWXT","2010-09-03","22.47","22.99","22.34","15.4225","412300"
"BWXT","2010-09-07","22.3","22.42","22.1","15.299","505100"
"BWXT","2010-09-08","22.29","22.39","21.65","15.1207","576800"
"BWXT","2010-09-09","22.02","22.3","22.02","15.2579","239100"
"BWXT","2010-09-10","22.18","22.19","21.81","15.0932","550100"
"BWXT","2010-09-13","22.14","22.23","21.84","15.1069","817800"
"BWXT","2010-09-14","22.02","22.07","21.94","15.0521","487300"
"BWXT","2010-09-15","21.85","22.2","21.85","15.1412","491100"
"BWXT","2010-09-16","22.0","22.24","21.27","15.0932","676600"
"BWXT","2010-09-17","22.04","22.24","21.83","15.1618","333600"
"BWXT","2010-09-20","22.0","22.91","22.0","15.4225","883500"
"BWXT","2010-09-21","22.48","22.59","21.9","15.0315","800800"
"BWXT","2010-09-22","21.82","22.0","21.34","14.8531","293200"
"BWXT","2010-09-23","21.4","22.51","21.31","15.251","1061800"
"BWXT","2010-09-24","22.43","22.43","21.95","15.0932","1186900"
"BWXT","2010-09-27","22.0","22.08","21.8","15.0315","507500"
"BWXT","2010-09-28","21.75","21.75","21.35","14.7639","927900"
"BWXT","2010-09-29","21.5","21.81","21.32","14.7776","392600"
"BWXT","2010-09-30","21.57","21.88","21.22","14.5993","638200"
"BWXT","2010-10-01","21.3","21.74","21.28","14.8874","438800"
"BWXT","2010-10-04","21.7","21.79","21.32","14.7639","683800"
"BWXT","2010-10-05","21.6","21.61","21.06","14.5787","1367900"
"BWXT","2010-10-06","21.19","22.08","20.75","15.004","1668200"
"BWXT","2010-10-07","21.83","22.79","21.7","15.3676","999300"
"BWXT","2010-10-08","22.15","23.34","21.79","15.7656","720100"
"BWXT","2010-10-11","22.89","22.94","22.45","15.5254","380300"
"BWXT","2010-10-12","22.59","22.6","22.19","15.4363","710500"
"BWXT","2010-10-13","22.38","23.01","22.24","15.745","866500"
"BWXT","2010-10-14","22.82","22.82","21.75","15.1618","1117400"
