"symbol","date","open","high","low","close","volume"
"BXMT","1987-11-05","5.37","5.62","5.37","17.9161","100"
"BXMT","1987-11-06","5.5","5.62","5.5","17.9161","100"
"BXMT","1987-11-09","5.5","5.62","5.5","17.9161","100"
"BXMT","1987-11-10","5.75","5.75","5.62","18.7305","400"
"BXMT","1987-11-11","5.62","5.75","5.37","18.3233","100"
"BXMT","1987-11-12","5.75","5.75","5.5","17.9161","200"
"BXMT","1987-11-13","5.62","5.62","5.37","17.9161","100"
"BXMT","1987-11-16","5.62","5.62","5.5","17.9161","100"
"BXMT","1987-11-17","5.37","5.5","5.37","17.5089","200"
"BXMT","1987-11-18","5.37","5.37","5.25","17.5089","500"
"BXMT","1987-11-19","5.37","5.37","5.25","17.1018","500"
"BXMT","1987-11-20","5.25","5.5","5.25","17.5089","800"
"BXMT","1987-11-23","5.37","5.37","5.25","17.1018","400"
"BXMT","1987-11-24","5.25","5.37","5.25","17.1018","200"
"BXMT","1987-11-25","5.37","5.37","5.12","17.1018","800"
"BXMT","1987-11-27","5.25","5.5","5.25","17.5089","400"
"BXMT","1987-11-30","5.12","5.37","5.12","17.6603","1000"
"BXMT","1987-12-01","5.25","5.37","5.12","17.6603","400"
"BXMT","1987-12-02","5.12","5.25","5.0","16.8194","300"
"BXMT","1987-12-03","4.87","5.12","4.87","16.8194","300"
"BXMT","1987-12-04","4.87","4.87","4.75","16.3989","400"
"BXMT","1987-12-07","4.87","5.12","4.62","15.9784","500"
"BXMT","1987-12-08","4.75","5.12","4.62","16.8194","600"
"BXMT","1987-12-09","4.87","5.25","4.87","16.8194","400"
"BXMT","1987-12-10","5.0","5.0","4.75","16.3989","500"
"BXMT","1987-12-11","4.87","5.0","4.75","16.3989","200"
"BXMT","1987-12-14","4.87","5.12","4.87","16.3989","600"
"BXMT","1987-12-15","4.75","4.87","4.75","15.9784","400"
"BXMT","1987-12-16","4.75","4.75","4.62","15.5579","300"
"BXMT","1987-12-17","4.75","4.75","4.37","15.1374","800"
"BXMT","1987-12-18","4.37","4.5","4.12","14.7169","500"
"BXMT","1987-12-21","4.25","4.37","4.25","14.7169","400"
"BXMT","1987-12-22","4.25","4.37","4.25","14.7169","700"
"BXMT","1987-12-23","4.5","4.62","4.25","14.7169","900"
"BXMT","1987-12-24","4.5","4.75","4.37","15.1374","500"
"BXMT","1987-12-28","4.62","4.62","4.37","14.7169","400"
"BXMT","1987-12-29","4.5","4.5","4.37","14.7169","900"
"BXMT","1987-12-30","4.37","4.37","4.12","14.2965","1400"
"BXMT","1987-12-31","4.37","4.62","4.25","15.1374","1300"
"BXMT","1988-01-04","4.5","4.75","4.37","15.9784","600"
"BXMT","1988-01-05","5.0","5.75","5.0","18.5013","700"
"BXMT","1988-01-06","5.5","5.75","5.37","19.3423","500"
"BXMT","1988-01-07","6.25","6.25","6.0","21.0242","800"
"BXMT","1988-01-08","6.25","6.25","5.87","20.6037","500"
"BXMT","1988-01-11","6.0","6.0","5.87","20.1832","500"
"BXMT","1988-01-12","5.87","6.12","5.87","20.6037","300"
"BXMT","1988-01-13","6.0","6.12","6.0","20.6037","100"
"BXMT","1988-01-14","6.0","6.12","6.0","20.6037","200"
"BXMT","1988-01-15","6.12","6.25","6.0","20.6037","700"
"BXMT","1988-01-18","6.25","6.25","6.12","20.6037","0"
"BXMT","1988-01-19","6.12","6.25","6.12","21.0242","200"
"BXMT","1988-01-20","6.12","6.25","6.12","20.6037","200"
"BXMT","1988-01-21","6.25","6.25","6.12","20.6037","0"
"BXMT","1988-01-22","6.12","6.12","6.12","20.6037","100"
"BXMT","1988-01-25","6.25","6.25","6.12","20.6037","0"
"BXMT","1988-01-26","6.25","6.25","6.12","21.0242","0"
"BXMT","1988-01-27","6.12","6.25","6.12","20.6037","500"
"BXMT","1988-01-28","6.12","6.12","6.12","20.6037","200"
"BXMT","1988-01-29","6.12","6.25","6.12","21.0242","0"
"BXMT","1988-02-01","6.25","6.25","6.12","20.6037","500"
"BXMT","1988-02-02","6.12","6.12","6.0","20.6037","0"
"BXMT","1988-02-03","6.0","6.0","5.87","19.7627","300"
"BXMT","1988-02-04","5.87","5.87","5.87","19.7627","0"
"BXMT","1988-02-05","5.87","5.87","5.75","19.7627","0"
"BXMT","1988-02-08","5.75","5.87","5.75","19.7627","200"
"BXMT","1988-02-09","5.87","5.87","5.75","19.3423","0"
"BXMT","1988-02-10","6.0","6.0","5.87","19.7627","200"
"BXMT","1988-02-11","5.87","6.0","5.87","20.1832","0"
"BXMT","1988-02-12","5.87","6.12","5.87","20.6037","200"
"BXMT","1988-02-16","6.0","6.0","6.0","20.1832","0"
"BXMT","1988-02-17","6.0","6.12","5.87","19.7627","100"
"BXMT","1988-02-18","5.75","5.87","5.75","19.7627","100"
"BXMT","1988-02-19","5.75","5.87","5.75","19.7627","100"
"BXMT","1988-02-22","6.0","6.0","5.87","19.7627","100"
"BXMT","1988-02-23","6.0","6.0","5.87","19.7627","400"
"BXMT","1988-02-24","5.75","5.87","5.75","19.7627","100"
"BXMT","1988-02-25","5.87","5.87","5.75","19.7627","400"
"BXMT","1988-02-26","5.87","5.87","5.75","19.7627","200"
"BXMT","1988-02-29","5.87","5.87","5.62","18.9218","500"
"BXMT","1988-03-01","5.75","5.75","5.62","18.9218","600"
"BXMT","1988-03-02","5.62","5.75","5.5","18.5013","400"
"BXMT","1988-03-03","5.62","5.62","5.5","18.9218","600"
"BXMT","1988-03-04","5.62","5.62","5.5","18.9218","200"
"BXMT","1988-03-07","5.62","5.62","5.5","18.5013","500"
"BXMT","1988-03-08","5.37","5.5","5.25","18.0808","400"
"BXMT","1988-03-09","5.25","5.37","5.25","18.6713","200"
"BXMT","1988-03-10","5.37","5.37","5.25","18.6713","200"
"BXMT","1988-03-11","5.25","5.37","5.25","18.6713","100"
"BXMT","1988-03-14","5.37","5.37","5.25","18.6713","100"
"BXMT","1988-03-15","5.37","5.37","5.25","18.6713","100"
"BXMT","1988-03-16","5.25","5.25","4.87","16.9345","700"
"BXMT","1988-03-17","5.0","5.12","4.87","17.3687","400"
"BXMT","1988-03-18","5.12","5.12","4.87","16.9345","200"
"BXMT","1988-03-21","5.0","5.0","4.62","16.9345","400"
"BXMT","1988-03-22","4.87","4.87","4.75","16.5003","100"
"BXMT","1988-03-23","4.87","5.25","4.87","17.8029","200"
"BXMT","1988-03-24","5.25","5.25","5.12","17.8029","6900"
"BXMT","1988-03-25","5.12","5.37","5.12","18.2371","200"
"BXMT","1988-03-28","5.12","5.37","5.12","18.2371","300"
"BXMT","1988-03-29","5.12","5.25","5.12","17.8029","0"
"BXMT","1988-03-30","5.25","5.25","5.12","18.2371","300"
"BXMT","1988-03-31","5.12","5.37","5.12","18.6713","300"
"BXMT","1988-04-04","5.25","5.5","5.25","18.2371","400"
"BXMT","1988-04-05","5.5","5.62","5.37","19.1056","400"
"BXMT","1988-04-06","5.62","5.87","5.62","19.974","2400"
"BXMT","1988-04-07","5.87","5.87","5.75","20.4082","500"
"BXMT","1988-04-08","5.87","5.87","5.75","19.974","400"
"BXMT","1988-04-11","5.62","5.75","5.62","19.5398","200"
"BXMT","1988-04-12","5.62","5.62","5.37","18.6713","200"
"BXMT","1988-04-13","5.5","5.62","5.5","19.1056","100"
"BXMT","1988-04-14","5.37","5.5","5.25","18.2371","100"
"BXMT","1988-04-15","5.25","5.5","5.25","18.6713","200"
"BXMT","1988-04-18","5.5","5.5","5.5","19.1056","0"
"BXMT","1988-04-19","5.62","5.62","5.62","19.5398","100"
"BXMT","1988-04-20","5.62","5.62","5.5","19.1056","0"
"BXMT","1988-04-21","5.5","5.5","5.5","19.1056","0"
"BXMT","1988-04-22","5.5","5.5","5.5","19.1056","0"
"BXMT","1988-04-25","5.5","5.62","5.5","19.1056","100"
"BXMT","1988-04-26","5.37","5.5","5.25","18.2371","400"
"BXMT","1988-04-27","5.37","5.37","5.25","18.2371","100"
"BXMT","1988-04-28","5.37","5.37","5.25","18.2371","100"
"BXMT","1988-04-29","5.25","5.37","5.25","18.2371","200"
"BXMT","1988-05-02","5.25","5.25","5.25","18.2371","0"
"BXMT","1988-05-03","5.25","5.37","5.25","18.2371","0"
"BXMT","1988-05-04","5.25","5.37","5.25","18.2371","0"
"BXMT","1988-05-05","5.25","5.37","5.25","18.6713","0"
"BXMT","1988-05-06","5.25","5.25","5.25","18.2371","0"
"BXMT","1988-05-09","5.25","5.25","5.25","18.2371","0"
"BXMT","1988-05-10","5.25","5.37","5.25","18.2371","0"
"BXMT","1988-05-11","5.25","5.25","5.25","18.2371","100"
"BXMT","1988-05-12","5.25","5.25","5.12","17.8029","100"
"BXMT","1988-05-13","5.12","5.12","5.0","17.8029","200"
"BXMT","1988-05-16","5.0","5.12","5.0","17.8029","100"
"BXMT","1988-05-17","5.0","5.0","4.87","17.3687","200"
"BXMT","1988-05-18","4.87","4.87","4.87","16.9345","0"
"BXMT","1988-05-19","4.87","5.0","4.87","17.3687","0"
"BXMT","1988-05-20","4.87","5.12","4.87","17.3687","100"
"BXMT","1988-05-23","5.0","5.12","5.0","17.8029","200"
"BXMT","1988-05-24","5.12","5.12","5.0","17.8029","0"
"BXMT","1988-05-25","5.12","5.12","5.0","17.3687","0"
"BXMT","1988-05-26","5.12","5.12","5.0","17.3687","100"
"BXMT","1988-05-27","5.0","5.25","5.0","17.8029","400"
"BXMT","1988-05-31","5.12","5.12","5.12","17.8029","0"
"BXMT","1988-06-01","5.12","5.25","5.12","17.8029","0"
"BXMT","1988-06-02","5.0","5.12","5.0","17.3687","0"
"BXMT","1988-06-03","5.12","5.12","5.12","17.8029","0"
"BXMT","1988-06-06","5.0","5.12","5.0","17.3687","200"
"BXMT","1988-06-07","5.0","5.0","5.0","17.3687","200"
"BXMT","1988-06-08","5.0","5.12","5.0","17.3687","100"
"BXMT","1988-06-09","4.87","5.0","4.87","16.9345","200"
"BXMT","1988-06-10","4.87","5.0","4.87","16.9345","400"
"BXMT","1988-06-13","4.87","4.87","4.87","16.9345","100"
"BXMT","1988-06-14","4.87","5.0","4.87","17.217","200"
"BXMT","1988-06-15","4.87","4.87","4.87","17.217","0"
"BXMT","1988-06-16","5.0","5.0","4.87","17.217","300"
"BXMT","1988-06-17","4.87","4.87","4.75","16.7755","0"
"BXMT","1988-06-20","4.75","4.87","4.75","17.217","100"
"BXMT","1988-06-21","4.87","5.0","4.87","17.217","700"
"BXMT","1988-06-22","4.87","5.0","4.87","17.217","0"
"BXMT","1988-06-23","5.0","5.12","5.0","18.0999","800"
"BXMT","1988-06-24","5.0","5.12","5.0","18.0999","100"
"BXMT","1988-06-27","5.12","5.25","5.12","18.0999","400"
"BXMT","1988-06-28","5.12","5.25","5.12","18.0999","100"
"BXMT","1988-06-29","5.12","5.25","5.12","18.5414","100"
"BXMT","1988-06-30","5.37","5.37","5.25","18.9829","100"
"BXMT","1988-07-01","5.37","5.37","5.25","18.5414","200"
"BXMT","1988-07-05","5.25","5.37","5.25","18.5414","100"
"BXMT","1988-07-06","5.25","5.37","5.25","18.9829","400"
"BXMT","1988-07-07","5.25","5.25","5.25","18.5414","0"
"BXMT","1988-07-08","5.25","5.37","5.25","18.5414","100"
"BXMT","1988-07-11","5.25","5.25","5.25","18.5414","0"
"BXMT","1988-07-12","5.25","5.25","5.25","18.5414","100"
"BXMT","1988-07-13","5.25","5.37","5.25","18.9829","500"
"BXMT","1988-07-14","5.25","5.37","5.25","18.5414","500"
"BXMT","1988-07-15","5.25","5.37","5.25","18.5414","200"
"BXMT","1988-07-18","5.37","5.37","5.25","18.9829","400"
"BXMT","1988-07-19","5.25","5.37","5.25","18.5414","100"
"BXMT","1988-07-20","5.25","5.25","5.25","18.5414","0"
"BXMT","1988-07-21","5.25","5.37","5.25","18.5414","100"
"BXMT","1988-07-22","5.12","5.12","5.12","18.0999","0"
"BXMT","1988-07-25","5.12","5.12","5.12","18.0999","0"
"BXMT","1988-07-26","5.12","5.12","5.0","17.6585","300"
"BXMT","1988-07-27","5.0","5.0","5.0","17.6585","0"
"BXMT","1988-07-28","5.0","5.0","5.0","17.6585","0"
"BXMT","1988-07-29","5.0","5.0","5.0","17.6585","0"
"BXMT","1988-08-01","5.0","5.25","5.0","18.5414","100"
"BXMT","1988-08-02","5.12","5.25","5.12","18.5414","0"
"BXMT","1988-08-03","5.12","5.12","5.12","18.0999","100"
"BXMT","1988-08-04","5.12","5.25","5.12","18.5414","100"
"BXMT","1988-08-05","5.25","5.25","5.12","18.5414","400"
"BXMT","1988-08-08","5.12","5.25","5.12","18.5414","0"
"BXMT","1988-08-09","5.25","5.25","5.12","18.0999","400"
"BXMT","1988-08-10","5.12","5.12","5.0","17.6585","700"
"BXMT","1988-08-11","5.0","5.0","4.87","17.217","0"
"BXMT","1988-08-12","4.87","4.87","4.75","17.217","200"
"BXMT","1988-08-15","4.87","4.87","4.75","17.217","200"
"BXMT","1988-08-16","4.87","4.87","4.87","17.217","200"
"BXMT","1988-08-17","4.87","5.0","4.87","17.217","100"
"BXMT","1988-08-18","4.87","5.0","4.87","17.217","100"
"BXMT","1988-08-19","4.87","4.87","4.75","17.217","0"
