"symbol","date","open","high","low","close","volume"
"CADT","2014-10-24","9.75","9.75","9.75","9.75","300"
"CADT","2014-10-28","9.75","9.75","9.75","9.75","300"
"CADT","2014-10-31","9.7","9.75","9.7","9.75","3200"
"CADT","2014-11-03","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-04","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-05","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-06","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-07","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-10","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-11","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-12","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-13","9.75","9.75","9.75","9.75","4800"
"CADT","2014-11-14","9.74","9.74","9.74","9.74","7500"
"CADT","2014-11-17","9.74","9.74","9.74","9.74","0"
"CADT","2014-11-18","9.74","9.74","9.74","9.74","0"
"CADT","2014-11-19","9.74","9.74","9.74","9.74","0"
"CADT","2014-11-20","9.74","9.74","9.74","9.74","0"
"CADT","2014-11-21","9.74","9.75","9.74","9.75","1900"
"CADT","2014-11-24","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-25","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-26","9.75","9.75","9.75","9.75","0"
"CADT","2014-11-28","9.7","9.7","9.7","9.7","300"
"CADT","2014-12-01","9.73","9.73","9.66","9.67","600"
"CADT","2014-12-02","9.7","9.7","9.7","9.7","4900"
"CADT","2014-12-03","9.7","9.7","9.7","9.7","5000"
"CADT","2014-12-04","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-05","9.7","9.7","9.7","9.7","100"
"CADT","2014-12-08","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-09","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-10","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-11","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-12","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-15","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-16","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-17","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-18","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-19","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-22","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-23","9.7","9.7","9.7","9.7","8900"
"CADT","2014-12-24","9.66","9.66","9.66","9.66","0"
"CADT","2014-12-26","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-29","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-30","9.7","9.7","9.7","9.7","0"
"CADT","2014-12-31","9.7","9.7","9.7","9.7","0"
"CADT","2015-01-02","9.8","9.8","9.79","9.8","10300"
"CADT","2015-01-05","9.82","9.82","9.82","9.82","22000"
"CADT","2015-01-06","9.82","9.82","9.82","9.82","0"
"CADT","2015-01-07","9.82","9.82","9.82","9.82","0"
"CADT","2015-01-08","9.8","9.8","9.66","9.66","8700"
"CADT","2015-01-09","9.8","9.8","9.78","9.78","300"
"CADT","2015-01-12","9.78","9.78","9.78","9.78","0"
"CADT","2015-01-13","9.78","9.78","9.78","9.78","0"
