"symbol","date","open","high","low","close","volume"
"CAKE","1992-09-18","26.0","27.75","26.0","3.3945","24816300"
"CAKE","1992-09-21","26.5","27.25","26.0","3.3011","3912300"
"CAKE","1992-09-22","26.5","26.5","24.75","3.1142","2239800"
"CAKE","1992-09-23","24.75","25.25","24.5","3.0675","938800"
"CAKE","1992-09-24","24.5","25.5","24.5","3.1454","962700"
"CAKE","1992-09-25","25.25","25.5","24.0","3.0519","1215000"
"CAKE","1992-09-28","24.5","24.5","23.75","2.9585","473800"
"CAKE","1992-09-29","23.75","24.25","23.75","3.0208","1395400"
"CAKE","1992-09-30","24.25","25.0","23.75","3.1142","1030000"
"CAKE","1992-10-01","25.0","25.25","24.5","3.0519","910000"
"CAKE","1992-10-02","25.0","25.0","23.0","2.8962","1432500"
"CAKE","1992-10-05","22.75","23.0","21.5","2.7717","3341400"
"CAKE","1992-10-06","22.5","23.5","22.25","2.9274","615600"
"CAKE","1992-10-07","23.5","25.0","23.5","3.0519","780400"
"CAKE","1992-10-08","25.0","25.25","24.25","3.1298","820000"
"CAKE","1992-10-09","24.87","26.0","24.5","3.0519","1073400"
"CAKE","1992-10-12","25.0","25.0","24.25","3.0519","87900"
"CAKE","1992-10-13","24.5","25.0","23.38","2.9274","344400"
"CAKE","1992-10-14","23.75","24.5","23.25","3.0519","628600"
"CAKE","1992-10-15","24.5","25.5","24.0","3.1765","430200"
"CAKE","1992-10-16","25.37","26.5","25.0","3.2388","373500"
"CAKE","1992-10-19","26.5","27.5","25.75","3.3634","1201000"
"CAKE","1992-10-20","27.0","28.25","27.0","3.4256","1098400"
"CAKE","1992-10-21","27.5","28.25","27.0","3.4568","196300"
"CAKE","1992-10-22","27.0","27.5","25.75","3.3011","313200"
"CAKE","1992-10-23","26.0","27.0","26.0","3.3634","454500"
"CAKE","1992-10-26","26.75","26.75","25.75","3.3322","183600"
"CAKE","1992-10-27","26.75","26.75","25.25","3.2388","168900"
"CAKE","1992-10-28","26.0","27.25","25.75","3.3789","540600"
"CAKE","1992-10-29","27.0","27.25","25.5","3.2699","376600"
"CAKE","1992-10-30","25.75","26.25","24.25","3.0675","614800"
"CAKE","1992-11-02","25.25","26.25","24.75","3.0987","1007200"
"CAKE","1992-11-03","25.25","25.25","24.5","3.1142","810000"
"CAKE","1992-11-04","24.0","24.75","24.0","3.0519","66700"
"CAKE","1992-11-05","25.0","26.25","24.25","3.2699","334000"
"CAKE","1992-11-06","25.75","26.75","25.75","3.2699","200700"
"CAKE","1992-11-09","26.0","27.0","26.0","3.3011","226000"
"CAKE","1992-11-10","27.0","27.0","25.5","3.2388","569800"
"CAKE","1992-11-11","26.0","26.0","25.25","3.2388","208500"
"CAKE","1992-11-12","26.0","26.5","25.75","3.2699","558900"
"CAKE","1992-11-13","26.75","26.75","26.25","3.3322","366400"
"CAKE","1992-11-16","27.0","27.0","26.5","3.3322","256500"
"CAKE","1992-11-17","27.0","27.0","26.5","3.3166","217500"
"CAKE","1992-11-18","27.0","27.5","26.5","3.4256","238200"
"CAKE","1992-11-19","27.5","28.0","27.0","3.4256","606300"
"CAKE","1992-11-20","27.5","28.25","27.5","3.5191","781800"
"CAKE","1992-11-23","28.25","28.25","27.5","3.5191","343000"
"CAKE","1992-11-24","28.25","28.25","27.75","3.5191","185100"
"CAKE","1992-11-25","28.25","29.5","27.75","3.5814","1501800"
"CAKE","1992-11-27","29.5","31.0","29.25","3.7526","565200"
"CAKE","1992-11-30","30.5","31.25","29.75","3.8305","1201600"
"CAKE","1992-12-01","30.75","30.75","29.5","3.7371","444700"
"CAKE","1992-12-02","30.0","30.0","28.75","3.6436","374800"
"CAKE","1992-12-03","28.75","29.0","27.5","3.4568","648900"
"CAKE","1992-12-04","27.5","27.75","26.75","3.4256","382600"
"CAKE","1992-12-07","27.75","28.5","27.0","3.5502","285700"
"CAKE","1992-12-08","28.5","28.5","27.75","3.4568","129600"
"CAKE","1992-12-09","27.5","28.0","26.25","3.3011","272200"
"CAKE","1992-12-10","26.75","26.75","26.0","3.2699","143100"
"CAKE","1992-12-11","26.25","27.0","26.25","3.3634","30600"
"CAKE","1992-12-14","27.0","27.0","26.0","3.2388","378000"
"CAKE","1992-12-15","26.0","26.25","24.75","3.1454","587400"
"CAKE","1992-12-16","25.25","25.5","24.5","3.1765","575200"
"CAKE","1992-12-17","26.0","27.5","26.0","3.4256","580000"
"CAKE","1992-12-18","27.5","28.0","27.0","3.3634","213900"
