"symbol","date","open","high","low","close","volume"
"CAT","1962-01-02","38.5","38.87","38.12","0.5802","163200"
"CAT","1962-01-03","38.5","38.87","38.12","0.5858","155200"
"CAT","1962-01-04","39.75","41.0","39.75","0.6009","355200"
"CAT","1962-01-05","39.88","40.75","39.75","0.6066","163200"
"CAT","1962-01-08","40.25","40.87","40.0","0.6103","203200"
"CAT","1962-01-09","40.5","41.25","40.13","0.616","289600"
"CAT","1962-01-10","40.87","41.12","40.25","0.6085","182400"
"CAT","1962-01-11","40.37","41.0","40.0","0.6179","384000"
"CAT","1962-01-12","41.0","41.75","40.5","0.6216","352000"
"CAT","1962-01-15","41.25","41.5","40.5","0.6198","280000"
"CAT","1962-01-16","40.75","40.75","40.25","0.6141","163200"
"CAT","1962-01-17","40.5","41.0","40.25","0.6122","160000"
"CAT","1962-01-18","40.37","41.25","40.37","0.6254","260800"
"CAT","1962-01-19","41.25","42.0","40.5","0.6368","356800"
"CAT","1962-01-22","42.0","42.5","41.87","0.6349","260800"
"CAT","1962-01-23","41.87","42.25","41.0","0.6217","222400"
"CAT","1962-01-24","41.0","41.0","40.0","0.6179","120000"
"CAT","1962-01-25","40.75","41.38","40.63","0.6217","150400"
"CAT","1962-01-26","41.0","41.38","40.5","0.6217","107200"
"CAT","1962-01-29","41.0","41.38","40.87","0.6273","121600"
"CAT","1962-01-30","41.25","41.25","40.63","0.6179","120000"
"CAT","1962-01-31","40.75","41.38","40.75","0.6217","188800"
"CAT","1962-02-01","41.0","42.0","41.0","0.633","112000"
"CAT","1962-02-02","41.75","41.87","41.38","0.6292","198400"
"CAT","1962-02-05","41.5","41.63","41.38","0.6273","96000"
"CAT","1962-02-06","41.5","41.87","41.5","0.6311","105600"
"CAT","1962-02-07","41.63","41.87","41.12","0.6235","121600"
"CAT","1962-02-08","41.12","41.25","41.12","0.6235","140800"
"CAT","1962-02-09","41.12","41.25","40.63","0.616","115200"
"CAT","1962-02-12","40.63","40.75","40.13","0.6179","97600"
"CAT","1962-02-13","40.75","40.87","40.37","0.616","86400"
"CAT","1962-02-14","40.63","40.63","40.0","0.6103","177600"
"CAT","1962-02-15","40.13","40.13","39.5","0.6065","59200"
"CAT","1962-02-16","40.0","40.5","39.25","0.6103","88000"
"CAT","1962-02-19","40.25","40.63","39.88","0.6103","169600"
"CAT","1962-02-20","40.25","40.37","40.0","0.6084","67200"
"CAT","1962-02-21","40.13","40.13","39.0","0.5951","97600"
"CAT","1962-02-23","39.25","39.75","39.0","0.5951","96000"
"CAT","1962-02-26","40.0","40.75","40.0","0.6179","158400"
"CAT","1962-02-27","40.75","41.0","40.25","0.6122","116800"
"CAT","1962-02-28","40.37","40.87","40.0","0.6122","139200"
"CAT","1962-03-01","40.37","40.87","40.37","0.6122","73600"
"CAT","1962-03-02","40.37","40.5","40.0","0.6141","105600"
"CAT","1962-03-05","40.5","40.63","40.0","0.6141","78400"
"CAT","1962-03-06","40.5","40.87","40.0","0.6103","97600"
"CAT","1962-03-07","40.25","40.25","39.5","0.6027","172800"
"CAT","1962-03-08","39.75","39.88","39.25","0.597","97600"
"CAT","1962-03-09","39.37","39.5","39.25","0.5951","86400"
"CAT","1962-03-12","39.25","39.37","38.75","0.5875","96000"
"CAT","1962-03-13","38.75","39.25","38.12","0.5913","140800"
"CAT","1962-03-14","39.13","39.88","39.13","0.6046","116800"
"CAT","1962-03-15","39.88","39.88","39.25","0.5989","139200"
"CAT","1962-03-16","39.5","39.88","39.5","0.6046","78400"
"CAT","1962-03-19","39.88","40.37","39.62","0.6046","105600"
"CAT","1962-03-20","40.0","40.75","40.0","0.6179","177600"
"CAT","1962-03-21","40.75","40.87","39.5","0.6027","232000"
"CAT","1962-03-22","40.0","40.63","40.0","0.6122","268800"
"CAT","1962-03-23","40.37","40.75","40.13","0.6122","188800"
"CAT","1962-03-26","40.37","40.5","39.75","0.6084","124800"
"CAT","1962-03-27","40.13","40.25","40.0","0.6084","112000"
"CAT","1962-03-28","40.13","40.87","40.13","0.6198","145600"
"CAT","1962-03-29","40.87","40.87","40.25","0.6122","91200"
"CAT","1962-03-30","40.37","40.87","40.25","0.6198","86400"
"CAT","1962-04-02","40.75","40.75","39.88","0.6084","230400"
"CAT","1962-04-03","40.13","40.63","39.88","0.6065","168000"
"CAT","1962-04-04","40.0","40.37","39.88","0.6084","115200"
"CAT","1962-04-05","40.13","40.5","40.0","0.6141","192000"
"CAT","1962-04-06","40.37","40.37","39.88","0.6122","148800"
"CAT","1962-04-09","40.37","40.37","39.88","0.6046","124800"
"CAT","1962-04-10","39.88","40.25","39.62","0.6103","120000"
"CAT","1962-04-11","40.25","40.63","39.75","0.6084","182400"
"CAT","1962-04-12","39.88","39.88","39.25","0.6027","158400"
"CAT","1962-04-13","39.62","39.62","38.75","0.5875","38400"
"CAT","1962-04-16","38.63","38.63","37.25","0.5761","129600"
"CAT","1962-04-17","37.87","38.87","37.87","0.5837","172800"
"CAT","1962-04-18","38.25","38.75","38.0","0.5875","131200"
"CAT","1962-04-19","38.5","39.0","38.5","0.5875","81600"
"CAT","1962-04-23","38.38","38.38","37.0","0.5666","136000"
"CAT","1962-04-24","37.25","37.75","37.25","0.5761","102400"
"CAT","1962-04-25","37.5","37.5","36.75","0.5608","120000"
"CAT","1962-04-26","36.88","37.87","36.88","0.5685","163200"
"CAT","1962-04-27","37.25","37.37","36.5","0.5646","182400"
"CAT","1962-04-30","37.0","37.0","35.25","0.5418","187200"
"CAT","1962-05-01","35.5","35.87","34.25","0.5456","227200"
"CAT","1962-05-02","35.75","36.37","35.75","0.5494","139200"
"CAT","1962-05-03","36.0","37.63","35.87","0.5742","78400"
"CAT","1962-05-04","37.63","38.0","37.25","0.5685","76800"
"CAT","1962-05-07","37.25","37.5","37.0","0.5685","182400"
"CAT","1962-05-08","37.25","37.75","37.13","0.5685","129600"
"CAT","1962-05-09","37.25","37.5","36.0","0.5646","96000"
"CAT","1962-05-10","36.88","36.88","35.25","0.5398","16000"
"CAT","1962-05-11","35.38","35.38","34.87","0.5398","140800"
"CAT","1962-05-14","35.38","36.75","34.75","0.5303","145600"
"CAT","1962-05-15","36.0","36.88","36.0","0.5589","131200"
"CAT","1962-05-16","36.62","36.62","36.13","0.5551","102400"
"CAT","1962-05-17","36.37","36.5","36.0","0.5532","179200"
"CAT","1962-05-18","36.5","37.25","36.5","0.5627","187200"
"CAT","1962-05-21","36.88","36.88","36.25","0.557","131200"
"CAT","1962-05-22","36.5","36.75","36.0","0.5494","116800"
"CAT","1962-05-23","36.0","36.13","34.87","0.536","256000"
"CAT","1962-05-24","35.12","35.87","34.63","0.5303","336000"
"CAT","1962-05-25","34.75","35.0","34.25","0.5284","155200"
"CAT","1962-05-28","34.63","34.63","32.75","0.4998","148800"
"CAT","1962-05-29","32.75","34.5","31.0","0.496","451200"
"CAT","1962-05-31","33.5","34.63","33.5","0.5246","196800"
"CAT","1962-06-01","34.37","34.87","34.0","0.5322","148800"
"CAT","1962-06-04","34.25","34.25","33.25","0.5093","158400"
"CAT","1962-06-05","33.37","34.37","33.13","0.517","196800"
"CAT","1962-06-06","34.25","35.12","34.25","0.5265","140800"
"CAT","1962-06-07","34.5","35.75","34.37","0.5341","153600"
"CAT","1962-06-08","34.87","34.87","34.13","0.5322","112000"
"CAT","1962-06-11","34.75","34.75","33.37","0.515","120000"
"CAT","1962-06-12","33.5","33.5","33.13","0.5112","220800"
"CAT","1962-06-13","33.5","34.5","33.0","0.5055","265600"
"CAT","1962-06-14","33.0","33.0","32.12","0.4902","544000"
"CAT","1962-06-15","32.12","32.87","32.12","0.5017","278400"
"CAT","1962-06-18","33.13","33.62","33.13","0.5055","198400"
"CAT","1962-06-19","33.13","33.37","32.75","0.5093","148800"
"CAT","1962-06-20","33.37","33.37","32.5","0.4998","139200"
"CAT","1962-06-21","32.75","33.25","32.0","0.4883","225600"
"CAT","1962-06-22","32.0","32.5","30.88","0.4712","379200"
"CAT","1962-06-25","30.75","30.75","29.5","0.4521","318400"
"CAT","1962-06-26","29.63","30.62","29.5","0.4597","211200"
"CAT","1962-06-27","30.0","30.0","29.5","0.4578","124800"
"CAT","1962-06-28","30.5","32.25","30.5","0.4826","145600"
"CAT","1962-06-29","31.63","32.5","31.5","0.4864","158400"
"CAT","1962-07-02","31.87","32.75","31.5","0.4883","121600"
"CAT","1962-07-03","32.0","32.63","32.0","0.4941","120000"
"CAT","1962-07-05","32.63","33.5","32.63","0.5074","97600"
"CAT","1962-07-06","33.25","33.25","32.0","0.5036","107200"
"CAT","1962-07-09","32.87","32.87","32.38","0.5017","96000"
"CAT","1962-07-10","33.0","34.37","33.0","0.5036","321600"
"CAT","1962-07-11","32.63","32.63","32.0","0.496","160000"
"CAT","1962-07-12","32.5","33.0","32.5","0.4979","136000"
"CAT","1962-07-13","32.63","32.75","32.12","0.4902","116800"
"CAT","1962-07-16","32.12","32.87","32.12","0.496","131200"
"CAT","1962-07-17","32.5","32.63","31.87","0.4921","283200"
"CAT","1962-07-18","31.75","31.75","31.13","0.4806","169600"
"CAT","1962-07-19","31.25","31.75","31.13","0.4806","174400"
"CAT","1962-07-20","31.37","32.12","31.37","0.4902","172800"
"CAT","1962-07-23","31.87","32.25","31.5","0.4864","126400"
"CAT","1962-07-24","31.5","31.5","31.0","0.4767","302400"
"CAT","1962-07-25","30.75","30.75","29.5","0.471","196800"
"CAT","1962-07-26","30.5","30.5","30.25","0.4691","112000"
"CAT","1962-07-27","30.5","31.37","30.37","0.4767","105600"
"CAT","1962-07-30","31.0","31.5","30.88","0.4787","100800"
"CAT","1962-07-31","31.13","31.75","31.13","0.4883","131200"
"CAT","1962-08-01","31.75","31.87","31.37","0.4864","201600"
"CAT","1962-08-02","31.63","31.87","31.37","0.4864","102400"
"CAT","1962-08-03","31.63","32.0","31.63","0.4921","52800"
"CAT","1962-08-06","32.0","32.38","32.0","0.496","88000"
"CAT","1962-08-07","32.25","32.5","31.63","0.4979","150400"
"CAT","1962-08-08","32.12","32.12","31.63","0.4902","115200"
"CAT","1962-08-09","31.87","32.0","31.5","0.4864","172800"
"CAT","1962-08-10","31.63","31.75","31.25","0.4844","134400"
"CAT","1962-08-13","31.5","31.75","31.0","0.4806","235200"
"CAT","1962-08-14","31.25","31.87","31.13","0.4844","160000"
"CAT","1962-08-15","31.87","33.75","31.87","0.519","304000"
"CAT","1962-08-16","33.75","34.0","33.25","0.519","174400"
"CAT","1962-08-17","33.75","34.0","33.25","0.519","163200"
"CAT","1962-08-20","33.75","34.13","33.62","0.5171","140800"
"CAT","1962-08-21","33.62","34.13","33.25","0.5171","160000"
"CAT","1962-08-22","33.88","34.37","33.88","0.5267","235200"
"CAT","1962-08-23","34.25","35.5","34.13","0.5325","246400"
"CAT","1962-08-24","34.63","35.38","34.63","0.5383","76800"
"CAT","1962-08-27","35.0","35.38","34.63","0.544","168000"
"CAT","1962-08-28","35.38","35.38","35.0","0.5383","179200"
"CAT","1962-08-29","35.0","35.38","34.5","0.5383","289600"
"CAT","1962-08-30","35.0","35.38","35.0","0.5383","168000"
"CAT","1962-08-31","35.12","35.75","35.12","0.5402","92800"
"CAT","1962-09-04","35.12","35.87","34.75","0.5344","227200"
"CAT","1962-09-05","34.5","34.5","33.62","0.521","385600"
"CAT","1962-09-06","33.88","34.0","33.37","0.521","182400"
"CAT","1962-09-07","33.88","34.37","33.5","0.5287","289600"
"CAT","1962-09-10","34.25","34.25","33.37","0.519","164800"
"CAT","1962-09-11","33.75","34.0","33.62","0.521","102400"
"CAT","1962-09-12","33.88","34.37","33.75","0.5229","102400"
"CAT","1962-09-13","34.25","35.0","34.25","0.5363","120000"
"CAT","1962-09-14","34.87","35.0","33.75","0.519","144000"
"CAT","1962-09-17","33.75","34.13","33.5","0.5171","232000"
"CAT","1962-09-18","33.62","34.25","33.62","0.5248","203200"
"CAT","1962-09-19","33.37","33.88","33.37","0.519","134400"
"CAT","1962-09-20","33.75","34.25","33.75","0.5248","160000"
"CAT","1962-09-21","33.75","33.75","33.37","0.519","230400"
"CAT","1962-09-24","33.37","33.37","32.5","0.5056","260800"
"CAT","1962-09-25","32.87","33.37","32.87","0.5133","112000"
"CAT","1962-09-26","33.37","33.37","32.38","0.4979","211200"
"CAT","1962-09-27","32.38","32.87","31.87","0.4902","232000"
"CAT","1962-09-28","31.87","32.38","31.5","0.4844","81600"
"CAT","1962-10-01","31.25","31.63","31.25","0.4825","105600"
"CAT","1962-10-02","31.37","32.87","31.25","0.4844","164800"
"CAT","1962-10-03","31.5","32.5","31.5","0.4883","76800"
"CAT","1962-10-04","31.75","32.5","31.63","0.4998","78400"
"CAT","1962-10-05","32.5","32.63","32.12","0.496","86400"
"CAT","1962-10-08","32.12","32.12","31.87","0.494","110400"
"CAT","1962-10-09","31.5","32.0","31.5","0.4864","323200"
"CAT","1962-10-10","31.63","32.5","31.63","0.4998","139200"
"CAT","1962-10-11","32.0","32.0","31.5","0.4902","188800"
"CAT","1962-10-12","31.75","31.75","31.5","0.4864","72000"
"CAT","1962-10-15","31.63","32.87","31.63","0.5056","76800"
"CAT","1962-10-16","32.38","33.25","32.38","0.5017","225600"
