"symbol","date","open","high","low","close","volume"
"CATB","2015-06-25","12.74","13.49","12.25","13.0","2013600"
"CATB","2015-06-26","13.08","13.47","12.85","13.47","112200"
"CATB","2015-06-29","14.0","14.0","11.66","11.705","46500"
"CATB","2015-06-30","11.51","12.21","11.51","12.21","33800"
"CATB","2015-07-01","11.96","13.6","11.79","13.2","102300"
"CATB","2015-07-02","12.73","14.34","12.22","12.4","107100"
"CATB","2015-07-06","13.49","16.96","12.61","13.64","225400"
"CATB","2015-07-07","13.9","14.72","13.02","13.42","51400"
"CATB","2015-07-08","13.24","13.99","12.51","13.0","36000"
"CATB","2015-07-09","13.28","13.38","12.3","12.55","35000"
"CATB","2015-07-10","12.67","14.57","12.67","14.38","99000"
"CATB","2015-07-13","14.69","14.95","12.5","12.95","47300"
"CATB","2015-07-14","12.77","14.12","12.77","13.97","26700"
"CATB","2015-07-15","14.23","14.23","13.14","13.37","29700"
"CATB","2015-07-16","13.2","13.6","13.02","13.3","33200"
"CATB","2015-07-17","13.42","14.2","13.24","14.05","49500"
"CATB","2015-07-20","14.3","14.79","13.21","13.76","130500"
"CATB","2015-07-21","14.01","14.32","13.87","14.0","237300"
"CATB","2015-07-22","14.0","14.41","13.9","14.14","86400"
"CATB","2015-07-23","14.4","14.64","14.29","14.5","93800"
"CATB","2015-07-24","14.6","14.75","13.9","13.9","64600"
"CATB","2015-07-27","13.9","13.92","12.0","12.0","173700"
"CATB","2015-07-28","12.0","13.74","12.0","13.09","79300"
"CATB","2015-07-29","12.52","13.59","12.52","13.5","30300"
"CATB","2015-07-30","13.34","14.09","13.0","13.96","33100"
"CATB","2015-07-31","13.83","14.1","13.0","13.0","65000"
"CATB","2015-08-03","13.0","13.23","12.26","12.41","31600"
"CATB","2015-08-04","13.21","13.4","12.51","13.05","57800"
"CATB","2015-08-05","13.23","13.55","12.65","13.265","60400"
"CATB","2015-08-06","13.68","13.68","12.76","12.87","38100"
"CATB","2015-08-07","13.0","13.26","12.45","12.66","37000"
"CATB","2015-08-10","12.85","13.0","12.51","12.835","53900"
"CATB","2015-08-11","13.0","13.0","12.2","12.23","13900"
"CATB","2015-08-12","12.38","12.39","10.9","11.42","44800"
"CATB","2015-08-13","11.45","12.49","11.45","11.99","27700"
"CATB","2015-08-14","12.48","12.51","11.4","11.99","29300"
"CATB","2015-08-17","11.5","12.38","11.0","12.07","51400"
"CATB","2015-08-18","11.9","12.36","11.58","11.89","59300"
"CATB","2015-08-19","11.79","12.3","11.74","11.94","61400"
"CATB","2015-08-20","11.83","12.36","11.34","11.87","33800"
"CATB","2015-08-21","11.87","12.07","11.08","11.26","129400"
"CATB","2015-08-24","10.47","11.17","10.05","11.17","37500"
"CATB","2015-08-25","11.28","11.77","10.96","11.05","9500"
"CATB","2015-08-26","11.1","11.75","10.75","11.13","28900"
"CATB","2015-08-27","11.16","12.0","11.1","11.93","33100"
"CATB","2015-08-28","12.05","12.6","11.94","12.288","23000"
