"symbol","date","open","high","low","close","volume"
"CBMG","2007-05-31","23.83","23.83","23.83","2383.0","0"
"CBMG","2007-06-01","23.82","23.82","23.82","2382.0","0"
"CBMG","2007-06-04","1.25","1.25","0.1","25.0","300"
"CBMG","2007-06-05","0.15","0.25","0.05","14.0","400"
"CBMG","2007-06-06","0.05","0.3","0.05","20.0","600"
"CBMG","2007-06-07","0.25","0.3","0.15","18.0","1100"
"CBMG","2007-06-08","0.22","0.22","0.1","14.0","1500"
"CBMG","2007-06-11","0.12","0.15","0.11","12.0","500"
"CBMG","2007-06-12","0.11","0.14","0.09","10.0","900"
"CBMG","2007-06-13","0.07","0.09","0.07","7.0","900"
"CBMG","2007-06-14","0.09","0.09","0.07","8.5","400"
"CBMG","2007-06-15","0.07","0.08","0.07","7.0","1500"
"CBMG","2007-06-18","0.06","0.06","0.05","6.0","1200"
"CBMG","2007-06-19","0.06","0.08","0.06","7.5","1600"
"CBMG","2007-06-20","0.08","0.08","0.08","8.0","0"
"CBMG","2007-06-21","0.07","0.09","0.07","9.0","300"
"CBMG","2007-06-22","0.08","0.09","0.08","9.0","200"
"CBMG","2007-06-25","0.08","0.08","0.07","8.0","300"
"CBMG","2007-06-26","0.07","0.08","0.07","8.0","100"
"CBMG","2007-06-27","0.08","0.08","0.08","8.0","300"
"CBMG","2007-06-28","0.07","0.09","0.07","7.0","100"
"CBMG","2007-06-29","0.08","0.08","0.07","7.3","400"
"CBMG","2007-07-02","0.07","0.08","0.07","7.5","300"
"CBMG","2007-07-03","0.07","0.08","0.07","8.0","0"
"CBMG","2007-07-05","0.07","0.08","0.06","7.5","1100"
"CBMG","2007-07-06","0.06","0.07","0.06","6.5","700"
"CBMG","2007-07-09","0.06","0.07","0.06","6.5","200"
"CBMG","2007-07-10","0.06","0.06","0.06","6.5","200"
"CBMG","2007-07-11","0.07","0.09","0.06","9.0","900"
"CBMG","2007-07-12","0.07","0.09","0.07","8.0","500"
"CBMG","2007-07-13","0.07","0.08","0.07","8.0","600"
"CBMG","2007-07-16","0.08","0.08","0.07","8.0","500"
"CBMG","2007-07-17","0.08","0.08","0.07","7.3","300"
"CBMG","2007-07-18","0.07","0.07","0.06","7.5","200"
"CBMG","2007-07-19","0.07","0.07","0.07","7.0","200"
"CBMG","2007-07-20","0.07","0.08","0.07","8.0","200"
"CBMG","2007-07-23","0.08","0.08","0.07","7.5","200"
"CBMG","2007-07-24","0.06","0.07","0.06","7.0","400"
"CBMG","2007-07-25","0.07","0.08","0.06","7.0","700"
"CBMG","2007-07-26","0.07","0.08","0.07","7.0","200"
"CBMG","2007-07-27","0.07","0.07","0.07","7.5","400"
"CBMG","2007-07-30","0.07","0.07","0.07","7.5","400"
"CBMG","2007-07-31","0.07","0.1","0.07","10.0","700"
"CBMG","2007-08-01","0.12","0.12","0.1","10.3","400"
"CBMG","2007-08-02","0.1","0.3","0.1","25.0","3400"
"CBMG","2007-08-03","0.28","0.29","0.18","22.0","4900"
"CBMG","2007-08-06","0.18","0.22","0.14","15.0","2800"
"CBMG","2007-08-07","0.14","0.16","0.14","16.0","400"
"CBMG","2007-08-08","0.16","0.2","0.14","20.0","100"
"CBMG","2007-08-09","0.2","0.2","0.16","18.5","100"
"CBMG","2007-08-10","0.18","0.18","0.14","18.0","900"
"CBMG","2007-08-13","0.18","0.18","0.18","18.0","0"
"CBMG","2007-08-14","0.18","0.18","0.14","15.0","800"
"CBMG","2007-08-15","0.14","0.15","0.13","15.0","300"
"CBMG","2007-08-16","0.13","0.14","0.12","13.0","300"
"CBMG","2007-08-17","0.12","0.13","0.12","13.0","0"
"CBMG","2007-08-20","0.13","0.18","0.12","18.0","300"
"CBMG","2007-08-21","0.18","0.18","0.12","16.0","100"
"CBMG","2007-08-22","0.12","0.14","0.12","14.0","300"
"CBMG","2007-08-23","0.14","0.14","0.12","14.0","900"
"CBMG","2007-08-24","0.12","0.12","0.12","12.5","100"
"CBMG","2007-08-27","0.12","0.14","0.12","14.0","400"
"CBMG","2007-08-28","0.14","0.14","0.11","13.0","2100"
"CBMG","2007-08-29","0.13","0.13","0.1","13.0","300"
"CBMG","2007-08-30","0.11","0.13","0.11","13.0","0"
"CBMG","2007-08-31","0.1","0.13","0.09","12.0","1500"
"CBMG","2007-09-04","0.11","0.12","0.09","12.0","800"
"CBMG","2007-09-05","0.11","0.13","0.11","12.0","800"
"CBMG","2007-09-06","0.12","0.12","0.11","12.0","300"
"CBMG","2007-09-07","0.13","0.13","0.11","12.0","200"
"CBMG","2007-09-10","0.11","0.12","0.1","11.0","200"
"CBMG","2007-09-11","0.1","0.11","0.1","11.0","100"
"CBMG","2007-09-12","0.1","0.11","0.09","10.75","100"
"CBMG","2007-09-13","0.09","0.11","0.09","10.0","700"
"CBMG","2007-09-14","0.1","0.1","0.09","9.5","100"
"CBMG","2007-09-17","0.09","0.09","0.09","9.3","100"
"CBMG","2007-09-18","0.09","0.1","0.08","10.0","1100"
