"symbol","date","open","high","low","close","volume"
"CBNK","2006-07-20","14.25","15.29","14.25","13.6602","1435800"
"CBNK","2006-07-21","14.54","14.54","14.31","13.6791","385700"
"CBNK","2006-07-24","14.4","14.51","14.32","13.6885","185400"
"CBNK","2006-07-25","14.49","14.55","14.34","13.6508","102100"
"CBNK","2006-07-26","14.35","14.51","14.35","13.6697","135300"
"CBNK","2006-07-27","14.45","14.46","14.22","13.4618","161800"
"CBNK","2006-07-28","14.25","14.25","14.12","13.3862","121700"
"CBNK","2006-07-31","14.2","14.22","14.13","13.4146","69400"
"CBNK","2006-08-01","14.27","14.42","14.2","13.5279","54100"
"CBNK","2006-08-02","14.25","14.4","14.25","13.5846","45300"
"CBNK","2006-08-03","14.4","14.56","14.4","13.698","84500"
"CBNK","2006-08-04","14.56","14.56","14.5","13.698","4800"
"CBNK","2006-08-07","14.5","14.64","14.5","13.7925","6500"
"CBNK","2006-08-08","14.5","14.53","14.45","13.6508","33000"
"CBNK","2006-08-09","14.59","14.6","14.5","13.698","11300"
"CBNK","2006-08-10","14.4","14.52","14.4","13.698","29200"
"CBNK","2006-08-11","14.44","14.44","14.42","13.6224","11800"
"CBNK","2006-08-14","14.42","14.44","14.35","13.6319","18100"
"CBNK","2006-08-15","14.43","14.56","14.43","13.6319","45600"
"CBNK","2006-08-16","14.49","14.51","14.48","13.6885","27000"
"CBNK","2006-08-17","14.53","14.59","14.48","13.7641","9800"
"CBNK","2006-08-18","14.52","14.57","14.5","13.7169","39400"
"CBNK","2006-08-21","14.54","14.56","14.51","13.7074","300"
"CBNK","2006-08-22","14.53","14.59","14.5","13.7452","14900"
"CBNK","2006-08-23","14.53","14.58","14.5","13.7452","33800"
"CBNK","2006-08-24","14.55","14.55","14.55","13.7452","19500"
"CBNK","2006-08-25","14.45","14.55","14.45","13.7452","11800"
"CBNK","2006-08-28","14.55","14.55","14.48","13.698","35300"
"CBNK","2006-08-29","14.51","14.55","14.5","13.7452","5000"
"CBNK","2006-08-30","14.57","14.6","14.55","13.7452","25800"
"CBNK","2006-08-31","14.55","14.62","14.55","13.8114","8200"
"CBNK","2006-09-01","14.65","14.65","14.51","13.8019","15800"
"CBNK","2006-09-05","14.61","14.62","14.54","13.7452","6500"
"CBNK","2006-09-06","14.61","14.71","14.6","13.8964","35400"
"CBNK","2006-09-07","14.65","14.75","14.65","13.9342","6600"
"CBNK","2006-09-08","14.7","14.74","14.7","13.8869","10600"
"CBNK","2006-09-11","14.74","14.74","14.68","13.8964","12300"
"CBNK","2006-09-12","14.67","14.7","14.65","13.8869","9300"
"CBNK","2006-09-13","14.73","14.79","14.73","13.9342","12100"
"CBNK","2006-09-14","14.75","14.75","14.75","13.9342","200"
"CBNK","2006-09-15","14.73","14.9","14.7","14.0759","21900"
"CBNK","2006-09-18","14.85","15.01","14.72","14.0381","62900"
"CBNK","2006-09-19","15.02","15.05","14.97","14.1892","115900"
"CBNK","2006-09-20","15.04","15.04","15.0","14.1892","8400"
"CBNK","2006-09-21","15.04","15.05","15.04","14.2176","3100"
"CBNK","2006-09-22","15.05","15.05","15.05","14.2176","25300"
"CBNK","2006-09-25","14.79","15.0","14.79","14.0475","5100"
"CBNK","2006-09-26","14.9","14.9","14.82","14.0003","5600"
"CBNK","2006-09-27","14.82","14.9","14.8","13.9814","21000"
"CBNK","2006-09-28","14.77","14.77","14.74","13.9247","55000"
"CBNK","2006-09-29","14.73","14.95","14.73","14.0475","3800"
"CBNK","2006-10-02","14.75","14.75","14.75","13.9342","100"
"CBNK","2006-10-03","14.83","14.84","14.74","13.9342","1100"
"CBNK","2006-10-04","14.7","14.79","14.7","13.8869","2600"
"CBNK","2006-10-05","14.61","14.63","14.51","13.8208","9100"
"CBNK","2006-10-06","14.5","14.61","14.5","13.8019","4000"
"CBNK","2006-10-09","14.63","14.74","14.63","13.8869","5300"
"CBNK","2006-10-10","14.7","14.76","14.7","13.9153","7400"
"CBNK","2006-10-11","14.74","14.79","14.57","13.972","19100"
"CBNK","2006-10-12","14.76","14.76","14.76","13.9436","200"
"CBNK","2006-10-13","14.61","14.62","14.56","13.7736","24700"
"CBNK","2006-10-16","14.72","14.72","14.56","13.783","2500"
"CBNK","2006-10-17","14.6","14.6","14.54","13.7358","11600"
"CBNK","2006-10-18","14.53","14.53","14.33","13.613","4100"
"CBNK","2006-10-19","14.46","14.5","14.45","13.698","3000"
"CBNK","2006-10-20","14.49","14.7","14.11","13.8869","42600"
"CBNK","2006-10-23","14.7","14.78","14.6","13.9625","12300"
"CBNK","2006-10-24","14.75","14.79","14.71","13.8964","103600"
"CBNK","2006-10-25","14.7","14.7","14.49","13.8775","6000"
"CBNK","2006-10-26","14.69","14.7","14.63","13.8208","6600"
"CBNK","2006-10-27","14.63","14.65","14.62","13.8397","9100"
"CBNK","2006-10-30","14.58","14.58","14.57","13.7641","300"
"CBNK","2006-10-31","14.58","14.65","14.58","13.8397","4600"
"CBNK","2006-11-01","14.62","14.65","14.62","13.8397","1400"
"CBNK","2006-11-02","14.62","14.63","14.58","13.7925","4900"
"CBNK","2006-11-03","14.58","14.58","14.5","13.698","10100"
"CBNK","2006-11-06","14.56","14.59","14.54","13.7452","5500"
"CBNK","2006-11-07","14.51","14.59","14.5","13.783","19400"
"CBNK","2006-11-08","14.59","14.6","14.5","13.7263","16100"
"CBNK","2006-11-09","14.57","14.6","14.57","13.7925","5700"
"CBNK","2006-11-10","14.56","14.71","14.56","13.7641","23400"
"CBNK","2006-11-13","14.66","14.72","14.66","13.9058","1900"
"CBNK","2006-11-14","14.74","14.75","14.63","13.8869","46200"
"CBNK","2006-11-15","14.75","14.8","14.73","13.9814","16100"
"CBNK","2006-11-16","14.89","14.89","14.79","14.0664","29800"
"CBNK","2006-11-17","14.89","14.9","14.89","14.0664","2800"
"CBNK","2006-11-20","14.94","14.95","14.9","14.0759","8700"
"CBNK","2006-11-21","14.91","14.91","14.89","14.0664","1400"
"CBNK","2006-11-22","14.93","15.07","14.9","14.2176","21300"
"CBNK","2006-11-24","15.07","15.11","15.07","14.2743","1600"
"CBNK","2006-11-27","15.11","15.15","15.01","14.2365","28300"
"CBNK","2006-11-28","15.01","15.15","15.0","14.312","6400"
"CBNK","2006-11-29","15.24","15.3","15.23","14.4443","5500"
"CBNK","2006-11-30","15.25","15.34","15.25","14.4915","71400"
"CBNK","2006-12-01","15.34","15.36","15.3","14.5104","11800"
"CBNK","2006-12-04","15.32","15.56","15.32","14.6994","34800"
"CBNK","2006-12-05","15.6","15.71","15.49","14.8411","1100"
"CBNK","2006-12-06","15.65","15.7","15.48","14.7749","14900"
"CBNK","2006-12-07","15.63","15.68","15.63","14.7655","4900"
"CBNK","2006-12-08","15.42","15.42","15.41","14.5577","2200"
"CBNK","2006-12-11","15.31","15.31","15.2","14.4537","7400"
"CBNK","2006-12-12","15.64","15.67","15.63","14.7655","1400"
"CBNK","2006-12-13","15.63","15.63","15.63","14.7655","0"
"CBNK","2006-12-14","15.6","15.6","15.5","14.6427","1700"
"CBNK","2006-12-15","15.6","15.7","15.59","14.7655","21600"
"CBNK","2006-12-18","15.46","15.46","15.46","14.6049","200"
"CBNK","2006-12-19","15.46","15.5","15.43","14.6427","8600"
"CBNK","2006-12-20","15.49","15.5","15.41","14.5954","21800"
"CBNK","2006-12-21","15.46","15.5","15.45","14.6427","21900"
"CBNK","2006-12-22","15.5","15.5","15.5","14.6427","1800"
"CBNK","2006-12-26","15.64","15.7","15.64","14.8316","600"
"CBNK","2006-12-27","15.7","15.7","15.7","14.8316","0"
"CBNK","2006-12-28","15.6","15.69","15.6","14.8222","2900"
"CBNK","2006-12-29","15.6","15.69","15.6","14.7844","2800"
"CBNK","2007-01-03","15.57","15.67","15.48","14.7371","9300"
"CBNK","2007-01-04","15.6","15.6","15.6","14.7371","0"
"CBNK","2007-01-05","15.6","15.63","15.6","14.7371","51900"
"CBNK","2007-01-08","15.62","15.62","15.62","14.756","5000"
"CBNK","2007-01-09","15.61","15.62","15.49","14.6994","13200"
"CBNK","2007-01-10","15.46","15.46","15.43","14.5766","5000"
"CBNK","2007-01-11","15.62","15.63","15.62","14.7655","39800"
