"symbol","date","open","high","low","close","volume"
"CCLP","2011-06-15","20.0","20.16","19.0","11.8359","1215400"
"CCLP","2011-06-16","19.18","19.2","18.74","11.8359","106300"
"CCLP","2011-06-17","19.1","19.1","18.51","11.5556","68700"
"CCLP","2011-06-20","18.54","18.54","17.85","11.2254","55800"
"CCLP","2011-06-21","18.2","18.21","17.85","11.2005","44800"
"CCLP","2011-06-22","17.8","18.47","17.8","11.269","54000"
"CCLP","2011-06-23","18.41","18.41","17.75","11.1382","87300"
"CCLP","2011-06-24","18.19","18.19","17.5","11.051","42600"
"CCLP","2011-06-27","17.97","18.2","17.79","11.1818","26100"
"CCLP","2011-06-28","18.74","18.74","17.95","11.3375","21800"
"CCLP","2011-06-29","17.81","18.74","17.81","11.649","42800"
"CCLP","2011-06-30","18.75","19.23","18.44","11.6366","19000"
"CCLP","2011-07-01","18.93","19.2","18.58","11.8421","18800"
"CCLP","2011-07-05","19.23","19.23","18.82","11.8795","10600"
"CCLP","2011-07-06","19.06","19.17","18.72","11.9293","10700"
"CCLP","2011-07-07","19.23","19.23","19.0","11.948","12800"
"CCLP","2011-07-08","18.94","19.23","18.82","11.9605","15200"
"CCLP","2011-07-11","19.01","19.14","19.01","11.8421","5800"
"CCLP","2011-07-12","19.01","19.02","18.82","11.7736","18100"
"CCLP","2011-07-13","19.05","19.05","18.44","11.6677","25000"
"CCLP","2011-07-14","18.54","18.85","18.44","11.5493","9300"
"CCLP","2011-07-15","18.22","18.45","18.0","11.4933","9400"
"CCLP","2011-07-18","18.39","18.49","17.75","11.3189","48400"
"CCLP","2011-07-19","18.5","19.23","18.3","11.9792","33900"
"CCLP","2011-07-20","19.31","19.33","18.41","12.0415","26800"
"CCLP","2011-07-21","19.37","19.39","19.02","11.9854","19000"
"CCLP","2011-07-22","19.39","19.39","18.91","11.8982","8300"
"CCLP","2011-07-25","19.0","19.39","18.58","11.9792","8500"
"CCLP","2011-07-26","19.31","19.39","18.94","11.9543","20200"
"CCLP","2011-07-27","18.78","19.25","18.75","11.8359","17000"
"CCLP","2011-07-28","18.73","19.35","18.71","11.9464","14200"
"CCLP","2011-07-29","19.0","19.12","18.85","11.809","6400"
"CCLP","2011-08-01","19.0","19.03","18.9","11.884","4200"
"CCLP","2011-08-02","19.39","19.39","18.32","11.503","10300"
"CCLP","2011-08-03","18.3","18.65","18.1","11.6467","11200"
"CCLP","2011-08-04","17.75","18.35","17.75","11.2533","30100"
"CCLP","2011-08-05","17.62","17.85","15.95","10.2666","41200"
"CCLP","2011-08-08","14.57","17.87","14.57","9.7295","23700"
"CCLP","2011-08-09","15.81","18.9","15.8","11.4593","21100"
"CCLP","2011-08-10","18.0","18.0","16.64","10.4602","9800"
"CCLP","2011-08-11","17.2","17.89","17.0","10.7349","11400"
"CCLP","2011-08-12","17.44","17.65","16.63","10.6163","11300"
"CCLP","2011-08-15","16.5","16.95","15.75","10.1791","27300"
"CCLP","2011-08-16","15.56","16.23","14.45","9.5422","54000"
"CCLP","2011-08-17","15.35","16.62","15.35","9.742","42800"
"CCLP","2011-08-18","15.6","15.94","14.9","9.8731","17600"
"CCLP","2011-08-19","16.19","16.65","15.01","9.5234","15700"
"CCLP","2011-08-22","15.51","16.25","14.8","9.2549","30100"
"CCLP","2011-08-23","15.79","16.14","14.7","9.3611","46300"
"CCLP","2011-08-24","15.48","17.19","14.75","10.0417","22100"
"CCLP","2011-08-25","15.53","15.95","15.53","9.7357","1800"
"CCLP","2011-08-26","15.0","15.5","14.91","9.461","32600"
"CCLP","2011-08-29","15.95","15.95","15.2","9.6733","12300"
"CCLP","2011-08-30","15.11","15.6","15.11","9.6109","6800"
"CCLP","2011-08-31","15.6","15.97","15.51","9.6858","12200"
"CCLP","2011-09-01","15.54","15.89","15.16","9.4672","12100"
"CCLP","2011-09-02","15.74","15.74","15.03","9.386","5900"
"CCLP","2011-09-06","15.0","15.0","14.03","8.8927","22300"
"CCLP","2011-09-07","14.69","15.35","14.38","8.9801","12900"
"CCLP","2011-09-08","14.8","15.25","14.65","9.5234","7400"
"CCLP","2011-09-09","15.5","15.51","14.32","9.6858","13800"
"CCLP","2011-09-12","15.95","15.95","14.57","9.5609","5900"
"CCLP","2011-09-13","15.94","15.94","15.01","9.5859","4900"
"CCLP","2011-09-14","14.57","15.75","14.57","9.3298","27000"
"CCLP","2011-09-15","15.19","15.23","14.75","9.3673","10200"
"CCLP","2011-09-16","14.77","15.46","14.75","9.5546","7100"
"CCLP","2011-09-19","14.95","15.59","14.9","9.3673","11600"
"CCLP","2011-09-20","14.93","15.7","14.9","9.3985","15700"
"CCLP","2011-09-21","14.85","15.45","14.78","9.4984","19000"
"CCLP","2011-09-22","14.76","15.35","14.7","9.3923","11900"
"CCLP","2011-09-23","14.78","15.23","14.42","9.0551","31300"
"CCLP","2011-09-26","14.31","14.75","14.3","9.0426","4900"
"CCLP","2011-09-27","14.94","14.94","14.57","9.2924","6400"
"CCLP","2011-09-28","14.84","15.16","14.83","9.436","9500"
"CCLP","2011-09-29","15.32","15.32","14.6","9.2674","16700"
"CCLP","2011-09-30","14.8","15.5","14.8","9.6233","2800"
"CCLP","2011-10-03","14.58","15.36","14.4","9.3486","11500"
"CCLP","2011-10-04","14.45","14.9","13.92","9.3049","21200"
"CCLP","2011-10-05","14.56","14.9","13.98","9.1924","7200"
"CCLP","2011-10-06","14.5","14.98","14.5","9.2424","4200"
"CCLP","2011-10-07","14.06","14.6","14.06","9.1175","3100"
"CCLP","2011-10-10","15.5","15.5","14.75","9.5796","3900"
"CCLP","2011-10-11","15.43","15.43","14.94","9.3298","5300"
"CCLP","2011-10-12","14.88","15.56","14.88","9.3985","4300"
"CCLP","2011-10-13","14.95","15.06","14.95","9.3985","2900"
"CCLP","2011-10-14","15.06","15.31","14.78","9.3423","6500"
"CCLP","2011-10-17","14.96","15.38","14.96","9.3798","3300"
"CCLP","2011-10-18","15.0","15.75","14.95","9.7357","13500"
"CCLP","2011-10-19","15.55","15.55","14.92","9.5234","4300"
"CCLP","2011-10-20","14.95","15.25","14.95","9.5234","2200"
"CCLP","2011-10-21","15.32","15.33","15.31","9.5609","2000"
"CCLP","2011-10-24","15.3","17.04","15.25","10.635","23300"
"CCLP","2011-10-25","17.0","17.0","16.33","10.2166","1800"
"CCLP","2011-10-26","16.98","17.0","16.36","10.2791","9600"
"CCLP","2011-10-27","16.62","16.88","16.35","10.2104","15200"
"CCLP","2011-10-28","16.23","16.23","15.46","10.1067","8800"
"CCLP","2011-10-31","15.8","16.24","15.8","10.3882","2900"
"CCLP","2011-11-01","15.91","16.54","15.5","9.9148","3200"
"CCLP","2011-11-02","15.28","15.5","15.11","9.7549","11100"
"CCLP","2011-11-03","15.25","16.0","15.01","10.1899","7900"
"CCLP","2011-11-04","15.83","16.36","15.51","9.9404","6000"
"CCLP","2011-11-07","15.86","15.86","14.81","9.5694","18800"
"CCLP","2011-11-08","15.01","15.25","14.61","9.4479","33300"
"CCLP","2011-11-09","14.51","14.8","14.5","9.3391","13900"
"CCLP","2011-11-10","14.61","14.77","14.5","9.2944","9300"
"CCLP","2011-11-11","14.44","14.87","14.0","9.3391","40800"
"CCLP","2011-11-14","15.2","15.24","15.2","9.7485","1400"
"CCLP","2011-11-15","14.78","15.45","14.78","9.8765","3800"
"CCLP","2011-11-16","15.14","15.58","14.66","9.7549","5800"
"CCLP","2011-11-17","15.24","15.24","14.79","9.691","3900"
"CCLP","2011-11-18","14.81","15.11","14.81","9.595","2900"
"CCLP","2011-11-21","15.03","15.03","14.78","9.5694","3300"
"CCLP","2011-11-22","14.93","15.0","14.72","9.595","4200"
"CCLP","2011-11-23","14.51","15.0","14.51","9.3583","8000"
"CCLP","2011-11-25","14.58","14.58","14.55","9.3072","2500"
"CCLP","2011-11-28","14.71","14.8","14.0","8.9937","20600"
"CCLP","2011-11-29","14.55","14.99","14.05","9.0897","10700"
"CCLP","2011-11-30","14.7","15.2","14.25","9.256","13900"
"CCLP","2011-12-01","14.3","14.93","14.29","9.1408","19800"
"CCLP","2011-12-02","14.32","14.74","14.25","9.1472","41900"
"CCLP","2011-12-05","14.1","14.29","13.46","8.9681","21700"
"CCLP","2011-12-06","14.01","14.37","13.9","8.9617","19600"
"CCLP","2011-12-07","14.02","14.25","14.01","9.0769","11400"
"CCLP","2011-12-08","14.45","14.45","14.01","8.9873","24900"
"CCLP","2011-12-09","14.01","14.22","14.0","9.0833","28200"
"CCLP","2011-12-12","13.96","14.24","13.96","8.9937","2000"
"CCLP","2011-12-13","14.02","14.2","14.0","8.9553","18700"
"CCLP","2011-12-14","14.02","14.21","13.95","8.9233","19600"
"CCLP","2011-12-15","13.9","14.49","13.5","9.2368","50600"
"CCLP","2011-12-16","14.4","14.89","14.26","9.4735","10600"
"CCLP","2011-12-19","14.63","15.0","14.63","9.531","8600"
"CCLP","2011-12-20","14.99","15.0","14.55","9.595","21300"
"CCLP","2011-12-21","14.77","15.03","14.75","9.6014","1400"
