"symbol","date","open","high","low","close","volume"
"CCUR","1990-03-26","2.0","2.0","1.88","132.4973","0"
"CCUR","1990-03-27","2.0","2.0","1.75","132.4973","0"
"CCUR","1990-03-28","2.0","2.0","1.75","123.6642","0"
"CCUR","1990-03-29","2.0","2.0","1.75","123.6642","400"
"CCUR","1990-03-30","1.75","1.88","1.75","132.4973","200"
"CCUR","1990-04-02","1.88","1.88","1.62","128.0807","100"
"CCUR","1990-04-03","1.75","1.88","1.75","123.6642","300"
"CCUR","1990-04-04","1.75","1.88","1.75","123.6642","0"
"CCUR","1990-04-05","1.88","1.88","1.62","119.2476","200"
"CCUR","1990-04-06","1.75","1.75","1.62","114.831","0"
"CCUR","1990-04-09","1.75","1.75","1.75","123.6642","100"
"CCUR","1990-04-10","1.88","1.88","1.75","123.6642","0"
"CCUR","1990-04-11","1.88","1.88","1.62","132.4973","0"
"CCUR","1990-04-12","1.88","1.88","1.62","123.6642","200"
"CCUR","1990-04-16","1.88","1.88","1.62","132.4973","1000"
"CCUR","1990-04-17","1.62","1.88","1.62","114.831","200"
"CCUR","1990-04-18","1.81","1.88","1.75","123.6642","1200"
"CCUR","1990-04-19","1.88","2.62","1.75","185.4962","4600"
"CCUR","1990-04-20","2.5","2.5","2.38","176.6631","400"
"CCUR","1990-04-23","2.38","2.5","2.0","158.9968","300"
"CCUR","1990-04-24","2.38","2.38","2.12","167.8299","300"
"CCUR","1990-04-25","2.12","2.38","2.0","167.8299","700"
"CCUR","1990-04-26","2.25","2.25","2.0","150.1636","200"
"CCUR","1990-04-27","1.91","2.25","1.91","158.9968","0"
"CCUR","1990-04-30","1.94","2.25","1.94","158.9968","0"
"CCUR","1990-05-01","2.12","2.12","1.94","136.9139","0"
"CCUR","1990-05-02","1.94","2.0","1.94","141.3305","0"
"CCUR","1990-05-03","2.0","2.12","1.94","141.3305","300"
"CCUR","1990-05-04","1.94","2.12","1.88","136.9139","300"
"CCUR","1990-05-07","1.94","2.12","1.94","150.1636","400"
"CCUR","1990-05-08","2.12","2.62","2.12","158.9968","2100"
"CCUR","1990-05-09","2.38","2.38","2.0","141.3305","1300"
"CCUR","1990-05-10","2.0","2.12","2.0","150.1636","0"
"CCUR","1990-05-11","2.0","2.12","2.0","141.3305","400"
"CCUR","1990-05-14","2.12","2.12","2.0","141.3305","100"
"CCUR","1990-05-15","2.12","2.12","1.94","150.1636","0"
"CCUR","1990-05-16","1.94","1.94","1.94","136.9139","0"
"CCUR","1990-05-17","1.94","2.12","1.94","136.9139","0"
"CCUR","1990-05-18","1.94","2.12","1.94","136.9139","0"
"CCUR","1990-05-21","1.94","2.12","1.94","136.9139","0"
"CCUR","1990-05-22","2.0","2.06","1.94","145.747","300"
"CCUR","1990-05-23","2.0","2.12","1.94","141.3305","500"
"CCUR","1990-05-24","1.94","2.12","1.94","136.9139","0"
"CCUR","1990-05-25","2.0","2.12","1.88","150.1636","1100"
"CCUR","1990-05-29","1.88","2.12","1.88","136.9139","0"
"CCUR","1990-05-30","2.12","2.12","2.12","150.1636","0"
"CCUR","1990-05-31","2.12","2.12","1.88","132.4973","400"
"CCUR","1990-06-01","2.0","2.0","1.88","132.4973","200"
"CCUR","1990-06-04","1.88","2.0","1.88","141.3305","100"
"CCUR","1990-06-05","2.0","2.0","1.88","136.9139","0"
"CCUR","1990-06-06","1.94","1.94","1.94","136.9139","0"
"CCUR","1990-06-07","1.88","2.0","1.81","128.0807","1000"
"CCUR","1990-06-08","2.0","2.0","1.75","128.0807","400"
"CCUR","1990-06-11","1.75","1.88","1.75","123.6642","200"
"CCUR","1990-06-12","1.75","1.88","1.75","123.6642","300"
"CCUR","1990-06-13","1.75","1.88","1.75","123.6642","100"
"CCUR","1990-06-14","1.88","1.88","1.5","105.9978","400"
"CCUR","1990-06-15","1.5","1.62","1.5","105.9978","200"
"CCUR","1990-06-18","1.5","1.75","1.5","123.6642","400"
"CCUR","1990-06-19","1.75","1.75","1.5","105.9978","0"
"CCUR","1990-06-20","1.5","1.62","1.5","114.831","100"
"CCUR","1990-06-21","1.5","1.62","1.5","105.9978","200"
"CCUR","1990-06-22","1.5","1.56","1.5","110.4144","0"
"CCUR","1990-06-25","1.62","1.62","1.5","105.9978","0"
"CCUR","1990-06-26","1.5","1.5","1.5","105.9978","0"
"CCUR","1990-06-27","1.5","1.62","1.5","105.9978","100"
"CCUR","1990-06-28","1.62","1.62","1.38","105.9978","0"
"CCUR","1990-06-29","1.5","1.62","1.5","114.831","0"
"CCUR","1990-07-02","1.62","1.62","1.5","114.831","200"
"CCUR","1990-07-03","1.5","1.62","1.5","114.831","200"
"CCUR","1990-07-05","1.5","1.5","1.5","105.9978","0"
"CCUR","1990-07-06","1.5","1.62","1.5","105.9978","0"
"CCUR","1990-07-09","1.5","1.62","1.5","114.831","0"
"CCUR","1990-07-10","1.5","1.62","1.5","105.9978","0"
"CCUR","1990-07-11","1.62","1.62","1.62","114.831","100"
"CCUR","1990-07-12","1.5","1.62","1.5","105.9978","200"
"CCUR","1990-07-13","1.5","1.5","1.5","105.9978","0"
"CCUR","1990-07-16","1.5","1.62","1.5","105.9978","0"
"CCUR","1990-07-17","1.62","1.62","1.5","105.9978","0"
"CCUR","1990-07-18","1.62","1.62","1.38","114.831","200"
"CCUR","1990-07-19","1.38","1.5","1.38","97.1647","0"
"CCUR","1990-07-20","1.38","1.56","1.38","105.9978","200"
"CCUR","1990-07-23","1.38","1.5","1.38","97.1647","300"
"CCUR","1990-07-24","1.5","1.5","1.38","101.5813","100"
"CCUR","1990-07-25","1.44","1.44","1.44","101.5813","0"
"CCUR","1990-07-26","1.38","1.44","0.62","52.9989","1100"
"CCUR","1990-07-27","0.75","1.0","0.62","52.9989","1100"
"CCUR","1990-07-30","0.88","0.88","0.75","52.9989","500"
"CCUR","1990-07-31","0.69","0.88","0.69","52.9989","100"
"CCUR","1990-08-01","0.81","0.81","0.62","44.1658","600"
"CCUR","1990-08-02","0.62","0.62","0.5","44.1658","400"
"CCUR","1990-08-03","0.62","0.62","0.56","44.1658","300"
"CCUR","1990-08-06","0.62","0.62","0.5","44.1658","800"
"CCUR","1990-08-07","0.62","0.75","0.5","52.9989","600"
"CCUR","1990-08-08","0.75","0.75","0.62","44.1658","1300"
"CCUR","1990-08-09","0.75","0.88","0.62","61.8321","100"
"CCUR","1990-08-10","0.62","0.88","0.62","61.8321","100"
"CCUR","1990-08-13","0.62","0.81","0.62","44.1658","100"
"CCUR","1990-08-14","0.75","0.88","0.62","61.8321","200"
"CCUR","1990-08-15","0.62","0.62","0.62","44.1658","100"
"CCUR","1990-08-16","0.62","0.62","0.62","44.1658","0"
"CCUR","1990-08-17","0.88","0.88","0.62","44.1658","0"
"CCUR","1990-08-20","0.62","0.88","0.62","61.8321","0"
"CCUR","1990-08-21","0.62","0.62","0.62","44.1658","0"
"CCUR","1990-08-22","0.88","0.88","0.88","61.8321","0"
"CCUR","1990-08-23","0.75","0.75","0.62","44.1658","200"
"CCUR","1990-08-24","0.62","0.75","0.62","52.9989","2700"
"CCUR","1990-08-27","0.88","0.88","0.75","52.9989","400"
"CCUR","1990-08-28","0.62","0.88","0.62","61.8321","0"
"CCUR","1990-08-29","0.88","1.0","0.75","70.6652","100"
"CCUR","1990-08-30","0.75","1.0","0.75","52.9989","0"
"CCUR","1990-08-31","0.88","1.0","0.75","70.6652","0"
"CCUR","1990-09-04","0.75","1.0","0.75","52.9989","0"
"CCUR","1990-09-05","0.75","1.0","0.75","52.9989","400"
"CCUR","1990-09-06","0.75","0.75","0.75","52.9989","0"
"CCUR","1990-09-07","0.88","0.88","0.75","61.8321","200"
"CCUR","1990-09-10","0.75","0.75","0.75","52.9989","0"
"CCUR","1990-09-11","0.75","0.88","0.75","61.8321","0"
"CCUR","1990-09-12","0.88","0.88","0.75","61.8321","300"
"CCUR","1990-09-13","0.88","0.88","0.75","61.8321","200"
"CCUR","1990-09-14","0.75","0.88","0.75","52.9989","200"
"CCUR","1990-09-17","0.75","0.88","0.62","61.8321","1000"
"CCUR","1990-09-18","0.88","0.88","0.62","52.9989","100"
"CCUR","1990-09-19","0.75","0.75","0.5","44.1658","300"
"CCUR","1990-09-20","0.56","0.62","0.5","44.1658","500"
"CCUR","1990-09-21","0.62","0.62","0.56","39.7492","0"
"CCUR","1990-09-24","0.62","0.62","0.5","35.3326","0"
"CCUR","1990-09-25","0.62","0.62","0.5","44.1658","700"
"CCUR","1990-09-26","0.5","0.62","0.5","44.1658","100"
"CCUR","1990-09-27","0.5","0.62","0.5","35.3326","600"
"CCUR","1990-09-28","0.62","0.62","0.5","35.3326","300"
"CCUR","1990-10-01","0.56","0.56","0.5","39.7492","100"
"CCUR","1990-10-02","0.5","0.62","0.44","35.3326","2000"
"CCUR","1990-10-03","0.56","0.56","0.44","30.916","1000"
"CCUR","1990-10-04","0.44","0.44","0.38","30.916","2600"
"CCUR","1990-10-05","0.44","0.5","0.31","30.916","1400"
"CCUR","1990-10-08","0.41","0.44","0.38","30.916","2500"
"CCUR","1990-10-09","0.44","0.44","0.38","28.7078","200"
"CCUR","1990-10-10","0.44","0.44","0.38","30.916","300"
"CCUR","1990-10-11","0.44","0.44","0.31","22.0829","2100"
"CCUR","1990-10-12","0.44","0.44","0.31","30.916","1100"
"CCUR","1990-10-15","0.44","0.44","0.31","30.916","300"
"CCUR","1990-10-16","0.44","0.44","0.31","30.916","400"
"CCUR","1990-10-17","0.31","0.44","0.31","22.0829","0"
