"symbol","date","open","high","low","close","volume"
"CCV","2012-12-10","25.15","25.4","25.15","22.5243","432000"
"CCV","2012-12-11","25.3","25.3","25.2","22.4619","464000"
"CCV","2012-12-12","25.13","25.27","25.1","22.3551","200100"
"CCV","2012-12-13","25.07","25.15","25.03","22.3195","70500"
"CCV","2012-12-14","25.13","25.15","25.09","22.3907","50700"
"CCV","2012-12-17","25.15","25.18","25.1","22.4174","92200"
"CCV","2012-12-18","25.2","25.35","25.18","22.4619","106600"
"CCV","2012-12-19","25.25","25.28","25.19","22.4708","76700"
"CCV","2012-12-20","25.17","25.3","25.17","22.5154","22900"
"CCV","2012-12-21","25.25","25.58","25.23","22.6044","34900"
"CCV","2012-12-24","25.75","25.75","25.4","22.6934","18200"
"CCV","2012-12-26","25.4","25.49","25.37","22.6667","32000"
"CCV","2012-12-27","25.35","25.46","25.33","22.5688","58900"
"CCV","2012-12-28","25.42","25.55","25.36","22.6578","32800"
"CCV","2012-12-31","25.45","26.19","25.38","23.3166","166300"
"CCV","2013-01-02","25.72","25.84","25.6","22.8359","118600"
"CCV","2013-01-03","25.74","25.74","25.6","22.8359","156800"
"CCV","2013-01-04","25.7","25.75","25.65","22.8626","64600"
"CCV","2013-01-07","25.75","25.78","25.67","22.9071","534200"
"CCV","2013-01-08","25.78","25.78","25.53","22.8181","378600"
"CCV","2013-01-09","25.64","25.73","25.64","22.9071","65800"
"CCV","2013-01-10","25.71","25.92","25.71","23.0762","112400"
"CCV","2013-01-11","25.77","25.95","25.77","23.103","80900"
"CCV","2013-01-14","25.93","26.0","25.81","23.0851","98600"
"CCV","2013-01-15","25.88","25.88","25.65","22.9694","72000"
"CCV","2013-01-16","25.72","25.8","25.6","22.916","78200"
"CCV","2013-01-17","25.64","25.75","25.63","22.9071","286500"
"CCV","2013-01-18","25.73","25.75","25.59","22.8537","196700"
"CCV","2013-01-22","25.63","25.63","25.41","22.6756","202400"
"CCV","2013-01-23","25.47","25.5","25.35","22.64","64900"
"CCV","2013-01-24","25.44","25.47","25.35","22.5688","37800"
"CCV","2013-01-25","25.35","25.39","25.31","22.551","20900"
"CCV","2013-01-28","25.32","25.35","25.18","22.4263","55400"
"CCV","2013-01-29","25.16","25.25","25.12","22.453","88600"
"CCV","2013-01-30","25.2","25.24","25.12","22.4619","92000"
"CCV","2013-01-31","25.25","25.34","25.18","22.4798","53500"
"CCV","2013-02-01","25.34","25.38","25.31","22.5955","58700"
"CCV","2013-02-04","25.38","25.38","25.25","22.4976","61200"
"CCV","2013-02-05","25.34","25.34","25.21","22.4798","42000"
"CCV","2013-02-06","25.31","25.31","25.23","22.5154","46500"
"CCV","2013-02-07","25.3","25.3","25.17","22.4708","60500"
"CCV","2013-02-08","25.25","25.25","25.21","22.4619","33100"
"CCV","2013-02-11","25.3","25.33","25.23","22.4708","45300"
"CCV","2013-02-12","25.25","25.32","25.25","22.5154","72500"
"CCV","2013-02-13","25.3","25.35","25.25","22.551","54300"
"CCV","2013-02-14","25.34","25.34","25.25","22.551","61000"
"CCV","2013-02-15","25.35","25.38","25.3","22.5599","36900"
"CCV","2013-02-19","25.32","25.45","25.32","22.64","42600"
"CCV","2013-02-20","25.43","25.54","25.39","22.6667","40700"
"CCV","2013-02-21","25.48","25.48","25.35","22.6667","19200"
"CCV","2013-02-22","25.49","25.59","25.44","22.7112","32000"
"CCV","2013-02-25","25.57","25.57","25.46","22.6756","36800"
"CCV","2013-02-26","25.49","25.58","25.46","22.7646","106500"
"CCV","2013-02-27","25.42","25.42","25.15","22.7322","23200"
"CCV","2013-02-28","25.26","25.29","25.17","22.7863","98500"
"CCV","2013-03-01","25.3","25.36","25.2","22.8856","42000"
"CCV","2013-03-04","25.36","25.39","25.31","22.8675","23000"
"CCV","2013-03-05","25.35","25.38","25.23","22.7953","71800"
"CCV","2013-03-06","25.27","25.35","25.2","22.7592","40500"
"CCV","2013-03-07","25.29","25.29","25.21","22.8044","126200"
"CCV","2013-03-08","25.28","25.3","25.2","22.8044","34900"
"CCV","2013-03-11","25.3","25.37","25.23","22.7683","40000"
"CCV","2013-03-12","25.27","25.34","25.24","22.8675","70700"
"CCV","2013-03-13","25.27","25.33","25.2","22.7773","38000"
"CCV","2013-03-14","25.21","25.3","25.19","22.7773","50600"
