"symbol","date","open","high","low","close","volume"
"CDR","1993-02-19","4.5","4.5","4.5","3.6817","200"
"CDR","1993-02-22","4.5","4.5","4.5","3.6817","0"
"CDR","1993-02-23","4.0","5.0","4.0","4.0908","5300"
"CDR","1993-02-24","5.0","5.0","5.0","4.0908","0"
"CDR","1993-02-25","5.0","5.0","5.0","4.0908","0"
"CDR","1993-02-26","5.0","5.0","5.0","4.0908","0"
"CDR","1993-03-01","5.0","5.0","5.0","4.0908","0"
"CDR","1993-03-02","5.0","5.0","5.0","4.0908","0"
"CDR","1993-03-03","5.0","5.0","5.0","4.0908","0"
"CDR","1993-03-04","3.75","3.75","3.75","3.0681","100"
"CDR","1993-03-05","3.75","3.75","3.75","3.0681","0"
"CDR","1993-03-08","3.75","3.75","3.75","3.0681","0"
"CDR","1993-03-09","3.75","3.75","3.75","3.0681","0"
"CDR","1993-03-10","4.37","4.37","4.12","3.3749","1300"
"CDR","1993-03-11","4.0","4.0","4.0","3.2726","100"
"CDR","1993-03-12","4.12","4.25","4.12","3.4772","200"
"CDR","1993-03-15","4.75","4.75","4.75","3.8863","100"
"CDR","1993-03-16","4.75","4.75","4.75","3.8863","0"
"CDR","1993-03-17","4.75","4.75","4.75","3.8863","0"
"CDR","1993-03-18","3.75","3.75","3.75","3.0681","100"
"CDR","1993-03-19","3.75","3.75","3.75","3.0681","0"
"CDR","1993-03-22","3.75","3.75","3.75","3.0681","200"
"CDR","1993-03-23","3.75","4.0","3.75","3.2726","1100"
"CDR","1993-03-24","4.0","4.0","4.0","3.2726","0"
"CDR","1993-03-25","4.0","4.0","4.0","3.2726","0"
"CDR","1993-03-26","4.0","4.0","4.0","3.2726","0"
"CDR","1993-03-29","4.0","4.0","4.0","3.2726","0"
"CDR","1993-03-30","3.75","3.75","3.75","3.0681","0"
"CDR","1993-03-31","3.75","3.75","3.75","3.0681","0"
"CDR","1993-04-01","3.75","3.75","3.75","3.0681","200"
"CDR","1993-04-02","3.75","3.75","3.75","3.0681","0"
"CDR","1993-04-05","3.75","3.75","3.75","3.0681","800"
