"symbol","date","open","high","low","close","volume"
"CEA","1997-02-04","18.12","21.25","18.12","9.8021","6055200"
"CEA","1997-02-05","19.0","19.75","18.88","8.9164","1377000"
"CEA","1997-02-06","18.88","19.0","18.38","8.7393","446800"
"CEA","1997-02-07","18.62","18.75","18.5","8.7983","378200"
"CEA","1997-02-10","18.12","18.25","18.0","8.5031","813400"
"CEA","1997-02-11","18.0","18.12","18.0","8.5031","961400"
"CEA","1997-02-12","18.0","19.0","18.0","8.7393","1196800"
"CEA","1997-02-13","18.5","18.5","18.0","8.5031","544800"
"CEA","1997-02-14","18.12","18.38","18.12","8.6802","274000"
"CEA","1997-02-18","18.25","18.25","18.12","8.6212","224200"
"CEA","1997-02-19","18.0","18.12","17.25","8.2669","704200"
"CEA","1997-02-20","17.5","18.0","17.5","8.385","124600"
"CEA","1997-02-21","17.75","18.0","17.62","8.5031","31000"
"CEA","1997-02-24","20.5","20.5","19.75","9.566","705400"
"CEA","1997-02-25","19.75","20.38","19.75","9.566","338800"
"CEA","1997-02-26","21.5","22.12","21.38","10.2745","602400"
"CEA","1997-02-27","21.38","21.75","21.38","10.1564","206400"
"CEA","1997-02-28","21.5","21.88","21.12","10.3336","135600"
"CEA","1997-03-03","21.88","21.88","21.75","10.2745","37000"
"CEA","1997-03-04","21.75","21.88","21.38","10.2155","67800"
"CEA","1997-03-05","21.62","22.0","21.62","10.3336","36400"
"CEA","1997-03-06","24.75","24.75","24.0","11.5146","241800"
"CEA","1997-03-07","25.12","25.5","25.12","11.9279","477400"
"CEA","1997-03-10","29.5","29.5","28.5","13.5813","864400"
"CEA","1997-03-11","27.5","27.62","27.12","12.9317","546400"
"CEA","1997-03-12","27.38","28.0","27.38","13.227","522400"
"CEA","1997-03-13","28.0","28.38","27.88","13.227","336000"
"CEA","1997-03-14","29.38","30.12","29.38","14.2308","504000"
"CEA","1997-03-17","31.88","32.12","31.38","14.9985","740800"
"CEA","1997-03-18","30.75","30.75","29.62","14.1127","122400"
"CEA","1997-03-19","29.5","29.5","28.25","13.4632","468200"
"CEA","1997-03-20","27.75","28.25","27.62","13.3451","47600"
"CEA","1997-03-21","27.75","28.12","27.75","13.286","16000"
"CEA","1997-03-24","28.25","28.88","28.25","13.5222","34600"
"CEA","1997-03-25","28.5","28.62","28.5","13.5222","48400"
"CEA","1997-03-26","28.75","29.62","28.75","13.7584","77400"
"CEA","1997-03-27","29.5","29.62","29.25","13.8175","78000"
"CEA","1997-03-31","29.38","29.38","28.75","13.5813","78800"
"CEA","1997-04-01","29.0","29.12","28.88","13.7584","124000"
"CEA","1997-04-02","28.88","28.88","28.88","13.6403","5600"
"CEA","1997-04-03","28.88","28.88","28.0","13.227","24600"
"CEA","1997-04-04","28.0","28.0","27.75","13.1679","9400"
"CEA","1997-04-07","27.75","28.38","27.75","13.3451","14800"
"CEA","1997-04-08","28.38","28.38","28.25","13.4041","6000"
"CEA","1997-04-09","29.5","29.62","29.5","13.9946","56600"
