"symbol","date","open","high","low","close","volume"
"CF","2005-08-11","16.25","16.55","16.0","2.9044","76671500"
"CF","2005-08-12","16.25","18.0","16.25","3.2146","29113500"
"CF","2005-08-15","17.75","17.85","17.26","3.1017","10596500"
"CF","2005-08-16","16.9","17.3","16.9","3.0748","5141000"
"CF","2005-08-17","17.15","17.2","16.8","3.021","6423500"
"CF","2005-08-18","16.95","16.98","16.25","2.9313","12727000"
"CF","2005-08-19","16.49","16.69","16.25","2.9762","3029500"
"CF","2005-08-22","16.65","17.02","16.41","3.0479","2909500"
"CF","2005-08-23","17.5","17.94","17.3","3.1483","13466000"
"CF","2005-08-24","17.5","17.75","17.33","3.1375","3083000"
"CF","2005-08-25","17.7","17.74","17.4","3.1303","4667000"
"CF","2005-08-26","17.55","17.61","17.4","3.1321","2704000"
"CF","2005-08-29","16.9","17.18","16.84","3.0479","5458000"
"CF","2005-08-30","17.11","17.39","16.95","3.0532","2581000"
"CF","2005-08-31","17.06","17.06","16.61","3.0102","3004500"
"CF","2005-09-01","16.85","16.85","15.53","2.9134","12468500"
"CF","2005-09-02","16.41","16.58","16.01","2.8811","5748500"
"CF","2005-09-06","16.2","16.45","16.17","2.9403","2726500"
"CF","2005-09-07","16.41","16.43","16.02","2.9026","3643500"
"CF","2005-09-08","16.25","16.52","16.25","2.9259","2558500"
"CF","2005-09-09","16.55","16.6","16.42","2.9708","2468500"
"CF","2005-09-12","16.45","16.52","16.01","2.8847","3300500"
"CF","2005-09-13","16.12","16.12","15.7","2.8471","3798500"
"CF","2005-09-14","15.75","15.87","15.65","2.8184","2055500"
"CF","2005-09-15","15.75","15.81","15.03","2.7072","6004000"
"CF","2005-09-16","15.06","15.34","14.55","2.7467","9555000"
"CF","2005-09-19","15.25","15.95","15.19","2.7789","5559000"
"CF","2005-09-20","15.5","16.03","15.45","2.8327","4178000"
"CF","2005-09-21","15.7","15.7","14.7","2.6893","8313500"
"CF","2005-09-22","15.0","15.07","14.5","2.6014","7184000"
"CF","2005-09-23","14.5","15.7","14.48","2.7951","4830500"
"CF","2005-09-26","15.6","15.8","15.25","2.7789","7826500"
"CF","2005-09-27","15.45","15.56","15.34","2.7718","4505000"
"CF","2005-09-28","15.38","15.38","14.98","2.7162","3055000"
"CF","2005-09-29","15.19","15.5","14.82","2.6893","6141000"
"CF","2005-09-30","15.05","15.1","14.66","2.6552","12109000"
"CF","2005-10-03","14.85","14.85","14.35","2.5996","4279000"
"CF","2005-10-04","14.45","14.5","14.03","2.5226","2002000"
"CF","2005-10-05","14.0","14.0","12.83","2.3576","10826000"
"CF","2005-10-06","13.2","13.49","13.1","2.4042","4121000"
"CF","2005-10-07","13.8","13.8","13.46","2.4204","2174500"
"CF","2005-10-10","13.57","13.64","12.44","2.25","2443000"
"CF","2005-10-11","12.65","12.65","12.01","2.1783","3256500"
"CF","2005-10-12","12.12","12.18","11.8","2.1407","2545500"
"CF","2005-10-13","11.93","11.93","11.19","2.0259","3555000"
"CF","2005-10-14","11.34","12.5","11.32","2.216","7229500"
"CF","2005-10-17","12.36","12.39","12.1","2.1873","3007000"
"CF","2005-10-18","12.2","12.2","11.94","2.1514","2575000"
"CF","2005-10-19","12.1","12.26","11.94","2.1801","5052000"
"CF","2005-10-20","12.2","13.09","12.19","2.2984","7568500"
"CF","2005-10-21","12.83","13.07","12.77","2.3235","4029500"
"CF","2005-10-24","12.96","13.2","12.96","2.354","2160000"
"CF","2005-10-25","13.23","13.41","13.08","2.3666","2629500"
"CF","2005-10-26","13.15","13.35","12.95","2.3469","2839500"
"CF","2005-10-27","13.05","13.18","12.95","2.3307","810000"
"CF","2005-10-28","13.2","13.46","13.2","2.3935","1664500"
"CF","2005-10-31","13.5","13.99","13.5","2.4777","3915000"
"CF","2005-11-01","14.15","14.25","13.55","2.4383","2830000"
"CF","2005-11-02","13.62","13.75","13.25","2.4275","3455000"
"CF","2005-11-03","13.4","13.5","13.21","2.3845","1815000"
"CF","2005-11-04","13.3","13.78","13.22","2.4024","2600500"
"CF","2005-11-07","13.4","13.81","13.36","2.4257","1783500"
"CF","2005-11-08","13.43","13.55","13.32","2.4239","1599500"
"CF","2005-11-09","13.53","13.78","13.46","2.4293","2294000"
"CF","2005-11-10","13.6","14.39","13.31","2.4688","4019000"
"CF","2005-11-11","13.79","14.15","13.79","2.5209","1347500"
"CF","2005-11-14","13.98","14.2","13.92","2.5263","1282500"
"CF","2005-11-15","14.15","15.05","14.06","2.6502","7032000"
"CF","2005-11-16","15.1","15.5","15.0","2.7238","4794000"
"CF","2005-11-17","15.25","15.88","15.12","2.8369","8077500"
"CF","2005-11-18","15.8","15.8","15.15","2.8028","3764000"
"CF","2005-11-21","15.9","15.95","15.66","2.8405","4266000"
"CF","2005-11-22","15.82","15.9","15.51","2.8244","1920000"
"CF","2005-11-23","15.75","15.75","15.47","2.7831","1068000"
"CF","2005-11-25","15.55","15.67","15.55","2.8046","154000"
"CF","2005-11-28","15.66","15.69","15.35","2.7813","1477000"
"CF","2005-11-29","15.58","15.58","15.45","2.7831","792000"
"CF","2005-11-30","15.48","15.58","15.39","2.7741","1513500"
"CF","2005-12-01","15.42","15.5","15.09","2.7418","3586000"
"CF","2005-12-02","15.26","15.55","15.15","2.7884","3127500"
"CF","2005-12-05","15.45","15.8","15.3","2.8082","3232000"
"CF","2005-12-06","15.73","15.85","15.67","2.8405","1503000"
"CF","2005-12-07","15.85","15.99","15.62","2.8046","1762000"
"CF","2005-12-08","15.62","15.62","15.08","2.7148","5745000"
"CF","2005-12-09","15.19","15.3","14.92","2.7238","5531500"
"CF","2005-12-12","15.22","15.37","15.05","2.713","2333500"
"CF","2005-12-13","15.11","15.25","14.73","2.6735","3260500"
"CF","2005-12-14","14.85","14.95","14.69","2.6574","1973500"
"CF","2005-12-15","14.75","14.98","14.61","2.6879","1495500"
"CF","2005-12-16","15.08","15.2","15.02","2.7112","3498000"
"CF","2005-12-19","15.1","15.3","14.8","2.7382","2893500"
"CF","2005-12-20","14.8","15.05","14.63","2.6879","3497000"
"CF","2005-12-21","14.98","15.0","14.62","2.6502","1900500"
"CF","2005-12-22","14.76","15.37","14.76","2.7543","2252000"
"CF","2005-12-23","15.15","15.4","15.15","2.7346","1622000"
"CF","2005-12-27","15.28","15.49","15.25","2.7471","2007500"
"CF","2005-12-28","15.28","15.29","14.93","2.7382","4846500"
"CF","2005-12-29","15.3","15.44","15.25","2.7525","1294000"
"CF","2005-12-30","15.33","15.43","15.19","2.7382","741000"
"CF","2006-01-03","15.25","15.4","15.1","2.7471","2272500"
"CF","2006-01-04","15.3","15.7","15.3","2.7938","2567500"
"CF","2006-01-05","15.6","16.24","15.57","2.8998","5217500"
"CF","2006-01-06","16.1","16.1","15.8","2.8764","5087000"
"CF","2006-01-09","16.02","16.6","16.02","2.9446","3454500"
"CF","2006-01-10","16.23","16.48","16.12","2.9536","2359500"
"CF","2006-01-11","16.45","16.45","16.2","2.9249","2560500"
"CF","2006-01-12","16.25","16.58","16.15","2.9267","2819000"
"CF","2006-01-13","16.31","16.42","16.27","2.9393","1849000"
"CF","2006-01-17","16.22","16.34","15.86","2.9231","2442500"
"CF","2006-01-18","16.2","16.59","16.05","2.977","1538500"
"CF","2006-01-19","16.6","16.61","16.34","2.968","1172500"
"CF","2006-01-20","16.56","16.59","15.89","2.8639","1943500"
"CF","2006-01-23","15.97","16.38","15.96","2.9141","1171000"
"CF","2006-01-24","16.25","16.62","16.2","2.9608","3657000"
"CF","2006-01-25","16.5","16.54","16.1","2.9267","11327500"
"CF","2006-01-26","16.33","16.83","16.33","3.0093","2149500"
"CF","2006-01-27","16.75","17.1","16.71","3.056","1289500"
"CF","2006-01-30","17.0","17.25","16.77","3.0344","1613500"
"CF","2006-01-31","16.9","17.12","16.85","3.0542","2094500"
"CF","2006-02-01","16.92","16.92","16.75","3.0129","2454500"
"CF","2006-02-02","16.72","16.78","16.33","2.9626","7376500"
"CF","2006-02-03","16.48","16.9","16.38","3.0308","2558000"
"CF","2006-02-06","16.88","17.09","16.85","3.0667","2713000"
"CF","2006-02-07","17.09","17.09","16.88","3.0416","2793000"
"CF","2006-02-08","16.93","17.31","16.85","3.0955","2350000"
"CF","2006-02-09","17.23","17.79","17.2","3.1422","1597500"
