"symbol","date","open","high","low","close","volume"
"CFG","2014-09-24","21.5","23.22","21.35","22.3925","60450900"
"CFG","2014-09-25","22.56","23.41","22.45","22.3634","8430000"
"CFG","2014-09-26","23.18","23.37","22.91","22.5575","2504400"
"CFG","2014-09-29","23.14","23.45","22.91","22.5381","4832600"
"CFG","2014-09-30","23.11","23.57","23.05","22.7224","4103100"
"CFG","2014-10-01","23.22","23.61","23.11","22.7418","3915500"
"CFG","2014-10-02","23.34","23.59","23.3","22.6448","3121400"
"CFG","2014-10-03","23.38","23.47","23.01","22.5381","1585900"
"CFG","2014-10-06","23.28","23.37","22.61","21.9657","1208400"
"CFG","2014-10-07","22.56","22.74","22.26","21.8492","1508400"
"CFG","2014-10-08","22.11","23.15","22.11","22.0724","1649200"
"CFG","2014-10-09","23.0","23.0","22.24","21.8104","1229100"
"CFG","2014-10-10","22.39","22.56","22.14","21.6164","924000"
"CFG","2014-10-13","22.13","22.66","22.12","21.7813","1382800"
"CFG","2014-10-14","22.5","22.79","22.3","21.7813","1605800"
"CFG","2014-10-15","22.13","22.2","21.5","21.1992","3405400"
"CFG","2014-10-16","21.51","21.95","21.47","21.1507","3105800"
"CFG","2014-10-17","21.89","22.07","21.73","21.2671","2750600"
"CFG","2014-10-20","21.82","22.38","21.82","21.7134","1870600"
"CFG","2014-10-21","22.11","22.93","22.11","22.1403","1165500"
"CFG","2014-10-22","22.78","23.0","22.4","21.9268","884700"
"CFG","2014-10-23","22.97","23.08","22.59","22.344","1154200"
"CFG","2014-10-24","23.32","23.49","22.77","22.4896","1357800"
"CFG","2014-10-27","23.15","23.19","22.73","22.1694","2898800"
"CFG","2014-10-28","23.16","23.59","22.93","22.5866","1500600"
"CFG","2014-10-29","23.35","23.53","23.2","22.7806","1302300"
"CFG","2014-10-30","23.46","23.69","23.3","22.7418","1153500"
"CFG","2014-10-31","23.59","23.92","23.37","22.9165","1238600"
"CFG","2014-11-03","23.49","24.0","23.16","23.2851","1826900"
"CFG","2014-11-04","23.74","23.91","23.43","22.9929","1474500"
"CFG","2014-11-05","23.8","23.95","23.55","23.2851","1097600"
"CFG","2014-11-06","23.79","24.46","23.75","23.6749","1010700"
"CFG","2014-11-07","24.48","24.48","23.96","23.3533","600700"
"CFG","2014-11-10","24.04","24.25","23.75","23.3339","1531300"
"CFG","2014-11-11","23.97","24.22","23.75","23.3241","658300"
"CFG","2014-11-12","23.75","23.98","23.51","23.2462","940800"
"CFG","2014-11-13","23.62","23.96","23.58","23.2072","1149700"
"CFG","2014-11-14","23.74","24.0","23.74","23.3436","1111500"
"CFG","2014-11-17","24.11","24.11","23.56","23.3826","992400"
"CFG","2014-11-18","24.04","24.04","23.71","23.1195","586000"
"CFG","2014-11-19","23.8","24.0","23.51","23.1098","812800"
"CFG","2014-11-20","23.57","23.87","23.5","23.1","745800"
"CFG","2014-11-21","23.95","24.21","23.7","23.1585","725200"
"CFG","2014-11-24","23.8","24.36","23.68","23.6261","836800"
"CFG","2014-11-25","24.24","24.3","24.02","23.4118","701600"
"CFG","2014-11-26","24.11","24.27","23.92","23.6067","703700"
"CFG","2014-11-28","24.22","25.09","24.05","23.9964","713400"
"CFG","2014-12-01","24.62","24.89","23.49","23.3631","2282600"
"CFG","2014-12-02","24.02","24.43","23.8","23.5774","1369300"
