"symbol","date","open","high","low","close","volume"
"CHN","1992-07-10","15.25","15.38","15.0","2.1691","1135700"
"CHN","1992-07-13","15.0","15.12","14.88","2.1691","420400"
"CHN","1992-07-14","15.0","15.0","14.88","2.151","165400"
"CHN","1992-07-15","15.0","15.0","14.88","2.151","72200"
"CHN","1992-07-16","14.88","15.0","14.88","2.1691","27600"
"CHN","1992-07-17","14.88","15.0","14.88","2.1691","174400"
"CHN","1992-07-20","14.88","15.0","14.75","2.133","152500"
"CHN","1992-07-21","14.75","14.88","14.75","2.133","45200"
"CHN","1992-07-22","14.88","14.88","14.38","2.0787","260400"
"CHN","1992-07-23","14.5","14.5","14.0","2.0245","179100"
"CHN","1992-07-24","14.0","14.12","14.0","2.0245","111800"
"CHN","1992-07-27","14.0","14.25","14.0","2.0426","58000"
"CHN","1992-07-28","14.25","14.25","14.0","2.0426","38500"
"CHN","1992-07-29","14.12","14.62","14.12","2.1149","12800"
"CHN","1992-07-30","14.38","14.62","14.38","2.0968","23100"
"CHN","1992-07-31","14.62","14.62","14.5","2.0968","47200"
"CHN","1992-08-03","14.5","14.62","14.38","2.1149","21000"
"CHN","1992-08-04","14.75","14.75","14.38","2.0787","16600"
"CHN","1992-08-05","14.5","14.5","14.12","2.0607","9900"
"CHN","1992-08-06","14.12","14.38","14.12","2.0607","9700"
"CHN","1992-08-07","14.25","14.25","14.0","2.0426","32700"
"CHN","1992-08-10","14.0","14.25","14.0","2.0607","96100"
"CHN","1992-08-11","14.38","14.62","14.25","2.0968","45500"
"CHN","1992-08-12","14.5","14.5","13.75","2.0245","71800"
"CHN","1992-08-13","14.0","14.0","13.88","2.0064","15500"
"CHN","1992-08-14","13.88","14.12","13.88","2.0426","14000"
"CHN","1992-08-17","14.0","14.0","13.5","1.9703","35300"
"CHN","1992-08-18","13.38","13.5","13.38","1.9341","27300"
"CHN","1992-08-19","13.5","13.5","13.0","1.8799","36300"
"CHN","1992-08-20","13.0","13.0","12.5","1.8076","166900"
"CHN","1992-08-21","12.62","12.75","12.5","1.8438","43900"
"CHN","1992-08-24","12.62","12.62","12.12","1.7895","35000"
"CHN","1992-08-25","12.25","12.38","12.25","1.7895","32000"
"CHN","1992-08-26","12.5","13.0","12.38","1.8799","36000"
"CHN","1992-08-27","13.12","13.5","13.12","1.898","62800"
"CHN","1992-08-28","13.25","13.38","13.12","1.9161","23000"
"CHN","1992-08-31","13.25","13.38","13.12","1.898","24100"
"CHN","1992-09-01","13.12","13.25","13.0","1.9161","36300"
"CHN","1992-09-02","13.25","13.38","13.12","1.9161","35900"
"CHN","1992-09-03","13.38","13.38","13.0","1.898","48800"
"CHN","1992-09-04","13.25","13.25","13.0","1.9161","13700"
"CHN","1992-09-08","13.0","13.12","12.88","1.898","32400"
"CHN","1992-09-09","13.0","13.12","12.62","1.8799","26700"
"CHN","1992-09-10","13.12","13.25","13.12","1.9161","14300"
"CHN","1992-09-11","13.25","13.25","13.0","1.8799","13700"
"CHN","1992-09-14","13.0","13.25","12.88","1.898","18900"
"CHN","1992-09-15","13.0","13.0","12.75","1.8618","16800"
"CHN","1992-09-16","12.88","12.88","12.5","1.8618","41800"
"CHN","1992-09-17","12.75","12.88","12.62","1.8438","14600"
"CHN","1992-09-18","12.38","12.62","12.38","1.8257","13500"
"CHN","1992-09-21","12.25","12.38","12.12","1.7534","45800"
"CHN","1992-09-22","12.12","12.25","12.0","1.7353","38900"
"CHN","1992-09-23","12.12","12.12","12.0","1.7534","22400"
"CHN","1992-09-24","12.12","12.38","12.12","1.7715","27300"
"CHN","1992-09-25","12.12","12.25","12.0","1.7353","59900"
"CHN","1992-09-28","12.0","12.12","12.0","1.7353","40100"
"CHN","1992-09-29","12.0","12.25","12.0","1.7353","20500"
"CHN","1992-09-30","12.12","12.12","12.0","1.7353","17100"
"CHN","1992-10-01","12.0","12.0","11.88","1.7353","15500"
"CHN","1992-10-02","12.0","12.0","11.88","1.7353","18200"
"CHN","1992-10-05","12.0","12.0","11.25","1.7172","67500"
"CHN","1992-10-06","11.88","11.88","11.62","1.7172","21800"
"CHN","1992-10-07","11.88","11.88","11.62","1.6991","19300"
"CHN","1992-10-08","11.75","11.75","11.62","1.6991","18000"
"CHN","1992-10-09","11.75","12.0","11.62","1.7353","35800"
"CHN","1992-10-12","12.0","12.25","11.88","1.7172","44900"
"CHN","1992-10-13","11.75","11.88","11.75","1.7172","45600"
"CHN","1992-10-14","11.88","12.12","11.75","1.6991","36200"
"CHN","1992-10-15","11.88","12.0","11.75","1.7172","47400"
"CHN","1992-10-16","12.0","12.25","11.88","1.7534","19000"
"CHN","1992-10-19","12.12","12.62","12.12","1.8076","32000"
"CHN","1992-10-20","12.62","13.12","12.62","1.898","100800"
"CHN","1992-10-21","13.38","13.75","13.38","1.9703","68900"
"CHN","1992-10-22","14.0","14.12","13.75","2.0064","123200"
"CHN","1992-10-23","14.12","14.12","13.75","1.9884","45600"
"CHN","1992-10-26","13.62","13.75","13.38","1.9703","37900"
"CHN","1992-10-27","13.62","13.88","13.62","1.9703","18500"
"CHN","1992-10-28","13.5","13.75","13.38","1.9884","54500"
"CHN","1992-10-29","13.5","13.75","13.5","1.9703","19900"
"CHN","1992-10-30","13.75","14.0","13.75","2.0245","60900"
"CHN","1992-11-02","14.0","14.0","13.62","2.0245","19800"
"CHN","1992-11-03","14.12","14.12","13.88","2.0245","31300"
"CHN","1992-11-04","14.0","14.12","14.0","2.0245","28100"
"CHN","1992-11-05","14.12","14.38","14.12","2.0607","30500"
"CHN","1992-11-06","14.38","14.5","14.25","2.0787","27500"
"CHN","1992-11-09","14.12","14.38","14.12","2.0607","16700"
"CHN","1992-11-10","14.38","14.5","14.25","2.0787","29300"
"CHN","1992-11-11","14.5","14.88","14.38","2.133","127500"
"CHN","1992-11-12","14.75","14.88","14.5","2.1149","21200"
"CHN","1992-11-13","14.75","14.88","14.62","2.1149","18400"
"CHN","1992-11-16","14.5","14.88","14.5","2.133","19000"
"CHN","1992-11-17","14.62","14.75","14.25","2.0787","29700"
"CHN","1992-11-18","14.25","14.25","14.0","2.0607","36400"
"CHN","1992-11-19","14.25","14.25","14.12","2.0607","12900"
"CHN","1992-11-20","14.38","14.5","14.12","2.0787","15600"
"CHN","1992-11-23","14.0","14.38","14.0","2.0787","21600"
"CHN","1992-11-24","14.38","14.5","14.25","2.0607","36700"
"CHN","1992-11-25","14.25","14.38","14.12","2.0426","16700"
"CHN","1992-11-27","14.25","14.62","14.25","2.0968","39200"
"CHN","1992-11-30","14.62","14.75","14.38","2.0968","115200"
"CHN","1992-12-01","14.38","14.38","13.88","2.0245","43600"
"CHN","1992-12-02","14.0","14.0","13.88","2.0245","14100"
"CHN","1992-12-03","13.88","14.0","13.75","2.0064","23400"
"CHN","1992-12-04","14.0","14.12","13.75","2.0245","12800"
"CHN","1992-12-07","14.0","14.0","13.5","1.9884","24600"
